epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.870984e-01,17.00000,20.00000,933
1,1,4.509158e-01,26.00000,16.00000,497
1,2,4.285762e-01,20.00000,20.00000,442
1,3,4.119069e-01,18.00000,20.00000,432
1,4,3.980142e-01,14.00000,20.00000,451
1,5,3.867439e-01,25.00000,16.00000,456
1,6,3.769503e-01,25.00000,16.00000,455
1,7,3.655657e-01,35.00000,12.00000,500
1,8,3.609279e-01,24.00000,16.00000,445
1,9,3.546045e-01,26.00000,16.00000,458
1,10,3.502651e-01,26.00000,16.00000,459
1,11,3.436581e-01,25.00000,16.00000,458
1,12,3.401130e-01,26.00000,16.00000,460
1,13,3.365035e-01,23.00000,16.00000,445
1,14,3.327479e-01,27.00000,16.00000,465
1,15,3.304008e-01,17.00000,16.00000,411
1,16,3.266255e-01,24.00000,16.00000,451
1,17,3.246388e-01,19.00000,20.00000,449
1,18,3.216934e-01,11.00000,20.00000,441
1,19,3.172264e-01,25.00000,16.00000,457
1,20,3.154053e-01,25.00000,16.00000,455
1,21,3.140612e-01,24.00000,16.00000,450
1,22,3.121834e-01,22.00000,16.00000,439
1,23,3.086202e-01,22.00000,16.00000,438
1,24,3.082536e-01,17.00000,20.00000,428
1,25,3.064204e-01,14.00000,20.00000,409
1,26,3.017970e-01,23.00000,20.00000,463
1,27,3.046377e-01,8.00000,20.00000,379
1,28,2.989704e-01,16.00000,20.00000,424
1,29,2.971638e-01,25.00000,16.00000,458
1,30,2.957829e-01,17.00000,20.00000,431
1,31,2.929042e-01,21.00000,16.00000,436
1,32,2.898517e-01,23.00000,20.00000,463
1,33,2.891645e-01,22.00000,20.00000,455
1,34,2.880983e-01,19.00000,20.00000,439
1,35,2.840777e-01,24.00000,16.00000,458
1,36,2.830742e-01,25.00000,16.00000,458
1,37,2.827309e-01,16.00000,20.00000,425
1,38,2.815408e-01,21.00000,16.00000,436
1,39,2.775711e-01,34.00000,12.00000,499
1,40,2.737315e-01,23.00000,16.00000,446
1,41,2.731639e-01,21.00000,16.00000,436
1,42,2.731670e-01,20.00000,20.00000,445
