epoch,train_accuracy,val_accuracy,loss,time
1,4.04660e-01,5.29667e-01,1.28047e-02,2.20
2,5.37908e-01,5.86333e-01,1.18594e-02,2.15
3,5.78381e-01,6.19000e-01,1.15443e-02,2.20
4,6.04674e-01,6.36667e-01,1.13630e-02,2.32
5,6.19567e-01,6.31333e-01,1.12539e-02,2.09
6,6.33960e-01,6.38667e-01,1.11538e-02,2.42
7,6.39162e-01,6.46333e-01,1.11051e-02,2.18
8,6.43437e-01,6.46333e-01,1.10607e-02,2.17
9,6.49850e-01,6.45000e-01,1.10055e-02,2.26
10,6.53128e-01,6.67333e-01,1.09899e-02,2.18
11,6.55907e-01,6.71333e-01,1.09558e-02,2.18
12,6.57902e-01,6.54333e-01,1.09271e-02,2.44
13,6.61465e-01,6.69667e-01,1.08968e-02,2.18
14,6.68163e-01,6.75667e-01,1.08704e-02,2.18
15,6.66097e-01,6.75333e-01,1.08635e-02,1.99
16,6.68377e-01,6.58667e-01,1.08486e-02,2.24
17,6.66382e-01,6.62667e-01,1.08507e-02,2.08
18,6.74220e-01,6.67000e-01,1.08055e-02,2.19
19,6.72438e-01,6.71333e-01,1.08183e-02,2.07
20,6.70229e-01,6.80333e-01,1.08097e-02,1.65
21,6.76785e-01,6.78333e-01,1.07817e-02,1.71
22,6.72937e-01,6.64333e-01,1.07945e-02,1.69
23,6.77212e-01,6.74667e-01,1.07644e-02,1.64
24,6.74932e-01,6.71333e-01,1.07777e-02,1.64
25,6.76785e-01,6.76333e-01,1.07594e-02,1.64
26,6.80063e-01,6.76333e-01,1.07500e-02,1.64
27,6.76215e-01,6.74333e-01,1.07558e-02,1.65
28,6.80847e-01,6.72333e-01,1.07338e-02,1.63
29,6.79635e-01,6.76333e-01,1.07330e-02,1.60
30,6.77141e-01,6.75000e-01,1.07517e-02,1.68
31,6.80847e-01,6.75667e-01,1.07247e-02,1.60
32,6.78780e-01,6.76333e-01,1.07223e-02,1.60
33,6.79706e-01,6.74667e-01,1.07185e-02,1.60
34,6.83055e-01,6.78667e-01,1.07092e-02,1.68
35,6.79849e-01,6.77333e-01,1.07106e-02,1.59
36,6.81417e-01,6.74333e-01,1.07121e-02,1.63
37,6.80063e-01,6.80000e-01,1.07054e-02,1.59
38,6.84623e-01,6.78333e-01,1.06902e-02,1.61
39,6.82272e-01,6.78333e-01,1.06927e-02,1.61
40,6.80276e-01,6.77333e-01,1.07030e-02,1.61
41,6.85834e-01,6.78667e-01,1.06664e-02,1.61
42,6.84979e-01,6.82667e-01,1.06837e-02,1.62
43,6.85763e-01,6.82000e-01,1.06705e-02,1.62
44,6.83340e-01,6.74667e-01,1.06860e-02,1.65
45,6.83198e-01,6.77667e-01,1.06869e-02,1.63
46,6.82129e-01,6.78667e-01,1.06750e-02,1.63
47,6.85549e-01,6.82000e-01,1.06711e-02,1.68
48,6.83340e-01,6.75333e-01,1.06720e-02,1.63
49,6.87117e-01,6.74000e-01,1.06699e-02,1.95
50,6.88400e-01,6.79333e-01,1.06575e-02,1.65
51,6.83839e-01,6.78333e-01,1.06706e-02,1.67
52,6.86547e-01,6.78667e-01,1.06639e-02,1.61
53,6.86974e-01,6.79333e-01,1.06595e-02,1.59
54,6.87687e-01,6.81000e-01,1.06566e-02,1.59
55,6.87545e-01,6.79000e-01,1.06375e-02,1.61
56,6.84338e-01,6.82667e-01,1.06630e-02,1.61
57,6.86119e-01,6.82667e-01,1.06466e-02,1.67
58,6.87687e-01,6.76000e-01,1.06476e-02,1.71
59,6.86832e-01,6.82333e-01,1.06563e-02,1.90
60,6.87972e-01,6.85667e-01,1.06364e-02,2.22
61,6.86476e-01,6.80000e-01,1.06544e-02,2.42
62,6.85193e-01,6.83333e-01,1.06526e-02,2.11
63,6.92105e-01,6.83000e-01,1.06163e-02,2.11
64,6.90680e-01,6.83000e-01,1.06328e-02,2.12
65,6.89326e-01,6.84000e-01,1.06288e-02,2.07
66,6.87687e-01,6.83333e-01,1.06358e-02,2.22
67,6.87117e-01,6.85000e-01,1.06496e-02,2.25
68,6.89896e-01,6.84667e-01,1.06344e-02,2.19
69,6.92461e-01,6.81000e-01,1.06255e-02,2.05
70,6.91749e-01,6.82667e-01,1.06153e-02,2.32
71,6.91321e-01,6.86667e-01,1.06248e-02,2.31
72,6.89326e-01,6.85000e-01,1.06367e-02,2.20
73,6.86262e-01,6.80000e-01,1.06405e-02,2.23
74,6.91962e-01,6.82000e-01,1.06183e-02,2.34
75,6.89326e-01,6.82667e-01,1.06303e-02,2.23
76,6.89326e-01,6.86000e-01,1.06210e-02,2.12
77,6.88328e-01,6.83000e-01,1.06277e-02,2.28
78,6.89183e-01,6.82000e-01,1.06263e-02,2.10
79,6.91820e-01,6.83667e-01,1.06158e-02,2.32
80,6.92176e-01,6.83667e-01,1.06092e-02,2.29
81,6.92889e-01,6.82333e-01,1.06120e-02,2.29
82,6.88613e-01,6.82333e-01,1.06282e-02,2.25
83,6.91179e-01,6.81667e-01,1.06078e-02,2.20
84,6.89753e-01,6.88667e-01,1.06225e-02,2.21
85,6.92532e-01,6.81333e-01,1.06139e-02,2.15
86,6.90324e-01,6.84333e-01,1.06093e-02,2.27
87,6.95881e-01,6.84333e-01,1.05954e-02,2.17
88,6.91179e-01,6.82333e-01,1.06045e-02,2.14
89,6.90181e-01,6.84667e-01,1.06104e-02,2.32
90,6.90680e-01,6.86000e-01,1.06202e-02,2.20
91,6.93102e-01,6.79667e-01,1.05984e-02,2.11
92,6.94171e-01,6.81667e-01,1.05984e-02,2.02
93,6.91749e-01,6.83667e-01,1.06105e-02,2.04
94,6.94029e-01,6.84333e-01,1.06066e-02,2.20
95,6.90680e-01,6.86667e-01,1.06131e-02,2.19
96,6.97307e-01,6.84000e-01,1.05853e-02,2.32
97,6.95240e-01,6.83000e-01,1.06005e-02,2.11
98,6.90965e-01,6.84333e-01,1.06069e-02,2.34
99,6.95953e-01,6.85000e-01,1.05868e-02,2.28
100,6.93245e-01,6.85000e-01,1.05945e-02,2.16
101,6.95881e-01,6.85667e-01,1.05936e-02,2.08
102,6.94528e-01,6.85333e-01,1.05889e-02,2.06
103,6.95525e-01,6.84333e-01,1.05893e-02,2.06
104,6.94171e-01,6.86333e-01,1.05849e-02,2.16
105,6.92461e-01,6.80000e-01,1.05996e-02,2.30
106,6.91179e-01,6.87333e-01,1.05952e-02,2.38
107,6.92390e-01,6.83667e-01,1.05997e-02,2.21
108,6.93459e-01,6.85667e-01,1.05914e-02,2.13
109,6.91179e-01,6.86333e-01,1.06041e-02,2.09
110,6.95311e-01,6.84667e-01,1.05799e-02,2.18
111,6.94029e-01,6.85667e-01,1.05874e-02,2.21
112,6.95739e-01,6.85333e-01,1.05868e-02,2.25
113,6.93102e-01,6.85000e-01,1.05855e-02,2.29
114,6.93886e-01,6.86000e-01,1.05917e-02,2.42
115,6.94243e-01,6.87667e-01,1.05896e-02,2.11
116,6.94884e-01,6.85000e-01,1.05802e-02,2.08
117,6.94243e-01,6.86667e-01,1.05786e-02,2.13
118,6.90965e-01,6.86667e-01,1.05933e-02,2.31
119,6.94741e-01,6.87667e-01,1.05758e-02,2.27
120,6.95026e-01,6.85000e-01,1.05755e-02,2.27
121,6.97378e-01,6.85000e-01,1.05695e-02,2.16
122,6.95953e-01,6.88667e-01,1.05758e-02,1.98
123,6.97592e-01,6.87667e-01,1.05662e-02,2.15
124,6.93459e-01,6.86333e-01,1.05749e-02,2.16
125,6.96594e-01,6.85333e-01,1.05742e-02,2.13
126,6.97734e-01,6.84667e-01,1.05661e-02,2.26
127,6.96095e-01,6.87333e-01,1.05673e-02,2.08
128,6.93958e-01,6.83000e-01,1.05873e-02,2.06
129,6.95881e-01,6.87667e-01,1.05630e-02,2.26
130,6.94528e-01,6.87667e-01,1.05772e-02,2.27
131,6.95311e-01,6.85000e-01,1.05668e-02,2.14
132,6.94955e-01,6.89333e-01,1.05854e-02,2.24
133,6.99658e-01,6.86000e-01,1.05515e-02,2.29
134,6.98660e-01,6.85333e-01,1.05489e-02,2.28
135,6.98162e-01,6.87000e-01,1.05531e-02,2.33
136,6.93815e-01,6.87000e-01,1.05779e-02,2.45
137,6.97022e-01,6.85333e-01,1.05663e-02,2.04
138,6.95525e-01,6.88333e-01,1.05748e-02,2.04
139,6.94741e-01,6.89667e-01,1.05700e-02,2.06
140,6.97805e-01,6.86000e-01,1.05640e-02,2.14
141,6.96024e-01,6.87667e-01,1.05791e-02,2.08
142,6.94813e-01,6.88667e-01,1.05643e-02,2.24
143,6.99515e-01,6.87667e-01,1.05641e-02,2.09
144,6.96309e-01,6.88333e-01,1.05683e-02,2.36
145,6.94243e-01,6.84333e-01,1.05669e-02,2.19
146,6.93245e-01,6.85667e-01,1.05797e-02,2.05
147,6.97164e-01,6.87000e-01,1.05585e-02,2.22
148,6.94599e-01,6.92667e-01,1.05751e-02,2.16
149,6.98945e-01,6.88000e-01,1.05483e-02,2.12
150,6.92532e-01,6.88333e-01,1.05704e-02,2.22
151,6.94670e-01,6.86333e-01,1.05684e-02,2.02
152,6.97877e-01,6.84333e-01,1.05534e-02,2.20
153,6.96523e-01,6.87333e-01,1.05616e-02,2.42
154,6.95881e-01,6.87333e-01,1.05568e-02,2.19
155,6.99658e-01,6.89667e-01,1.05546e-02,2.21
156,7.01796e-01,6.86667e-01,1.05496e-02,2.28
157,6.96665e-01,6.88333e-01,1.05632e-02,2.13
158,6.97663e-01,6.90000e-01,1.05535e-02,1.98
159,6.96594e-01,6.89333e-01,1.05555e-02,2.08
160,6.97734e-01,6.88667e-01,1.05502e-02,2.08
161,7.00086e-01,6.86667e-01,1.05438e-02,2.21
162,6.97663e-01,6.89667e-01,1.05487e-02,2.11
163,7.00584e-01,6.88667e-01,1.05405e-02,2.18
164,6.92746e-01,6.89333e-01,1.05791e-02,2.04
165,6.97307e-01,6.89333e-01,1.05584e-02,2.20
166,6.97520e-01,6.86333e-01,1.05568e-02,2.38
167,7.00513e-01,6.90333e-01,1.05426e-02,2.16
168,6.94670e-01,6.92333e-01,1.05624e-02,2.30
169,7.00014e-01,6.92000e-01,1.05487e-02,2.29
170,6.98090e-01,6.88667e-01,1.05576e-02,2.33
171,7.00086e-01,6.87333e-01,1.05463e-02,2.26
172,6.98945e-01,6.91667e-01,1.05429e-02,2.01
173,6.96950e-01,6.87333e-01,1.05555e-02,2.09
174,6.97592e-01,6.88333e-01,1.05508e-02,2.09
175,7.00727e-01,6.90000e-01,1.05443e-02,2.12
176,6.98732e-01,6.83333e-01,1.05466e-02,2.10
177,6.96736e-01,6.94667e-01,1.05529e-02,2.12
178,6.96808e-01,6.91000e-01,1.05461e-02,2.21
179,7.00584e-01,6.86333e-01,1.05414e-02,2.11
180,6.99017e-01,6.89667e-01,1.05438e-02,2.13
181,6.97877e-01,6.86667e-01,1.05516e-02,2.28
182,7.00584e-01,6.85667e-01,1.05402e-02,2.23
183,7.00014e-01,6.90000e-01,1.05459e-02,2.02
184,6.95953e-01,6.91333e-01,1.05569e-02,2.19
185,6.96879e-01,6.88333e-01,1.05436e-02,2.10
186,6.97022e-01,6.89000e-01,1.05530e-02,2.14
187,6.99159e-01,6.93333e-01,1.05443e-02,2.22
188,6.97093e-01,6.91333e-01,1.05502e-02,2.18
189,7.00584e-01,6.88333e-01,1.05472e-02,2.17
190,6.95953e-01,6.89333e-01,1.05594e-02,2.27
191,6.96024e-01,6.87000e-01,1.05494e-02,2.19
192,6.97592e-01,6.91667e-01,1.05569e-02,2.21
193,6.97449e-01,6.88667e-01,1.05455e-02,2.05
194,6.99943e-01,6.92333e-01,1.05363e-02,2.15
195,7.01297e-01,6.87333e-01,1.05353e-02,2.30
196,6.98589e-01,6.88333e-01,1.05481e-02,2.03
197,7.01796e-01,6.89000e-01,1.05277e-02,2.19
198,6.94528e-01,6.91667e-01,1.05556e-02,2.11
199,6.96309e-01,6.91667e-01,1.05536e-02,2.16
200,7.00086e-01,6.89333e-01,1.05364e-02,2.14
