epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,5.001961e-01,17.00000,20.00000,1175
1,1,4.071064e-01,16.00000,20.00000,568
1,2,3.690960e-01,21.00000,16.00000,496
1,3,3.440511e-01,33.00000,12.00000,539
1,4,3.199303e-01,26.00000,16.00000,492
1,5,3.087094e-01,25.00000,16.00000,489
1,6,2.932474e-01,18.00000,20.00000,496
1,7,2.773551e-01,21.00000,20.00000,489
1,8,2.716244e-01,13.00000,20.00000,469
1,9,2.594961e-01,26.00000,16.00000,499
1,10,2.578521e-01,26.00000,16.00000,500
1,11,2.447702e-01,25.00000,16.00000,503
1,12,2.389686e-01,26.00000,16.00000,501
1,13,2.333762e-01,24.00000,16.00000,488
1,14,2.285672e-01,27.00000,16.00000,506
1,15,2.276073e-01,17.00000,16.00000,451
1,16,2.199869e-01,24.00000,16.00000,492
1,17,2.089856e-01,24.00000,16.00000,493
1,18,2.139676e-01,11.00000,20.00000,436
1,19,2.025570e-01,25.00000,16.00000,498
1,20,1.979339e-01,25.00000,16.00000,497
1,21,1.966453e-01,24.00000,16.00000,496
1,22,1.968110e-01,22.00000,16.00000,480
1,23,1.850973e-01,22.00000,16.00000,480
1,24,1.832339e-01,17.00000,20.00000,470
1,25,1.766678e-01,14.00000,20.00000,451
1,26,1.791580e-01,23.00000,20.00000,505
1,27,1.875633e-01,8.00000,20.00000,423
1,28,1.769416e-01,16.00000,20.00000,464
1,29,1.724403e-01,25.00000,16.00000,499
1,30,1.698537e-01,17.00000,20.00000,470
1,31,1.618948e-01,21.00000,16.00000,468
1,32,1.550576e-01,23.00000,20.00000,504
1,33,1.560310e-01,20.00000,20.00000,498
1,34,1.600069e-01,19.00000,20.00000,482
1,35,1.519836e-01,26.00000,16.00000,494
1,36,1.528580e-01,25.00000,16.00000,495
1,37,1.687547e-01,16.00000,20.00000,471
1,38,1.729197e-01,21.00000,16.00000,477
1,39,1.618170e-01,34.00000,12.00000,540
1,40,1.520923e-01,23.00000,16.00000,492
1,41,1.586079e-01,21.00000,16.00000,477
1,42,1.548431e-01,20.00000,20.00000,489
1,43,1.652095e-01,26.00000,16.00000,510
1,44,1.742796e-01,16.00000,20.00000,469
1,45,1.493048e-01,26.00000,16.00000,498
1,46,1.738777e-01,21.00000,20.00000,495
1,47,1.699965e-01,35.00000,12.00000,621
1,48,1.703005e-01,24.00000,16.00000,496
1,49,1.538533e-01,35.00000,12.00000,544
1,50,1.769527e-01,20.00000,20.00000,483
1,51,1.772312e-01,15.00000,20.00000,464
