epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.870383e-01,20.00000,16.00000,1053
1,1,3.942018e-01,26.00000,16.00000,586
1,2,3.527099e-01,20.00000,20.00000,484
1,3,3.278766e-01,34.00000,12.00000,534
1,4,3.105880e-01,14.00000,20.00000,451
1,5,2.974768e-01,19.00000,20.00000,491
1,6,2.807208e-01,25.00000,16.00000,503
1,7,2.662578e-01,21.00000,20.00000,490
1,8,2.565745e-01,24.00000,16.00000,496
1,9,2.467027e-01,18.00000,20.00000,475
1,10,2.414539e-01,26.00000,16.00000,492
1,11,2.299550e-01,25.00000,16.00000,498
1,12,2.242452e-01,26.00000,16.00000,506
1,13,2.182346e-01,23.00000,16.00000,489
1,14,2.120116e-01,27.00000,16.00000,506
1,15,2.080127e-01,17.00000,16.00000,447
1,16,2.000717e-01,24.00000,16.00000,493
1,17,1.942106e-01,24.00000,16.00000,491
1,18,1.877994e-01,23.00000,16.00000,489
1,19,1.856061e-01,17.00000,20.00000,493
1,20,1.814722e-01,25.00000,16.00000,501
1,21,1.763594e-01,24.00000,16.00000,496
1,22,1.754206e-01,22.00000,16.00000,480
1,23,1.667571e-01,22.00000,16.00000,478
1,24,1.687591e-01,17.00000,20.00000,462
1,25,1.596330e-01,14.00000,20.00000,452
1,26,1.638347e-01,23.00000,20.00000,504
1,27,1.624245e-01,8.00000,20.00000,421
1,28,1.516919e-01,16.00000,20.00000,465
1,29,1.534260e-01,25.00000,16.00000,499
1,30,1.487936e-01,17.00000,20.00000,471
1,31,1.424351e-01,21.00000,16.00000,477
1,32,1.380364e-01,23.00000,20.00000,509
1,33,1.357885e-01,22.00000,20.00000,497
1,34,1.384977e-01,19.00000,20.00000,481
1,35,1.290110e-01,24.00000,16.00000,501
1,36,1.335414e-01,25.00000,16.00000,497
1,37,1.468733e-01,16.00000,20.00000,470
1,38,1.370355e-01,21.00000,16.00000,480
1,39,1.331252e-01,34.00000,12.00000,537
1,40,1.211258e-01,23.00000,16.00000,486
1,41,1.274374e-01,21.00000,16.00000,478
1,42,1.265085e-01,20.00000,20.00000,487
1,43,1.246501e-01,27.00000,16.00000,511
1,44,1.385595e-01,16.00000,20.00000,466
1,45,1.221707e-01,21.00000,16.00000,500
1,46,1.339047e-01,21.00000,20.00000,495
1,47,1.253784e-01,35.00000,12.00000,548
1,48,1.306499e-01,24.00000,16.00000,492
1,49,1.093683e-01,35.00000,12.00000,538
1,50,1.363793e-01,20.00000,20.00000,490
1,51,1.371928e-01,15.00000,20.00000,463
1,52,1.545528e-01,19.00000,20.00000,483
1,53,1.200273e-01,17.00000,20.00000,473
1,54,1.483725e-01,20.00000,16.00000,473
1,55,1.597183e-01,13.00000,20.00000,471
1,56,1.454715e-01,19.00000,20.00000,485
1,57,1.342714e-01,22.00000,16.00000,478
1,58,1.425719e-01,27.00000,16.00000,510
1,59,1.409823e-01,21.00000,16.00000,475
1,60,1.271520e-01,33.00000,12.00000,526
1,61,1.169497e-01,34.00000,12.00000,543
1,62,1.518618e-01,19.00000,20.00000,483
1,63,1.470869e-01,16.00000,20.00000,481
1,64,1.507340e-01,33.00000,12.00000,531
1,65,1.706659e-01,13.00000,20.00000,480
1,66,1.395450e-01,24.00000,16.00000,497
1,67,1.491939e-01,19.00000,20.00000,485
1,68,1.335744e-01,24.00000,16.00000,497
1,69,1.665670e-01,19.00000,20.00000,485
1,70,1.424095e-01,27.00000,16.00000,515
1,71,1.415932e-01,22.00000,16.00000,484
1,72,1.714528e-01,21.00000,16.00000,479
1,73,1.470746e-01,23.00000,16.00000,490
1,74,1.626994e-01,22.00000,20.00000,502
1,75,1.728584e-01,16.00000,20.00000,469
1,76,1.548378e-01,27.00000,16.00000,507
1,77,1.566470e-01,20.00000,16.00000,475
1,78,1.661659e-01,21.00000,16.00000,481
1,79,1.413832e-01,23.00000,16.00000,498
1,80,1.678901e-01,16.00000,20.00000,470
1,81,1.516977e-01,21.00000,20.00000,497
1,82,1.459149e-01,21.00000,16.00000,481
1,83,1.407036e-01,19.00000,20.00000,515
1,84,1.842591e-01,15.00000,20.00000,465
1,85,1.779856e-01,19.00000,20.00000,484
1,86,1.732416e-01,15.00000,20.00000,461
1,87,1.391769e-01,33.00000,12.00000,532
1,88,1.753872e-01,18.00000,20.00000,475
1,89,1.735949e-01,19.00000,20.00000,480
1,90,1.580690e-01,23.00000,16.00000,480
1,91,1.431358e-01,29.00000,16.00000,516
1,92,1.481478e-01,19.00000,20.00000,475
1,93,1.634354e-01,22.00000,16.00000,473
1,94,1.684450e-01,25.00000,16.00000,506
1,95,1.454993e-01,25.00000,16.00000,494
1,96,1.935515e-01,16.00000,20.00000,471
1,97,1.705351e-01,25.00000,16.00000,494
1,98,1.626794e-01,24.00000,16.00000,490
1,99,1.850560e-01,21.00000,16.00000,500
1,100,1.586865e-01,21.00000,16.00000,475
1,101,1.775152e-01,20.00000,16.00000,463
1,102,1.444634e-01,36.00000,12.00000,546
1,103,1.727273e-01,18.00000,20.00000,472
1,104,1.834799e-01,16.00000,20.00000,470
1,105,1.623407e-01,26.00000,16.00000,498
1,106,1.610308e-01,27.00000,16.00000,506
1,107,1.761162e-01,20.00000,20.00000,482
1,108,1.580347e-01,19.00000,20.00000,487
2,0,1.712556e-01,21.00000,16.00000,494
2,1,1.589778e-01,24.00000,16.00000,496
2,2,1.884440e-01,27.00000,16.00000,513
2,3,1.970567e-01,23.00000,16.00000,492
2,4,1.386440e-01,33.00000,12.00000,530
2,5,1.649667e-01,36.00000,12.00000,546
2,6,1.612966e-01,18.00000,20.00000,523
2,7,1.640484e-01,16.00000,20.00000,500
2,8,1.406188e-01,18.00000,20.00000,526
2,9,1.744691e-01,21.00000,16.00000,477
2,10,1.443854e-01,26.00000,16.00000,512
2,11,1.564120e-01,33.00000,12.00000,532
2,12,1.789987e-01,12.00000,20.00000,492
2,13,1.532895e-01,17.00000,20.00000,483
2,14,1.393039e-01,24.00000,16.00000,498
2,15,1.571189e-01,19.00000,20.00000,543
2,16,1.575995e-01,24.00000,16.00000,498
2,17,1.383763e-01,25.00000,16.00000,503
2,18,1.349313e-01,23.00000,16.00000,490
2,19,1.380775e-01,26.00000,16.00000,509
2,20,1.471786e-01,35.00000,12.00000,550
2,21,1.331410e-01,24.00000,16.00000,499
2,22,1.534971e-01,23.00000,16.00000,519
2,23,1.855240e-01,19.00000,20.00000,487
2,24,1.619352e-01,27.00000,16.00000,514
2,25,1.731908e-01,14.00000,20.00000,458
2,26,1.804841e-01,17.00000,16.00000,480
2,27,1.595255e-01,25.00000,16.00000,504
2,28,1.678550e-01,16.00000,20.00000,470
2,29,1.627143e-01,16.00000,20.00000,470
2,30,1.756920e-01,14.00000,20.00000,456
