epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,7.723636e-03,17.00000,20.00000,1585
1,1,6.300584e-03,16.00000,20.00000,543
1,2,5.643194e-03,20.00000,20.00000,482
1,3,5.277161e-03,21.00000,16.00000,462
1,4,4.949309e-03,26.00000,16.00000,500
1,5,4.790098e-03,19.00000,20.00000,491
1,6,4.522293e-03,25.00000,16.00000,487
1,7,4.277490e-03,35.00000,12.00000,535
1,8,4.164148e-03,13.00000,20.00000,493
1,9,3.967523e-03,26.00000,16.00000,496
1,10,3.924959e-03,26.00000,16.00000,495
1,11,3.733404e-03,25.00000,16.00000,493
1,12,3.650444e-03,26.00000,16.00000,491
1,13,3.547206e-03,24.00000,16.00000,490
1,14,3.469354e-03,27.00000,16.00000,503
1,15,3.415556e-03,17.00000,16.00000,450
1,16,3.303043e-03,24.00000,16.00000,488
1,17,3.171439e-03,24.00000,16.00000,491
1,18,3.105014e-03,23.00000,16.00000,485
1,19,3.012808e-03,25.00000,16.00000,493
1,20,2.953384e-03,18.00000,20.00000,496
1,21,2.909070e-03,24.00000,16.00000,479
1,22,2.988386e-03,22.00000,16.00000,479
1,23,2.765515e-03,22.00000,16.00000,477
1,24,2.777075e-03,17.00000,20.00000,468
1,25,2.657970e-03,14.00000,20.00000,439
1,26,2.712909e-03,23.00000,20.00000,500
1,27,2.768728e-03,8.00000,20.00000,420
1,28,2.576257e-03,16.00000,20.00000,462
1,29,2.651004e-03,25.00000,16.00000,497
1,30,2.495724e-03,17.00000,20.00000,470
1,31,2.396680e-03,21.00000,16.00000,479
1,32,2.313456e-03,23.00000,20.00000,503
1,33,2.319445e-03,20.00000,20.00000,495
1,34,2.359898e-03,19.00000,20.00000,479
1,35,2.212883e-03,26.00000,16.00000,497
1,36,2.270322e-03,25.00000,16.00000,499
1,37,2.353935e-03,16.00000,20.00000,464
1,38,2.401834e-03,21.00000,16.00000,474
1,39,2.253368e-03,34.00000,12.00000,534
1,40,2.177602e-03,23.00000,16.00000,483
1,41,2.223773e-03,21.00000,16.00000,478
1,42,2.118230e-03,20.00000,20.00000,486
1,43,2.250869e-03,26.00000,16.00000,498
1,44,2.412770e-03,16.00000,20.00000,465
1,45,2.129619e-03,26.00000,16.00000,501
1,46,2.352645e-03,21.00000,20.00000,490
1,47,2.275713e-03,35.00000,12.00000,533
1,48,2.257284e-03,24.00000,16.00000,492
1,49,2.087086e-03,35.00000,12.00000,540
1,50,2.349763e-03,20.00000,20.00000,489
1,51,2.381621e-03,15.00000,20.00000,457
1,52,2.621788e-03,19.00000,20.00000,481
1,53,2.021317e-03,14.00000,20.00000,472
1,54,2.585431e-03,20.00000,16.00000,472
1,55,2.656438e-03,17.00000,20.00000,467
1,56,2.422926e-03,19.00000,20.00000,481
1,57,2.396218e-03,22.00000,16.00000,479
1,58,2.373677e-03,27.00000,16.00000,509
1,59,2.559503e-03,21.00000,16.00000,480
1,60,2.260869e-03,33.00000,12.00000,525
1,61,2.130662e-03,34.00000,12.00000,538
1,62,2.471422e-03,19.00000,20.00000,478
1,63,2.471270e-03,19.00000,20.00000,479
1,64,2.823635e-03,33.00000,12.00000,525
1,65,2.808716e-03,19.00000,20.00000,475
1,66,2.796300e-03,24.00000,16.00000,494
1,67,2.863193e-03,19.00000,20.00000,481
1,68,2.391072e-03,24.00000,16.00000,495
1,69,2.925577e-03,15.00000,20.00000,481
1,70,2.783832e-03,27.00000,16.00000,510
1,71,2.716626e-03,22.00000,16.00000,481
1,72,3.018639e-03,21.00000,16.00000,479
1,73,2.904723e-03,21.00000,16.00000,489
1,74,3.148491e-03,22.00000,20.00000,497
1,75,3.036735e-03,12.00000,20.00000,466
1,76,2.694382e-03,27.00000,16.00000,507
1,77,3.052320e-03,20.00000,16.00000,491
1,78,2.925461e-03,21.00000,16.00000,476
1,79,2.755857e-03,24.00000,16.00000,496
1,80,3.093707e-03,16.00000,20.00000,466
1,81,2.678772e-03,21.00000,20.00000,496
1,82,2.800781e-03,21.00000,16.00000,477
1,83,2.566920e-03,25.00000,20.00000,513
1,84,3.264091e-03,15.00000,20.00000,462
1,85,3.052617e-03,14.00000,20.00000,483
1,86,2.824601e-03,15.00000,20.00000,463
1,87,2.799770e-03,33.00000,12.00000,529
1,88,3.023962e-03,18.00000,20.00000,476
1,89,2.925194e-03,18.00000,20.00000,473
1,90,2.844180e-03,23.00000,16.00000,483
1,91,2.725177e-03,29.00000,16.00000,524
1,92,2.770826e-03,19.00000,20.00000,473
1,93,3.012785e-03,22.00000,16.00000,473
1,94,2.883747e-03,25.00000,16.00000,493
1,95,2.763070e-03,23.00000,16.00000,493
1,96,3.312038e-03,16.00000,20.00000,458
1,97,2.881527e-03,25.00000,16.00000,493
1,98,3.040415e-03,24.00000,16.00000,485
1,99,3.133784e-03,25.00000,16.00000,489
1,100,2.942613e-03,21.00000,16.00000,480
1,101,3.107866e-03,20.00000,16.00000,465
1,102,2.674438e-03,36.00000,12.00000,544
1,103,3.053655e-03,18.00000,20.00000,471
1,104,3.132490e-03,16.00000,20.00000,458
1,105,2.804683e-03,21.00000,16.00000,496
1,106,3.199367e-03,25.00000,16.00000,505
1,107,3.077216e-03,20.00000,20.00000,482
1,108,2.714179e-03,19.00000,20.00000,475
2,0,3.049030e-03,17.00000,20.00000,2041
2,1,2.997361e-03,20.00000,20.00000,490
2,2,3.476958e-03,36.00000,12.00000,542
2,3,3.278523e-03,16.00000,20.00000,487
2,4,2.963168e-03,21.00000,16.00000,470
2,5,3.073718e-03,24.00000,16.00000,488
2,6,2.960184e-03,24.00000,16.00000,485
2,7,2.853730e-03,34.00000,12.00000,546
2,8,2.833469e-03,21.00000,16.00000,476
2,9,3.138681e-03,21.00000,16.00000,517
2,10,2.715303e-03,26.00000,16.00000,508
2,11,2.969134e-03,33.00000,12.00000,524
2,12,2.953092e-03,24.00000,16.00000,495
2,13,2.708955e-03,17.00000,20.00000,494
2,14,2.655678e-03,35.00000,12.00000,540
2,15,3.065538e-03,21.00000,16.00000,481
2,16,2.638118e-03,23.00000,16.00000,490
2,17,2.875144e-03,25.00000,16.00000,547
2,18,2.633443e-03,23.00000,16.00000,492
2,19,2.820553e-03,19.00000,20.00000,483
2,20,2.825126e-03,20.00000,20.00000,505
2,21,2.327562e-03,24.00000,16.00000,498
2,22,2.584811e-03,29.00000,16.00000,520
2,23,3.043610e-03,19.00000,20.00000,487
2,24,2.794965e-03,23.00000,20.00000,516
2,25,3.131578e-03,20.00000,16.00000,482
2,26,3.153627e-03,21.00000,16.00000,480
2,27,2.790309e-03,25.00000,16.00000,500
2,28,2.838424e-03,16.00000,20.00000,469
2,29,2.930419e-03,16.00000,20.00000,459
