epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,1.048321e+00,17.00000,20.00000,1307
1,1,6.760562e-01,26.00000,16.00000,641
1,2,5.422941e-01,21.00000,16.00000,540
1,3,4.588856e-01,18.00000,20.00000,558
1,4,4.000918e-01,26.00000,16.00000,576
1,5,3.626648e-01,19.00000,20.00000,550
1,6,3.171349e-01,18.00000,20.00000,569
1,7,2.801686e-01,35.00000,12.00000,607
1,8,2.734516e-01,24.00000,16.00000,585
1,9,2.562735e-01,18.00000,20.00000,540
1,10,2.514073e-01,26.00000,16.00000,587
1,11,2.343501e-01,25.00000,16.00000,574
1,12,2.277198e-01,26.00000,16.00000,582
1,13,2.224855e-01,20.00000,20.00000,545
1,14,2.172144e-01,27.00000,16.00000,560
1,15,2.129602e-01,17.00000,16.00000,515
1,16,2.031638e-01,24.00000,16.00000,579
1,17,1.942224e-01,24.00000,16.00000,547
1,18,1.834966e-01,23.00000,16.00000,557
1,19,1.744275e-01,25.00000,16.00000,575
1,20,1.716732e-01,25.00000,16.00000,585
1,21,1.681746e-01,24.00000,16.00000,557
1,22,1.669401e-01,22.00000,16.00000,551
1,23,1.571710e-01,22.00000,16.00000,539
1,24,1.587524e-01,17.00000,20.00000,558
1,25,1.511099e-01,14.00000,20.00000,514
1,26,1.524071e-01,23.00000,20.00000,578
1,27,1.568988e-01,8.00000,20.00000,485
1,28,1.449917e-01,16.00000,20.00000,532
1,29,1.384420e-01,25.00000,16.00000,576
1,30,1.369251e-01,17.00000,20.00000,551
1,31,1.295572e-01,21.00000,16.00000,543
1,32,1.262290e-01,23.00000,20.00000,559
1,33,1.297041e-01,22.00000,20.00000,585
1,34,1.303084e-01,19.00000,20.00000,551
1,35,1.194941e-01,24.00000,16.00000,578
1,36,1.238753e-01,25.00000,16.00000,581
1,37,1.382294e-01,16.00000,20.00000,551
1,38,1.432170e-01,21.00000,16.00000,550
1,39,1.259278e-01,34.00000,12.00000,596
1,40,1.280667e-01,23.00000,16.00000,552
1,41,1.355892e-01,21.00000,16.00000,584
1,42,1.215853e-01,20.00000,20.00000,561
1,43,1.313131e-01,27.00000,16.00000,567
1,44,1.437456e-01,16.00000,20.00000,533
1,45,1.139153e-01,21.00000,16.00000,599
1,46,1.481701e-01,21.00000,20.00000,574
1,47,1.143675e-01,35.00000,12.00000,602
1,48,1.298558e-01,24.00000,16.00000,560
1,49,1.203592e-01,35.00000,12.00000,637
1,50,1.312609e-01,20.00000,20.00000,579
1,51,1.394390e-01,15.00000,20.00000,527
1,52,1.674604e-01,19.00000,20.00000,562
1,53,1.104706e-01,17.00000,20.00000,562
1,54,1.488058e-01,20.00000,16.00000,543
1,55,1.629463e-01,13.00000,20.00000,530
1,56,1.383923e-01,19.00000,20.00000,560
1,57,1.376823e-01,22.00000,16.00000,554
1,58,1.305784e-01,27.00000,16.00000,580
1,59,1.429780e-01,21.00000,16.00000,555
1,60,1.208851e-01,33.00000,12.00000,610
1,61,1.076543e-01,34.00000,12.00000,615
1,62,1.378548e-01,19.00000,20.00000,563
1,63,1.356679e-01,16.00000,20.00000,540
1,64,1.457044e-01,33.00000,12.00000,598
1,65,1.597377e-01,13.00000,20.00000,557
1,66,1.433563e-01,24.00000,16.00000,555
1,67,1.496435e-01,19.00000,20.00000,553
