epoch,train_accuracy,val_accuracy,loss,time
1,3.26279e-01,5.21333e-01,1.33475e-02,2.34
2,5.34701e-01,5.94333e-01,1.19683e-02,2.22
3,5.83583e-01,6.27333e-01,1.15834e-02,2.08
4,6.08593e-01,6.38333e-01,1.13656e-02,2.11
5,6.23130e-01,6.38000e-01,1.12394e-02,2.22
6,6.31039e-01,6.39000e-01,1.11624e-02,2.26
7,6.37309e-01,6.47667e-01,1.11135e-02,2.30
8,6.43580e-01,6.48000e-01,1.10568e-02,2.17
9,6.47998e-01,6.56667e-01,1.10247e-02,2.38
10,6.52701e-01,6.56333e-01,1.09853e-02,2.42
11,6.51632e-01,6.59333e-01,1.09754e-02,2.28
12,6.56905e-01,6.61333e-01,1.09375e-02,2.09
13,6.56548e-01,6.64000e-01,1.09331e-02,2.10
14,6.64030e-01,6.66667e-01,1.08957e-02,2.19
15,6.60824e-01,6.68667e-01,1.09040e-02,2.03
16,6.64173e-01,6.75000e-01,1.08770e-02,2.21
17,6.65099e-01,6.75333e-01,1.08627e-02,1.68
18,6.65598e-01,6.73667e-01,1.08467e-02,1.60
19,6.70372e-01,6.72333e-01,1.08268e-02,1.56
20,6.74576e-01,6.77000e-01,1.08075e-02,1.57
21,6.75289e-01,6.75333e-01,1.08019e-02,1.58
22,6.77141e-01,6.78333e-01,1.07811e-02,1.57
23,6.78495e-01,6.77667e-01,1.07890e-02,1.57
24,6.79136e-01,6.73333e-01,1.07729e-02,1.57
25,6.82200e-01,6.73667e-01,1.07524e-02,1.61
26,6.78851e-01,6.81667e-01,1.07627e-02,1.63
27,6.82200e-01,6.79000e-01,1.07444e-02,1.60
28,6.80419e-01,6.80000e-01,1.07457e-02,1.59
29,6.78638e-01,6.79333e-01,1.07444e-02,1.65
30,6.84053e-01,6.83333e-01,1.07190e-02,1.58
31,6.86689e-01,6.82667e-01,1.07070e-02,1.58
32,6.84267e-01,6.80333e-01,1.07140e-02,1.61
33,6.83412e-01,6.83667e-01,1.07112e-02,1.59
34,6.82699e-01,6.78333e-01,1.07132e-02,1.59
35,6.85122e-01,6.85000e-01,1.07054e-02,1.58
36,6.88685e-01,6.85667e-01,1.06982e-02,1.59
37,6.87972e-01,6.86000e-01,1.06825e-02,1.61
38,6.90110e-01,6.80667e-01,1.06741e-02,1.60
39,6.88471e-01,6.82333e-01,1.06791e-02,1.59
40,6.91891e-01,6.83667e-01,1.06667e-02,1.61
41,6.88328e-01,6.93667e-01,1.06705e-02,1.60
42,6.90537e-01,6.83333e-01,1.06617e-02,1.60
43,6.90181e-01,6.94000e-01,1.06663e-02,1.62
44,6.91962e-01,6.90000e-01,1.06576e-02,1.60
45,6.88542e-01,6.83667e-01,1.06628e-02,1.60
46,6.91962e-01,6.85667e-01,1.06522e-02,1.65
47,6.88400e-01,6.92333e-01,1.06548e-02,1.61
48,6.91962e-01,6.86000e-01,1.06491e-02,1.59
49,6.93031e-01,6.83000e-01,1.06435e-02,1.63
50,6.92532e-01,6.93667e-01,1.06403e-02,1.61
51,6.88827e-01,6.90667e-01,1.06472e-02,1.60
52,6.95383e-01,6.91667e-01,1.06382e-02,1.87
53,6.95810e-01,6.90000e-01,1.06254e-02,1.70
54,6.97164e-01,6.90667e-01,1.06160e-02,1.69
55,6.93387e-01,6.93333e-01,1.06221e-02,1.64
56,6.95953e-01,6.96000e-01,1.06174e-02,1.62
57,6.93387e-01,7.00000e-01,1.06114e-02,1.61
58,6.93601e-01,6.84333e-01,1.06161e-02,1.65
59,6.93815e-01,6.89333e-01,1.06208e-02,1.67
60,6.96238e-01,6.98667e-01,1.06080e-02,1.76
61,6.95098e-01,6.93667e-01,1.06190e-02,1.80
62,6.96665e-01,6.94333e-01,1.06054e-02,2.29
63,6.98447e-01,6.96000e-01,1.05897e-02,2.20
64,6.98447e-01,6.92667e-01,1.05998e-02,2.43
65,6.96309e-01,6.97667e-01,1.06063e-02,2.20
66,6.96523e-01,6.98333e-01,1.05927e-02,2.26
67,6.95240e-01,7.01667e-01,1.06030e-02,2.29
68,7.00513e-01,6.91333e-01,1.05807e-02,2.17
69,6.97520e-01,6.99000e-01,1.05874e-02,2.31
70,6.98019e-01,7.00000e-01,1.05901e-02,2.18
71,6.99800e-01,6.95333e-01,1.05844e-02,2.29
72,6.99088e-01,6.97667e-01,1.05807e-02,2.35
73,6.97307e-01,6.99000e-01,1.05869e-02,2.38
74,6.99658e-01,6.98667e-01,1.05768e-02,2.16
75,6.97022e-01,6.98667e-01,1.05880e-02,2.30
76,7.02366e-01,6.99667e-01,1.05748e-02,2.13
77,7.01012e-01,7.03333e-01,1.05681e-02,2.11
78,7.01226e-01,6.94667e-01,1.05675e-02,2.07
79,7.01226e-01,6.96667e-01,1.05684e-02,2.11
80,7.02152e-01,6.90667e-01,1.05599e-02,2.14
81,6.98945e-01,7.05000e-01,1.05723e-02,2.18
82,7.02009e-01,7.00000e-01,1.05560e-02,2.17
83,6.99729e-01,6.97000e-01,1.05644e-02,2.21
84,7.00513e-01,7.02333e-01,1.05733e-02,2.31
85,7.00869e-01,7.04000e-01,1.05589e-02,2.08
86,7.02793e-01,7.03000e-01,1.05589e-02,2.18
87,6.99230e-01,7.00667e-01,1.05626e-02,2.31
88,7.02722e-01,7.02000e-01,1.05557e-02,2.14
89,7.01012e-01,6.98333e-01,1.05552e-02,2.01
90,7.01368e-01,7.05000e-01,1.05506e-02,2.20
91,7.02936e-01,7.02667e-01,1.05544e-02,2.11
92,7.01511e-01,7.04667e-01,1.05618e-02,2.34
93,7.03862e-01,7.03667e-01,1.05446e-02,2.14
94,7.01582e-01,7.05667e-01,1.05578e-02,2.30
95,6.99800e-01,6.98000e-01,1.05701e-02,2.12
96,7.02864e-01,6.89667e-01,1.05533e-02,2.35
97,7.04717e-01,7.03667e-01,1.05337e-02,2.14
98,7.03862e-01,6.98667e-01,1.05473e-02,2.12
99,7.05002e-01,7.05333e-01,1.05343e-02,2.39
100,7.08636e-01,7.03000e-01,1.05254e-02,2.38
101,7.03577e-01,7.00333e-01,1.05392e-02,2.29
102,7.04147e-01,7.02000e-01,1.05306e-02,2.11
103,7.03862e-01,7.05667e-01,1.05348e-02,2.06
104,7.04076e-01,7.03667e-01,1.05297e-02,2.37
105,7.03221e-01,7.02333e-01,1.05455e-02,2.19
106,7.02437e-01,7.03667e-01,1.05383e-02,2.43
107,7.03007e-01,6.99000e-01,1.05312e-02,2.24
108,7.05430e-01,7.04000e-01,1.05185e-02,2.34
109,7.04575e-01,7.02000e-01,1.05290e-02,2.24
110,7.03791e-01,7.04667e-01,1.05336e-02,2.06
111,7.05857e-01,7.04000e-01,1.05254e-02,2.13
112,7.03363e-01,7.01667e-01,1.05364e-02,2.14
113,7.05786e-01,7.07000e-01,1.05148e-02,2.13
114,7.06855e-01,7.07667e-01,1.05159e-02,2.17
115,7.04005e-01,6.95667e-01,1.05360e-02,2.10
116,7.03791e-01,6.98333e-01,1.05348e-02,2.34
