epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.869364e-01,17.00000,20.00000,964
1,1,3.945448e-01,16.00000,20.00000,487
1,2,3.524079e-01,21.00000,16.00000,438
1,3,3.276850e-01,23.00000,16.00000,440
1,4,3.089628e-01,26.00000,16.00000,488
1,5,2.973814e-01,19.00000,20.00000,433
1,6,2.803727e-01,33.00000,12.00000,480
1,7,2.645226e-01,21.00000,20.00000,450
1,8,2.573666e-01,24.00000,16.00000,445
1,9,2.463019e-01,18.00000,20.00000,431
1,10,2.410383e-01,26.00000,16.00000,457
1,11,2.296222e-01,25.00000,16.00000,451
1,12,2.235687e-01,26.00000,16.00000,459
1,13,2.169751e-01,23.00000,16.00000,444
1,14,2.125690e-01,27.00000,16.00000,466
1,15,2.077589e-01,17.00000,16.00000,409
1,16,2.006827e-01,24.00000,16.00000,448
1,17,1.938943e-01,24.00000,16.00000,448
1,18,1.877960e-01,23.00000,16.00000,444
1,19,1.845325e-01,17.00000,20.00000,448
1,20,1.788365e-01,25.00000,16.00000,454
1,21,1.753096e-01,24.00000,16.00000,449
1,22,1.732753e-01,22.00000,16.00000,437
1,23,1.680712e-01,22.00000,16.00000,436
1,24,1.639894e-01,17.00000,20.00000,426
1,25,1.646622e-01,14.00000,20.00000,407
1,26,1.552311e-01,23.00000,20.00000,460
1,27,1.685638e-01,8.00000,20.00000,378
1,28,1.522134e-01,16.00000,20.00000,422
1,29,1.473774e-01,25.00000,16.00000,455
1,30,1.487599e-01,17.00000,20.00000,427
1,31,1.380123e-01,21.00000,16.00000,431
1,32,1.383097e-01,23.00000,20.00000,460
1,33,1.338470e-01,22.00000,20.00000,454
1,34,1.365087e-01,19.00000,20.00000,435
1,35,1.299359e-01,24.00000,16.00000,454
1,36,1.306737e-01,25.00000,16.00000,456
1,37,1.435080e-01,16.00000,20.00000,423
1,38,1.421899e-01,21.00000,16.00000,434
1,39,1.294486e-01,34.00000,12.00000,606
1,40,1.298572e-01,23.00000,16.00000,445
1,41,1.252457e-01,21.00000,16.00000,433
1,42,1.255846e-01,20.00000,20.00000,445
1,43,1.330596e-01,27.00000,16.00000,467
1,44,1.377728e-01,16.00000,20.00000,423
1,45,1.265648e-01,21.00000,16.00000,455
1,46,1.389426e-01,21.00000,20.00000,451
1,47,1.224372e-01,35.00000,12.00000,503
1,48,1.303175e-01,24.00000,16.00000,452
1,49,1.152731e-01,35.00000,12.00000,504
1,50,1.383358e-01,20.00000,20.00000,445
1,51,1.351766e-01,15.00000,20.00000,416
1,52,1.555210e-01,19.00000,20.00000,441
1,53,1.188677e-01,17.00000,20.00000,430
1,54,1.577256e-01,20.00000,16.00000,429
1,55,1.587920e-01,13.00000,20.00000,426
1,56,1.394903e-01,19.00000,20.00000,439
1,57,1.395148e-01,22.00000,16.00000,440
1,58,1.405459e-01,27.00000,16.00000,468
1,59,1.445488e-01,21.00000,16.00000,436
1,60,1.255894e-01,33.00000,12.00000,485
1,61,1.172268e-01,34.00000,12.00000,498
1,62,1.463708e-01,19.00000,20.00000,440
1,63,1.428986e-01,16.00000,20.00000,436
1,64,1.537965e-01,33.00000,12.00000,488
1,65,1.720556e-01,13.00000,20.00000,432
1,66,1.422393e-01,24.00000,16.00000,455
1,67,1.522701e-01,19.00000,20.00000,442
1,68,1.361177e-01,24.00000,16.00000,453
1,69,1.692283e-01,19.00000,20.00000,443
