epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.870984e-01,17.00000,20.00000,896
1,1,4.073779e-01,26.00000,16.00000,491
1,2,3.596107e-01,34.00000,12.00000,484
1,3,3.294356e-01,21.00000,16.00000,427
1,4,3.084871e-01,26.00000,16.00000,453
1,5,3.018491e-01,19.00000,20.00000,433
1,6,2.935173e-01,18.00000,20.00000,431
1,7,2.907289e-01,21.00000,20.00000,453
1,8,2.962625e-01,13.00000,20.00000,402
1,9,2.995021e-01,26.00000,16.00000,500
1,10,3.017471e-01,26.00000,16.00000,451
1,11,2.990301e-01,25.00000,16.00000,453
1,12,2.977383e-01,26.00000,16.00000,456
1,13,2.896692e-01,24.00000,16.00000,444
1,14,2.763066e-01,27.00000,16.00000,460
1,15,2.645620e-01,17.00000,16.00000,409
1,16,2.455488e-01,24.00000,16.00000,449
1,17,2.295242e-01,19.00000,20.00000,447
1,18,2.194879e-01,23.00000,16.00000,442
1,19,2.057405e-01,25.00000,16.00000,451
1,20,1.974733e-01,25.00000,16.00000,457
1,21,1.878232e-01,24.00000,16.00000,447
1,22,1.832641e-01,22.00000,16.00000,436
1,23,1.606708e-01,22.00000,16.00000,435
1,24,1.589608e-01,17.00000,20.00000,426
1,25,1.415204e-01,14.00000,20.00000,406
1,26,1.331854e-01,23.00000,20.00000,460
1,27,1.394061e-01,8.00000,20.00000,376
1,28,1.217216e-01,16.00000,20.00000,421
1,29,1.143286e-01,25.00000,16.00000,453
1,30,1.016549e-01,17.00000,20.00000,428
1,31,8.911247e-02,21.00000,16.00000,435
1,32,7.687648e-02,23.00000,20.00000,459
1,33,7.241550e-02,20.00000,20.00000,450
1,34,6.823484e-02,19.00000,20.00000,436
1,35,6.117473e-02,26.00000,16.00000,454
1,36,5.419793e-02,25.00000,16.00000,455
1,37,6.071543e-02,16.00000,20.00000,422
1,38,5.537777e-02,21.00000,16.00000,433
1,39,4.566249e-02,34.00000,12.00000,493
1,40,4.591033e-02,23.00000,16.00000,446
1,41,4.472824e-02,21.00000,16.00000,434
1,42,4.278173e-02,20.00000,20.00000,442
1,43,3.761131e-02,26.00000,16.00000,465
1,44,4.829066e-02,16.00000,20.00000,423
1,45,4.382816e-02,26.00000,16.00000,456
1,46,5.193707e-02,21.00000,20.00000,448
1,47,3.496792e-02,35.00000,12.00000,502
1,48,4.634608e-02,24.00000,16.00000,453
1,49,4.492251e-02,35.00000,12.00000,502
1,50,4.995637e-02,20.00000,20.00000,443
1,51,6.908558e-02,15.00000,20.00000,419
1,52,5.806158e-02,19.00000,20.00000,437
1,53,5.777106e-02,14.00000,20.00000,429
1,54,5.332949e-02,20.00000,16.00000,428
1,55,6.745991e-02,17.00000,20.00000,425
1,56,5.955581e-02,19.00000,20.00000,440
1,57,5.406760e-02,22.00000,16.00000,439
1,58,5.774084e-02,27.00000,16.00000,468
1,59,7.695929e-02,21.00000,16.00000,436
1,60,5.141160e-02,33.00000,12.00000,483
1,61,4.815509e-02,34.00000,12.00000,497
1,62,7.049662e-02,19.00000,20.00000,440
1,63,6.375973e-02,19.00000,20.00000,437
1,64,4.213458e-02,33.00000,12.00000,485
1,65,9.623769e-02,19.00000,20.00000,435
1,66,5.743781e-02,24.00000,16.00000,452
1,67,5.626490e-02,19.00000,20.00000,439
1,68,3.722969e-02,24.00000,16.00000,453
1,69,7.004062e-02,15.00000,20.00000,439
1,70,4.244272e-02,27.00000,16.00000,469
1,71,3.605793e-02,22.00000,16.00000,441
1,72,3.234182e-02,21.00000,16.00000,436
1,73,4.792289e-02,21.00000,16.00000,447
1,74,3.063293e-02,22.00000,20.00000,455
1,75,4.399311e-02,12.00000,20.00000,425
1,76,2.441301e-02,27.00000,16.00000,468
1,77,4.015965e-02,20.00000,16.00000,432
1,78,5.020932e-02,21.00000,16.00000,436
1,79,3.950881e-02,24.00000,16.00000,452
1,80,4.936153e-02,16.00000,20.00000,424
1,81,3.552909e-02,21.00000,20.00000,450
1,82,3.367102e-02,21.00000,16.00000,438
1,83,3.045964e-02,25.00000,20.00000,469
1,84,3.838250e-02,15.00000,20.00000,420
1,85,3.237004e-02,14.00000,20.00000,442
1,86,4.297608e-02,15.00000,20.00000,421
1,87,2.908137e-02,33.00000,12.00000,488
1,88,3.878461e-02,18.00000,20.00000,438
1,89,3.871685e-02,18.00000,20.00000,442
1,90,3.520273e-02,23.00000,16.00000,449
1,91,2.579091e-02,29.00000,16.00000,479
1,92,4.633033e-02,19.00000,20.00000,442
1,93,4.674229e-02,22.00000,16.00000,441
1,94,4.414809e-02,25.00000,16.00000,460
1,95,4.009294e-02,23.00000,16.00000,461
1,96,6.713682e-02,16.00000,20.00000,427
1,97,4.610723e-02,25.00000,16.00000,459
1,98,4.856677e-02,24.00000,16.00000,454
1,99,6.227755e-02,25.00000,16.00000,455
1,100,7.015292e-02,21.00000,16.00000,438
1,101,5.699317e-02,20.00000,16.00000,431
1,102,3.720725e-02,36.00000,12.00000,512
1,103,5.650377e-02,18.00000,20.00000,438
1,104,7.300113e-02,16.00000,20.00000,427
1,105,4.796866e-02,21.00000,16.00000,465
1,106,5.194271e-02,25.00000,16.00000,472
1,107,5.531810e-02,20.00000,20.00000,449
1,108,5.304065e-02,19.00000,20.00000,442
