epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.870620e-01,16.00000,20.00000,1373
1,1,3.949894e-01,14.00000,20.00000,753
1,2,3.523769e-01,17.00000,16.00000,673
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.867842e-01,16.00000,20.00000,549
1,1,3.954132e-01,19.00000,20.00000,313
1,2,3.519441e-01,20.00000,16.00000,296
1,3,3.276076e-01,19.00000,20.00000,297
1,4,3.098125e-01,24.00000,16.00000,296
1,5,2.995642e-01,20.00000,20.00000,291
1,6,2.813838e-01,26.00000,16.00000,323
1,7,2.684998e-01,23.00000,16.00000,297
1,8,2.532271e-01,22.00000,20.00000,304
1,9,2.471424e-01,35.00000,12.00000,320
1,10,2.442161e-01,25.00000,16.00000,300
1,11,2.324915e-01,21.00000,20.00000,300
1,12,2.226846e-01,27.00000,16.00000,304
1,13,2.210134e-01,23.00000,16.00000,295
1,14,2.074443e-01,27.00000,16.00000,301
1,15,2.001978e-01,29.00000,16.00000,310
1,16,2.046636e-01,28.00000,16.00000,306
1,17,1.950459e-01,26.00000,16.00000,300
1,18,1.922131e-01,24.00000,16.00000,297
1,19,1.777331e-01,27.00000,16.00000,303
1,20,1.809706e-01,21.00000,16.00000,289
1,21,1.832517e-01,21.00000,16.00000,291
1,22,1.717745e-01,25.00000,16.00000,301
1,23,1.678609e-01,23.00000,16.00000,297
1,24,1.599133e-01,17.00000,20.00000,289
1,25,1.632091e-01,17.00000,20.00000,288
1,26,1.522840e-01,19.00000,20.00000,292
1,27,1.528484e-01,23.00000,20.00000,303
1,28,1.500966e-01,19.00000,20.00000,294
1,29,1.382583e-01,27.00000,16.00000,304
1,30,1.523654e-01,20.00000,20.00000,294
1,31,1.415032e-01,27.00000,16.00000,304
1,32,1.414259e-01,20.00000,20.00000,297
1,33,1.534153e-01,18.00000,20.00000,289
1,34,1.307493e-01,19.00000,20.00000,293
1,35,1.348560e-01,27.00000,16.00000,306
1,36,1.236858e-01,29.00000,16.00000,311
1,37,1.269793e-01,19.00000,20.00000,293
1,38,1.320256e-01,23.00000,16.00000,297
1,39,1.120621e-01,33.00000,12.00000,314
1,40,1.281832e-01,26.00000,16.00000,301
1,41,1.173318e-01,23.00000,16.00000,297
1,42,1.313644e-01,23.00000,20.00000,304
1,43,1.114229e-01,31.00000,16.00000,321
1,44,1.478261e-01,20.00000,20.00000,295
1,45,1.215173e-01,29.00000,16.00000,314
