epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.725227e-01,20.00000,20.00000,857
1,1,3.800457e-01,17.00000,20.00000,426
1,2,3.396754e-01,21.00000,20.00000,438
1,3,3.158658e-01,27.00000,16.00000,407
1,4,2.962272e-01,26.00000,16.00000,403
1,5,2.842647e-01,20.00000,16.00000,385
1,6,2.693061e-01,36.00000,12.00000,435
1,7,2.517994e-01,23.00000,16.00000,398
1,8,2.428592e-01,19.00000,20.00000,390
1,9,2.345800e-01,18.00000,20.00000,388
1,10,2.290953e-01,21.00000,16.00000,391
1,11,2.146627e-01,25.00000,16.00000,403
1,12,2.116014e-01,17.00000,16.00000,397
1,13,2.007340e-01,28.00000,16.00000,413
1,14,1.964904e-01,27.00000,16.00000,412
1,15,1.880436e-01,25.00000,16.00000,404
1,16,1.890786e-01,23.00000,16.00000,397
1,17,1.807933e-01,23.00000,16.00000,397
1,18,1.771895e-01,21.00000,16.00000,391
1,19,1.705352e-01,21.00000,20.00000,397
1,20,1.714761e-01,26.00000,16.00000,406
1,21,1.631499e-01,21.00000,16.00000,385
1,22,1.590434e-01,25.00000,16.00000,402
1,23,1.524846e-01,21.00000,16.00000,392
1,24,1.591433e-01,18.00000,20.00000,387
1,25,1.513009e-01,18.00000,20.00000,389
1,26,1.466057e-01,18.00000,20.00000,389
1,27,1.455776e-01,14.00000,20.00000,376
1,28,1.384328e-01,20.00000,20.00000,396
1,29,1.337786e-01,20.00000,16.00000,385
1,30,1.513830e-01,12.00000,20.00000,372
1,31,1.304021e-01,25.00000,16.00000,405
1,32,1.425219e-01,16.00000,20.00000,384
1,33,1.296991e-01,17.00000,20.00000,386
1,34,1.296501e-01,19.00000,20.00000,394
1,35,1.250416e-01,20.00000,16.00000,387
1,36,1.298787e-01,26.00000,16.00000,413
1,37,1.370094e-01,17.00000,20.00000,386
1,38,1.319793e-01,20.00000,16.00000,388
1,39,1.130453e-01,33.00000,12.00000,428
1,40,1.124253e-01,23.00000,16.00000,399
1,41,1.211964e-01,29.00000,16.00000,420
1,42,1.136788e-01,20.00000,20.00000,401
1,43,1.231776e-01,26.00000,16.00000,411
1,44,1.198055e-01,21.00000,20.00000,399
1,45,1.119563e-01,20.00000,16.00000,384
1,46,1.309711e-01,20.00000,20.00000,396
1,47,1.161061e-01,33.00000,12.00000,426
1,48,1.186216e-01,24.00000,16.00000,404
1,49,1.126018e-01,33.00000,12.00000,426
1,50,1.362371e-01,18.00000,20.00000,388
1,51,1.246527e-01,20.00000,20.00000,396
1,52,1.402687e-01,17.00000,20.00000,390
1,53,1.086388e-01,22.00000,20.00000,404
1,54,1.183754e-01,28.00000,16.00000,417
1,55,1.364969e-01,18.00000,20.00000,392
1,56,1.273874e-01,17.00000,20.00000,387
1,57,1.374180e-01,17.00000,16.00000,378
1,58,1.189721e-01,27.00000,16.00000,415
1,59,1.328430e-01,26.00000,16.00000,413
1,60,1.213389e-01,33.00000,12.00000,444
1,61,1.176551e-01,33.00000,12.00000,429
1,62,1.340693e-01,16.00000,20.00000,386
1,63,1.273962e-01,17.00000,20.00000,387
1,64,1.197331e-01,33.00000,12.00000,428
1,65,1.453006e-01,17.00000,20.00000,400
1,66,1.459552e-01,17.00000,16.00000,400
1,67,1.503320e-01,8.00000,20.00000,364
1,68,1.480519e-01,27.00000,16.00000,427
1,69,1.481408e-01,17.00000,20.00000,389
1,70,1.423085e-01,26.00000,16.00000,412
1,71,1.479395e-01,22.00000,16.00000,399
1,72,1.496211e-01,26.00000,16.00000,410
1,73,1.343076e-01,22.00000,16.00000,397
1,74,1.602060e-01,17.00000,20.00000,389
1,75,1.532008e-01,13.00000,20.00000,399
1,76,1.522482e-01,21.00000,16.00000,390
1,77,1.422960e-01,23.00000,16.00000,403
1,78,1.449613e-01,25.00000,16.00000,408
1,79,1.230609e-01,26.00000,16.00000,412
1,80,1.437953e-01,19.00000,20.00000,396
1,81,1.468708e-01,17.00000,20.00000,389
1,82,1.507722e-01,17.00000,16.00000,380
1,83,1.369421e-01,17.00000,20.00000,388
1,84,1.354665e-01,20.00000,20.00000,399
1,85,1.398863e-01,23.00000,20.00000,408
1,86,1.575593e-01,20.00000,20.00000,391
1,87,1.166793e-01,36.00000,12.00000,443
1,88,1.506460e-01,18.00000,20.00000,395
1,89,1.522166e-01,16.00000,20.00000,387
1,90,1.351096e-01,27.00000,16.00000,406
1,91,1.332662e-01,21.00000,16.00000,383
1,92,1.418951e-01,20.00000,20.00000,388
1,93,1.514385e-01,25.00000,16.00000,397
1,94,1.622956e-01,21.00000,16.00000,389
1,95,1.330013e-01,25.00000,16.00000,406
1,96,1.744336e-01,16.00000,20.00000,375
1,97,1.524648e-01,27.00000,16.00000,403
1,98,1.494076e-01,25.00000,16.00000,399
1,99,1.561362e-01,26.00000,16.00000,404
1,100,1.342066e-01,21.00000,16.00000,398
1,101,1.408201e-01,20.00000,16.00000,385
1,102,1.153225e-01,36.00000,12.00000,437
1,103,1.621119e-01,16.00000,20.00000,395
1,104,1.405185e-01,19.00000,20.00000,385
1,105,1.298452e-01,25.00000,16.00000,403
1,106,1.439122e-01,24.00000,16.00000,408
1,107,1.460587e-01,19.00000,20.00000,387
1,108,1.305048e-01,18.00000,20.00000,382
2,0,1.512511e-01,20.00000,20.00000,1849
2,1,1.397703e-01,21.00000,16.00000,432
2,2,1.453376e-01,23.00000,16.00000,459
2,3,1.511171e-01,25.00000,16.00000,407
2,4,1.357733e-01,19.00000,20.00000,398
2,5,1.266928e-01,35.00000,12.00000,438
2,6,1.431731e-01,20.00000,20.00000,397
2,7,1.418169e-01,20.00000,16.00000,392
2,8,1.219967e-01,26.00000,16.00000,410
2,9,1.265536e-01,36.00000,12.00000,443
2,10,1.120211e-01,33.00000,12.00000,428
