epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.722983e-01,20.00000,20.00000,2804
1,1,3.801271e-01,21.00000,16.00000,431
1,2,3.398247e-01,25.00000,16.00000,410
1,3,3.161242e-01,17.00000,20.00000,404
1,4,2.972879e-01,34.00000,12.00000,431
1,5,2.849317e-01,16.00000,20.00000,399
1,6,2.698140e-01,24.00000,16.00000,401
1,7,2.511027e-01,18.00000,20.00000,394
1,8,2.421058e-01,21.00000,16.00000,391
1,9,2.320631e-01,25.00000,16.00000,407
1,10,2.285180e-01,21.00000,16.00000,391
1,11,2.141480e-01,25.00000,16.00000,404
1,12,2.099977e-01,21.00000,20.00000,399
1,13,1.993941e-01,28.00000,16.00000,432
1,14,1.954412e-01,27.00000,16.00000,431
1,15,1.864356e-01,25.00000,16.00000,407
1,16,1.856295e-01,23.00000,16.00000,400
1,17,1.780969e-01,23.00000,16.00000,400
1,18,1.743253e-01,21.00000,16.00000,392
1,19,1.666489e-01,24.00000,16.00000,404
1,20,1.600932e-01,17.00000,20.00000,405
1,21,1.594499e-01,21.00000,16.00000,386
1,22,1.526902e-01,25.00000,16.00000,408
1,23,1.453945e-01,21.00000,16.00000,387
1,24,1.476683e-01,18.00000,20.00000,389
1,25,1.399392e-01,18.00000,20.00000,387
1,26,1.440469e-01,18.00000,20.00000,391
1,27,1.387125e-01,14.00000,20.00000,375
1,28,1.269537e-01,20.00000,20.00000,396
1,29,1.270557e-01,20.00000,16.00000,388
1,30,1.456114e-01,12.00000,20.00000,370
1,31,1.210990e-01,25.00000,16.00000,408
1,32,1.302331e-01,16.00000,20.00000,384
1,33,1.203165e-01,17.00000,20.00000,381
1,34,1.233261e-01,19.00000,20.00000,395
1,35,1.151790e-01,20.00000,16.00000,384
1,36,1.235715e-01,26.00000,16.00000,410
1,37,1.268875e-01,17.00000,20.00000,389
1,38,1.207986e-01,20.00000,16.00000,389
1,39,1.025550e-01,33.00000,12.00000,423
1,40,1.037614e-01,23.00000,16.00000,421
1,41,1.088564e-01,29.00000,16.00000,419
1,42,1.066590e-01,20.00000,20.00000,397
1,43,1.137475e-01,26.00000,16.00000,412
1,44,1.138945e-01,21.00000,20.00000,401
1,45,1.045661e-01,20.00000,16.00000,389
1,46,1.206315e-01,20.00000,20.00000,398
1,47,1.119643e-01,33.00000,12.00000,429
1,48,1.060255e-01,24.00000,16.00000,407
1,49,1.101147e-01,33.00000,12.00000,428
1,50,1.341071e-01,8.00000,20.00000,388
1,51,1.173264e-01,20.00000,20.00000,399
1,52,1.312231e-01,17.00000,20.00000,399
1,53,1.074062e-01,22.00000,20.00000,403
1,54,1.133880e-01,28.00000,16.00000,419
1,55,1.302579e-01,18.00000,20.00000,393
1,56,1.228343e-01,17.00000,20.00000,390
1,57,1.265225e-01,17.00000,16.00000,379
1,58,1.084645e-01,27.00000,16.00000,416
1,59,1.233722e-01,26.00000,16.00000,421
1,60,1.105984e-01,36.00000,12.00000,454
1,61,1.147793e-01,33.00000,12.00000,431
1,62,1.308356e-01,16.00000,20.00000,387
1,63,1.243133e-01,17.00000,20.00000,391
1,64,1.086494e-01,33.00000,12.00000,432
1,65,1.440545e-01,20.00000,20.00000,412
1,66,1.309527e-01,17.00000,16.00000,382
1,67,1.432570e-01,8.00000,20.00000,359
1,68,1.134323e-01,27.00000,16.00000,425
1,69,1.511876e-01,17.00000,20.00000,391
1,70,1.322806e-01,26.00000,16.00000,413
1,71,1.373959e-01,22.00000,16.00000,399
1,72,1.536453e-01,26.00000,16.00000,416
1,73,1.267285e-01,22.00000,16.00000,399
1,74,1.488725e-01,17.00000,20.00000,392
1,75,1.392456e-01,20.00000,20.00000,413
1,76,1.504859e-01,21.00000,16.00000,397
1,77,1.364879e-01,23.00000,16.00000,407
1,78,1.342277e-01,25.00000,16.00000,429
1,79,1.188160e-01,26.00000,16.00000,414
1,80,1.373455e-01,19.00000,20.00000,397
1,81,1.372660e-01,17.00000,20.00000,392
1,82,1.492800e-01,17.00000,16.00000,385
1,83,1.335057e-01,17.00000,20.00000,395
1,84,1.273460e-01,20.00000,20.00000,402
1,85,1.352555e-01,19.00000,20.00000,405
1,86,1.533948e-01,20.00000,20.00000,402
1,87,1.118178e-01,36.00000,12.00000,450
1,88,1.482374e-01,18.00000,20.00000,397
1,89,1.504648e-01,16.00000,20.00000,391
1,90,1.249240e-01,27.00000,16.00000,418
1,91,1.297897e-01,21.00000,16.00000,387
1,92,1.343951e-01,20.00000,20.00000,393
1,93,1.417808e-01,20.00000,16.00000,417
1,94,1.598173e-01,21.00000,16.00000,392
1,95,1.262795e-01,26.00000,16.00000,414
1,96,1.678014e-01,16.00000,20.00000,382
1,97,1.546652e-01,21.00000,16.00000,403
1,98,1.485866e-01,25.00000,16.00000,401
1,99,1.428314e-01,26.00000,16.00000,401
1,100,1.290635e-01,21.00000,16.00000,388
1,101,1.394593e-01,20.00000,16.00000,393
1,102,1.185720e-01,36.00000,12.00000,440
1,103,1.590770e-01,18.00000,20.00000,384
1,104,1.355082e-01,19.00000,20.00000,389
1,105,1.291664e-01,26.00000,16.00000,403
1,106,1.393153e-01,24.00000,16.00000,399
1,107,1.555107e-01,19.00000,20.00000,399
1,108,1.305244e-01,18.00000,20.00000,386
2,0,1.358474e-01,20.00000,16.00000,405
2,1,1.435806e-01,21.00000,16.00000,394
2,2,1.611129e-01,23.00000,16.00000,402
2,3,1.414728e-01,34.00000,12.00000,439
2,4,1.317213e-01,19.00000,20.00000,396
2,5,1.265034e-01,19.00000,20.00000,404
2,6,1.294455e-01,35.00000,12.00000,444
2,7,1.380078e-01,11.00000,20.00000,388
2,8,1.137631e-01,26.00000,16.00000,421
2,9,1.364569e-01,25.00000,16.00000,412
