epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.672741e-01,15.00000,20.00000,866
1,1,3.654898e-01,25.00000,16.00000,291
1,2,3.218489e-01,28.00000,16.00000,281
1,3,3.009940e-01,36.00000,12.00000,300
1,4,2.856593e-01,19.00000,20.00000,259
1,5,2.815609e-01,24.00000,16.00000,290
1,6,2.718381e-01,17.00000,20.00000,268
1,7,2.592373e-01,20.00000,16.00000,245
1,8,2.535429e-01,17.00000,20.00000,248
1,9,2.479758e-01,25.00000,16.00000,264
1,10,2.460089e-01,17.00000,16.00000,232
1,11,2.381468e-01,27.00000,16.00000,275
1,12,2.413326e-01,25.00000,16.00000,264
1,13,2.286015e-01,21.00000,16.00000,273
1,14,2.250510e-01,20.00000,20.00000,274
1,15,2.236958e-01,26.00000,16.00000,271
1,16,2.252597e-01,21.00000,16.00000,247
1,17,2.181784e-01,25.00000,16.00000,270
1,18,2.108551e-01,21.00000,16.00000,252
1,19,2.100168e-01,21.00000,16.00000,252
1,20,2.133822e-01,8.00000,20.00000,233
1,21,2.073795e-01,21.00000,16.00000,253
1,22,2.100013e-01,25.00000,16.00000,270
1,23,2.014787e-01,24.00000,16.00000,263
1,24,2.054820e-01,17.00000,20.00000,249
1,25,2.046991e-01,19.00000,20.00000,254
1,26,2.148186e-01,17.00000,20.00000,249
1,27,1.955902e-01,20.00000,20.00000,261
1,28,2.049098e-01,14.00000,20.00000,236
1,29,1.970178e-01,25.00000,16.00000,269
1,30,1.990465e-01,18.00000,20.00000,251
1,31,1.867229e-01,28.00000,16.00000,281
1,32,1.976522e-01,19.00000,20.00000,258
1,33,1.917192e-01,20.00000,20.00000,258
1,34,2.028361e-01,16.00000,20.00000,244
1,35,1.877869e-01,25.00000,16.00000,269
1,36,1.894721e-01,25.00000,16.00000,270
1,37,1.967730e-01,18.00000,20.00000,253
1,38,1.971497e-01,26.00000,16.00000,275
1,39,1.797688e-01,36.00000,12.00000,307
1,40,1.880695e-01,21.00000,16.00000,251
1,41,1.849250e-01,28.00000,16.00000,282
1,42,2.017944e-01,16.00000,20.00000,245
1,43,1.945988e-01,25.00000,16.00000,267
1,44,2.058302e-01,17.00000,20.00000,253
1,45,1.951772e-01,17.00000,16.00000,232
1,46,1.953901e-01,15.00000,20.00000,245
1,47,1.863881e-01,33.00000,12.00000,290
1,48,1.896399e-01,24.00000,16.00000,275
1,49,1.829472e-01,35.00000,12.00000,301
1,50,1.975630e-01,17.00000,20.00000,251
1,51,1.919474e-01,17.00000,20.00000,251
1,52,2.094703e-01,14.00000,20.00000,234
1,53,1.739807e-01,17.00000,20.00000,255
1,54,1.948057e-01,26.00000,16.00000,273
1,55,2.228813e-01,13.00000,20.00000,230
1,56,1.992607e-01,13.00000,20.00000,231
1,57,1.942101e-01,21.00000,16.00000,250
1,58,2.031015e-01,17.00000,16.00000,235
1,59,2.063945e-01,23.00000,16.00000,262
1,60,1.824107e-01,33.00000,12.00000,291
1,61,1.755351e-01,35.00000,12.00000,304
1,62,1.912897e-01,20.00000,20.00000,262
1,63,1.934936e-01,15.00000,20.00000,263
1,64,1.757754e-01,36.00000,12.00000,306
1,65,1.896112e-01,20.00000,20.00000,266
1,66,1.879100e-01,27.00000,16.00000,278
1,67,2.068468e-01,14.00000,20.00000,235
1,68,1.857195e-01,21.00000,16.00000,255
1,69,2.016377e-01,16.00000,20.00000,245
1,70,1.797846e-01,26.00000,16.00000,276
1,71,1.986319e-01,21.00000,16.00000,252
1,72,2.247132e-01,25.00000,16.00000,270
1,73,1.872777e-01,17.00000,16.00000,276
1,74,2.066073e-01,19.00000,20.00000,259
1,75,1.928731e-01,15.00000,20.00000,243
1,76,1.946487e-01,27.00000,16.00000,280
1,77,1.857980e-01,25.00000,16.00000,271
1,78,1.810844e-01,26.00000,16.00000,275
1,79,1.882641e-01,23.00000,16.00000,263
1,80,2.117874e-01,17.00000,20.00000,253
1,81,1.939048e-01,19.00000,20.00000,261
1,82,1.883894e-01,21.00000,16.00000,280
1,83,2.101851e-01,17.00000,20.00000,249
1,84,2.167071e-01,13.00000,20.00000,235
1,85,2.041648e-01,22.00000,20.00000,273
1,86,2.070687e-01,17.00000,20.00000,249
1,87,1.698744e-01,34.00000,12.00000,301
1,88,1.940942e-01,20.00000,20.00000,266
1,89,2.112549e-01,18.00000,20.00000,254
1,90,2.016633e-01,27.00000,16.00000,282
1,91,1.981844e-01,20.00000,16.00000,249
1,92,1.810524e-01,20.00000,20.00000,261
1,93,1.784253e-01,25.00000,16.00000,278
1,94,1.639063e-01,29.00000,16.00000,287
1,95,1.792744e-01,25.00000,16.00000,272
1,96,2.207202e-01,13.00000,20.00000,232
1,97,1.963887e-01,24.00000,16.00000,265
1,98,1.897969e-01,24.00000,16.00000,269
1,99,1.942609e-01,27.00000,16.00000,285
1,100,1.847865e-01,25.00000,16.00000,273
1,101,1.903033e-01,21.00000,16.00000,253
1,102,1.697988e-01,35.00000,12.00000,306
1,103,2.044077e-01,20.00000,20.00000,261
1,104,2.017348e-01,18.00000,20.00000,254
1,105,1.977001e-01,17.00000,16.00000,234
1,106,2.081382e-01,21.00000,16.00000,256
1,107,1.985053e-01,19.00000,20.00000,258
1,108,1.931177e-01,19.00000,20.00000,259
2,0,1.765528e-01,20.00000,20.00000,855
2,1,2.057637e-01,24.00000,16.00000,262
2,2,1.788110e-01,35.00000,12.00000,304
2,3,2.102656e-01,25.00000,16.00000,272
2,4,1.574928e-01,33.00000,12.00000,288
2,5,2.281123e-01,16.00000,20.00000,271
2,6,1.834370e-01,20.00000,20.00000,291
2,7,1.698623e-01,21.00000,16.00000,264
2,8,1.822021e-01,20.00000,16.00000,265
2,9,1.761821e-01,28.00000,16.00000,284
2,10,1.948029e-01,17.00000,16.00000,234
2,11,1.778142e-01,24.00000,16.00000,269
2,12,1.785362e-01,17.00000,20.00000,286
2,13,1.878613e-01,17.00000,16.00000,247
2,14,1.916829e-01,11.00000,20.00000,269
2,15,1.817310e-01,26.00000,16.00000,276
2,16,1.700830e-01,21.00000,16.00000,255
2,17,1.644571e-01,34.00000,12.00000,299
2,18,1.613882e-01,17.00000,16.00000,290
2,19,1.621987e-01,35.00000,12.00000,303
2,20,1.704344e-01,18.00000,20.00000,291
2,21,1.785085e-01,20.00000,16.00000,249
2,22,1.800096e-01,23.00000,16.00000,265
2,23,1.858219e-01,14.00000,20.00000,235
2,24,1.651565e-01,26.00000,16.00000,279
2,25,1.793676e-01,18.00000,20.00000,255
2,26,1.755478e-01,17.00000,16.00000,236
2,27,2.008265e-01,21.00000,16.00000,252
2,28,1.757074e-01,18.00000,20.00000,256
2,29,2.124911e-01,12.00000,20.00000,227
2,30,1.813880e-01,17.00000,20.00000,253
2,31,1.774316e-01,21.00000,16.00000,254
2,32,1.648755e-01,23.00000,20.00000,282
2,33,1.640493e-01,22.00000,20.00000,273
2,34,1.833936e-01,20.00000,20.00000,266
2,35,1.571215e-01,19.00000,20.00000,259
2,36,1.632450e-01,20.00000,16.00000,251
2,37,1.787336e-01,20.00000,16.00000,253
2,38,1.905288e-01,16.00000,20.00000,249
2,39,1.336964e-01,28.00000,16.00000,285
2,40,1.863433e-01,16.00000,20.00000,248
2,41,1.945298e-01,11.00000,20.00000,225
2,42,1.528658e-01,33.00000,12.00000,292
2,43,2.152751e-01,8.00000,20.00000,213
2,44,1.805296e-01,17.00000,20.00000,250
2,45,1.966215e-01,13.00000,20.00000,233
2,46,1.629088e-01,20.00000,20.00000,265
2,47,1.723711e-01,21.00000,16.00000,274
2,48,1.617366e-01,25.00000,16.00000,273
2,49,1.562958e-01,18.00000,20.00000,257
2,50,1.724538e-01,15.00000,20.00000,246
2,51,1.481127e-01,25.00000,16.00000,275
2,52,1.662404e-01,22.00000,20.00000,274
2,53,1.606112e-01,21.00000,16.00000,255
2,54,1.538719e-01,21.00000,16.00000,254
2,55,1.502763e-01,25.00000,16.00000,274
2,56,1.430135e-01,28.00000,16.00000,282
2,57,1.584698e-01,23.00000,16.00000,277
2,58,1.404078e-01,18.00000,20.00000,259
2,59,1.376891e-01,33.00000,12.00000,294
2,60,1.461168e-01,25.00000,16.00000,272
2,61,1.407590e-01,25.00000,16.00000,274
2,62,1.435897e-01,25.00000,16.00000,274
2,63,1.345631e-01,27.00000,16.00000,283
2,64,1.786480e-01,13.00000,20.00000,231
2,65,1.499085e-01,19.00000,20.00000,261
