epoch,loss,loss_L2,loss_PKT,cross_mse
1,1.357540e-01,0.000000e+00,0.000000e+00,0.000000e+00
2,9.349837e-02,0.000000e+00,0.000000e+00,0.000000e+00
3,2.505645e-02,0.000000e+00,0.000000e+00,0.000000e+00
4,1.624974e-02,0.000000e+00,0.000000e+00,0.000000e+00
5,1.558692e-02,0.000000e+00,0.000000e+00,0.000000e+00
6,1.619267e-02,0.000000e+00,0.000000e+00,0.000000e+00
7,1.479615e-02,0.000000e+00,0.000000e+00,0.000000e+00
8,1.234621e-02,0.000000e+00,0.000000e+00,0.000000e+00
9,1.187028e-02,0.000000e+00,0.000000e+00,0.000000e+00
10,9.715925e-03,0.000000e+00,0.000000e+00,0.000000e+00
11,9.417169e-03,0.000000e+00,0.000000e+00,0.000000e+00
12,8.090834e-03,0.000000e+00,0.000000e+00,0.000000e+00
13,8.432835e-03,0.000000e+00,0.000000e+00,0.000000e+00
14,7.195150e-03,0.000000e+00,0.000000e+00,0.000000e+00
15,6.728957e-03,0.000000e+00,0.000000e+00,0.000000e+00
16,6.634197e-03,0.000000e+00,0.000000e+00,0.000000e+00
17,6.689778e-03,0.000000e+00,0.000000e+00,0.000000e+00
18,6.669551e-03,0.000000e+00,0.000000e+00,0.000000e+00
19,6.432930e-03,0.000000e+00,0.000000e+00,0.000000e+00
20,6.113574e-03,0.000000e+00,0.000000e+00,0.000000e+00
21,5.710769e-03,0.000000e+00,0.000000e+00,0.000000e+00
22,5.547066e-03,0.000000e+00,0.000000e+00,0.000000e+00
23,5.473935e-03,0.000000e+00,0.000000e+00,0.000000e+00
24,5.645446e-03,0.000000e+00,0.000000e+00,0.000000e+00
25,5.645522e-03,0.000000e+00,0.000000e+00,0.000000e+00
26,5.771773e-03,0.000000e+00,0.000000e+00,0.000000e+00
27,5.669885e-03,0.000000e+00,0.000000e+00,0.000000e+00
28,5.814008e-03,0.000000e+00,0.000000e+00,0.000000e+00
29,6.045984e-03,0.000000e+00,0.000000e+00,0.000000e+00
30,6.096239e-03,0.000000e+00,0.000000e+00,0.000000e+00
31,6.314604e-03,0.000000e+00,0.000000e+00,0.000000e+00
32,6.722848e-03,0.000000e+00,0.000000e+00,0.000000e+00
33,6.919859e-03,0.000000e+00,0.000000e+00,0.000000e+00
