epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.829711e-01,73.00000,42.00000,21184
1,1,4.832368e-01,72.00000,42.00000,525
1,2,4.832871e-01,49.00000,48.00000,494
1,3,4.829383e-01,69.00000,42.00000,1836
1,4,3.868778e-01,51.00000,48.00000,519
1,5,3.868979e-01,67.00000,42.00000,505
1,6,3.869447e-01,67.00000,48.00000,575
1,7,3.868951e-01,57.00000,42.00000,514
1,8,3.442794e-01,73.00000,42.00000,610
1,9,3.437960e-01,90.00000,35.00000,560
1,10,3.442388e-01,64.00000,42.00000,509
1,11,3.446171e-01,67.00000,42.00000,615
1,12,3.204537e-01,75.00000,42.00000,547
1,13,3.205655e-01,57.00000,42.00000,558
1,14,3.202815e-01,73.00000,42.00000,567
1,15,3.214778e-01,61.00000,42.00000,553
1,16,3.028082e-01,69.00000,42.00000,552
1,17,3.039311e-01,63.00000,42.00000,626
1,18,3.039134e-01,57.00000,54.00000,609
1,19,3.042402e-01,63.00000,42.00000,528
1,20,2.863221e-01,70.00000,42.00000,602
1,21,2.870554e-01,62.00000,42.00000,523
1,22,2.881917e-01,67.00000,42.00000,783
1,23,2.887586e-01,62.00000,42.00000,619
1,24,2.706784e-01,54.00000,48.00000,587
1,25,2.722890e-01,56.00000,48.00000,1725
1,26,2.736960e-01,55.00000,54.00000,536
1,27,2.752078e-01,62.00000,48.00000,775
1,28,2.590015e-01,68.00000,42.00000,590
1,29,2.603978e-01,63.00000,42.00000,626
1,30,2.610953e-01,64.00000,42.00000,509
1,31,2.609249e-01,51.00000,48.00000,4334
1,32,2.450273e-01,53.00000,48.00000,549
1,33,2.463397e-01,64.00000,48.00000,636
1,34,2.465961e-01,70.00000,42.00000,1927
1,35,2.472359e-01,67.00000,42.00000,2385
1,36,2.317728e-01,61.00000,48.00000,635
1,37,2.326816e-01,74.00000,42.00000,558
1,38,2.337253e-01,67.00000,42.00000,640
1,39,2.353413e-01,71.00000,42.00000,559
1,40,2.198968e-01,69.00000,42.00000,548
1,41,2.221129e-01,65.00000,48.00000,5552
1,42,2.232899e-01,85.00000,35.00000,627
1,43,2.246781e-01,62.00000,48.00000,535
1,44,2.118388e-01,67.00000,42.00000,2156
1,45,2.119698e-01,73.00000,42.00000,565
1,46,2.124668e-01,68.00000,42.00000,601
1,47,2.153944e-01,59.00000,48.00000,582
1,48,2.013621e-01,45.00000,54.00000,540
1,49,2.031143e-01,65.00000,42.00000,523
1,50,2.047535e-01,74.00000,42.00000,672
1,51,2.057185e-01,47.00000,48.00000,6179
1,52,1.914875e-01,72.00000,42.00000,665
1,53,1.946916e-01,44.00000,48.00000,542
1,54,1.951687e-01,57.00000,42.00000,2448
1,55,1.962654e-01,58.00000,48.00000,534
