pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
300,1,1.11720e-01,1.50700e-01,7.06457e-02,7.03107e-02,0.68
300,2,1.77240e-01,1.87900e-01,6.96674e-02,6.97506e-02,0.49
300,3,2.04800e-01,2.03800e-01,6.92476e-02,6.95142e-02,0.75
300,4,2.23720e-01,2.17500e-01,6.89672e-02,6.93217e-02,0.50
300,5,2.40520e-01,2.26700e-01,6.87234e-02,6.91405e-02,0.72
300,6,2.55280e-01,2.39700e-01,6.84995e-02,6.89563e-02,0.76
300,7,2.74240e-01,2.58700e-01,6.82208e-02,6.86684e-02,0.62
300,8,2.92380e-01,2.72100e-01,6.79422e-02,6.84504e-02,0.59
300,9,3.05840e-01,2.78300e-01,6.77527e-02,6.83842e-02,0.64
300,10,3.14940e-01,2.84700e-01,6.76080e-02,6.82830e-02,0.49
300,11,3.25700e-01,2.89400e-01,6.74656e-02,6.81907e-02,0.51
300,12,3.33940e-01,2.96300e-01,6.73494e-02,6.81125e-02,0.67
300,13,3.42240e-01,2.96200e-01,6.72323e-02,6.80643e-02,0.57
300,14,3.50180e-01,3.07000e-01,6.71051e-02,6.79584e-02,0.67
300,15,3.56060e-01,3.08600e-01,6.70030e-02,6.78942e-02,0.74
300,16,3.61000e-01,3.07000e-01,6.69263e-02,6.79003e-02,0.65
300,17,3.64980e-01,3.13100e-01,6.68727e-02,6.78427e-02,0.55
300,18,3.68960e-01,3.14900e-01,6.68076e-02,6.78034e-02,0.72
300,19,3.72380e-01,3.12700e-01,6.67522e-02,6.78276e-02,0.78
300,20,3.76000e-01,3.17000e-01,6.66984e-02,6.77941e-02,0.77
300,21,3.79500e-01,3.17400e-01,6.66541e-02,6.77649e-02,0.74
300,22,3.81900e-01,3.14300e-01,6.66157e-02,6.77751e-02,0.75
300,23,3.85780e-01,3.16800e-01,6.65598e-02,6.77515e-02,0.69
300,24,3.88100e-01,3.21900e-01,6.65206e-02,6.76995e-02,0.78
300,25,3.90360e-01,3.25200e-01,6.64884e-02,6.76774e-02,0.78
300,26,3.92300e-01,3.24300e-01,6.64480e-02,6.76896e-02,0.72
300,27,3.95900e-01,3.21700e-01,6.64080e-02,6.76662e-02,0.76
300,28,3.97440e-01,3.24400e-01,6.63774e-02,6.76507e-02,0.65
300,29,3.99140e-01,3.25400e-01,6.63397e-02,6.76351e-02,0.67
300,30,4.01680e-01,3.23400e-01,6.63076e-02,6.76355e-02,0.71
300,31,4.03220e-01,3.25900e-01,6.62699e-02,6.76004e-02,0.63
300,32,4.06240e-01,3.26000e-01,6.62376e-02,6.76171e-02,0.49
300,33,4.08420e-01,3.27500e-01,6.62052e-02,6.75965e-02,0.55
300,34,4.10180e-01,3.28200e-01,6.61761e-02,6.75927e-02,0.63
300,35,4.11920e-01,3.29300e-01,6.61399e-02,6.75531e-02,0.57
300,36,4.13060e-01,3.31300e-01,6.61149e-02,6.75531e-02,0.50
300,37,4.15080e-01,3.30100e-01,6.60843e-02,6.75475e-02,0.49
300,38,4.17160e-01,3.31400e-01,6.60664e-02,6.75393e-02,0.68
300,39,4.19440e-01,3.31400e-01,6.60271e-02,6.75252e-02,0.76
300,40,4.22020e-01,3.32600e-01,6.59896e-02,6.74946e-02,0.74
300,41,4.25160e-01,3.33100e-01,6.59477e-02,6.74788e-02,0.77
300,42,4.27560e-01,3.36700e-01,6.59105e-02,6.74462e-02,0.71
300,43,4.28700e-01,3.37600e-01,6.58902e-02,6.74519e-02,0.77
300,44,4.30740e-01,3.34700e-01,6.58579e-02,6.74485e-02,0.76
300,45,4.33140e-01,3.35100e-01,6.58314e-02,6.74408e-02,0.76
300,46,4.33680e-01,3.37300e-01,6.58104e-02,6.74277e-02,0.74
300,47,4.35500e-01,3.38700e-01,6.57793e-02,6.74138e-02,0.74
300,48,4.37540e-01,3.40800e-01,6.57581e-02,6.73883e-02,0.79
300,49,4.38820e-01,3.39500e-01,6.57357e-02,6.73829e-02,0.77
300,50,4.41920e-01,3.41000e-01,6.56979e-02,6.73641e-02,0.77
300,51,4.43620e-01,3.41800e-01,6.56637e-02,6.73582e-02,0.69
300,52,4.46840e-01,3.45400e-01,6.56332e-02,6.73402e-02,0.67
300,53,4.48380e-01,3.46100e-01,6.56081e-02,6.73182e-02,0.50
300,54,4.48980e-01,3.43000e-01,6.55909e-02,6.73234e-02,0.65
