pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
300,1,3.39208e-01,3.72400e-01,3.36307e-02,3.41371e-02,62.55
300,2,4.45192e-01,4.06600e-01,3.27805e-02,3.38824e-02,42.13
300,3,4.76938e-01,4.19800e-01,3.25347e-02,3.37447e-02,36.52
300,4,4.92731e-01,4.25000e-01,3.24016e-02,3.37028e-02,44.03
300,5,5.04554e-01,4.26200e-01,3.23148e-02,3.36573e-02,44.66
300,6,5.15815e-01,4.37000e-01,3.22299e-02,3.35950e-02,43.16
300,7,5.24846e-01,4.38800e-01,3.21588e-02,3.35663e-02,45.01
300,8,5.31500e-01,4.41200e-01,3.21079e-02,3.35325e-02,46.57
300,9,5.40077e-01,4.46400e-01,3.20412e-02,3.35246e-02,43.66
300,10,5.45885e-01,4.46400e-01,3.19939e-02,3.34993e-02,43.87
300,11,5.50223e-01,4.50600e-01,3.19579e-02,3.34734e-02,42.72
300,12,5.54554e-01,4.48800e-01,3.19266e-02,3.34895e-02,44.88
300,13,5.58162e-01,4.54200e-01,3.18983e-02,3.34559e-02,43.63
300,14,5.61962e-01,4.54200e-01,3.18670e-02,3.34275e-02,44.92
300,15,5.67431e-01,4.58600e-01,3.18288e-02,3.33927e-02,42.75
300,16,5.75538e-01,4.64200e-01,3.17661e-02,3.33594e-02,45.73
300,17,5.81485e-01,4.68600e-01,3.17194e-02,3.33519e-02,43.75
300,18,5.90208e-01,4.74400e-01,3.16561e-02,3.32897e-02,44.18
300,19,5.98523e-01,4.80800e-01,3.15909e-02,3.32313e-02,44.93
300,20,6.05985e-01,4.86200e-01,3.15396e-02,3.32059e-02,44.71
300,21,6.12200e-01,4.88600e-01,3.14910e-02,3.31929e-02,44.17
300,22,6.18354e-01,4.94200e-01,3.14486e-02,3.31306e-02,47.35
300,23,6.23192e-01,4.91400e-01,3.14124e-02,3.31483e-02,45.69
300,24,6.27392e-01,4.92000e-01,3.13803e-02,3.31428e-02,44.57
300,25,6.34285e-01,4.96000e-01,3.13276e-02,3.31103e-02,42.36
300,26,6.40408e-01,5.03800e-01,3.12797e-02,3.30842e-02,45.40
300,27,6.43485e-01,5.05000e-01,3.12557e-02,3.30594e-02,44.21
300,28,6.46769e-01,5.04200e-01,3.12329e-02,3.30599e-02,44.34
300,29,6.51069e-01,5.04400e-01,3.12008e-02,3.30510e-02,44.26
300,30,6.53646e-01,5.10200e-01,3.11821e-02,3.30214e-02,45.16
300,31,6.55769e-01,5.10400e-01,3.11649e-02,3.30036e-02,44.80
300,32,6.58969e-01,5.11200e-01,3.11416e-02,3.30241e-02,44.36
300,33,6.62715e-01,5.14800e-01,3.11156e-02,3.29878e-02,44.48
300,34,6.65115e-01,5.15800e-01,3.10983e-02,3.29931e-02,46.21
300,35,6.66554e-01,5.11600e-01,3.10853e-02,3.30029e-02,43.24
300,36,6.68338e-01,5.11400e-01,3.10710e-02,3.30023e-02,45.31
300,37,6.69915e-01,5.10000e-01,3.10596e-02,3.29966e-02,45.07
300,38,6.71623e-01,5.13200e-01,3.10474e-02,3.29839e-02,45.49
300,39,6.72638e-01,5.16000e-01,3.10364e-02,3.29823e-02,46.32
300,40,6.74300e-01,5.13000e-01,3.10263e-02,3.29809e-02,43.80
300,41,6.75415e-01,5.13000e-01,3.10150e-02,3.29687e-02,45.88
300,42,6.77231e-01,5.11000e-01,3.10063e-02,3.29940e-02,44.54
300,43,6.77685e-01,5.13400e-01,3.09982e-02,3.29770e-02,43.88
300,44,6.79315e-01,5.13600e-01,3.09865e-02,3.29787e-02,43.24
300,45,6.80285e-01,5.16000e-01,3.09795e-02,3.29589e-02,43.96
300,46,6.81900e-01,5.17600e-01,3.09686e-02,3.29628e-02,43.65
300,47,6.82815e-01,5.17200e-01,3.09598e-02,3.29582e-02,43.71
300,48,6.83592e-01,5.17200e-01,3.09531e-02,3.29478e-02,47.50
300,49,6.84831e-01,5.12600e-01,3.09454e-02,3.29775e-02,44.66
300,50,6.85946e-01,5.18000e-01,3.09362e-02,3.29525e-02,44.39
300,51,6.86838e-01,5.19200e-01,3.09301e-02,3.29519e-02,44.66
300,52,6.87646e-01,5.16600e-01,3.09226e-02,3.29531e-02,45.46
300,53,6.88515e-01,5.19600e-01,3.09168e-02,3.29309e-02,43.71
300,54,6.89446e-01,5.20000e-01,3.09088e-02,3.29348e-02,44.49
300,55,6.90308e-01,5.17800e-01,3.09029e-02,3.29468e-02,44.03
300,56,6.90969e-01,5.15200e-01,3.08978e-02,3.29461e-02,44.33
300,57,6.91385e-01,5.16600e-01,3.08915e-02,3.29471e-02,45.17
300,58,6.92262e-01,5.19400e-01,3.08839e-02,3.29498e-02,45.83
300,59,6.93077e-01,5.18000e-01,3.08790e-02,3.29333e-02,45.62
300,60,6.93900e-01,5.16800e-01,3.08740e-02,3.29451e-02,45.60
300,61,6.94569e-01,5.19800e-01,3.08674e-02,3.29471e-02,46.27
300,62,6.95031e-01,5.21200e-01,3.08616e-02,3.29365e-02,44.37
300,63,6.95392e-01,5.22200e-01,3.08571e-02,3.29401e-02,42.51
300,64,6.96269e-01,5.22800e-01,3.08534e-02,3.29236e-02,42.41
300,65,6.97169e-01,5.18800e-01,3.08473e-02,3.29377e-02,43.39
300,66,6.97415e-01,5.18200e-01,3.08446e-02,3.29269e-02,42.17
300,67,6.98238e-01,5.19600e-01,3.08377e-02,3.29307e-02,42.77
300,68,6.98654e-01,5.17800e-01,3.08344e-02,3.29333e-02,42.31
300,69,6.99538e-01,5.20600e-01,3.08281e-02,3.29211e-02,44.87
300,70,6.99877e-01,5.21000e-01,3.08236e-02,3.29394e-02,43.67
300,71,7.00300e-01,5.19000e-01,3.08205e-02,3.29287e-02,45.68
300,72,7.00562e-01,5.17600e-01,3.08173e-02,3.29269e-02,46.73
300,73,7.01262e-01,5.17600e-01,3.08117e-02,3.29172e-02,44.02
300,74,7.01546e-01,5.22000e-01,3.08086e-02,3.29256e-02,43.57
300,75,7.01938e-01,5.22400e-01,3.08042e-02,3.29153e-02,43.95
300,76,7.02846e-01,5.20600e-01,3.08008e-02,3.29294e-02,44.91
300,77,7.03262e-01,5.24200e-01,3.07966e-02,3.29094e-02,45.74
300,78,7.03908e-01,5.22000e-01,3.07920e-02,3.29199e-02,43.95
300,79,7.04546e-01,5.24600e-01,3.07875e-02,3.28956e-02,44.39
300,80,7.04615e-01,5.21800e-01,3.07849e-02,3.29115e-02,44.99
300,81,7.05292e-01,5.22400e-01,3.07810e-02,3.29095e-02,43.33
300,82,7.05777e-01,5.22400e-01,3.07774e-02,3.29243e-02,43.79
300,83,7.06254e-01,5.18400e-01,3.07737e-02,3.29212e-02,48.50
300,84,7.06946e-01,5.24000e-01,3.07682e-02,3.29116e-02,54.19
300,85,7.07154e-01,5.21400e-01,3.07655e-02,3.29247e-02,51.25
300,86,7.07623e-01,5.23200e-01,3.07626e-02,3.29132e-02,47.66
300,87,7.08085e-01,5.24400e-01,3.07601e-02,3.29050e-02,45.31
300,88,7.08323e-01,5.20200e-01,3.07557e-02,3.29061e-02,45.24
300,89,7.08715e-01,5.22600e-01,3.07538e-02,3.29125e-02,46.59
300,90,7.09031e-01,5.25200e-01,3.07507e-02,3.29064e-02,48.70
300,91,7.09492e-01,5.22200e-01,3.07479e-02,3.29095e-02,56.56
300,92,7.10146e-01,5.24800e-01,3.07449e-02,3.28831e-02,56.43
300,93,7.10477e-01,5.21600e-01,3.07407e-02,3.29152e-02,47.20
300,94,7.10615e-01,5.21000e-01,3.07388e-02,3.29176e-02,45.40
300,95,7.11031e-01,5.26800e-01,3.07362e-02,3.28926e-02,50.93
300,96,7.11638e-01,5.23000e-01,3.07338e-02,3.29026e-02,56.90
300,97,7.11608e-01,5.24400e-01,3.07307e-02,3.29025e-02,59.31
300,98,7.12154e-01,5.23000e-01,3.07276e-02,3.29031e-02,49.22
300,99,7.12638e-01,5.22200e-01,3.07265e-02,3.28936e-02,48.38
300,100,7.12969e-01,5.26000e-01,3.07237e-02,3.28846e-02,49.97
300,101,7.13062e-01,5.23600e-01,3.07200e-02,3.28975e-02,49.24
300,102,7.13138e-01,5.24800e-01,3.07181e-02,3.28993e-02,52.62
300,103,7.13485e-01,5.24200e-01,3.07158e-02,3.29032e-02,51.09
300,104,7.13546e-01,5.24400e-01,3.07144e-02,3.28853e-02,46.27
300,105,7.13977e-01,5.23400e-01,3.07118e-02,3.29013e-02,48.74
300,106,7.14454e-01,5.23600e-01,3.07097e-02,3.28824e-02,45.93
300,107,7.14900e-01,5.25800e-01,3.07070e-02,3.28872e-02,45.63
300,108,7.14923e-01,5.23200e-01,3.07053e-02,3.28916e-02,46.58
300,109,7.15631e-01,5.23000e-01,3.07003e-02,3.28742e-02,48.98
300,110,7.16300e-01,5.27000e-01,3.06972e-02,3.28739e-02,47.56
300,111,7.17069e-01,5.24400e-01,3.06890e-02,3.28917e-02,47.49
300,112,7.17792e-01,5.24000e-01,3.06839e-02,3.28914e-02,48.75
300,113,7.18392e-01,5.27200e-01,3.06819e-02,3.28786e-02,49.35
300,114,7.18523e-01,5.24200e-01,3.06783e-02,3.28899e-02,49.38
300,115,7.19046e-01,5.25600e-01,3.06750e-02,3.28978e-02,46.57
300,116,7.19446e-01,5.23600e-01,3.06722e-02,3.28870e-02,47.39
300,117,7.19677e-01,5.27200e-01,3.06698e-02,3.28799e-02,46.71
300,118,7.19800e-01,5.23200e-01,3.06676e-02,3.28808e-02,47.99
300,119,7.20415e-01,5.24000e-01,3.06645e-02,3.28747e-02,45.70
300,120,7.20185e-01,5.24600e-01,3.06646e-02,3.28914e-02,47.55
300,121,7.20792e-01,5.26200e-01,3.06614e-02,3.28869e-02,45.61
300,122,7.20915e-01,5.22800e-01,3.06592e-02,3.28880e-02,45.34
300,123,7.21469e-01,5.24000e-01,3.06572e-02,3.28712e-02,46.85
