pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
300,1,4.57808e-01,4.92600e-01,1.78053e-02,1.65053e-02,1.85
300,2,5.81169e-01,5.09000e-01,1.26351e-02,1.51965e-02,2.27
300,3,6.07900e-01,5.33400e-01,1.16011e-02,1.46716e-02,1.70
300,4,6.25262e-01,5.36000e-01,1.10231e-02,1.44369e-02,1.65
300,5,6.37308e-01,5.41400e-01,1.06282e-02,1.42139e-02,1.65
300,6,6.45377e-01,5.47400e-01,1.03500e-02,1.41510e-02,1.65
300,7,6.51308e-01,5.45600e-01,1.01163e-02,1.41560e-02,1.65
300,8,6.58308e-01,5.52000e-01,9.92869e-03,1.39124e-02,1.65
300,9,6.60646e-01,5.52200e-01,9.77862e-03,1.39715e-02,1.65
300,10,6.64508e-01,5.57000e-01,9.64620e-03,1.38485e-02,1.65
300,11,6.68315e-01,5.56600e-01,9.52860e-03,1.40019e-02,1.66
300,12,6.71431e-01,5.56600e-01,9.42913e-03,1.37774e-02,1.93
300,13,6.73485e-01,5.60400e-01,9.34575e-03,1.38257e-02,1.67
300,14,6.75862e-01,5.61000e-01,9.26356e-03,1.37514e-02,1.67
300,15,6.78262e-01,5.57600e-01,9.19253e-03,1.37839e-02,1.66
300,16,6.80315e-01,5.60800e-01,9.12562e-03,1.37965e-02,1.67
300,17,6.82292e-01,5.64800e-01,9.06018e-03,1.37250e-02,1.67
300,18,6.82777e-01,5.59200e-01,9.01136e-03,1.39250e-02,1.66
300,19,6.84792e-01,5.61400e-01,8.96555e-03,1.36725e-02,1.72
300,20,6.86108e-01,5.60000e-01,8.92026e-03,1.37543e-02,1.69
300,21,6.87392e-01,5.61600e-01,8.87534e-03,1.37847e-02,1.70
300,22,6.88638e-01,5.64000e-01,8.83243e-03,1.37845e-02,1.66
300,23,6.89746e-01,5.66800e-01,8.79884e-03,1.38119e-02,1.66
300,24,6.90308e-01,5.61000e-01,8.76753e-03,1.37861e-02,1.66
300,25,6.91377e-01,5.62600e-01,8.73429e-03,1.38129e-02,1.66
300,26,6.92762e-01,5.63400e-01,8.69964e-03,1.37797e-02,1.66
300,27,6.94069e-01,5.67000e-01,8.67347e-03,1.37588e-02,1.66
300,28,6.93931e-01,5.62000e-01,8.64857e-03,1.37809e-02,1.66
300,29,6.96346e-01,5.61800e-01,8.61595e-03,1.37687e-02,1.66
300,30,6.95885e-01,5.60400e-01,8.59477e-03,1.38423e-02,1.77
300,31,6.96077e-01,5.62600e-01,8.57420e-03,1.37693e-02,1.70
300,32,6.97069e-01,5.63800e-01,8.54605e-03,1.37892e-02,1.66
300,33,6.97992e-01,5.62400e-01,8.53065e-03,1.38239e-02,1.66
300,34,6.99131e-01,5.60200e-01,8.50514e-03,1.38397e-02,1.67
300,35,6.98562e-01,5.63600e-01,8.48860e-03,1.37440e-02,1.67
300,36,6.99869e-01,5.63600e-01,8.47282e-03,1.38375e-02,1.67
300,37,7.00138e-01,5.64400e-01,8.45990e-03,1.37645e-02,1.66
300,38,7.00923e-01,5.62800e-01,8.44135e-03,1.37892e-02,1.66
300,39,7.00900e-01,5.61800e-01,8.42773e-03,1.38381e-02,1.66
300,40,7.02192e-01,5.61600e-01,8.40937e-03,1.38593e-02,1.66
300,41,7.01177e-01,5.67600e-01,8.39469e-03,1.38385e-02,1.66
300,42,7.02185e-01,5.63200e-01,8.38020e-03,1.38178e-02,1.66
300,43,7.02769e-01,5.63800e-01,8.37363e-03,1.38917e-02,1.66
300,44,7.02862e-01,5.61000e-01,8.35954e-03,1.38428e-02,1.66
300,45,7.02862e-01,5.62800e-01,8.34459e-03,1.37962e-02,1.67
300,46,7.03638e-01,5.62600e-01,8.33265e-03,1.39207e-02,1.67
300,47,7.04631e-01,5.61600e-01,8.31362e-03,1.38407e-02,1.67
300,48,7.04031e-01,5.59200e-01,8.30825e-03,1.39094e-02,1.73
300,49,7.04531e-01,5.64600e-01,8.29997e-03,1.38834e-02,1.66
300,50,7.04862e-01,5.62800e-01,8.29059e-03,1.38548e-02,1.67
300,51,7.04469e-01,5.62600e-01,8.28234e-03,1.38568e-02,1.66
300,52,7.05692e-01,5.63400e-01,8.27777e-03,1.39163e-02,1.67
300,53,7.04700e-01,5.60400e-01,8.25810e-03,1.39167e-02,1.71
300,54,7.05508e-01,5.62400e-01,8.25729e-03,1.39074e-02,1.68
300,55,7.05577e-01,5.62400e-01,8.24519e-03,1.38631e-02,1.67
300,56,7.05585e-01,5.63400e-01,8.23934e-03,1.39276e-02,1.67
300,57,7.06985e-01,5.60400e-01,8.23246e-03,1.39842e-02,1.67
300,58,7.06892e-01,5.60400e-01,8.22744e-03,1.39017e-02,1.67
300,59,7.07615e-01,5.65000e-01,8.21850e-03,1.39064e-02,1.67
300,60,7.07269e-01,5.63200e-01,8.20744e-03,1.38795e-02,1.67
300,61,7.07462e-01,5.62000e-01,8.20270e-03,1.38605e-02,1.68
300,62,7.07385e-01,5.65600e-01,8.19274e-03,1.38745e-02,1.67
300,63,7.07869e-01,5.63800e-01,8.19542e-03,1.39380e-02,1.67
300,64,7.08038e-01,5.64000e-01,8.18010e-03,1.38690e-02,1.67
300,65,7.08100e-01,5.61400e-01,8.17620e-03,1.39533e-02,1.68
300,66,7.08377e-01,5.63800e-01,8.16865e-03,1.39137e-02,1.67
300,67,7.09192e-01,5.64000e-01,8.16664e-03,1.39131e-02,1.75
300,68,7.08192e-01,5.62800e-01,8.15732e-03,1.39443e-02,1.67
300,69,7.08462e-01,5.64400e-01,8.15426e-03,1.38734e-02,1.67
300,70,7.08938e-01,5.61800e-01,8.14950e-03,1.38882e-02,1.68
300,71,7.10654e-01,5.62000e-01,8.14238e-03,1.39256e-02,1.71
300,72,7.09531e-01,5.63800e-01,8.13766e-03,1.39026e-02,1.68
300,73,7.10877e-01,5.64000e-01,8.13160e-03,1.38813e-02,1.67
300,74,7.10069e-01,5.63600e-01,8.13041e-03,1.39426e-02,1.67
300,75,7.09015e-01,5.62400e-01,8.12307e-03,1.39839e-02,1.68
300,76,7.10138e-01,5.59600e-01,8.11642e-03,1.39629e-02,1.67
300,77,7.10300e-01,5.64400e-01,8.11500e-03,1.39440e-02,1.67
300,78,7.10631e-01,5.67200e-01,8.11171e-03,1.39306e-02,1.67
300,79,7.09469e-01,5.61200e-01,8.10591e-03,1.40014e-02,1.67
300,80,7.09569e-01,5.64000e-01,8.10194e-03,1.40047e-02,1.67
300,81,7.10423e-01,5.59000e-01,8.10448e-03,1.39388e-02,1.69
300,82,7.10754e-01,5.66000e-01,8.09535e-03,1.39229e-02,1.67
300,83,7.10492e-01,5.65200e-01,8.09643e-03,1.39240e-02,1.67
300,84,7.10362e-01,5.61800e-01,8.09217e-03,1.39648e-02,1.67
300,85,7.10785e-01,5.61800e-01,8.08765e-03,1.39387e-02,1.68
300,86,7.10292e-01,5.63800e-01,8.08778e-03,1.39628e-02,1.67
300,87,7.11238e-01,5.63600e-01,8.07773e-03,1.38718e-02,1.67
300,88,7.12000e-01,5.66800e-01,8.07820e-03,1.38849e-02,1.67
300,89,7.10638e-01,5.66400e-01,8.07879e-03,1.38497e-02,1.69
300,90,7.11123e-01,5.60200e-01,8.07354e-03,1.39790e-02,1.68
300,91,7.11323e-01,5.65800e-01,8.06661e-03,1.39943e-02,1.68
300,92,7.12362e-01,5.65600e-01,8.06848e-03,1.39020e-02,1.68
300,93,7.11615e-01,5.63600e-01,8.05914e-03,1.38852e-02,1.67
300,94,7.11362e-01,5.68000e-01,8.05908e-03,1.39454e-02,1.68
300,95,7.10754e-01,5.61600e-01,8.05799e-03,1.40028e-02,1.73
300,96,7.11508e-01,5.63800e-01,8.06012e-03,1.38786e-02,1.67
300,97,7.11592e-01,5.61800e-01,8.05724e-03,1.40153e-02,1.68
300,98,7.11900e-01,5.67600e-01,8.04517e-03,1.39347e-02,1.67
300,99,7.11454e-01,5.64600e-01,8.04799e-03,1.39970e-02,1.68
300,100,7.12254e-01,5.62800e-01,8.04798e-03,1.40595e-02,1.73
300,101,7.12608e-01,5.61000e-01,8.04497e-03,1.39780e-02,1.68
300,102,7.12192e-01,5.64600e-01,8.04582e-03,1.40296e-02,1.68
300,103,7.12031e-01,5.61800e-01,8.03810e-03,1.40427e-02,1.68
300,104,7.11785e-01,5.63600e-01,8.03739e-03,1.39465e-02,1.68
300,105,7.12369e-01,5.63800e-01,8.03198e-03,1.40181e-02,1.67
300,106,7.12185e-01,5.62200e-01,8.03749e-03,1.40040e-02,1.67
300,107,7.12838e-01,5.62000e-01,8.03390e-03,1.40038e-02,1.67
300,108,7.12454e-01,5.63800e-01,8.02632e-03,1.39334e-02,1.68
300,109,7.12615e-01,5.61600e-01,8.02989e-03,1.40188e-02,1.67
300,110,7.12754e-01,5.62200e-01,8.02100e-03,1.40302e-02,1.70
300,111,7.12485e-01,5.64400e-01,8.02875e-03,1.39917e-02,1.67
300,112,7.13600e-01,5.60800e-01,8.02327e-03,1.39886e-02,1.67
300,113,7.13077e-01,5.63600e-01,8.02336e-03,1.39512e-02,1.67
300,114,7.13354e-01,5.58800e-01,8.01462e-03,1.39982e-02,1.67
300,115,7.12177e-01,5.65800e-01,8.02080e-03,1.40136e-02,1.67
300,116,7.13646e-01,5.63600e-01,8.01616e-03,1.39550e-02,1.67
300,117,7.13438e-01,5.62400e-01,8.01873e-03,1.39935e-02,1.68
300,118,7.13792e-01,5.59600e-01,8.01366e-03,1.39671e-02,1.68
300,119,7.13277e-01,5.61000e-01,8.00892e-03,1.40330e-02,1.67
300,120,7.12992e-01,5.65000e-01,8.00480e-03,1.39784e-02,1.69
300,121,7.13746e-01,5.61000e-01,8.00852e-03,1.39900e-02,1.68
300,122,7.13346e-01,5.62600e-01,8.00616e-03,1.40057e-02,1.68
300,123,7.13685e-01,5.61200e-01,8.01017e-03,1.39029e-02,1.68
300,124,7.13277e-01,5.67400e-01,8.01100e-03,1.39307e-02,1.68
300,125,7.13700e-01,5.59000e-01,8.00370e-03,1.40152e-02,1.73
300,126,7.12892e-01,5.62400e-01,8.00623e-03,1.39621e-02,1.71
300,127,7.14338e-01,5.64400e-01,8.00182e-03,1.40133e-02,1.67
300,128,7.12785e-01,5.62000e-01,7.99815e-03,1.39472e-02,1.68
300,129,7.13738e-01,5.64600e-01,7.99669e-03,1.40655e-02,1.68
300,130,7.13292e-01,5.64800e-01,7.99022e-03,1.39458e-02,1.83
300,131,7.13662e-01,5.63400e-01,7.99867e-03,1.39919e-02,2.11
300,132,7.13715e-01,5.59400e-01,7.99652e-03,1.40304e-02,1.64
300,133,7.14123e-01,5.62400e-01,7.99581e-03,1.39726e-02,1.64
300,134,7.13585e-01,5.65400e-01,7.99308e-03,1.39334e-02,1.65
300,135,7.14215e-01,5.61000e-01,7.99742e-03,1.39630e-02,1.73
300,136,7.13731e-01,5.64000e-01,7.99418e-03,1.40077e-02,1.67
300,137,7.13385e-01,5.56200e-01,7.98822e-03,1.40896e-02,1.65
300,138,7.14523e-01,5.60400e-01,7.98614e-03,1.39713e-02,1.65
300,139,7.13231e-01,5.61600e-01,7.99033e-03,1.39948e-02,1.65
300,140,7.13638e-01,5.62000e-01,7.98484e-03,1.41351e-02,1.66
