pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
300,1,3.16238e-01,3.53400e-01,3.38408e-02,3.43775e-02,37.51
300,2,4.17962e-01,3.84400e-01,3.30171e-02,3.41212e-02,35.25
300,3,4.47162e-01,4.00000e-01,3.27872e-02,3.39988e-02,28.03
300,4,4.61246e-01,4.08200e-01,3.26673e-02,3.39258e-02,26.41
300,5,4.71977e-01,4.19800e-01,3.25819e-02,3.38458e-02,26.51
300,6,4.87108e-01,4.26400e-01,3.24692e-02,3.37982e-02,28.59
300,7,4.99008e-01,4.31000e-01,3.23806e-02,3.37388e-02,23.68
300,8,5.10985e-01,4.37800e-01,3.22847e-02,3.36923e-02,21.96
300,9,5.18215e-01,4.38800e-01,3.22316e-02,3.36802e-02,25.18
300,10,5.23669e-01,4.37600e-01,3.21870e-02,3.36698e-02,21.64
300,11,5.29638e-01,4.42800e-01,3.21420e-02,3.36444e-02,21.04
300,12,5.36908e-01,4.44000e-01,3.20875e-02,3.36097e-02,20.78
300,13,5.42931e-01,4.47000e-01,3.20393e-02,3.36050e-02,20.91
300,14,5.49623e-01,4.49600e-01,3.19917e-02,3.35637e-02,20.77
300,15,5.53862e-01,4.54400e-01,3.19580e-02,3.35413e-02,25.20
300,16,5.57108e-01,4.49200e-01,3.19311e-02,3.35552e-02,21.82
300,17,5.60423e-01,4.49800e-01,3.19059e-02,3.35593e-02,24.23
300,18,5.63038e-01,4.56600e-01,3.18870e-02,3.35310e-02,24.35
300,19,5.66300e-01,4.52800e-01,3.18643e-02,3.35277e-02,26.48
300,20,5.67638e-01,4.55800e-01,3.18477e-02,3.35141e-02,27.26
300,21,5.69654e-01,4.59400e-01,3.18312e-02,3.35068e-02,29.64
300,22,5.71800e-01,4.55800e-01,3.18158e-02,3.35162e-02,24.89
300,23,5.73685e-01,4.55600e-01,3.18010e-02,3.35085e-02,22.00
300,24,5.75392e-01,4.54800e-01,3.17868e-02,3.35051e-02,24.70
300,25,5.76885e-01,4.58000e-01,3.17744e-02,3.35024e-02,32.88
300,26,5.78808e-01,4.56400e-01,3.17620e-02,3.34935e-02,25.55
300,27,5.80369e-01,4.54800e-01,3.17487e-02,3.35044e-02,31.92
300,28,5.81615e-01,4.52200e-01,3.17385e-02,3.35106e-02,32.67
300,29,5.82915e-01,4.57800e-01,3.17284e-02,3.34958e-02,23.89
300,30,5.84292e-01,4.56000e-01,3.17159e-02,3.34971e-02,23.79
300,31,5.85631e-01,4.53400e-01,3.17057e-02,3.35058e-02,26.15
300,32,5.87115e-01,4.56400e-01,3.16965e-02,3.34905e-02,25.71
300,33,5.87600e-01,4.52400e-01,3.16881e-02,3.34974e-02,22.96
300,34,5.89546e-01,4.50800e-01,3.16784e-02,3.35090e-02,23.49
300,35,5.90462e-01,4.55400e-01,3.16680e-02,3.34919e-02,24.34
300,36,5.92085e-01,4.58000e-01,3.16571e-02,3.34776e-02,23.80
300,37,5.93215e-01,4.57000e-01,3.16465e-02,3.34834e-02,31.64
300,38,5.94485e-01,4.51200e-01,3.16369e-02,3.34898e-02,26.40
300,39,5.95585e-01,4.56600e-01,3.16284e-02,3.34840e-02,26.56
300,40,5.96477e-01,4.54800e-01,3.16215e-02,3.34855e-02,25.13
300,41,5.97623e-01,4.55600e-01,3.16129e-02,3.34807e-02,27.00
300,42,5.98100e-01,4.56600e-01,3.16057e-02,3.34880e-02,25.38
300,43,5.99162e-01,4.58400e-01,3.15991e-02,3.34720e-02,27.76
300,44,6.00000e-01,4.57000e-01,3.15922e-02,3.34721e-02,28.19
300,45,6.01146e-01,4.58200e-01,3.15851e-02,3.34813e-02,28.11
300,46,6.01608e-01,4.57600e-01,3.15797e-02,3.34745e-02,26.55
300,47,6.02977e-01,4.57200e-01,3.15725e-02,3.34674e-02,25.52
300,48,6.03185e-01,4.58400e-01,3.15675e-02,3.34704e-02,34.86
300,49,6.03931e-01,4.60600e-01,3.15626e-02,3.34598e-02,32.08
