pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
300,1,1.56620e-01,2.09500e-01,7.00567e-02,6.95182e-02,0.65
300,2,2.37940e-01,2.49100e-01,6.88340e-02,6.88737e-02,0.70
300,3,2.74060e-01,2.73300e-01,6.82747e-02,6.85311e-02,0.78
300,4,2.93300e-01,2.88800e-01,6.79603e-02,6.82955e-02,0.76
300,5,3.10760e-01,2.88600e-01,6.77153e-02,6.82396e-02,0.92
300,6,3.22260e-01,3.04400e-01,6.75264e-02,6.80377e-02,0.91
300,7,3.32020e-01,3.04500e-01,6.73787e-02,6.79816e-02,0.91
300,8,3.40620e-01,3.12500e-01,6.72528e-02,6.78767e-02,0.92
300,9,3.46500e-01,3.17900e-01,6.71496e-02,6.77977e-02,0.91
300,10,3.53800e-01,3.22100e-01,6.70439e-02,6.77178e-02,0.91
300,11,3.61000e-01,3.30900e-01,6.69387e-02,6.76088e-02,0.86
300,12,3.67800e-01,3.32000e-01,6.68386e-02,6.75758e-02,0.54
300,13,3.75620e-01,3.35000e-01,6.67292e-02,6.74883e-02,0.48
300,14,3.83380e-01,3.38900e-01,6.66116e-02,6.74545e-02,0.48
300,15,3.89640e-01,3.45900e-01,6.65228e-02,6.73606e-02,0.51
300,16,3.94900e-01,3.48900e-01,6.64461e-02,6.73269e-02,0.68
300,17,3.99760e-01,3.52900e-01,6.63693e-02,6.72600e-02,0.79
300,18,4.04800e-01,3.56400e-01,6.62860e-02,6.71775e-02,0.78
300,19,4.09160e-01,3.54600e-01,6.62330e-02,6.71934e-02,0.78
300,20,4.12720e-01,3.57100e-01,6.61793e-02,6.71768e-02,0.80
300,21,4.15680e-01,3.63300e-01,6.61226e-02,6.70954e-02,0.80
300,22,4.20240e-01,3.60700e-01,6.60549e-02,6.71004e-02,0.75
300,23,4.25140e-01,3.62800e-01,6.59881e-02,6.70419e-02,0.79
300,24,4.28240e-01,3.67900e-01,6.59407e-02,6.70002e-02,0.64
300,25,4.30860e-01,3.67100e-01,6.58983e-02,6.70253e-02,0.73
300,26,4.34360e-01,3.71800e-01,6.58445e-02,6.69420e-02,0.76
300,27,4.37740e-01,3.66800e-01,6.57968e-02,6.69985e-02,0.79
300,28,4.39980e-01,3.73200e-01,6.57570e-02,6.69156e-02,0.77
300,29,4.42720e-01,3.72700e-01,6.57244e-02,6.69189e-02,0.81
300,30,4.44460e-01,3.75900e-01,6.56876e-02,6.68850e-02,0.76
300,31,4.47060e-01,3.73700e-01,6.56532e-02,6.69068e-02,0.78
300,32,4.48960e-01,3.73900e-01,6.56250e-02,6.69167e-02,0.61
300,33,4.50520e-01,3.73900e-01,6.55925e-02,6.68915e-02,0.65
300,34,4.52360e-01,3.76300e-01,6.55666e-02,6.68756e-02,0.78
300,35,4.53980e-01,3.78600e-01,6.55457e-02,6.68364e-02,0.56
300,36,4.55580e-01,3.77400e-01,6.55122e-02,6.68456e-02,0.49
300,37,4.57400e-01,3.78000e-01,6.54886e-02,6.68437e-02,0.48
300,38,4.58940e-01,3.81200e-01,6.54659e-02,6.67980e-02,0.63
300,39,4.60340e-01,3.77600e-01,6.54409e-02,6.68210e-02,0.70
300,40,4.61820e-01,3.78300e-01,6.54206e-02,6.68324e-02,0.64
300,41,4.63660e-01,3.78100e-01,6.54001e-02,6.68228e-02,0.70
300,42,4.65140e-01,3.82900e-01,6.53697e-02,6.67492e-02,0.71
300,43,4.67100e-01,3.82300e-01,6.53426e-02,6.67546e-02,0.54
300,44,4.68680e-01,3.85500e-01,6.53081e-02,6.67240e-02,0.56
300,45,4.70880e-01,3.82900e-01,6.52836e-02,6.67353e-02,0.74
300,46,4.71260e-01,3.87200e-01,6.52728e-02,6.67112e-02,0.60
300,47,4.72800e-01,3.86800e-01,6.52502e-02,6.67252e-02,0.48
300,48,4.73460e-01,3.86700e-01,6.52306e-02,6.67025e-02,0.73
300,49,4.74740e-01,3.86400e-01,6.52140e-02,6.67015e-02,0.66
300,50,4.75540e-01,3.86600e-01,6.51914e-02,6.66840e-02,0.48
300,51,4.77200e-01,3.82800e-01,6.51715e-02,6.66991e-02,0.64
300,52,4.78280e-01,3.84400e-01,6.51567e-02,6.67138e-02,0.71
300,53,4.79600e-01,3.88100e-01,6.51372e-02,6.66729e-02,0.68
300,54,4.80320e-01,3.84000e-01,6.51273e-02,6.67125e-02,0.63
300,55,4.81400e-01,3.86600e-01,6.51071e-02,6.66776e-02,0.51
300,56,4.82860e-01,3.91100e-01,6.50871e-02,6.66414e-02,0.68
300,57,4.83720e-01,3.90100e-01,6.50705e-02,6.66385e-02,0.64
300,58,4.85200e-01,3.93700e-01,6.50443e-02,6.66233e-02,0.74
300,59,4.86440e-01,3.92000e-01,6.50233e-02,6.66134e-02,0.68
300,60,4.87880e-01,3.90300e-01,6.50061e-02,6.66008e-02,0.79
300,61,4.88820e-01,3.91200e-01,6.49924e-02,6.66138e-02,0.71
300,62,4.90440e-01,3.90800e-01,6.49718e-02,6.65832e-02,0.49
300,63,4.90860e-01,3.91900e-01,6.49624e-02,6.65992e-02,0.53
300,64,4.92380e-01,3.92700e-01,6.49409e-02,6.65860e-02,0.70
300,65,4.92420e-01,3.95100e-01,6.49344e-02,6.65639e-02,0.55
300,66,4.95400e-01,3.94500e-01,6.49094e-02,6.65606e-02,0.51
300,67,4.94960e-01,3.91600e-01,6.49077e-02,6.65992e-02,0.48
300,68,4.95160e-01,3.93000e-01,6.48893e-02,6.65856e-02,0.48
300,69,4.95840e-01,3.93500e-01,6.48881e-02,6.65739e-02,0.57
300,70,4.97260e-01,3.95600e-01,6.48655e-02,6.65590e-02,0.57
300,71,4.97220e-01,3.95000e-01,6.48596e-02,6.65433e-02,0.74
300,72,4.97780e-01,3.95600e-01,6.48512e-02,6.65423e-02,0.75
300,73,4.99140e-01,3.92500e-01,6.48288e-02,6.65709e-02,0.79
300,74,4.99920e-01,3.95800e-01,6.48284e-02,6.65543e-02,0.53
300,75,5.00400e-01,3.92800e-01,6.48132e-02,6.65672e-02,0.66
300,76,5.00320e-01,3.93100e-01,6.48052e-02,6.65785e-02,0.69
300,77,5.01820e-01,3.95500e-01,6.47934e-02,6.65560e-02,0.67
300,78,5.02600e-01,3.94200e-01,6.47823e-02,6.65606e-02,0.58
300,79,5.03100e-01,3.98200e-01,6.47710e-02,6.65139e-02,0.48
300,80,5.03340e-01,3.96700e-01,6.47636e-02,6.65366e-02,0.48
300,81,5.03880e-01,3.93800e-01,6.47566e-02,6.65292e-02,0.48
300,82,5.04540e-01,3.95900e-01,6.47456e-02,6.65191e-02,0.48
300,83,5.05640e-01,3.96900e-01,6.47280e-02,6.65221e-02,0.49
300,84,5.05940e-01,3.96800e-01,6.47217e-02,6.65146e-02,0.65
300,85,5.06640e-01,3.97500e-01,6.47211e-02,6.65253e-02,0.74
300,86,5.06640e-01,3.96600e-01,6.47089e-02,6.65191e-02,0.76
300,87,5.07100e-01,3.98100e-01,6.46981e-02,6.64976e-02,0.63
300,88,5.08320e-01,3.98200e-01,6.46888e-02,6.65050e-02,0.60
300,89,5.08560e-01,3.98400e-01,6.46776e-02,6.65145e-02,0.60
300,90,5.08740e-01,3.95800e-01,6.46714e-02,6.65166e-02,0.67
300,91,5.09460e-01,3.96200e-01,6.46706e-02,6.65082e-02,0.68
300,92,5.10800e-01,3.95400e-01,6.46592e-02,6.65275e-02,0.57
300,93,5.10660e-01,3.94900e-01,6.46445e-02,6.65163e-02,0.52
