pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
300,1,4.07469e-01,4.51400e-01,3.31280e-02,3.36507e-02,61.72
300,2,5.34477e-01,4.88600e-01,3.21110e-02,3.33392e-02,46.32
300,3,5.65954e-01,4.96600e-01,3.18613e-02,3.32267e-02,43.72
300,4,5.82062e-01,5.03200e-01,3.17276e-02,3.31532e-02,44.21
300,5,5.96631e-01,5.08200e-01,3.16198e-02,3.31135e-02,43.05
300,6,6.09608e-01,5.19400e-01,3.15147e-02,3.29292e-02,44.58
300,7,6.19392e-01,5.27400e-01,3.14382e-02,3.28800e-02,42.11
300,8,6.27131e-01,5.26400e-01,3.13790e-02,3.28429e-02,42.63
300,9,6.36385e-01,5.33400e-01,3.13095e-02,3.27990e-02,44.27
300,10,6.43523e-01,5.36400e-01,3.12552e-02,3.27639e-02,42.61
300,11,6.48646e-01,5.34400e-01,3.12183e-02,3.27575e-02,44.57
300,12,6.53238e-01,5.40800e-01,3.11818e-02,3.27315e-02,43.55
300,13,6.61592e-01,5.42400e-01,3.11213e-02,3.27061e-02,43.93
300,14,6.65931e-01,5.45600e-01,3.10860e-02,3.26966e-02,43.20
300,15,6.68977e-01,5.47600e-01,3.10592e-02,3.26826e-02,44.09
300,16,6.72046e-01,5.46800e-01,3.10350e-02,3.26748e-02,41.69
300,17,6.74385e-01,5.49200e-01,3.10136e-02,3.26760e-02,43.56
300,18,6.77385e-01,5.48800e-01,3.09925e-02,3.26606e-02,51.07
300,19,6.79569e-01,5.46000e-01,3.09745e-02,3.26663e-02,56.20
300,20,6.82238e-01,5.47800e-01,3.09565e-02,3.26576e-02,45.28
300,21,6.83908e-01,5.46400e-01,3.09405e-02,3.26674e-02,44.70
300,22,6.85662e-01,5.46600e-01,3.09248e-02,3.26698e-02,44.66
300,23,6.87992e-01,5.49400e-01,3.09092e-02,3.26455e-02,43.01
300,24,6.89200e-01,5.51200e-01,3.08951e-02,3.26472e-02,43.11
300,25,6.91031e-01,5.52600e-01,3.08816e-02,3.26320e-02,44.31
300,26,6.94046e-01,5.55000e-01,3.08608e-02,3.26376e-02,45.66
300,27,6.95931e-01,5.54000e-01,3.08426e-02,3.26243e-02,44.42
300,28,6.98369e-01,5.52400e-01,3.08286e-02,3.26202e-02,47.44
300,29,7.00038e-01,5.50800e-01,3.08127e-02,3.26186e-02,45.40
300,30,7.01800e-01,5.53400e-01,3.07985e-02,3.26224e-02,44.79
300,31,7.03500e-01,5.50800e-01,3.07858e-02,3.26157e-02,47.98
300,32,7.05154e-01,5.54800e-01,3.07737e-02,3.26078e-02,44.71
300,33,7.06546e-01,5.55600e-01,3.07621e-02,3.26032e-02,46.05
300,34,7.08062e-01,5.51600e-01,3.07501e-02,3.25996e-02,44.95
300,35,7.09292e-01,5.50800e-01,3.07409e-02,3.26077e-02,46.23
300,36,7.10569e-01,5.56600e-01,3.07306e-02,3.25938e-02,46.31
300,37,7.12308e-01,5.54600e-01,3.07200e-02,3.26001e-02,45.96
300,38,7.13023e-01,5.54400e-01,3.07112e-02,3.26010e-02,46.03
300,39,7.13862e-01,5.56800e-01,3.07036e-02,3.25917e-02,46.40
300,40,7.14862e-01,5.55000e-01,3.06949e-02,3.25930e-02,45.08
300,41,7.15600e-01,5.59600e-01,3.06880e-02,3.25731e-02,45.30
300,42,7.17031e-01,5.55000e-01,3.06797e-02,3.25876e-02,47.58
300,43,7.17885e-01,5.58000e-01,3.06711e-02,3.25807e-02,46.86
300,44,7.19108e-01,5.60400e-01,3.06644e-02,3.25707e-02,47.03
