pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
300,1,3.27577e-01,3.59200e-01,3.37773e-02,3.42815e-02,54.70
300,2,4.38608e-01,3.95600e-01,3.28767e-02,3.39705e-02,26.47
300,3,4.67823e-01,4.05800e-01,3.26400e-02,3.38599e-02,25.14
300,4,4.86708e-01,4.16400e-01,3.24894e-02,3.37810e-02,25.31
300,5,5.00654e-01,4.27800e-01,3.23803e-02,3.36848e-02,25.49
300,6,5.12977e-01,4.33200e-01,3.22858e-02,3.36475e-02,31.08
300,7,5.24777e-01,4.39600e-01,3.21992e-02,3.35709e-02,35.39
300,8,5.32977e-01,4.44400e-01,3.21315e-02,3.35480e-02,34.25
300,9,5.39215e-01,4.41800e-01,3.20832e-02,3.35393e-02,32.51
300,10,5.44946e-01,4.46800e-01,3.20417e-02,3.34917e-02,35.70
300,11,5.49769e-01,4.48000e-01,3.20058e-02,3.34998e-02,35.54
300,12,5.53423e-01,4.42400e-01,3.19744e-02,3.34994e-02,23.09
300,13,5.56892e-01,4.47800e-01,3.19454e-02,3.34758e-02,20.97
300,14,5.61438e-01,4.52800e-01,3.19116e-02,3.34590e-02,20.98
300,15,5.65246e-01,4.52400e-01,3.18778e-02,3.34318e-02,20.97
300,16,5.69362e-01,4.54400e-01,3.18505e-02,3.34264e-02,21.17
300,17,5.74200e-01,4.58000e-01,3.18165e-02,3.33869e-02,21.16
300,18,5.78315e-01,4.61200e-01,3.17824e-02,3.33613e-02,20.40
300,19,5.85508e-01,4.60000e-01,3.17294e-02,3.33492e-02,21.07
300,20,5.90323e-01,4.65400e-01,3.16949e-02,3.33187e-02,22.52
300,21,5.94846e-01,4.70600e-01,3.16663e-02,3.33140e-02,27.97
300,22,6.01077e-01,4.78400e-01,3.16188e-02,3.32663e-02,25.27
300,23,6.08192e-01,4.78800e-01,3.15643e-02,3.32281e-02,24.68
300,24,6.12400e-01,4.77400e-01,3.15365e-02,3.32424e-02,47.45
300,25,6.14808e-01,4.78400e-01,3.15162e-02,3.32169e-02,31.04
300,26,6.17608e-01,4.75800e-01,3.14966e-02,3.32370e-02,39.61
300,27,6.20000e-01,4.76800e-01,3.14777e-02,3.32275e-02,32.43
300,28,6.21877e-01,4.79400e-01,3.14609e-02,3.32029e-02,21.93
300,29,6.23746e-01,4.77400e-01,3.14482e-02,3.32086e-02,22.73
300,30,6.25600e-01,4.79200e-01,3.14343e-02,3.32108e-02,24.01
300,31,6.27615e-01,4.80400e-01,3.14204e-02,3.31906e-02,23.62
300,32,6.29192e-01,4.82000e-01,3.14077e-02,3.32013e-02,21.55
300,33,6.30323e-01,4.78400e-01,3.13973e-02,3.31832e-02,21.30
300,34,6.32008e-01,4.77600e-01,3.13848e-02,3.32107e-02,21.22
300,35,6.32908e-01,4.80400e-01,3.13759e-02,3.31944e-02,20.26
300,36,6.34192e-01,4.79600e-01,3.13636e-02,3.31925e-02,21.18
300,37,6.36038e-01,4.82000e-01,3.13536e-02,3.31751e-02,23.55
300,38,6.36962e-01,4.82200e-01,3.13431e-02,3.31726e-02,24.22
300,39,6.39762e-01,4.85400e-01,3.13224e-02,3.31434e-02,24.60
300,40,6.42969e-01,4.88600e-01,3.12995e-02,3.31227e-02,23.31
300,41,6.47485e-01,4.89000e-01,3.12641e-02,3.31194e-02,24.56
300,42,6.49608e-01,4.88800e-01,3.12499e-02,3.31088e-02,24.50
300,43,6.50862e-01,4.89200e-01,3.12373e-02,3.31239e-02,23.52
300,44,6.52338e-01,4.94800e-01,3.12285e-02,3.30951e-02,26.37
300,45,6.53423e-01,4.94600e-01,3.12179e-02,3.30895e-02,24.29
300,46,6.55292e-01,4.94000e-01,3.12067e-02,3.30830e-02,24.63
300,47,6.57862e-01,4.90000e-01,3.11871e-02,3.30895e-02,24.33
300,48,6.59077e-01,4.93200e-01,3.11758e-02,3.30978e-02,23.84
300,49,6.60769e-01,4.94000e-01,3.11654e-02,3.30754e-02,25.88
300,50,6.61469e-01,4.91200e-01,3.11564e-02,3.30850e-02,24.28
300,51,6.62708e-01,4.93400e-01,3.11495e-02,3.30719e-02,27.40
300,52,6.63700e-01,4.92000e-01,3.11427e-02,3.30897e-02,25.92
300,53,6.64669e-01,4.89200e-01,3.11349e-02,3.30994e-02,29.99
300,54,6.65662e-01,4.94800e-01,3.11276e-02,3.30688e-02,31.04
300,55,6.66223e-01,4.92400e-01,3.11209e-02,3.30836e-02,30.22
300,56,6.67646e-01,4.94600e-01,3.11156e-02,3.30859e-02,26.18
300,57,6.67954e-01,4.95000e-01,3.11088e-02,3.30785e-02,28.38
300,58,6.68846e-01,4.96400e-01,3.11033e-02,3.30706e-02,25.39
300,59,6.69892e-01,4.93200e-01,3.10972e-02,3.30805e-02,23.91
300,60,6.70154e-01,4.93200e-01,3.10912e-02,3.30838e-02,23.91
300,61,6.71054e-01,4.93000e-01,3.10865e-02,3.30754e-02,25.35
300,62,6.71738e-01,4.96800e-01,3.10808e-02,3.30667e-02,27.37
300,63,6.71746e-01,4.92200e-01,3.10751e-02,3.30764e-02,24.59
300,64,6.73077e-01,4.93800e-01,3.10697e-02,3.30754e-02,32.37
300,65,6.73385e-01,4.96400e-01,3.10670e-02,3.30644e-02,37.07
300,66,6.74085e-01,4.96600e-01,3.10615e-02,3.30639e-02,36.16
300,67,6.74785e-01,4.93400e-01,3.10565e-02,3.30797e-02,32.96
300,68,6.75138e-01,4.94000e-01,3.10534e-02,3.30804e-02,24.54
300,69,6.75654e-01,4.93200e-01,3.10491e-02,3.30731e-02,23.76
300,70,6.76185e-01,4.95400e-01,3.10436e-02,3.30724e-02,24.57
300,71,6.76538e-01,4.93600e-01,3.10405e-02,3.30643e-02,23.07
300,72,6.77285e-01,4.95600e-01,3.10353e-02,3.30629e-02,24.30
300,73,6.77731e-01,4.92000e-01,3.10332e-02,3.30775e-02,22.17
300,74,6.78123e-01,4.96000e-01,3.10277e-02,3.30751e-02,21.03
300,75,6.78815e-01,4.94800e-01,3.10245e-02,3.30722e-02,21.88
300,76,6.79262e-01,4.96000e-01,3.10211e-02,3.30529e-02,23.11
300,77,6.79885e-01,4.94400e-01,3.10167e-02,3.30750e-02,22.87
300,78,6.80131e-01,4.92200e-01,3.10135e-02,3.30710e-02,23.43
300,79,6.80738e-01,4.93000e-01,3.10101e-02,3.30709e-02,22.34
300,80,6.81054e-01,4.93600e-01,3.10079e-02,3.30623e-02,22.12
300,81,6.81308e-01,4.94200e-01,3.10036e-02,3.30643e-02,24.70
300,82,6.81546e-01,4.91600e-01,3.10001e-02,3.30808e-02,27.83
300,83,6.82015e-01,4.92400e-01,3.09971e-02,3.30811e-02,24.90
300,84,6.82492e-01,4.93400e-01,3.09947e-02,3.30686e-02,24.35
300,85,6.83031e-01,4.94800e-01,3.09909e-02,3.30689e-02,24.42
300,86,6.83100e-01,4.92600e-01,3.09888e-02,3.30748e-02,23.73
300,87,6.83654e-01,4.94400e-01,3.09854e-02,3.30710e-02,25.88
300,88,6.83685e-01,4.92200e-01,3.09828e-02,3.30758e-02,24.61
300,89,6.84369e-01,4.94200e-01,3.09793e-02,3.30676e-02,23.43
300,90,6.84569e-01,4.90600e-01,3.09785e-02,3.30805e-02,23.84
300,91,6.84592e-01,4.91000e-01,3.09758e-02,3.30726e-02,22.99
300,92,6.84977e-01,4.94400e-01,3.09732e-02,3.30744e-02,23.77
300,93,6.85685e-01,4.93400e-01,3.09697e-02,3.30772e-02,24.56
300,94,6.88269e-01,4.99200e-01,3.09481e-02,3.30329e-02,24.30
300,95,6.90546e-01,4.95600e-01,3.09292e-02,3.30526e-02,25.66
300,96,6.91323e-01,4.96600e-01,3.09237e-02,3.30561e-02,23.59
300,97,6.91777e-01,4.98200e-01,3.09207e-02,3.30335e-02,23.58
300,98,6.92254e-01,4.96600e-01,3.09167e-02,3.30407e-02,24.19
300,99,6.92538e-01,4.98600e-01,3.09141e-02,3.30379e-02,22.78
300,100,6.92938e-01,4.98400e-01,3.09104e-02,3.30379e-02,23.77
300,101,6.93285e-01,5.01800e-01,3.09072e-02,3.30335e-02,25.49
300,102,6.93485e-01,4.97800e-01,3.09062e-02,3.30472e-02,23.23
300,103,6.93969e-01,4.97600e-01,3.09028e-02,3.30367e-02,23.62
300,104,6.94662e-01,4.98400e-01,3.08991e-02,3.30485e-02,22.97
300,105,6.94769e-01,5.01200e-01,3.08968e-02,3.30345e-02,26.68
300,106,6.95200e-01,4.96200e-01,3.08950e-02,3.30506e-02,22.90
300,107,6.95631e-01,4.99400e-01,3.08919e-02,3.30416e-02,23.13
300,108,6.95577e-01,4.97600e-01,3.08888e-02,3.30386e-02,23.52
300,109,6.95869e-01,4.97200e-01,3.08882e-02,3.30350e-02,22.40
300,110,6.96100e-01,4.96000e-01,3.08868e-02,3.30476e-02,22.81
300,111,6.96454e-01,4.97400e-01,3.08843e-02,3.30363e-02,21.67
300,112,6.96823e-01,4.95200e-01,3.08810e-02,3.30428e-02,22.60
300,113,6.96962e-01,4.95200e-01,3.08794e-02,3.30498e-02,22.28
300,114,6.97254e-01,4.99800e-01,3.08787e-02,3.30313e-02,20.93
300,115,6.98938e-01,5.01800e-01,3.08654e-02,3.29931e-02,20.94
300,116,7.05446e-01,5.05600e-01,3.08159e-02,3.29731e-02,21.49
300,117,7.06354e-01,5.06000e-01,3.08092e-02,3.29767e-02,20.75
300,118,7.06946e-01,5.05600e-01,3.08056e-02,3.29779e-02,21.11
300,119,7.07154e-01,5.06800e-01,3.08028e-02,3.29649e-02,21.67
300,120,7.07462e-01,5.04000e-01,3.08002e-02,3.29722e-02,20.61
300,121,7.07600e-01,5.05000e-01,3.07986e-02,3.29856e-02,21.73
300,122,7.07692e-01,5.04800e-01,3.07962e-02,3.29831e-02,22.57
300,123,7.08438e-01,5.08400e-01,3.07937e-02,3.29735e-02,19.86
300,124,7.08654e-01,5.06800e-01,3.07924e-02,3.29677e-02,20.46
300,125,7.08746e-01,5.04400e-01,3.07911e-02,3.29757e-02,24.81
300,126,7.08969e-01,5.08400e-01,3.07875e-02,3.29807e-02,23.14
300,127,7.09023e-01,5.08800e-01,3.07862e-02,3.29710e-02,22.67
300,128,7.09331e-01,5.05600e-01,3.07849e-02,3.29748e-02,21.59
300,129,7.09500e-01,5.06000e-01,3.07831e-02,3.29760e-02,21.46
300,130,7.09769e-01,5.06800e-01,3.07819e-02,3.29698e-02,22.12
300,131,7.09808e-01,5.04600e-01,3.07801e-02,3.29823e-02,20.70
300,132,7.09969e-01,5.10800e-01,3.07800e-02,3.29620e-02,21.08
300,133,7.10246e-01,5.06000e-01,3.07773e-02,3.29745e-02,22.65
300,134,7.10615e-01,5.06800e-01,3.07762e-02,3.29747e-02,21.48
300,135,7.10700e-01,5.07200e-01,3.07741e-02,3.29706e-02,21.99
300,136,7.10823e-01,5.09200e-01,3.07734e-02,3.29722e-02,23.76
300,137,7.11077e-01,5.07400e-01,3.07717e-02,3.29730e-02,23.01
300,138,7.11308e-01,5.08800e-01,3.07707e-02,3.29646e-02,25.13
300,139,7.11446e-01,5.05600e-01,3.07677e-02,3.29684e-02,27.56
300,140,7.11700e-01,5.07800e-01,3.07676e-02,3.29647e-02,34.84
300,141,7.11554e-01,5.09200e-01,3.07662e-02,3.29685e-02,31.68
300,142,7.12000e-01,5.06400e-01,3.07650e-02,3.29671e-02,23.88
300,143,7.11977e-01,5.08200e-01,3.07637e-02,3.29673e-02,21.39
300,144,7.12154e-01,5.09000e-01,3.07628e-02,3.29641e-02,22.67
300,145,7.12415e-01,5.07200e-01,3.07616e-02,3.29618e-02,24.27
300,146,7.12600e-01,5.08000e-01,3.07602e-02,3.29712e-02,21.02
300,147,7.12831e-01,5.03600e-01,3.07586e-02,3.29781e-02,20.78
300,148,7.12808e-01,5.05800e-01,3.07580e-02,3.29606e-02,25.00
300,149,7.12908e-01,5.10200e-01,3.07567e-02,3.29648e-02,21.24
300,150,7.13146e-01,5.12000e-01,3.07547e-02,3.29516e-02,20.80
300,151,7.13192e-01,5.05600e-01,3.07533e-02,3.29715e-02,22.62
300,152,7.13369e-01,5.08400e-01,3.07534e-02,3.29726e-02,22.92
300,153,7.13531e-01,5.06800e-01,3.07526e-02,3.29741e-02,22.19
300,154,7.13554e-01,5.08000e-01,3.07517e-02,3.29617e-02,25.17
