epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,7.975793e-04,85.00000,35.00000,21479
1,1,6.944450e-04,50.00000,48.00000,1391
1,2,7.032489e-04,71.00000,42.00000,697
1,3,7.163297e-04,55.00000,48.00000,913
1,4,5.479270e-04,72.00000,42.00000,772
1,5,5.837916e-04,72.00000,42.00000,1030
1,6,5.658059e-04,75.00000,42.00000,1109
1,7,5.474751e-04,60.00000,48.00000,1644
1,8,5.215683e-04,73.00000,42.00000,1525
1,9,5.046707e-04,75.00000,42.00000,1014
1,10,4.935108e-04,61.00000,42.00000,1315
1,11,5.221629e-04,67.00000,42.00000,1175
1,12,4.596396e-04,75.00000,42.00000,1116
1,13,4.599217e-04,67.00000,42.00000,1145
1,14,4.855431e-04,65.00000,42.00000,1274
1,15,4.868011e-04,62.00000,42.00000,964
1,16,4.605065e-04,69.00000,42.00000,1120
1,17,4.621608e-04,64.00000,42.00000,1269
1,18,4.608407e-04,75.00000,42.00000,1278
1,19,4.353035e-04,39.00000,54.00000,1318
1,20,4.364397e-04,69.00000,42.00000,1253
1,21,4.366578e-04,68.00000,42.00000,1290
1,22,4.380781e-04,72.00000,42.00000,1351
1,23,4.377197e-04,75.00000,42.00000,1264
1,24,3.621611e-04,50.00000,48.00000,1219
1,25,3.640728e-04,53.00000,48.00000,1342
1,26,3.650753e-04,57.00000,48.00000,1344
1,27,3.270649e-04,45.00000,54.00000,1566
1,28,3.978522e-04,72.00000,42.00000,1045
1,29,3.993764e-04,76.00000,42.00000,1229
1,30,3.500518e-04,58.00000,48.00000,1321
1,31,3.979971e-04,75.00000,42.00000,1255
1,32,3.307419e-04,53.00000,48.00000,1299
1,33,3.781540e-04,69.00000,42.00000,1124
1,34,3.428273e-04,67.00000,42.00000,1342
1,35,3.660784e-04,57.00000,48.00000,1210
1,36,3.357586e-04,53.00000,48.00000,1288
1,37,3.459252e-04,59.00000,42.00000,1392
1,38,3.475496e-04,57.00000,42.00000,1222
1,39,4.308421e-04,85.00000,35.00000,2097
1,40,3.383139e-04,68.00000,42.00000,1494
1,41,3.414381e-04,75.00000,42.00000,1204
1,42,2.997276e-04,59.00000,48.00000,1175
1,43,3.320992e-04,75.00000,42.00000,1302
1,44,3.059751e-04,63.00000,42.00000,1176
1,45,3.047512e-04,57.00000,48.00000,1186
1,46,2.941961e-04,63.00000,48.00000,1276
1,47,3.274385e-04,67.00000,42.00000,1134
1,48,3.087204e-04,77.00000,42.00000,1281
1,49,3.096333e-04,70.00000,42.00000,1153
1,50,3.128338e-04,71.00000,42.00000,1189
1,51,2.441091e-04,55.00000,54.00000,1567
1,52,2.562106e-04,56.00000,48.00000,1509
1,53,2.600481e-04,64.00000,48.00000,1304
1,54,2.960149e-04,57.00000,42.00000,1251
1,55,2.529323e-04,60.00000,48.00000,1443
1,56,2.272439e-04,54.00000,54.00000,1414
1,57,2.814815e-04,67.00000,42.00000,1164
1,58,2.832569e-04,72.00000,42.00000,1224
1,59,2.817284e-04,57.00000,42.00000,1308
1,60,3.187074e-04,88.00000,35.00000,1162
1,61,2.620974e-04,73.00000,42.00000,1247
1,62,2.478483e-04,51.00000,48.00000,1349
1,63,2.367586e-04,48.00000,48.00000,1329
1,64,2.559223e-04,65.00000,42.00000,1168
1,65,2.155299e-04,51.00000,54.00000,1391
1,66,2.459396e-04,72.00000,42.00000,1287
1,67,2.305634e-04,58.00000,48.00000,1213
1,68,2.485374e-04,76.00000,42.00000,1248
1,69,2.168044e-04,55.00000,48.00000,1276
1,70,2.494646e-04,63.00000,42.00000,1185
1,71,2.527449e-04,70.00000,42.00000,1269
1,72,2.385625e-04,57.00000,42.00000,1286
1,73,2.408269e-04,64.00000,42.00000,1196
1,74,2.158158e-04,59.00000,48.00000,1247
1,75,2.097636e-04,65.00000,48.00000,1453
1,76,2.317496e-04,62.00000,42.00000,1027
1,77,2.342588e-04,74.00000,42.00000,1330
1,78,2.591083e-04,72.00000,42.00000,1566
1,79,2.445713e-04,81.00000,36.00000,1308
1,80,2.116588e-04,51.00000,54.00000,1378
1,81,1.891912e-04,70.00000,42.00000,1282
1,82,2.251288e-04,66.00000,42.00000,1218
1,83,2.036113e-04,59.00000,48.00000,1291
1,84,1.902416e-04,57.00000,48.00000,1301
1,85,1.960389e-04,43.00000,48.00000,1249
1,86,1.921303e-04,65.00000,48.00000,1189
1,87,2.657106e-04,91.00000,35.00000,1261
1,88,1.870210e-04,63.00000,48.00000,1499
1,89,1.894394e-04,67.00000,48.00000,1424
1,90,2.145917e-04,71.00000,42.00000,1141
1,91,2.126879e-04,68.00000,42.00000,1210
1,92,1.901586e-04,54.00000,48.00000,1329
1,93,2.156786e-04,72.00000,42.00000,1109
1,94,2.125048e-04,62.00000,42.00000,1221
1,95,2.042153e-04,68.00000,42.00000,1214
1,96,1.852627e-04,56.00000,54.00000,1242
1,97,2.001732e-04,67.00000,42.00000,1376
1,98,2.066850e-04,68.00000,42.00000,1258
1,99,2.124216e-04,70.00000,42.00000,1262
1,100,2.081472e-04,61.00000,42.00000,1226
1,101,2.027108e-04,63.00000,42.00000,1148
1,102,2.358818e-04,86.00000,35.00000,1151
1,103,2.119057e-04,63.00000,42.00000,1227
1,104,1.799391e-04,57.00000,48.00000,1345
1,105,1.996781e-04,75.00000,42.00000,1371
1,106,2.047248e-04,62.00000,42.00000,1121
1,107,1.830542e-04,59.00000,48.00000,1084
1,108,1.768474e-04,53.00000,48.00000,846
1,109,1.999887e-04,60.00000,42.00000,769
1,110,1.763774e-04,53.00000,48.00000,658
1,111,1.753084e-04,62.00000,48.00000,673
1,112,2.310722e-04,85.00000,35.00000,680
1,113,1.930437e-04,66.00000,42.00000,650
1,114,1.800535e-04,65.00000,48.00000,656
1,115,2.026245e-04,68.00000,42.00000,665
1,116,2.280990e-04,89.00000,35.00000,667
1,117,1.962400e-04,64.00000,42.00000,655
1,118,1.947124e-04,71.00000,42.00000,646
1,119,2.007956e-04,67.00000,42.00000,639
1,120,1.954186e-04,69.00000,42.00000,637
1,121,1.959961e-04,74.00000,42.00000,650
1,122,1.973184e-04,64.00000,42.00000,652
1,123,1.977108e-04,71.00000,42.00000,650
1,124,1.896346e-04,75.00000,42.00000,660
1,125,1.729558e-04,53.00000,48.00000,684
2,0,1.707957e-04,54.00000,48.00000,5811
2,1,1.917964e-04,69.00000,42.00000,6048
2,2,1.908155e-04,67.00000,42.00000,988
2,3,1.872229e-04,73.00000,42.00000,956
2,4,1.814612e-04,73.00000,42.00000,881
2,5,1.899117e-04,69.00000,42.00000,1461
2,6,1.803015e-04,69.00000,42.00000,875
2,7,1.872948e-04,60.00000,48.00000,840
2,8,1.810917e-04,43.00000,48.00000,984
2,9,1.816776e-04,50.00000,48.00000,780
2,10,1.903934e-04,63.00000,42.00000,936
2,11,1.726240e-04,62.00000,48.00000,6368
2,12,1.748495e-04,54.00000,48.00000,800
2,13,1.649375e-04,56.00000,48.00000,1565
2,14,1.776404e-04,61.00000,48.00000,637
2,15,1.963901e-04,79.00000,42.00000,2697
2,16,1.804985e-04,53.00000,54.00000,1207
2,17,1.960110e-04,69.00000,42.00000,837
2,18,1.789791e-04,54.00000,48.00000,657
2,19,2.020641e-04,69.00000,42.00000,923
2,20,1.744201e-04,65.00000,48.00000,1040
2,21,1.927413e-04,68.00000,42.00000,5037
2,22,2.055990e-04,63.00000,42.00000,783
2,23,1.848025e-04,58.00000,48.00000,1973
2,24,1.777317e-04,53.00000,48.00000,759
2,25,1.753174e-04,62.00000,42.00000,3297
2,26,1.739694e-04,52.00000,54.00000,946
2,27,1.669326e-04,54.00000,54.00000,960
2,28,1.957327e-04,62.00000,42.00000,903
2,29,1.982488e-04,73.00000,42.00000,896
2,30,1.936500e-04,72.00000,42.00000,1010
2,31,1.961700e-04,71.00000,42.00000,5286
2,32,1.776636e-04,48.00000,48.00000,970
2,33,1.943598e-04,63.00000,48.00000,867
2,34,1.946030e-04,75.00000,42.00000,695
2,35,2.015941e-04,74.00000,42.00000,835
2,36,1.876754e-04,74.00000,42.00000,1184
2,37,1.965266e-04,57.00000,42.00000,875
2,38,1.837051e-04,59.00000,54.00000,1700
2,39,1.977080e-04,62.00000,42.00000,1431
2,40,1.694637e-04,54.00000,54.00000,1347
2,41,2.069339e-04,75.00000,42.00000,5193
2,42,2.064880e-04,90.00000,35.00000,890
2,43,2.021608e-04,73.00000,42.00000,854
2,44,2.019719e-04,63.00000,42.00000,742
2,45,1.925997e-04,75.00000,42.00000,874
2,46,1.969770e-04,65.00000,48.00000,1074
2,47,1.964813e-04,65.00000,48.00000,1009
2,48,1.944675e-04,67.00000,42.00000,814
2,49,2.024561e-04,91.00000,36.00000,1114
2,50,2.264287e-04,64.00000,42.00000,1389
2,51,2.086405e-04,67.00000,42.00000,5608
2,52,1.984299e-04,74.00000,42.00000,800
2,53,1.994869e-04,74.00000,42.00000,954
2,54,1.982009e-04,61.00000,48.00000,858
2,55,2.109584e-04,59.00000,48.00000,935
2,56,1.950987e-04,68.00000,42.00000,1151
2,57,2.050221e-04,72.00000,42.00000,940
2,58,2.088170e-04,69.00000,42.00000,938
