pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
300,1,1.50100e-01,1.89600e-01,3.51518e-02,3.56405e-02,36.94
300,2,2.00954e-01,2.06600e-01,3.47261e-02,3.54682e-02,34.35
300,3,2.12685e-01,2.07600e-01,3.46114e-02,3.54139e-02,30.53
300,4,2.20531e-01,2.11000e-01,3.45397e-02,3.53740e-02,38.87
300,5,2.32492e-01,2.27000e-01,3.44564e-02,3.52817e-02,39.22
300,6,2.43954e-01,2.35600e-01,3.43705e-02,3.52166e-02,37.91
300,7,2.54562e-01,2.39400e-01,3.42937e-02,3.51716e-02,37.91
300,8,2.59515e-01,2.39800e-01,3.42498e-02,3.51481e-02,37.93
300,9,2.63162e-01,2.44400e-01,3.42194e-02,3.51251e-02,39.05
300,10,2.66392e-01,2.43800e-01,3.41935e-02,3.51035e-02,41.25
300,11,2.69985e-01,2.47400e-01,3.41672e-02,3.50827e-02,38.78
300,12,2.73123e-01,2.51800e-01,3.41393e-02,3.50587e-02,38.71
300,13,2.76815e-01,2.54200e-01,3.41137e-02,3.50532e-02,39.03
300,14,2.79146e-01,2.51400e-01,3.40929e-02,3.50354e-02,39.50
300,15,2.81115e-01,2.54600e-01,3.40750e-02,3.50314e-02,37.51
300,16,2.82785e-01,2.56600e-01,3.40605e-02,3.50080e-02,39.17
300,17,2.85231e-01,2.55000e-01,3.40449e-02,3.50000e-02,37.96
300,18,2.86569e-01,2.56800e-01,3.40295e-02,3.49962e-02,38.86
300,19,2.88169e-01,2.56000e-01,3.40190e-02,3.49892e-02,43.20
300,20,2.89731e-01,2.60200e-01,3.40077e-02,3.49686e-02,39.66
300,21,2.90846e-01,2.58800e-01,3.39956e-02,3.49663e-02,39.71
300,22,2.92146e-01,2.62400e-01,3.39866e-02,3.49571e-02,38.33
300,23,2.93769e-01,2.58600e-01,3.39774e-02,3.49656e-02,38.38
300,24,2.94431e-01,2.62000e-01,3.39694e-02,3.49623e-02,39.03
300,25,2.95423e-01,2.62800e-01,3.39608e-02,3.49526e-02,40.55
300,26,2.96815e-01,2.61200e-01,3.39528e-02,3.49418e-02,37.14
300,27,2.97023e-01,2.63800e-01,3.39464e-02,3.49393e-02,39.53
300,28,2.97731e-01,2.63400e-01,3.39397e-02,3.49393e-02,39.42
300,29,2.99008e-01,2.64600e-01,3.39342e-02,3.49306e-02,40.45
300,30,2.99208e-01,2.65200e-01,3.39282e-02,3.49184e-02,39.90
300,31,2.99992e-01,2.63800e-01,3.39225e-02,3.49144e-02,37.97
300,32,3.00854e-01,2.66200e-01,3.39174e-02,3.49152e-02,40.30
300,33,3.01746e-01,2.64400e-01,3.39111e-02,3.49175e-02,40.11
300,34,3.02038e-01,2.68800e-01,3.39066e-02,3.49019e-02,38.99
300,35,3.02815e-01,2.63800e-01,3.39024e-02,3.49066e-02,39.27
300,36,3.02923e-01,2.66400e-01,3.38976e-02,3.49086e-02,39.61
300,37,3.04038e-01,2.67600e-01,3.38923e-02,3.48956e-02,39.34
300,38,3.04146e-01,2.67400e-01,3.38898e-02,3.48909e-02,37.40
300,39,3.05038e-01,2.67000e-01,3.38845e-02,3.48955e-02,38.66
300,40,3.05331e-01,2.66200e-01,3.38811e-02,3.48859e-02,39.22
300,41,3.06285e-01,2.67600e-01,3.38753e-02,3.48888e-02,40.24
300,42,3.06808e-01,2.69200e-01,3.38719e-02,3.48899e-02,40.70
300,43,3.07062e-01,2.68800e-01,3.38681e-02,3.48802e-02,37.12
300,44,3.07377e-01,2.66600e-01,3.38643e-02,3.48775e-02,40.37
300,45,3.07838e-01,2.68400e-01,3.38613e-02,3.48747e-02,40.20
300,46,3.08492e-01,2.69200e-01,3.38578e-02,3.48687e-02,40.49
300,47,3.08969e-01,2.69000e-01,3.38546e-02,3.48867e-02,40.11
300,48,3.09415e-01,2.68000e-01,3.38512e-02,3.48709e-02,40.11
300,49,3.09815e-01,2.68800e-01,3.38487e-02,3.48645e-02,40.51
300,50,3.10285e-01,2.71200e-01,3.38460e-02,3.48672e-02,40.44
300,51,3.10654e-01,2.69400e-01,3.38428e-02,3.48644e-02,39.53
300,52,3.10638e-01,2.70000e-01,3.38403e-02,3.48694e-02,42.00
300,53,3.11108e-01,2.69600e-01,3.38380e-02,3.48791e-02,39.43
300,54,3.11931e-01,2.67800e-01,3.38349e-02,3.48620e-02,40.58
300,55,3.11877e-01,2.70200e-01,3.38334e-02,3.48627e-02,39.00
300,56,3.12731e-01,2.69400e-01,3.38291e-02,3.48632e-02,39.20
300,57,3.12692e-01,2.71800e-01,3.38276e-02,3.48575e-02,39.56
300,58,3.13192e-01,2.70400e-01,3.38261e-02,3.48596e-02,39.43
300,59,3.13577e-01,2.71800e-01,3.38235e-02,3.48572e-02,40.62
300,60,3.13315e-01,2.72200e-01,3.38214e-02,3.48717e-02,38.10
300,61,3.13546e-01,2.70400e-01,3.38198e-02,3.48521e-02,39.63
300,62,3.13946e-01,2.72200e-01,3.38178e-02,3.48448e-02,41.11
300,63,3.14046e-01,2.71800e-01,3.38152e-02,3.48508e-02,41.01
300,64,3.14777e-01,2.72400e-01,3.38131e-02,3.48515e-02,37.98
300,65,3.15208e-01,2.73400e-01,3.38117e-02,3.48408e-02,38.94
300,66,3.15208e-01,2.71600e-01,3.38098e-02,3.48513e-02,38.75
300,67,3.14985e-01,2.73600e-01,3.38091e-02,3.48442e-02,40.35
300,68,3.15492e-01,2.72600e-01,3.38070e-02,3.48518e-02,39.83
300,69,3.15492e-01,2.73800e-01,3.38049e-02,3.48392e-02,38.80
300,70,3.15746e-01,2.72200e-01,3.38032e-02,3.48449e-02,40.43
300,71,3.16362e-01,2.73200e-01,3.38020e-02,3.48433e-02,40.29
300,72,3.16477e-01,2.72800e-01,3.37998e-02,3.48452e-02,40.88
300,73,3.16754e-01,2.72800e-01,3.37996e-02,3.48343e-02,40.15
300,74,3.16585e-01,2.74400e-01,3.37972e-02,3.48422e-02,39.72
300,75,3.17454e-01,2.74600e-01,3.37958e-02,3.48437e-02,38.36
300,76,3.17731e-01,2.72400e-01,3.37943e-02,3.48303e-02,40.82
300,77,3.17677e-01,2.75000e-01,3.37929e-02,3.48410e-02,40.22
300,78,3.17846e-01,2.74600e-01,3.37921e-02,3.48355e-02,39.90
300,79,3.18069e-01,2.72000e-01,3.37909e-02,3.48292e-02,40.80
300,80,3.18285e-01,2.71600e-01,3.37890e-02,3.48377e-02,41.34
300,81,3.18638e-01,2.72600e-01,3.37878e-02,3.48339e-02,39.43
300,82,3.18938e-01,2.76000e-01,3.37863e-02,3.48307e-02,40.14
300,83,3.19077e-01,2.72000e-01,3.37852e-02,3.48323e-02,37.99
300,84,3.19015e-01,2.73000e-01,3.37846e-02,3.48365e-02,39.75
300,85,3.19162e-01,2.73800e-01,3.37836e-02,3.48335e-02,39.82
300,86,3.19269e-01,2.75000e-01,3.37827e-02,3.48285e-02,39.18
300,87,3.19692e-01,2.73600e-01,3.37805e-02,3.48283e-02,37.93
300,88,3.19646e-01,2.73200e-01,3.37801e-02,3.48266e-02,37.48
300,89,3.19708e-01,2.75600e-01,3.37781e-02,3.48307e-02,39.83
300,90,3.20085e-01,2.77200e-01,3.37779e-02,3.48222e-02,38.48
300,91,3.20085e-01,2.77200e-01,3.37771e-02,3.48163e-02,41.07
300,92,3.20831e-01,2.76400e-01,3.37757e-02,3.48306e-02,37.01
300,93,3.20331e-01,2.75400e-01,3.37745e-02,3.48196e-02,38.34
300,94,3.20400e-01,2.74800e-01,3.37734e-02,3.48237e-02,39.56
300,95,3.20762e-01,2.76000e-01,3.37723e-02,3.48298e-02,38.79
