pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
300,1,1.73154e-01,2.04800e-01,3.50350e-02,3.55437e-02,36.02
300,2,2.35808e-01,2.22800e-01,3.45105e-02,3.53590e-02,47.54
300,3,2.58431e-01,2.44600e-01,3.43113e-02,3.51966e-02,38.40
300,4,2.71023e-01,2.47800e-01,3.42009e-02,3.51478e-02,37.39
300,5,2.78423e-01,2.57000e-01,3.41328e-02,3.50779e-02,37.14
300,6,2.84046e-01,2.57800e-01,3.40793e-02,3.50466e-02,37.34
300,7,2.91069e-01,2.63800e-01,3.40246e-02,3.50007e-02,38.19
300,8,2.96469e-01,2.67600e-01,3.39809e-02,3.49666e-02,36.18
300,9,3.04015e-01,2.75800e-01,3.39332e-02,3.49079e-02,36.65
300,10,3.11869e-01,2.82800e-01,3.38718e-02,3.48560e-02,38.80
300,11,3.17146e-01,2.84200e-01,3.38303e-02,3.48293e-02,38.78
300,12,3.20492e-01,2.82800e-01,3.38008e-02,3.48190e-02,37.44
300,13,3.24108e-01,2.87200e-01,3.37771e-02,3.47840e-02,37.85
300,14,3.25977e-01,2.89000e-01,3.37559e-02,3.47801e-02,36.40
300,15,3.28054e-01,2.90200e-01,3.37373e-02,3.47643e-02,42.61
300,16,3.30592e-01,2.88400e-01,3.37207e-02,3.47531e-02,39.93
300,17,3.32077e-01,2.90200e-01,3.37050e-02,3.47391e-02,38.24
300,18,3.33492e-01,2.91800e-01,3.36914e-02,3.47365e-02,36.14
300,19,3.35246e-01,2.92800e-01,3.36782e-02,3.47298e-02,45.82
300,20,3.36546e-01,2.95400e-01,3.36666e-02,3.47193e-02,48.77
300,21,3.37885e-01,2.95000e-01,3.36558e-02,3.47048e-02,51.82
300,22,3.38877e-01,2.94400e-01,3.36465e-02,3.47098e-02,42.79
300,23,3.40062e-01,2.96000e-01,3.36367e-02,3.46968e-02,45.34
300,24,3.41477e-01,2.96600e-01,3.36268e-02,3.47004e-02,42.19
300,25,3.42246e-01,2.97800e-01,3.36190e-02,3.46843e-02,37.84
300,26,3.43515e-01,2.96400e-01,3.36106e-02,3.46824e-02,36.30
300,27,3.44823e-01,2.99200e-01,3.36017e-02,3.46783e-02,43.86
300,28,3.45262e-01,3.01800e-01,3.35937e-02,3.46694e-02,46.16
300,29,3.46831e-01,2.97800e-01,3.35848e-02,3.46692e-02,51.54
300,30,3.47385e-01,3.00600e-01,3.35791e-02,3.46527e-02,38.16
300,31,3.48315e-01,3.01600e-01,3.35713e-02,3.46475e-02,37.66
300,32,3.49238e-01,3.00600e-01,3.35656e-02,3.46438e-02,41.69
300,33,3.49977e-01,3.00000e-01,3.35600e-02,3.46534e-02,44.94
