pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
300,1,1.41223e-01,1.77400e-01,3.52336e-02,3.58143e-02,35.99
300,2,1.96492e-01,2.02200e-01,3.47937e-02,3.56123e-02,43.74
300,3,2.13446e-01,2.13200e-01,3.46411e-02,3.55005e-02,37.25
300,4,2.27338e-01,2.20000e-01,3.45233e-02,3.54239e-02,44.44
300,5,2.34631e-01,2.25600e-01,3.44562e-02,3.53172e-02,44.74
300,6,2.39754e-01,2.27400e-01,3.44061e-02,3.52797e-02,39.99
300,7,2.43800e-01,2.32600e-01,3.43686e-02,3.52340e-02,40.60
300,8,2.47485e-01,2.34800e-01,3.43374e-02,3.52301e-02,38.35
300,9,2.50546e-01,2.35400e-01,3.43136e-02,3.52022e-02,41.05
300,10,2.54646e-01,2.39800e-01,3.42835e-02,3.51719e-02,44.77
300,11,2.60323e-01,2.41000e-01,3.42453e-02,3.51617e-02,37.91
300,12,2.63277e-01,2.40200e-01,3.42203e-02,3.51500e-02,38.99
300,13,2.65985e-01,2.42400e-01,3.41998e-02,3.51291e-02,38.94
300,14,2.68308e-01,2.42800e-01,3.41807e-02,3.51240e-02,38.51
300,15,2.69908e-01,2.45200e-01,3.41653e-02,3.51195e-02,46.23
300,16,2.73015e-01,2.45600e-01,3.41437e-02,3.50900e-02,42.32
300,17,2.77792e-01,2.49200e-01,3.41106e-02,3.50635e-02,38.73
300,18,2.79423e-01,2.51800e-01,3.40942e-02,3.50699e-02,37.79
300,19,2.81538e-01,2.50600e-01,3.40805e-02,3.50595e-02,38.16
300,20,2.82715e-01,2.53800e-01,3.40682e-02,3.50444e-02,37.45
300,21,2.84269e-01,2.53400e-01,3.40555e-02,3.50478e-02,37.90
300,22,2.86546e-01,2.51600e-01,3.40412e-02,3.50382e-02,39.46
300,23,2.87808e-01,2.51400e-01,3.40290e-02,3.50310e-02,35.18
300,24,2.89623e-01,2.53400e-01,3.40197e-02,3.50199e-02,36.06
300,25,2.89931e-01,2.56400e-01,3.40108e-02,3.50076e-02,38.13
300,26,2.91054e-01,2.55200e-01,3.40026e-02,3.50028e-02,40.01
300,27,2.91646e-01,2.57200e-01,3.39961e-02,3.50022e-02,42.93
300,28,2.92692e-01,2.59200e-01,3.39882e-02,3.49958e-02,42.43
300,29,2.93477e-01,2.56800e-01,3.39822e-02,3.49961e-02,40.73
300,30,2.94023e-01,2.58600e-01,3.39766e-02,3.49926e-02,41.95
300,31,2.94815e-01,2.61000e-01,3.39708e-02,3.49634e-02,44.85
300,32,2.95308e-01,2.58400e-01,3.39659e-02,3.49802e-02,43.15
300,33,2.95631e-01,2.60400e-01,3.39611e-02,3.49653e-02,39.84
300,34,2.96315e-01,2.62800e-01,3.39557e-02,3.49612e-02,37.15
300,35,2.97069e-01,2.61400e-01,3.39514e-02,3.49509e-02,36.30
300,36,2.97462e-01,2.64000e-01,3.39473e-02,3.49557e-02,35.46
300,37,2.98215e-01,2.58400e-01,3.39419e-02,3.49506e-02,46.14
300,38,2.98046e-01,2.60000e-01,3.39392e-02,3.49516e-02,46.37
300,39,2.99577e-01,2.63000e-01,3.39354e-02,3.49505e-02,41.18
300,40,2.99277e-01,2.60400e-01,3.39318e-02,3.49532e-02,41.75
300,41,2.99815e-01,2.60600e-01,3.39284e-02,3.49452e-02,41.23
300,42,3.00438e-01,2.65600e-01,3.39247e-02,3.49395e-02,37.21
300,43,3.00400e-01,2.64200e-01,3.39212e-02,3.49312e-02,37.50
300,44,3.00985e-01,2.62600e-01,3.39191e-02,3.49399e-02,39.39
300,45,3.01669e-01,2.64600e-01,3.39156e-02,3.49241e-02,42.44
300,46,3.01408e-01,2.64800e-01,3.39130e-02,3.49282e-02,48.17
300,47,3.01800e-01,2.63200e-01,3.39098e-02,3.49268e-02,50.21
300,48,3.02038e-01,2.64200e-01,3.39077e-02,3.49300e-02,44.45
300,49,3.02669e-01,2.65600e-01,3.39054e-02,3.49157e-02,38.19
300,50,3.02785e-01,2.63200e-01,3.39027e-02,3.49231e-02,37.52
300,51,3.02985e-01,2.64400e-01,3.38995e-02,3.49213e-02,37.29
300,52,3.03623e-01,2.65000e-01,3.38976e-02,3.49179e-02,39.36
300,53,3.04108e-01,2.64400e-01,3.38953e-02,3.49298e-02,45.95
300,54,3.04392e-01,2.65400e-01,3.38925e-02,3.49035e-02,45.35
300,55,3.04592e-01,2.65200e-01,3.38908e-02,3.49071e-02,51.73
300,56,3.04815e-01,2.65000e-01,3.38890e-02,3.49070e-02,41.84
300,57,3.05262e-01,2.63800e-01,3.38856e-02,3.49050e-02,36.86
300,58,3.05508e-01,2.63600e-01,3.38849e-02,3.49071e-02,36.34
300,59,3.05654e-01,2.65600e-01,3.38833e-02,3.49048e-02,37.65
300,60,3.05492e-01,2.66000e-01,3.38807e-02,3.49127e-02,38.55
300,61,3.06162e-01,2.66800e-01,3.38785e-02,3.49050e-02,37.52
300,62,3.05992e-01,2.64400e-01,3.38774e-02,3.49078e-02,38.62
300,63,3.05785e-01,2.65400e-01,3.38761e-02,3.49083e-02,36.66
300,64,3.06931e-01,2.68200e-01,3.38739e-02,3.49027e-02,39.61
300,65,3.06677e-01,2.67600e-01,3.38723e-02,3.49051e-02,40.30
300,66,3.07062e-01,2.62600e-01,3.38711e-02,3.49073e-02,37.78
300,67,3.07369e-01,2.65400e-01,3.38696e-02,3.49027e-02,42.90
300,68,3.07415e-01,2.64600e-01,3.38679e-02,3.49034e-02,50.21
300,69,3.07669e-01,2.62800e-01,3.38663e-02,3.49080e-02,50.63
300,70,3.07700e-01,2.66600e-01,3.38645e-02,3.48926e-02,39.45
300,71,3.08262e-01,2.67000e-01,3.38636e-02,3.48983e-02,37.54
300,72,3.08038e-01,2.65000e-01,3.38625e-02,3.49070e-02,39.09
300,73,3.08338e-01,2.65200e-01,3.38604e-02,3.49037e-02,40.34
300,74,3.08662e-01,2.64000e-01,3.38601e-02,3.48868e-02,38.48
300,75,3.08777e-01,2.66800e-01,3.38588e-02,3.48980e-02,41.93
300,76,3.09031e-01,2.64600e-01,3.38577e-02,3.49076e-02,37.34
300,77,3.09354e-01,2.67800e-01,3.38567e-02,3.48910e-02,36.92
300,78,3.08885e-01,2.68200e-01,3.38554e-02,3.48884e-02,41.23
300,79,3.09469e-01,2.66400e-01,3.38537e-02,3.48920e-02,36.54
300,80,3.09638e-01,2.66200e-01,3.38527e-02,3.48866e-02,39.84
300,81,3.09715e-01,2.65000e-01,3.38523e-02,3.48972e-02,39.77
300,82,3.10085e-01,2.66000e-01,3.38507e-02,3.48946e-02,49.26
300,83,3.10177e-01,2.63400e-01,3.38491e-02,3.48987e-02,53.60
300,84,3.10223e-01,2.68200e-01,3.38483e-02,3.48880e-02,44.04
300,85,3.10269e-01,2.69400e-01,3.38473e-02,3.48758e-02,38.33
300,86,3.10985e-01,2.66800e-01,3.38463e-02,3.48869e-02,38.87
300,87,3.10592e-01,2.68200e-01,3.38463e-02,3.48839e-02,39.20
300,88,3.10831e-01,2.66000e-01,3.38450e-02,3.48775e-02,40.74
300,89,3.10992e-01,2.66600e-01,3.38433e-02,3.48926e-02,37.43
300,90,3.11062e-01,2.67600e-01,3.38427e-02,3.48825e-02,38.99
300,91,3.11492e-01,2.68600e-01,3.38421e-02,3.48787e-02,40.89
300,92,3.11608e-01,2.66800e-01,3.38404e-02,3.48884e-02,38.25
300,93,3.11723e-01,2.67000e-01,3.38398e-02,3.48855e-02,36.71
300,94,3.11923e-01,2.65200e-01,3.38393e-02,3.48815e-02,36.23
300,95,3.11854e-01,2.66400e-01,3.38389e-02,3.48898e-02,40.12
300,96,3.12569e-01,2.68200e-01,3.38379e-02,3.48747e-02,40.07
300,97,3.12162e-01,2.66000e-01,3.38362e-02,3.48779e-02,40.59
300,98,3.11900e-01,2.67600e-01,3.38363e-02,3.48758e-02,47.63
300,99,3.12238e-01,2.66400e-01,3.38351e-02,3.48873e-02,53.90
300,100,3.12162e-01,2.67200e-01,3.38340e-02,3.48898e-02,41.39
300,101,3.12577e-01,2.68800e-01,3.38330e-02,3.48744e-02,39.84
300,102,3.12569e-01,2.70200e-01,3.38333e-02,3.48825e-02,38.60
300,103,3.12508e-01,2.66600e-01,3.38321e-02,3.48782e-02,38.14
300,104,3.13169e-01,2.65400e-01,3.38319e-02,3.48838e-02,36.91
300,105,3.12754e-01,2.68200e-01,3.38310e-02,3.48926e-02,36.91
300,106,3.13200e-01,2.68600e-01,3.38300e-02,3.48879e-02,38.22
300,107,3.13700e-01,2.69600e-01,3.38288e-02,3.48668e-02,40.15
300,108,3.13454e-01,2.70000e-01,3.38274e-02,3.48791e-02,40.49
300,109,3.14054e-01,2.66000e-01,3.38262e-02,3.48685e-02,36.84
300,110,3.14008e-01,2.68000e-01,3.38256e-02,3.48888e-02,38.39
300,111,3.14108e-01,2.68800e-01,3.38236e-02,3.48716e-02,39.82
300,112,3.14323e-01,2.68200e-01,3.38230e-02,3.48745e-02,40.92
300,113,3.15008e-01,2.70600e-01,3.38216e-02,3.48641e-02,47.40
300,114,3.14585e-01,2.67400e-01,3.38208e-02,3.48753e-02,49.26
300,115,3.14600e-01,2.66000e-01,3.38193e-02,3.48847e-02,46.42
300,116,3.15208e-01,2.67800e-01,3.38186e-02,3.48764e-02,41.22
300,117,3.15062e-01,2.72000e-01,3.38175e-02,3.48546e-02,37.82
300,118,3.15177e-01,2.68800e-01,3.38169e-02,3.48655e-02,39.27
300,119,3.15185e-01,2.71400e-01,3.38159e-02,3.48595e-02,37.82
300,120,3.15392e-01,2.69600e-01,3.38154e-02,3.48693e-02,38.81
300,121,3.15277e-01,2.70800e-01,3.38139e-02,3.48645e-02,39.07
300,122,3.15938e-01,2.69200e-01,3.38135e-02,3.48685e-02,37.52
300,123,3.16085e-01,2.70200e-01,3.38123e-02,3.48652e-02,37.28
300,124,3.16169e-01,2.69200e-01,3.38112e-02,3.48729e-02,38.99
300,125,3.16315e-01,2.69800e-01,3.38118e-02,3.48543e-02,37.66
300,126,3.16038e-01,2.69200e-01,3.38107e-02,3.48675e-02,36.89
300,127,3.16285e-01,2.71000e-01,3.38108e-02,3.48613e-02,39.04
300,128,3.16492e-01,2.70400e-01,3.38094e-02,3.48617e-02,38.53
300,129,3.16954e-01,2.69800e-01,3.38086e-02,3.48672e-02,40.67
300,130,3.16746e-01,2.72200e-01,3.38083e-02,3.48593e-02,45.85
300,131,3.16892e-01,2.68600e-01,3.38076e-02,3.48649e-02,58.62
300,132,3.17308e-01,2.70400e-01,3.38070e-02,3.48617e-02,46.61
300,133,3.17046e-01,2.69800e-01,3.38066e-02,3.48657e-02,43.01
300,134,3.17085e-01,2.70000e-01,3.38053e-02,3.48638e-02,38.12
300,135,3.17269e-01,2.69200e-01,3.38057e-02,3.48653e-02,38.45
300,136,3.17554e-01,2.69800e-01,3.38040e-02,3.48683e-02,37.28
300,137,3.17615e-01,2.69600e-01,3.38041e-02,3.48597e-02,38.76
300,138,3.17338e-01,2.67600e-01,3.38035e-02,3.48599e-02,36.23
300,139,3.17508e-01,2.71800e-01,3.38029e-02,3.48579e-02,39.43
300,140,3.17292e-01,2.67400e-01,3.38028e-02,3.48658e-02,36.90
300,141,3.17815e-01,2.72400e-01,3.38021e-02,3.48562e-02,35.38
300,142,3.17846e-01,2.68600e-01,3.38017e-02,3.48711e-02,38.86
300,143,3.17546e-01,2.70400e-01,3.38016e-02,3.48543e-02,36.91
300,144,3.18115e-01,2.69400e-01,3.38014e-02,3.48547e-02,38.65
300,145,3.17869e-01,2.71200e-01,3.38009e-02,3.48525e-02,37.23
300,146,3.18292e-01,2.70400e-01,3.38008e-02,3.48526e-02,37.31
300,147,3.18092e-01,2.71400e-01,3.37999e-02,3.48589e-02,38.32
300,148,3.18008e-01,2.70200e-01,3.37993e-02,3.48646e-02,38.34
300,149,3.18023e-01,2.68600e-01,3.37986e-02,3.48580e-02,35.42
300,150,3.18400e-01,2.70800e-01,3.37986e-02,3.48599e-02,36.93
300,151,3.18323e-01,2.71000e-01,3.37976e-02,3.48559e-02,44.77
300,152,3.18808e-01,2.70600e-01,3.37976e-02,3.48508e-02,48.57
300,153,3.18154e-01,2.73000e-01,3.37978e-02,3.48492e-02,53.11
300,154,3.18477e-01,2.73200e-01,3.37971e-02,3.48425e-02,42.31
300,155,3.18785e-01,2.72400e-01,3.37971e-02,3.48479e-02,38.11
300,156,3.18446e-01,2.71200e-01,3.37966e-02,3.48532e-02,38.64
300,157,3.18231e-01,2.70800e-01,3.37968e-02,3.48465e-02,38.12
300,158,3.18746e-01,2.70800e-01,3.37952e-02,3.48530e-02,40.34
300,159,3.18946e-01,2.71600e-01,3.37957e-02,3.48624e-02,40.82
300,160,3.18254e-01,2.72200e-01,3.37955e-02,3.48526e-02,45.82
300,161,3.18708e-01,2.70800e-01,3.37950e-02,3.48445e-02,45.27
300,162,3.18677e-01,2.71800e-01,3.37948e-02,3.48493e-02,39.92
300,163,3.19015e-01,2.71000e-01,3.37938e-02,3.48561e-02,43.37
300,164,3.19177e-01,2.73000e-01,3.37943e-02,3.48475e-02,51.11
300,165,3.19038e-01,2.72400e-01,3.37939e-02,3.48440e-02,49.31
300,166,3.18862e-01,2.71600e-01,3.37934e-02,3.48442e-02,41.10
300,167,3.19662e-01,2.71000e-01,3.37933e-02,3.48578e-02,38.84
300,168,3.19200e-01,2.73400e-01,3.37931e-02,3.48514e-02,37.61
300,169,3.19054e-01,2.69800e-01,3.37928e-02,3.48582e-02,37.21
300,170,3.19700e-01,2.70400e-01,3.37914e-02,3.48570e-02,37.55
300,171,3.19269e-01,2.69000e-01,3.37926e-02,3.48462e-02,38.72
300,172,3.19677e-01,2.70200e-01,3.37913e-02,3.48589e-02,39.90
300,173,3.19615e-01,2.71200e-01,3.37912e-02,3.48548e-02,40.76
300,174,3.19162e-01,2.73400e-01,3.37916e-02,3.48485e-02,38.72
300,175,3.19423e-01,2.72000e-01,3.37909e-02,3.48485e-02,38.96
300,176,3.19608e-01,2.74400e-01,3.37904e-02,3.48440e-02,40.32
300,177,3.19577e-01,2.72600e-01,3.37899e-02,3.48493e-02,39.41
300,178,3.20046e-01,2.73000e-01,3.37900e-02,3.48449e-02,37.42
300,179,3.19562e-01,2.70600e-01,3.37901e-02,3.48412e-02,38.63
300,180,3.19400e-01,2.72200e-01,3.37897e-02,3.48505e-02,38.05
300,181,3.20100e-01,2.70000e-01,3.37892e-02,3.48592e-02,38.26
300,182,3.19985e-01,2.69800e-01,3.37898e-02,3.48502e-02,37.08
300,183,3.19792e-01,2.71200e-01,3.37894e-02,3.48499e-02,41.33
300,184,3.19654e-01,2.71400e-01,3.37895e-02,3.48414e-02,42.48
300,185,3.19985e-01,2.71200e-01,3.37882e-02,3.48578e-02,56.24
300,186,3.20177e-01,2.72000e-01,3.37882e-02,3.48404e-02,52.59
300,187,3.19646e-01,2.71200e-01,3.37889e-02,3.48457e-02,51.24
300,188,3.20162e-01,2.70000e-01,3.37880e-02,3.48515e-02,42.29
300,189,3.20315e-01,2.71600e-01,3.37877e-02,3.48550e-02,38.24
300,190,3.20123e-01,2.72400e-01,3.37873e-02,3.48486e-02,41.27
300,191,3.20238e-01,2.73000e-01,3.37878e-02,3.48380e-02,39.39
300,192,3.20408e-01,2.75000e-01,3.37873e-02,3.48390e-02,37.67
300,193,3.20138e-01,2.74000e-01,3.37873e-02,3.48442e-02,37.55
300,194,3.20423e-01,2.73000e-01,3.37873e-02,3.48500e-02,39.09
300,195,3.20738e-01,2.72400e-01,3.37867e-02,3.48485e-02,39.76
300,196,3.20423e-01,2.73600e-01,3.37865e-02,3.48307e-02,38.35
300,197,3.20438e-01,2.73200e-01,3.37866e-02,3.48488e-02,38.39
300,198,3.20554e-01,2.72800e-01,3.37871e-02,3.48522e-02,39.66
300,199,3.20523e-01,2.71200e-01,3.37866e-02,3.48486e-02,40.59
300,200,3.20354e-01,2.73800e-01,3.37859e-02,3.48391e-02,39.43
