epoch,knn_accuracy_train,knn_accuracy_test
50,4.409412e-01,2.226562e-01
100,5.035032e-01,2.734375e-01
150,5.478361e-01,3.271484e-01
200,5.974082e-01,3.750000e-01
250,6.340216e-01,4.101562e-01
300,6.502666e-01,4.296875e-01
350,6.554439e-01,4.414062e-01
400,6.584821e-01,4.316406e-01
450,6.570250e-01,4.228516e-01
500,6.517237e-01,4.257812e-01
550,6.510727e-01,4.355469e-01
600,6.500806e-01,3.964844e-01
650,6.466394e-01,3.994141e-01
700,6.406250e-01,3.789062e-01
750,6.383309e-01,3.847656e-01
800,6.357887e-01,3.623047e-01
850,6.365327e-01,3.496094e-01
900,6.307974e-01,3.359375e-01
950,6.236669e-01,2.978516e-01
1000,6.205667e-01,2.646484e-01
1050,6.151414e-01,2.421875e-01
1100,6.130642e-01,2.402344e-01
1150,6.148934e-01,2.373047e-01
1200,6.132192e-01,2.441406e-01
