epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.704560e-01,43.00000,35.00000,15949
1,1,3.843990e-01,36.00000,35.00000,1108
1,2,3.480722e-01,57.00000,30.00000,933
1,3,3.272441e-01,49.00000,30.00000,1195
1,4,3.094805e-01,54.00000,30.00000,655
1,5,2.949164e-01,51.00000,30.00000,515
1,6,2.818732e-01,46.00000,35.00000,531
1,7,2.711722e-01,49.00000,30.00000,594
1,8,2.620749e-01,41.00000,35.00000,706
1,9,2.507940e-01,46.00000,36.00000,685
1,10,2.440438e-01,57.00000,30.00000,635
1,11,2.354637e-01,46.00000,36.00000,555
1,12,2.282493e-01,37.00000,36.00000,643
1,13,2.184431e-01,49.00000,30.00000,535
1,14,2.128271e-01,58.00000,30.00000,782
1,15,2.071105e-01,51.00000,30.00000,594
1,16,1.985767e-01,45.00000,35.00000,656
1,17,1.946519e-01,43.00000,36.00000,597
1,18,1.869929e-01,53.00000,30.00000,579
1,19,1.834348e-01,58.00000,30.00000,679
1,20,1.767243e-01,57.00000,30.00000,1574
1,21,1.710431e-01,40.00000,36.00000,662
1,22,1.676799e-01,36.00000,36.00000,588
1,23,1.609135e-01,35.00000,36.00000,1038
1,24,1.566910e-01,42.00000,35.00000,5945
1,25,1.481635e-01,45.00000,35.00000,556
1,26,1.490757e-01,30.00000,40.00000,686
1,27,1.427690e-01,48.00000,35.00000,613
1,28,1.409952e-01,49.00000,30.00000,543
1,29,1.355684e-01,42.00000,35.00000,652
1,30,1.356439e-01,49.00000,35.00000,6703
1,31,1.307905e-01,38.00000,35.00000,559
1,32,1.292868e-01,49.00000,30.00000,598
1,33,1.262255e-01,47.00000,35.00000,1466
1,34,1.244883e-01,49.00000,30.00000,3121
1,35,1.206516e-01,50.00000,35.00000,546
1,36,1.229223e-01,48.00000,36.00000,1692
1,37,1.180344e-01,49.00000,30.00000,695
1,38,1.170175e-01,54.00000,30.00000,675
1,39,1.168407e-01,40.00000,36.00000,643
1,40,1.169333e-01,49.00000,35.00000,5560
1,41,1.193008e-01,42.00000,35.00000,551
1,42,1.084139e-01,53.00000,30.00000,577
1,43,1.101855e-01,46.00000,35.00000,4895
1,44,1.133812e-01,53.00000,30.00000,1081
1,45,1.152601e-01,35.00000,36.00000,705
1,46,1.110461e-01,49.00000,30.00000,571
1,47,1.108404e-01,40.00000,36.00000,607
1,48,1.109889e-01,55.00000,30.00000,605
1,49,1.088156e-01,44.00000,35.00000,615
1,50,1.105607e-01,43.00000,35.00000,5921
1,51,1.119825e-01,36.00000,35.00000,586
1,52,1.115821e-01,49.00000,35.00000,551
1,53,1.117810e-01,44.00000,35.00000,4802
1,54,1.104621e-01,40.00000,35.00000,980
1,55,1.121474e-01,51.00000,30.00000,591
1,56,1.071024e-01,55.00000,30.00000,579
1,57,1.134658e-01,37.00000,36.00000,617
1,58,1.118752e-01,57.00000,30.00000,594
1,59,1.113813e-01,36.00000,40.00000,691
1,60,1.097344e-01,52.00000,30.00000,5213
1,61,1.108513e-01,59.00000,30.00000,613
1,62,1.105211e-01,50.00000,35.00000,669
1,63,1.166099e-01,31.00000,36.00000,4246
1,64,1.100646e-01,44.00000,35.00000,1705
1,65,1.109818e-01,44.00000,35.00000,540
1,66,1.133260e-01,36.00000,36.00000,671
1,67,1.147726e-01,50.00000,35.00000,589
1,68,1.107279e-01,40.00000,36.00000,642
1,69,1.176209e-01,53.00000,30.00000,625
1,70,1.131732e-01,48.00000,35.00000,2682
1,71,1.111038e-01,45.00000,35.00000,517
1,72,1.144102e-01,46.00000,36.00000,538
1,73,1.148434e-01,49.00000,30.00000,2588
1,74,1.120693e-01,51.00000,30.00000,539
1,75,1.153830e-01,45.00000,35.00000,512
1,76,1.169982e-01,43.00000,35.00000,529
1,77,1.194369e-01,47.00000,36.00000,508
1,78,1.143534e-01,41.00000,36.00000,513
1,79,1.142990e-01,54.00000,30.00000,521
1,80,1.143226e-01,49.00000,30.00000,520
1,81,1.135240e-01,58.00000,30.00000,539
1,82,1.236030e-01,36.00000,40.00000,512
1,83,1.157428e-01,48.00000,35.00000,578
2,0,1.116605e-01,53.00000,30.00000,15579
2,1,1.170922e-01,40.00000,35.00000,647
2,2,1.150413e-01,38.00000,35.00000,612
2,3,1.124829e-01,51.00000,30.00000,696
2,4,1.172729e-01,45.00000,35.00000,550
2,5,1.147343e-01,49.00000,30.00000,623
2,6,1.115815e-01,48.00000,35.00000,626
2,7,1.109205e-01,47.00000,35.00000,583
2,8,1.114956e-01,55.00000,30.00000,608
2,9,1.175069e-01,47.00000,35.00000,631
2,10,1.156147e-01,49.00000,30.00000,5173
2,11,1.123815e-01,39.00000,35.00000,724
2,12,1.155449e-01,49.00000,30.00000,2269
2,13,1.075378e-01,57.00000,30.00000,665
2,14,1.103740e-01,55.00000,30.00000,578
2,15,1.109332e-01,40.00000,35.00000,631
2,16,1.098531e-01,53.00000,30.00000,612
2,17,1.103100e-01,53.00000,30.00000,644
2,18,1.049291e-01,53.00000,30.00000,586
2,19,1.128735e-01,51.00000,30.00000,675
2,20,1.117324e-01,50.00000,30.00000,6115
2,21,1.095702e-01,42.00000,35.00000,593
2,22,1.140487e-01,41.00000,35.00000,529
2,23,1.154664e-01,42.00000,35.00000,642
2,24,1.065148e-01,49.00000,35.00000,717
2,25,1.048471e-01,41.00000,36.00000,595
2,26,1.032752e-01,59.00000,30.00000,642
2,27,1.085533e-01,57.00000,30.00000,618
2,28,1.114540e-01,58.00000,30.00000,578
2,29,1.028840e-01,45.00000,35.00000,669
2,30,1.072091e-01,49.00000,30.00000,7697
2,31,1.101587e-01,58.00000,30.00000,661
2,32,1.106102e-01,55.00000,30.00000,2213
2,33,1.082894e-01,49.00000,30.00000,667
2,34,1.004488e-01,53.00000,30.00000,659
2,35,1.031434e-01,48.00000,35.00000,645
2,36,1.058673e-01,37.00000,36.00000,598
2,37,1.053605e-01,55.00000,30.00000,656
2,38,1.073703e-01,55.00000,30.00000,671
2,39,1.007417e-01,46.00000,36.00000,561
2,40,1.107141e-01,46.00000,35.00000,5943
2,41,1.006923e-01,55.00000,30.00000,643
2,42,1.027891e-01,58.00000,30.00000,4281
2,43,1.101566e-01,31.00000,36.00000,573
2,44,1.005731e-01,56.00000,30.00000,672
2,45,1.081522e-01,45.00000,35.00000,535
2,46,1.029441e-01,55.00000,30.00000,614
2,47,9.975876e-02,43.00000,36.00000,619
2,48,1.003165e-01,46.00000,35.00000,651
2,49,1.066574e-01,46.00000,35.00000,538
2,50,1.023672e-01,40.00000,35.00000,5166
2,51,1.008569e-01,48.00000,35.00000,578
2,52,1.042146e-01,38.00000,35.00000,3339
2,53,1.042386e-01,45.00000,35.00000,541
2,54,9.794822e-02,54.00000,30.00000,572
2,55,1.084383e-01,31.00000,36.00000,570
2,56,1.007006e-01,60.00000,30.00000,811
2,57,9.842965e-02,42.00000,35.00000,644
