pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,2.24000e-01,3.78750e-01,1.85120e-02,1.34739e-02,1.05
150,2,4.67800e-01,5.22000e-01,1.21665e-02,1.10120e-02,1.21
150,3,5.69800e-01,5.85250e-01,1.02513e-02,9.76331e-03,1.21
150,4,6.14200e-01,6.18250e-01,9.37619e-03,9.01574e-03,0.53
150,5,6.45600e-01,6.40500e-01,8.55742e-03,8.50016e-03,0.13
150,6,6.64000e-01,6.51500e-01,8.14900e-03,8.13227e-03,0.13
150,7,6.77800e-01,6.63125e-01,7.72164e-03,7.85629e-03,0.13
150,8,6.90800e-01,6.70750e-01,7.37879e-03,7.60938e-03,0.13
150,9,7.00800e-01,6.76750e-01,7.11379e-03,7.42422e-03,0.13
150,10,7.11600e-01,6.85500e-01,7.11794e-03,7.25141e-03,0.13
150,11,7.13400e-01,6.90375e-01,6.69726e-03,7.10330e-03,0.13
150,12,7.21000e-01,6.95500e-01,6.48024e-03,6.99390e-03,0.13
150,13,7.26800e-01,6.96125e-01,6.47388e-03,6.89095e-03,0.13
150,14,7.32600e-01,6.97125e-01,6.21999e-03,6.82229e-03,0.13
150,15,7.36000e-01,7.03750e-01,6.24692e-03,6.71796e-03,0.13
150,16,7.42400e-01,7.04375e-01,6.07306e-03,6.66473e-03,0.13
150,17,7.42400e-01,7.11625e-01,5.87619e-03,6.59107e-03,0.13
150,18,7.48800e-01,7.14375e-01,5.82701e-03,6.52894e-03,0.13
150,19,7.50000e-01,7.15625e-01,5.71762e-03,6.48239e-03,0.13
150,20,7.52400e-01,7.17250e-01,5.61957e-03,6.42574e-03,0.13
150,21,7.55200e-01,7.18375e-01,5.72337e-03,6.38365e-03,0.13
150,22,7.56800e-01,7.21125e-01,5.62038e-03,6.34574e-03,0.13
150,23,7.60800e-01,7.22875e-01,5.54895e-03,6.29969e-03,0.13
150,24,7.63600e-01,7.21750e-01,5.41614e-03,6.28171e-03,0.13
150,25,7.67400e-01,7.24625e-01,5.38352e-03,6.24811e-03,0.13
150,26,7.74600e-01,7.25250e-01,5.28917e-03,6.22016e-03,0.13
150,27,7.70000e-01,7.25625e-01,5.30486e-03,6.17660e-03,0.13
150,28,7.72600e-01,7.25750e-01,5.21989e-03,6.15489e-03,0.13
150,29,7.74600e-01,7.22625e-01,5.25600e-03,6.16281e-03,0.13
150,30,7.74200e-01,7.28875e-01,5.11720e-03,6.12236e-03,0.13
150,31,7.80200e-01,7.28000e-01,5.07162e-03,6.10048e-03,0.13
150,32,7.82000e-01,7.31000e-01,5.08664e-03,6.06414e-03,0.13
150,33,7.85200e-01,7.28000e-01,5.06514e-03,6.07197e-03,0.13
150,34,7.87600e-01,7.29625e-01,4.93781e-03,6.05583e-03,0.13
150,35,7.89600e-01,7.30625e-01,4.89511e-03,6.01943e-03,0.13
150,36,7.91800e-01,7.32875e-01,4.86138e-03,6.01439e-03,0.13
150,37,7.92000e-01,7.32500e-01,4.81603e-03,6.00481e-03,0.13
150,38,7.92400e-01,7.35375e-01,4.82443e-03,5.97699e-03,0.13
150,39,7.92800e-01,7.35250e-01,4.80126e-03,5.96226e-03,0.13
150,40,7.98600e-01,7.36000e-01,4.82808e-03,5.96007e-03,0.13
150,41,7.96200e-01,7.37625e-01,4.69934e-03,5.92398e-03,0.13
150,42,7.94400e-01,7.37125e-01,4.66316e-03,5.91826e-03,0.13
150,43,7.97400e-01,7.35875e-01,4.69427e-03,5.94363e-03,0.13
150,44,8.00600e-01,7.35750e-01,4.65416e-03,5.90953e-03,0.13
150,45,8.01800e-01,7.39750e-01,4.56589e-03,5.90042e-03,0.13
150,46,8.02800e-01,7.38125e-01,4.56291e-03,5.88290e-03,0.13
150,47,8.03600e-01,7.35375e-01,4.60524e-03,5.88164e-03,0.13
150,48,8.05600e-01,7.38625e-01,4.58322e-03,5.87480e-03,0.13
150,49,8.05200e-01,7.38750e-01,4.49541e-03,5.86680e-03,0.13
150,50,8.12400e-01,7.39375e-01,4.58478e-03,5.86296e-03,0.13
150,51,8.09000e-01,7.40875e-01,4.41874e-03,5.85593e-03,0.13
150,52,8.09800e-01,7.40500e-01,4.38727e-03,5.82916e-03,0.13
150,53,8.12200e-01,7.39250e-01,4.44189e-03,5.83259e-03,0.13
150,54,8.13800e-01,7.42250e-01,4.42407e-03,5.82499e-03,0.13
150,55,8.13000e-01,7.38125e-01,4.34467e-03,5.85947e-03,0.13
150,56,8.14400e-01,7.42125e-01,4.28297e-03,5.84241e-03,0.13
150,57,8.18800e-01,7.42875e-01,4.25201e-03,5.81854e-03,0.13
150,58,8.16400e-01,7.41625e-01,4.30577e-03,5.80271e-03,0.13
150,59,8.17400e-01,7.42375e-01,4.24735e-03,5.79266e-03,0.13
150,60,8.21600e-01,7.40625e-01,4.22263e-03,5.82608e-03,0.13
150,61,8.15600e-01,7.43125e-01,4.26801e-03,5.78620e-03,0.13
150,62,8.19200e-01,7.44750e-01,4.19392e-03,5.78499e-03,0.13
150,63,8.23200e-01,7.43000e-01,4.33984e-03,5.78072e-03,0.13
150,64,8.19600e-01,7.43500e-01,4.24264e-03,5.76816e-03,0.13
150,65,8.20800e-01,7.44375e-01,4.18338e-03,5.76260e-03,0.13
150,66,8.22800e-01,7.42625e-01,4.13256e-03,5.76862e-03,0.13
150,67,8.24800e-01,7.43375e-01,4.12486e-03,5.75601e-03,0.13
150,68,8.23400e-01,7.42500e-01,4.12024e-03,5.74802e-03,0.13
150,69,8.27400e-01,7.46000e-01,4.09798e-03,5.76045e-03,0.13
150,70,8.27800e-01,7.46250e-01,4.06285e-03,5.78020e-03,0.13
150,71,8.27000e-01,7.43250e-01,4.10067e-03,5.74847e-03,0.13
150,72,8.30400e-01,7.46250e-01,4.08425e-03,5.74685e-03,0.13
150,73,8.30600e-01,7.44875e-01,4.11487e-03,5.77402e-03,0.13
150,74,8.27000e-01,7.44500e-01,4.06766e-03,5.73906e-03,0.13
150,75,8.31800e-01,7.45500e-01,4.02429e-03,5.74963e-03,0.13
150,76,8.29400e-01,7.44750e-01,3.97923e-03,5.74588e-03,0.13
150,77,8.32400e-01,7.49625e-01,3.99319e-03,5.72935e-03,0.13
150,78,8.32800e-01,7.46500e-01,4.06190e-03,5.73502e-03,0.13
150,79,8.31200e-01,7.46250e-01,3.97700e-03,5.73350e-03,0.13
150,80,8.32200e-01,7.49125e-01,3.95324e-03,5.72945e-03,0.13
150,81,8.36000e-01,7.46875e-01,3.96636e-03,5.71606e-03,0.13
150,82,8.35400e-01,7.48125e-01,3.90382e-03,5.73233e-03,0.13
150,83,8.37000e-01,7.50000e-01,3.84679e-03,5.70546e-03,0.13
150,84,8.36000e-01,7.46125e-01,3.87244e-03,5.71633e-03,0.13
150,85,8.35200e-01,7.47375e-01,3.87788e-03,5.73834e-03,0.13
150,86,8.40200e-01,7.48000e-01,3.89162e-03,5.71224e-03,0.13
150,87,8.40800e-01,7.50500e-01,3.82766e-03,5.71664e-03,0.13
150,88,8.37200e-01,7.48250e-01,3.83451e-03,5.69784e-03,0.13
150,89,8.40000e-01,7.50000e-01,3.81317e-03,5.69732e-03,0.13
150,90,8.41600e-01,7.48000e-01,3.79804e-03,5.70941e-03,0.13
150,91,8.41000e-01,7.49500e-01,3.82511e-03,5.69653e-03,0.13
150,92,8.41600e-01,7.46250e-01,3.85988e-03,5.72745e-03,0.13
150,93,8.40400e-01,7.46500e-01,3.80447e-03,5.72397e-03,0.13
150,94,8.41400e-01,7.48250e-01,3.77140e-03,5.71026e-03,0.13
150,95,8.42400e-01,7.49500e-01,3.73782e-03,5.72557e-03,0.15
150,96,8.44600e-01,7.47750e-01,3.74365e-03,5.70681e-03,0.13
150,97,8.46400e-01,7.46625e-01,3.74283e-03,5.72623e-03,0.14
150,98,8.45600e-01,7.49000e-01,3.68942e-03,5.71811e-03,0.13
150,99,8.47200e-01,7.49625e-01,3.69596e-03,5.70055e-03,0.13
150,100,8.46200e-01,7.46125e-01,3.64415e-03,5.69946e-03,0.13
150,101,8.48400e-01,7.49125e-01,3.70191e-03,5.70246e-03,0.13
150,102,8.46200e-01,7.47125e-01,3.64886e-03,5.69629e-03,0.13
150,103,8.48400e-01,7.48625e-01,3.61977e-03,5.70669e-03,0.13
150,104,8.48800e-01,7.48000e-01,3.69451e-03,5.68865e-03,0.13
150,105,8.49600e-01,7.46500e-01,3.63253e-03,5.72173e-03,0.13
150,106,8.49600e-01,7.45875e-01,3.63793e-03,5.69994e-03,0.13
150,107,8.50000e-01,7.50625e-01,3.61458e-03,5.70098e-03,0.13
150,108,8.51200e-01,7.48625e-01,3.57534e-03,5.70385e-03,0.13
150,109,8.50600e-01,7.48375e-01,3.59656e-03,5.69261e-03,0.13
150,110,8.49200e-01,7.46625e-01,3.57615e-03,5.71989e-03,0.13
150,111,8.53000e-01,7.47250e-01,3.56846e-03,5.70152e-03,0.13
150,112,8.47200e-01,7.48000e-01,3.60863e-03,5.70796e-03,0.13
150,113,8.53200e-01,7.45250e-01,3.54295e-03,5.72389e-03,0.13
150,114,8.54200e-01,7.49125e-01,3.59559e-03,5.70885e-03,0.13
150,115,8.53600e-01,7.45000e-01,3.50650e-03,5.73045e-03,0.13
150,116,8.54600e-01,7.46250e-01,3.56628e-03,5.71199e-03,0.13
150,117,8.55600e-01,7.47750e-01,3.55000e-03,5.71756e-03,0.13
150,118,8.57400e-01,7.50000e-01,3.52435e-03,5.69993e-03,0.13
150,119,8.57000e-01,7.48500e-01,3.48297e-03,5.70782e-03,0.13
150,120,8.57600e-01,7.48500e-01,3.44922e-03,5.70039e-03,0.13
150,121,8.58800e-01,7.47125e-01,3.47198e-03,5.72418e-03,0.13
150,122,8.56400e-01,7.47375e-01,3.44370e-03,5.72062e-03,0.13
150,123,8.54000e-01,7.48625e-01,3.45537e-03,5.71907e-03,0.13
150,124,8.56600e-01,7.48500e-01,3.43979e-03,5.71362e-03,0.13
150,125,8.56000e-01,7.47375e-01,3.44878e-03,5.69904e-03,0.13
150,126,8.59600e-01,7.47000e-01,3.45191e-03,5.71962e-03,0.13
150,127,8.58000e-01,7.47500e-01,3.39755e-03,5.71843e-03,0.13
150,128,8.60400e-01,7.48250e-01,3.41630e-03,5.71511e-03,0.13
150,129,8.58400e-01,7.44750e-01,3.50000e-03,5.73545e-03,0.13
150,130,8.57200e-01,7.51625e-01,3.41450e-03,5.71174e-03,0.13
150,131,8.58600e-01,7.50125e-01,3.42729e-03,5.75403e-03,0.13
150,132,8.58200e-01,7.49625e-01,3.37596e-03,5.72767e-03,0.13
150,133,8.62800e-01,7.49875e-01,3.42367e-03,5.70749e-03,0.13
150,134,8.63800e-01,7.49625e-01,3.33143e-03,5.72590e-03,0.13
150,135,8.61000e-01,7.46875e-01,3.44761e-03,5.73003e-03,0.13
150,136,8.60600e-01,7.46875e-01,3.41209e-03,5.73156e-03,0.13
150,137,8.61600e-01,7.47750e-01,3.31827e-03,5.75788e-03,0.13
150,138,8.61800e-01,7.49500e-01,3.36904e-03,5.73436e-03,0.13
150,139,8.64800e-01,7.49125e-01,3.33924e-03,5.72778e-03,0.13
150,140,8.62200e-01,7.48250e-01,3.44591e-03,5.73756e-03,0.13
150,141,8.64800e-01,7.48125e-01,3.31299e-03,5.74026e-03,0.13
150,142,8.66200e-01,7.48125e-01,3.34717e-03,5.74242e-03,0.13
150,143,8.63200e-01,7.46500e-01,3.35094e-03,5.76523e-03,0.13
150,144,8.67400e-01,7.49750e-01,3.36216e-03,5.74078e-03,0.14
150,145,8.64800e-01,7.47250e-01,3.35244e-03,5.76042e-03,0.13
150,146,8.65600e-01,7.48250e-01,3.25377e-03,5.76034e-03,0.13
150,147,8.66200e-01,7.48000e-01,3.27823e-03,5.74296e-03,0.13
150,148,8.69200e-01,7.47125e-01,3.27232e-03,5.77580e-03,0.13
150,149,8.67400e-01,7.48500e-01,3.27714e-03,5.76413e-03,0.13
150,150,8.67000e-01,7.47125e-01,3.23787e-03,5.74178e-03,0.13
150,151,8.68000e-01,7.47375e-01,3.31238e-03,5.74059e-03,0.13
150,152,8.68000e-01,7.48750e-01,3.29624e-03,5.76171e-03,0.13
150,153,8.66800e-01,7.49125e-01,3.27547e-03,5.73180e-03,0.13
150,154,8.69800e-01,7.48125e-01,3.27343e-03,5.73656e-03,0.13
150,155,8.70000e-01,7.46625e-01,3.25090e-03,5.75228e-03,0.13
150,156,8.71400e-01,7.47875e-01,3.18967e-03,5.74432e-03,0.13
150,157,8.71000e-01,7.47750e-01,3.22671e-03,5.74868e-03,0.13
150,158,8.70600e-01,7.48750e-01,3.20452e-03,5.76858e-03,0.13
150,159,8.69800e-01,7.48875e-01,3.17966e-03,5.75046e-03,0.13
150,160,8.73000e-01,7.48375e-01,3.23369e-03,5.76451e-03,0.13
