pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,2.59000e-01,4.02750e-01,1.69416e-02,1.30677e-02,0.15
150,2,4.83800e-01,5.35500e-01,1.18490e-02,1.07116e-02,0.14
150,3,5.77000e-01,5.88500e-01,1.00673e-02,9.54832e-03,0.14
150,4,6.18600e-01,6.13500e-01,9.16238e-03,8.87992e-03,0.14
150,5,6.45000e-01,6.32625e-01,8.54933e-03,8.42455e-03,0.14
150,6,6.62000e-01,6.48250e-01,8.22469e-03,8.10464e-03,0.14
150,7,6.79000e-01,6.55000e-01,7.60261e-03,7.84325e-03,0.14
150,8,6.93000e-01,6.61250e-01,7.31527e-03,7.66278e-03,0.14
150,9,6.96000e-01,6.69375e-01,7.31195e-03,7.47926e-03,0.14
150,10,7.06400e-01,6.72750e-01,6.98136e-03,7.34692e-03,0.13
150,11,7.15000e-01,6.77125e-01,6.94835e-03,7.24010e-03,0.14
150,12,7.21000e-01,6.82875e-01,6.66236e-03,7.12897e-03,0.14
150,13,7.24000e-01,6.84875e-01,6.49240e-03,7.03248e-03,0.14
150,14,7.30400e-01,6.80250e-01,6.45586e-03,6.99881e-03,0.13
150,15,7.33600e-01,6.93000e-01,6.40694e-03,6.88921e-03,0.14
150,16,7.38800e-01,6.89000e-01,6.15989e-03,6.84356e-03,0.14
150,17,7.40200e-01,6.92500e-01,6.11393e-03,6.78185e-03,0.14
150,18,7.42400e-01,6.92500e-01,6.06159e-03,6.75702e-03,0.13
150,19,7.44000e-01,6.94875e-01,5.97821e-03,6.70525e-03,0.13
150,20,7.50200e-01,6.95875e-01,5.87299e-03,6.66076e-03,0.14
150,21,7.51200e-01,6.99250e-01,5.85752e-03,6.61771e-03,0.14
150,22,7.50200e-01,7.00375e-01,5.72988e-03,6.58406e-03,0.14
150,23,7.55200e-01,7.04375e-01,5.76594e-03,6.53509e-03,0.14
150,24,7.54800e-01,7.04250e-01,5.70827e-03,6.50956e-03,0.14
150,25,7.57800e-01,7.02375e-01,5.62954e-03,6.48668e-03,0.13
150,26,7.60400e-01,7.05125e-01,5.58881e-03,6.45318e-03,0.13
150,27,7.64400e-01,7.05000e-01,5.50852e-03,6.43027e-03,0.13
150,28,7.66000e-01,7.07250e-01,5.60592e-03,6.39762e-03,0.13
150,29,7.71000e-01,7.05875e-01,5.34431e-03,6.39148e-03,0.13
150,30,7.68200e-01,7.06250e-01,5.42626e-03,6.37157e-03,0.13
150,31,7.67000e-01,7.08125e-01,5.28643e-03,6.35463e-03,0.14
150,32,7.73600e-01,7.10000e-01,5.26998e-03,6.31746e-03,0.14
150,33,7.72600e-01,7.12750e-01,5.46953e-03,6.29150e-03,0.13
150,34,7.77200e-01,7.12000e-01,5.20725e-03,6.28653e-03,0.14
150,35,7.74200e-01,7.13875e-01,5.19389e-03,6.26914e-03,0.14
150,36,7.76400e-01,7.13875e-01,5.16189e-03,6.24438e-03,0.13
150,37,7.82200e-01,7.13625e-01,5.11257e-03,6.22668e-03,0.14
150,38,7.80400e-01,7.12625e-01,5.12893e-03,6.23377e-03,0.13
150,39,7.81400e-01,7.14625e-01,5.03101e-03,6.22272e-03,0.13
150,40,7.81200e-01,7.15000e-01,4.95115e-03,6.22176e-03,0.13
150,41,7.84000e-01,7.14000e-01,5.11979e-03,6.20072e-03,0.14
150,42,7.84800e-01,7.17000e-01,4.94067e-03,6.21366e-03,0.13
150,43,7.84400e-01,7.17875e-01,5.09600e-03,6.19176e-03,0.13
150,44,7.87800e-01,7.14250e-01,4.92280e-03,6.21385e-03,0.13
150,45,7.89000e-01,7.17875e-01,4.96720e-03,6.16023e-03,0.12
150,46,7.88000e-01,7.16375e-01,4.86627e-03,6.16317e-03,0.12
150,47,7.85600e-01,7.17500e-01,4.80033e-03,6.14238e-03,0.12
150,48,7.95200e-01,7.19125e-01,4.78846e-03,6.13693e-03,0.12
150,49,7.94000e-01,7.17375e-01,4.75303e-03,6.13305e-03,0.12
150,50,7.93000e-01,7.19125e-01,4.77348e-03,6.10285e-03,0.12
150,51,7.93800e-01,7.19250e-01,4.75332e-03,6.11177e-03,0.12
150,52,7.93200e-01,7.23625e-01,4.75061e-03,6.08846e-03,0.12
