epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.704401e-01,37.00000,36.00000,19328
1,1,3.846152e-01,49.00000,30.00000,1945
1,2,3.482861e-01,49.00000,30.00000,1655
1,3,3.266171e-01,45.00000,35.00000,594
1,4,3.090424e-01,41.00000,35.00000,615
1,5,2.950529e-01,49.00000,30.00000,607
1,6,2.820755e-01,53.00000,30.00000,639
1,7,2.717012e-01,42.00000,35.00000,633
1,8,2.606182e-01,49.00000,35.00000,676
1,9,2.522345e-01,55.00000,30.00000,655
1,10,2.445423e-01,53.00000,30.00000,724
1,11,2.359707e-01,25.00000,36.00000,595
1,12,2.293454e-01,36.00000,36.00000,828
1,13,2.199913e-01,53.00000,30.00000,639
1,14,2.124408e-01,48.00000,35.00000,828
1,15,2.079009e-01,53.00000,30.00000,609
1,16,2.036904e-01,31.00000,36.00000,827
1,17,1.953974e-01,55.00000,30.00000,741
1,18,1.878609e-01,53.00000,30.00000,634
1,19,1.857501e-01,52.00000,30.00000,667
1,20,1.794415e-01,49.00000,30.00000,669
1,21,1.708941e-01,40.00000,36.00000,651
1,22,1.690828e-01,31.00000,36.00000,636
1,23,1.633837e-01,41.00000,36.00000,5442
1,24,1.572443e-01,48.00000,35.00000,658
1,25,1.554379e-01,49.00000,35.00000,599
1,26,1.495524e-01,44.00000,35.00000,707
1,27,1.449857e-01,43.00000,35.00000,627
1,28,1.401760e-01,41.00000,40.00000,634
1,29,1.388173e-01,46.00000,35.00000,974
1,30,1.343556e-01,54.00000,30.00000,636
1,31,1.321345e-01,54.00000,30.00000,662
1,32,1.304260e-01,45.00000,35.00000,701
1,33,1.286719e-01,37.00000,35.00000,6346
1,34,1.237515e-01,43.00000,35.00000,670
1,35,1.229123e-01,47.00000,35.00000,3611
1,36,1.207867e-01,49.00000,30.00000,737
1,37,1.225962e-01,54.00000,30.00000,702
1,38,1.182517e-01,25.00000,36.00000,643
1,39,1.135034e-01,53.00000,30.00000,663
1,40,1.139165e-01,53.00000,30.00000,765
1,41,1.180074e-01,38.00000,36.00000,667
1,42,1.114787e-01,41.00000,35.00000,614
1,43,1.195714e-01,34.00000,36.00000,8781
1,44,1.131531e-01,48.00000,35.00000,668
1,45,1.090749e-01,55.00000,30.00000,2428
1,46,1.090144e-01,43.00000,35.00000,699
1,47,1.148532e-01,38.00000,36.00000,730
1,48,1.116539e-01,58.00000,30.00000,769
1,49,1.116434e-01,44.00000,35.00000,932
1,50,1.158484e-01,57.00000,30.00000,753
1,51,1.135638e-01,36.00000,40.00000,655
1,52,1.121101e-01,43.00000,35.00000,709
1,53,1.119558e-01,50.00000,35.00000,9293
1,54,1.091674e-01,49.00000,30.00000,640
1,55,1.076316e-01,57.00000,30.00000,978
1,56,1.079067e-01,45.00000,35.00000,696
1,57,1.155219e-01,49.00000,30.00000,764
1,58,1.088905e-01,47.00000,35.00000,633
1,59,1.100529e-01,53.00000,30.00000,738
1,60,1.147056e-01,37.00000,36.00000,639
1,61,1.113262e-01,49.00000,30.00000,651
1,62,1.066851e-01,42.00000,35.00000,653
1,63,1.121125e-01,43.00000,35.00000,5813
1,64,1.103828e-01,53.00000,30.00000,618
