pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,2.87840e-01,3.88900e-01,2.43313e-02,1.92029e-02,0.90
150,2,4.16280e-01,4.30000e-01,1.77902e-02,1.77735e-02,0.73
150,3,4.54840e-01,4.35300e-01,1.62934e-02,1.74912e-02,0.74
150,4,4.80860e-01,4.59600e-01,1.53670e-02,1.66574e-02,0.74
150,5,5.01780e-01,4.70700e-01,1.47232e-02,1.64527e-02,0.74
150,6,5.08920e-01,4.72600e-01,1.43196e-02,1.62786e-02,0.75
150,7,5.21940e-01,4.74000e-01,1.39176e-02,1.62007e-02,0.78
150,8,5.30820e-01,4.89800e-01,1.35426e-02,1.58739e-02,0.74
150,9,5.37640e-01,4.87200e-01,1.33132e-02,1.57219e-02,0.74
150,10,5.44600e-01,5.00900e-01,1.30520e-02,1.53395e-02,0.75
150,11,5.52260e-01,4.93700e-01,1.28448e-02,1.56269e-02,0.74
150,12,5.55820e-01,4.97400e-01,1.27199e-02,1.53640e-02,0.74
150,13,5.59240e-01,4.94600e-01,1.25390e-02,1.52805e-02,0.74
150,14,5.63980e-01,4.92500e-01,1.23991e-02,1.56032e-02,0.74
150,15,5.68520e-01,4.90700e-01,1.23478e-02,1.54699e-02,0.74
150,16,5.71120e-01,4.91300e-01,1.21985e-02,1.55122e-02,0.74
150,17,5.75640e-01,4.90700e-01,1.20917e-02,1.55023e-02,0.74
150,18,5.74320e-01,4.95800e-01,1.20506e-02,1.55378e-02,0.74
150,19,5.76200e-01,4.96600e-01,1.19559e-02,1.54290e-02,0.74
150,20,5.80320e-01,5.01000e-01,1.18249e-02,1.51247e-02,0.73
150,21,5.81060e-01,5.02600e-01,1.17666e-02,1.50951e-02,0.74
150,22,5.85600e-01,5.04700e-01,1.16733e-02,1.52102e-02,0.73
150,23,5.86060e-01,4.93400e-01,1.16489e-02,1.56283e-02,0.73
150,24,5.91200e-01,5.01600e-01,1.15530e-02,1.53759e-02,0.74
150,25,5.92400e-01,5.07600e-01,1.15091e-02,1.51843e-02,0.74
150,26,5.92640e-01,5.03600e-01,1.14591e-02,1.51659e-02,0.74
150,27,5.94500e-01,4.99500e-01,1.13978e-02,1.53097e-02,0.77
150,28,5.96440e-01,5.03200e-01,1.13338e-02,1.52912e-02,0.79
150,29,5.97500e-01,5.07900e-01,1.12826e-02,1.51419e-02,0.74
150,30,6.00860e-01,5.01800e-01,1.12411e-02,1.52363e-02,0.74
150,31,6.01440e-01,5.10700e-01,1.11294e-02,1.52956e-02,0.74
150,32,6.01620e-01,5.06500e-01,1.11368e-02,1.51678e-02,0.74
150,33,6.03080e-01,5.00800e-01,1.11054e-02,1.54229e-02,0.74
150,34,6.05660e-01,5.10400e-01,1.11002e-02,1.50419e-02,0.74
150,35,6.04780e-01,5.06100e-01,1.10085e-02,1.52448e-02,0.75
150,36,6.07780e-01,5.01300e-01,1.09516e-02,1.54494e-02,0.74
150,37,6.05760e-01,5.04000e-01,1.09990e-02,1.52383e-02,0.74
150,38,6.11420e-01,5.03700e-01,1.08923e-02,1.54413e-02,0.74
150,39,6.10600e-01,5.16700e-01,1.08552e-02,1.50936e-02,0.74
150,40,6.10740e-01,5.14600e-01,1.07929e-02,1.50727e-02,0.74
150,41,6.12820e-01,5.02300e-01,1.07656e-02,1.56500e-02,0.74
150,42,6.14280e-01,5.02700e-01,1.07561e-02,1.54549e-02,0.74
150,43,6.13800e-01,5.08300e-01,1.07130e-02,1.52493e-02,0.74
150,44,6.15960e-01,5.09300e-01,1.06953e-02,1.51280e-02,0.74
150,45,6.17820e-01,5.04200e-01,1.06005e-02,1.51264e-02,0.74
150,46,6.16420e-01,5.08900e-01,1.06695e-02,1.52873e-02,0.75
150,47,6.17820e-01,5.02900e-01,1.06013e-02,1.54985e-02,0.78
150,48,6.20900e-01,5.09900e-01,1.05283e-02,1.53160e-02,0.74
150,49,6.24020e-01,5.08900e-01,1.04526e-02,1.51847e-02,0.74
150,50,6.18260e-01,5.10900e-01,1.05301e-02,1.51875e-02,0.74
150,51,6.20680e-01,5.11200e-01,1.04693e-02,1.54066e-02,0.74
150,52,6.23860e-01,5.13900e-01,1.04363e-02,1.51844e-02,0.74
