pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,2.43000e-01,3.68000e-01,2.00757e-02,1.38593e-02,0.17
150,2,4.66400e-01,5.15500e-01,1.22839e-02,1.10054e-02,0.13
150,3,5.68600e-01,5.68125e-01,1.02172e-02,9.75494e-03,0.13
150,4,6.18000e-01,5.95125e-01,9.08572e-03,9.04209e-03,0.12
150,5,6.44800e-01,6.25250e-01,8.40539e-03,8.48290e-03,0.13
150,6,6.61000e-01,6.45750e-01,7.88661e-03,8.11527e-03,0.13
150,7,6.76600e-01,6.58500e-01,7.50485e-03,7.83189e-03,0.13
150,8,6.89000e-01,6.63375e-01,7.25704e-03,7.63730e-03,0.13
150,9,7.01400e-01,6.72000e-01,6.99173e-03,7.43505e-03,0.13
150,10,7.10200e-01,6.79125e-01,6.79165e-03,7.26771e-03,0.13
150,11,7.16400e-01,6.85250e-01,6.63099e-03,7.14057e-03,0.14
150,12,7.24800e-01,6.86250e-01,6.50813e-03,7.03570e-03,0.13
150,13,7.22000e-01,6.89875e-01,6.39389e-03,6.94341e-03,0.13
150,14,7.32200e-01,6.95750e-01,6.24188e-03,6.86426e-03,0.13
150,15,7.36000e-01,6.97250e-01,6.10371e-03,6.77468e-03,0.13
150,16,7.38600e-01,6.98750e-01,6.04995e-03,6.71989e-03,0.13
150,17,7.44000e-01,7.00250e-01,6.02668e-03,6.65709e-03,0.13
150,18,7.44600e-01,7.02875e-01,5.89583e-03,6.59141e-03,0.13
150,19,7.48800e-01,7.05000e-01,5.73975e-03,6.54027e-03,0.13
150,20,7.53800e-01,7.04125e-01,5.72737e-03,6.54692e-03,0.13
150,21,7.57000e-01,7.10125e-01,5.57698e-03,6.46534e-03,0.13
150,22,7.57600e-01,7.11250e-01,5.52934e-03,6.41691e-03,0.13
150,23,7.61000e-01,7.13750e-01,5.47848e-03,6.39031e-03,0.13
150,24,7.64600e-01,7.13375e-01,5.38425e-03,6.35261e-03,0.13
150,25,7.66800e-01,7.18250e-01,5.38246e-03,6.32457e-03,0.13
150,26,7.71600e-01,7.15500e-01,5.30114e-03,6.30992e-03,0.13
150,27,7.69600e-01,7.17250e-01,5.29080e-03,6.28498e-03,0.13
150,28,7.69400e-01,7.15500e-01,5.27948e-03,6.25125e-03,0.13
150,29,7.76600e-01,7.16750e-01,5.22100e-03,6.23138e-03,0.13
150,30,7.78600e-01,7.17875e-01,5.15394e-03,6.21616e-03,0.13
150,31,7.79400e-01,7.23375e-01,5.27060e-03,6.18841e-03,0.13
150,32,7.76200e-01,7.22750e-01,5.04230e-03,6.16144e-03,0.13
150,33,7.83000e-01,7.25375e-01,4.98363e-03,6.14769e-03,0.13
150,34,7.85200e-01,7.25625e-01,5.10197e-03,6.13411e-03,0.13
150,35,7.82800e-01,7.27500e-01,5.01086e-03,6.10958e-03,0.13
150,36,7.87400e-01,7.26875e-01,4.99499e-03,6.10040e-03,0.13
150,37,7.89800e-01,7.23250e-01,4.95128e-03,6.07144e-03,0.13
150,38,7.88000e-01,7.29500e-01,4.88219e-03,6.06758e-03,0.13
150,39,7.92400e-01,7.28375e-01,4.85635e-03,6.03992e-03,0.13
150,40,7.97400e-01,7.25125e-01,4.72637e-03,6.02098e-03,0.13
150,41,7.95600e-01,7.27625e-01,4.75978e-03,6.02083e-03,0.13
150,42,7.97200e-01,7.24875e-01,4.76560e-03,6.01751e-03,0.13
150,43,7.98200e-01,7.27875e-01,4.66946e-03,6.02420e-03,0.13
150,44,7.95400e-01,7.30875e-01,4.71875e-03,6.01087e-03,0.13
150,45,7.97600e-01,7.26500e-01,4.66267e-03,5.97579e-03,0.13
150,46,8.00800e-01,7.32125e-01,4.64305e-03,5.95974e-03,0.13
150,47,7.99200e-01,7.30375e-01,4.68482e-03,5.96802e-03,0.13
150,48,8.01000e-01,7.30250e-01,4.57342e-03,5.94928e-03,0.13
150,49,8.02400e-01,7.27875e-01,4.63432e-03,5.95941e-03,0.13
150,50,8.02800e-01,7.28750e-01,4.50847e-03,5.95049e-03,0.13
150,51,8.05400e-01,7.32500e-01,4.50972e-03,5.92594e-03,0.13
150,52,8.06200e-01,7.35500e-01,4.43452e-03,5.91896e-03,0.13
150,53,8.10400e-01,7.32375e-01,4.42720e-03,5.89730e-03,0.13
150,54,8.09000e-01,7.33375e-01,4.40690e-03,5.90560e-03,0.13
150,55,8.11000e-01,7.31375e-01,4.41023e-03,5.89748e-03,0.13
150,56,8.10000e-01,7.31750e-01,4.39324e-03,5.90904e-03,0.13
150,57,8.09400e-01,7.30625e-01,4.46739e-03,5.92814e-03,0.13
150,58,8.14200e-01,7.31875e-01,4.39442e-03,5.88854e-03,0.13
150,59,8.13200e-01,7.32500e-01,4.36877e-03,5.89005e-03,0.13
150,60,8.17600e-01,7.33000e-01,4.27510e-03,5.86637e-03,0.13
150,61,8.14600e-01,7.32375e-01,4.32429e-03,5.86084e-03,0.13
150,62,8.18600e-01,7.33875e-01,4.28459e-03,5.86371e-03,0.13
150,63,8.18200e-01,7.35250e-01,4.23164e-03,5.84441e-03,0.13
150,64,8.16000e-01,7.32125e-01,4.23169e-03,5.87719e-03,0.13
150,65,8.24400e-01,7.33625e-01,4.19453e-03,5.84216e-03,0.13
150,66,8.19200e-01,7.33250e-01,4.18347e-03,5.84515e-03,0.13
150,67,8.21200e-01,7.35250e-01,4.15659e-03,5.84466e-03,0.13
150,68,8.23800e-01,7.33750e-01,4.19277e-03,5.83242e-03,0.13
150,69,8.23200e-01,7.34750e-01,4.17165e-03,5.83414e-03,0.13
150,70,8.21000e-01,7.32000e-01,4.25882e-03,5.86063e-03,0.13
150,71,8.22000e-01,7.36500e-01,4.21880e-03,5.83079e-03,0.13
150,72,8.22600e-01,7.33500e-01,4.16277e-03,5.83966e-03,0.13
150,73,8.23400e-01,7.33750e-01,4.11957e-03,5.82318e-03,0.13
150,74,8.26000e-01,7.35125e-01,4.06143e-03,5.84068e-03,0.13
150,75,8.27000e-01,7.34625e-01,4.06924e-03,5.82572e-03,0.13
150,76,8.25800e-01,7.31750e-01,4.05762e-03,5.81909e-03,0.13
150,77,8.25800e-01,7.33375e-01,4.12369e-03,5.83435e-03,0.13
150,78,8.27800e-01,7.36500e-01,4.01884e-03,5.80404e-03,0.13
150,79,8.29000e-01,7.35125e-01,3.99739e-03,5.81645e-03,0.13
150,80,8.29200e-01,7.33750e-01,3.98029e-03,5.82830e-03,0.13
150,81,8.28800e-01,7.32875e-01,4.01240e-03,5.82119e-03,0.13
150,82,8.30400e-01,7.36125e-01,4.04851e-03,5.81117e-03,0.13
150,83,8.27000e-01,7.37250e-01,4.01717e-03,5.81468e-03,0.13
150,84,8.29200e-01,7.36250e-01,4.03055e-03,5.78764e-03,0.13
150,85,8.30800e-01,7.36500e-01,3.93641e-03,5.78962e-03,0.13
150,86,8.32600e-01,7.39000e-01,3.95344e-03,5.79713e-03,0.13
150,87,8.33800e-01,7.36375e-01,3.93390e-03,5.78336e-03,0.13
150,88,8.34000e-01,7.35750e-01,3.93954e-03,5.79523e-03,0.13
150,89,8.34800e-01,7.35125e-01,3.88502e-03,5.80423e-03,0.13
150,90,8.35800e-01,7.39375e-01,3.85695e-03,5.79803e-03,0.13
150,91,8.36800e-01,7.37000e-01,3.89518e-03,5.79297e-03,0.13
150,92,8.34400e-01,7.34500e-01,3.87308e-03,5.79733e-03,0.13
150,93,8.36000e-01,7.36500e-01,3.90139e-03,5.78923e-03,0.13
150,94,8.36200e-01,7.38250e-01,3.82272e-03,5.80137e-03,0.13
150,95,8.38800e-01,7.34875e-01,3.82893e-03,5.81119e-03,0.13
150,96,8.36400e-01,7.36875e-01,3.78914e-03,5.79569e-03,0.13
150,97,8.38400e-01,7.33875e-01,3.84042e-03,5.81566e-03,0.13
150,98,8.39000e-01,7.35625e-01,3.88867e-03,5.78414e-03,0.13
150,99,8.38200e-01,7.36625e-01,3.76280e-03,5.78327e-03,0.13
150,100,8.40600e-01,7.34250e-01,3.73393e-03,5.79122e-03,0.13
150,101,8.41400e-01,7.36125e-01,3.72927e-03,5.78150e-03,0.13
150,102,8.37600e-01,7.35125e-01,3.77678e-03,5.79429e-03,0.13
150,103,8.43600e-01,7.37000e-01,3.77225e-03,5.78100e-03,0.13
150,104,8.43800e-01,7.36875e-01,3.69450e-03,5.77201e-03,0.13
150,105,8.44600e-01,7.36875e-01,3.71294e-03,5.78803e-03,0.13
150,106,8.45600e-01,7.38125e-01,3.69460e-03,5.79579e-03,0.13
150,107,8.45200e-01,7.38000e-01,3.73341e-03,5.79759e-03,0.13
150,108,8.45800e-01,7.38500e-01,3.71918e-03,5.77574e-03,0.13
150,109,8.45200e-01,7.37625e-01,3.77248e-03,5.78135e-03,0.13
150,110,8.44000e-01,7.37625e-01,3.63989e-03,5.78915e-03,0.13
150,111,8.46200e-01,7.37000e-01,3.70199e-03,5.77341e-03,0.13
150,112,8.44200e-01,7.39375e-01,3.63066e-03,5.78431e-03,0.13
150,113,8.48000e-01,7.36500e-01,3.71904e-03,5.80613e-03,0.13
150,114,8.45000e-01,7.37500e-01,3.62351e-03,5.78903e-03,0.13
150,115,8.47000e-01,7.37625e-01,3.55861e-03,5.78239e-03,0.13
150,116,8.48800e-01,7.39500e-01,3.56984e-03,5.76850e-03,0.13
150,117,8.49200e-01,7.38000e-01,3.59216e-03,5.77079e-03,0.13
150,118,8.47800e-01,7.39125e-01,3.59119e-03,5.76512e-03,0.13
150,119,8.46400e-01,7.36000e-01,3.54604e-03,5.79563e-03,0.13
150,120,8.49400e-01,7.37500e-01,3.57468e-03,5.77812e-03,0.13
150,121,8.50200e-01,7.37750e-01,3.61225e-03,5.77173e-03,0.13
150,122,8.48600e-01,7.37875e-01,3.59171e-03,5.78188e-03,0.13
150,123,8.48600e-01,7.38250e-01,3.62813e-03,5.78267e-03,0.13
150,124,8.49000e-01,7.38250e-01,3.54661e-03,5.78750e-03,0.13
150,125,8.49200e-01,7.38250e-01,3.50143e-03,5.78626e-03,0.13
150,126,8.48400e-01,7.38625e-01,3.61475e-03,5.80617e-03,0.13
150,127,8.52000e-01,7.41375e-01,3.49952e-03,5.79705e-03,0.13
150,128,8.53400e-01,7.39750e-01,3.54075e-03,5.77444e-03,0.13
150,129,8.51800e-01,7.38875e-01,3.46814e-03,5.78926e-03,0.13
150,130,8.52800e-01,7.39125e-01,3.44269e-03,5.77864e-03,0.13
150,131,8.54600e-01,7.36500e-01,3.44264e-03,5.80246e-03,0.13
150,132,8.56200e-01,7.41375e-01,3.53927e-03,5.78926e-03,0.13
150,133,8.55800e-01,7.37875e-01,3.44540e-03,5.81576e-03,0.13
150,134,8.53200e-01,7.40000e-01,3.46909e-03,5.79617e-03,0.13
150,135,8.53200e-01,7.39875e-01,3.42592e-03,5.81872e-03,0.13
150,136,8.54600e-01,7.38750e-01,3.44401e-03,5.80297e-03,0.13
150,137,8.58200e-01,7.38875e-01,3.38126e-03,5.80046e-03,0.13
150,138,8.55000e-01,7.40000e-01,3.42873e-03,5.81186e-03,0.13
150,139,8.58400e-01,7.40500e-01,3.41833e-03,5.78730e-03,0.13
150,140,8.59200e-01,7.40375e-01,3.44591e-03,5.78707e-03,0.13
150,141,8.58600e-01,7.38750e-01,3.43843e-03,5.80592e-03,0.13
150,142,8.58200e-01,7.40625e-01,3.38874e-03,5.83412e-03,0.13
150,143,8.58800e-01,7.40500e-01,3.41889e-03,5.81398e-03,0.13
150,144,8.58200e-01,7.37750e-01,3.43127e-03,5.84270e-03,0.13
150,145,8.54800e-01,7.40000e-01,3.38451e-03,5.80318e-03,0.13
150,146,8.57400e-01,7.40250e-01,3.43594e-03,5.80984e-03,0.13
150,147,8.57600e-01,7.42875e-01,3.36914e-03,5.81804e-03,0.13
150,148,8.58000e-01,7.39250e-01,3.36262e-03,5.82781e-03,0.13
150,149,8.59000e-01,7.40250e-01,3.38577e-03,5.83762e-03,0.13
150,150,8.58200e-01,7.40250e-01,3.33700e-03,5.82194e-03,0.13
150,151,8.61200e-01,7.39000e-01,3.32532e-03,5.82743e-03,0.13
150,152,8.59000e-01,7.42625e-01,3.30138e-03,5.80976e-03,0.13
150,153,8.60000e-01,7.39750e-01,3.30646e-03,5.82381e-03,0.13
150,154,8.63400e-01,7.40250e-01,3.28407e-03,5.83040e-03,0.13
150,155,8.61600e-01,7.41625e-01,3.39463e-03,5.81965e-03,0.13
150,156,8.62000e-01,7.41375e-01,3.37761e-03,5.83251e-03,0.13
150,157,8.60200e-01,7.41000e-01,3.26916e-03,5.83079e-03,0.13
150,158,8.63600e-01,7.41250e-01,3.28780e-03,5.81862e-03,0.14
150,159,8.64000e-01,7.39875e-01,3.34132e-03,5.83232e-03,0.13
150,160,8.59600e-01,7.42250e-01,3.33402e-03,5.82283e-03,0.13
150,161,8.63400e-01,7.41750e-01,3.20816e-03,5.84494e-03,0.13
150,162,8.63000e-01,7.39750e-01,3.30161e-03,5.83781e-03,0.13
150,163,8.62400e-01,7.40375e-01,3.24579e-03,5.82639e-03,0.13
150,164,8.66600e-01,7.39875e-01,3.29061e-03,5.85397e-03,0.13
150,165,8.64600e-01,7.42500e-01,3.29807e-03,5.82870e-03,0.13
150,166,8.65600e-01,7.40750e-01,3.19719e-03,5.84869e-03,0.13
150,167,8.66200e-01,7.43750e-01,3.19105e-03,5.83815e-03,0.13
150,168,8.67600e-01,7.41375e-01,3.25263e-03,5.86153e-03,0.13
150,169,8.63000e-01,7.39000e-01,3.23212e-03,5.84710e-03,0.13
150,170,8.67400e-01,7.41000e-01,3.18900e-03,5.84637e-03,0.13
150,171,8.66200e-01,7.39875e-01,3.28238e-03,5.87888e-03,0.13
150,172,8.66200e-01,7.42500e-01,3.26257e-03,5.85218e-03,0.13
150,173,8.67800e-01,7.41375e-01,3.25141e-03,5.85773e-03,0.13
150,174,8.66400e-01,7.41500e-01,3.19808e-03,5.83882e-03,0.13
150,175,8.67400e-01,7.41625e-01,3.17366e-03,5.86043e-03,0.13
150,176,8.68000e-01,7.41500e-01,3.20172e-03,5.84784e-03,0.13
150,177,8.67600e-01,7.39125e-01,3.22119e-03,5.86884e-03,0.13
150,178,8.68800e-01,7.40375e-01,3.19786e-03,5.85328e-03,0.13
150,179,8.67800e-01,7.40000e-01,3.18425e-03,5.87393e-03,0.13
150,180,8.68600e-01,7.41750e-01,3.16938e-03,5.85328e-03,0.13
150,181,8.69000e-01,7.41500e-01,3.14486e-03,5.85861e-03,0.13
150,182,8.72200e-01,7.40500e-01,3.16152e-03,5.85575e-03,0.13
150,183,8.69400e-01,7.41375e-01,3.10415e-03,5.86730e-03,0.13
150,184,8.71200e-01,7.40250e-01,3.15386e-03,5.86411e-03,0.13
150,185,8.70600e-01,7.41750e-01,3.09915e-03,5.87015e-03,0.13
150,186,8.69800e-01,7.41375e-01,3.21522e-03,5.86341e-03,0.13
150,187,8.71000e-01,7.42500e-01,3.18104e-03,5.87600e-03,0.13
150,188,8.69200e-01,7.42125e-01,3.17294e-03,5.87240e-03,0.13
150,189,8.71400e-01,7.41000e-01,3.13755e-03,5.86823e-03,0.13
150,190,8.74000e-01,7.41500e-01,3.11847e-03,5.87923e-03,0.13
150,191,8.71400e-01,7.40125e-01,3.13466e-03,5.88791e-03,0.13
150,192,8.71800e-01,7.42250e-01,3.08469e-03,5.86966e-03,0.13
150,193,8.73000e-01,7.41125e-01,3.06047e-03,5.87851e-03,0.13
150,194,8.71600e-01,7.40625e-01,3.05397e-03,5.88990e-03,0.13
150,195,8.73200e-01,7.41125e-01,3.05305e-03,5.89370e-03,0.13
150,196,8.75800e-01,7.41000e-01,3.07849e-03,5.89935e-03,0.13
150,197,8.72600e-01,7.42125e-01,3.07114e-03,5.88950e-03,0.13
150,198,8.76000e-01,7.43375e-01,3.01497e-03,5.88937e-03,0.13
150,199,8.73400e-01,7.41375e-01,3.08227e-03,5.90670e-03,0.13
150,200,8.75400e-01,7.42750e-01,3.07211e-03,5.89330e-03,0.13
300,1,2.02800e-01,3.34625e-01,2.04426e-02,1.44602e-02,0.14
300,2,4.37800e-01,5.06000e-01,1.25094e-02,1.11199e-02,0.12
300,3,5.71200e-01,5.70625e-01,1.00731e-02,9.61482e-03,0.12
300,4,6.27000e-01,6.22375e-01,8.88176e-03,8.71928e-03,0.12
300,5,6.61600e-01,6.50500e-01,8.09828e-03,8.17627e-03,0.12
300,6,6.84000e-01,6.63750e-01,7.58219e-03,7.78255e-03,0.12
300,7,7.03800e-01,6.76125e-01,7.15439e-03,7.47324e-03,0.12
300,8,7.14200e-01,6.85625e-01,6.87424e-03,7.23006e-03,0.12
300,9,7.32000e-01,6.92500e-01,6.59711e-03,7.04082e-03,0.12
300,10,7.35800e-01,6.99750e-01,6.30947e-03,6.88505e-03,0.12
300,11,7.46000e-01,7.02625e-01,6.14250e-03,6.80475e-03,0.12
300,12,7.53600e-01,7.06375e-01,6.01577e-03,6.66757e-03,0.12
300,13,7.62400e-01,7.10000e-01,5.74158e-03,6.55322e-03,0.12
300,14,7.68800e-01,7.15000e-01,5.70216e-03,6.46972e-03,0.12
300,15,7.76800e-01,7.18125e-01,5.53172e-03,6.37652e-03,0.12
300,16,7.79800e-01,7.23500e-01,5.38332e-03,6.30199e-03,0.12
300,17,7.85400e-01,7.26000e-01,5.26339e-03,6.23297e-03,0.12
300,18,7.87600e-01,7.26875e-01,5.17741e-03,6.18580e-03,0.12
300,19,7.93800e-01,7.31125e-01,5.13533e-03,6.11950e-03,0.12
300,20,7.99600e-01,7.32625e-01,5.00464e-03,6.08352e-03,0.12
300,21,8.00800e-01,7.33375e-01,4.98577e-03,6.05539e-03,0.12
300,22,8.00800e-01,7.33375e-01,4.84472e-03,6.02191e-03,0.12
300,23,8.07200e-01,7.35500e-01,4.75548e-03,5.96015e-03,0.12
300,24,8.11400e-01,7.39375e-01,4.71668e-03,5.93519e-03,0.12
300,25,8.16000e-01,7.40750e-01,4.64719e-03,5.89488e-03,0.12
300,26,8.18200e-01,7.38625e-01,4.56352e-03,5.88282e-03,0.12
300,27,8.14600e-01,7.39000e-01,4.56628e-03,5.85440e-03,0.12
300,28,8.18200e-01,7.43625e-01,4.45798e-03,5.83122e-03,0.12
300,29,8.23200e-01,7.43250e-01,4.44608e-03,5.78665e-03,0.12
300,30,8.26400e-01,7.42750e-01,4.44260e-03,5.78839e-03,0.13
300,31,8.26200e-01,7.41625e-01,4.33775e-03,5.77141e-03,0.12
300,32,8.28800e-01,7.47000e-01,4.25294e-03,5.74109e-03,0.12
300,33,8.29800e-01,7.46875e-01,4.14598e-03,5.73389e-03,0.12
300,34,8.34400e-01,7.48500e-01,4.18756e-03,5.69123e-03,0.12
300,35,8.37200e-01,7.49875e-01,4.06650e-03,5.67896e-03,0.12
300,36,8.36600e-01,7.48375e-01,4.09326e-03,5.67383e-03,0.12
300,37,8.38000e-01,7.49625e-01,3.99105e-03,5.65269e-03,0.12
300,38,8.39800e-01,7.48500e-01,4.00782e-03,5.65085e-03,0.12
300,39,8.41200e-01,7.49875e-01,3.94430e-03,5.66379e-03,0.12
300,40,8.38000e-01,7.49000e-01,3.93167e-03,5.62783e-03,0.12
300,41,8.46600e-01,7.50875e-01,3.83931e-03,5.63004e-03,0.12
300,42,8.48200e-01,7.49375e-01,3.84186e-03,5.65357e-03,0.12
300,43,8.48800e-01,7.53000e-01,3.83175e-03,5.60777e-03,0.12
