pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,3.73692e-01,4.16000e-01,2.05550e-02,1.85265e-02,1.81
150,2,4.85562e-01,4.42400e-01,1.56282e-02,1.73770e-02,1.65
150,3,5.12446e-01,4.57800e-01,1.46215e-02,1.68043e-02,1.65
150,4,5.27162e-01,4.66600e-01,1.40780e-02,1.64590e-02,1.65
150,5,5.37554e-01,4.71800e-01,1.37215e-02,1.63292e-02,1.65
150,6,5.45777e-01,4.75200e-01,1.34507e-02,1.59876e-02,1.65
150,7,5.51408e-01,4.76800e-01,1.32388e-02,1.59209e-02,1.67
150,8,5.56154e-01,4.86600e-01,1.30684e-02,1.57865e-02,1.67
150,9,5.60562e-01,4.90800e-01,1.29270e-02,1.57081e-02,1.67
150,10,5.63531e-01,4.91200e-01,1.28010e-02,1.56223e-02,1.89
150,11,5.67408e-01,4.90600e-01,1.26907e-02,1.55390e-02,1.73
150,12,5.70700e-01,4.90600e-01,1.25989e-02,1.54386e-02,1.65
150,13,5.73677e-01,4.95800e-01,1.25022e-02,1.54705e-02,1.65
150,14,5.75823e-01,4.95000e-01,1.24303e-02,1.53611e-02,1.65
150,15,5.78562e-01,4.98600e-01,1.23636e-02,1.53492e-02,1.65
150,16,5.79285e-01,4.87000e-01,1.22929e-02,1.54290e-02,1.64
150,17,5.81277e-01,5.00000e-01,1.22396e-02,1.53100e-02,1.65
150,18,5.84100e-01,5.02800e-01,1.21709e-02,1.52018e-02,1.64
150,19,5.83885e-01,5.01000e-01,1.21273e-02,1.51982e-02,1.64
150,20,5.86077e-01,5.01600e-01,1.20772e-02,1.51677e-02,1.65
150,21,5.86115e-01,5.04600e-01,1.20291e-02,1.51478e-02,1.66
150,22,5.88954e-01,5.01800e-01,1.19839e-02,1.50897e-02,1.74
150,23,5.90115e-01,4.99800e-01,1.19425e-02,1.50807e-02,1.69
150,24,5.90885e-01,4.98600e-01,1.19084e-02,1.51153e-02,1.65
150,25,5.92385e-01,5.08400e-01,1.18674e-02,1.50641e-02,1.65
150,26,5.93815e-01,5.04200e-01,1.18338e-02,1.50881e-02,1.64
150,27,5.95154e-01,5.05400e-01,1.18056e-02,1.50053e-02,1.64
150,28,5.95415e-01,5.11800e-01,1.17749e-02,1.49831e-02,1.65
150,29,5.95846e-01,5.06600e-01,1.17392e-02,1.49230e-02,1.64
150,30,5.97162e-01,5.08400e-01,1.17147e-02,1.50347e-02,1.65
150,31,5.98338e-01,5.06000e-01,1.16875e-02,1.49741e-02,1.64
150,32,5.98238e-01,5.10200e-01,1.16601e-02,1.49147e-02,1.65
150,33,5.99254e-01,5.05000e-01,1.16414e-02,1.49549e-02,1.65
150,34,6.00485e-01,5.09600e-01,1.16131e-02,1.48912e-02,1.64
150,35,6.00854e-01,5.10800e-01,1.15878e-02,1.48937e-02,1.65
150,36,6.01685e-01,5.11800e-01,1.15739e-02,1.48996e-02,1.66
150,37,6.02308e-01,5.08000e-01,1.15444e-02,1.49365e-02,1.65
150,38,6.02269e-01,5.10600e-01,1.15302e-02,1.48597e-02,1.65
150,39,6.03231e-01,5.08400e-01,1.15094e-02,1.48729e-02,1.65
150,40,6.04092e-01,5.10600e-01,1.14930e-02,1.48641e-02,1.65
150,41,6.05362e-01,5.11200e-01,1.14682e-02,1.48435e-02,1.65
150,42,6.05792e-01,5.09800e-01,1.14548e-02,1.48100e-02,1.65
150,43,6.05685e-01,5.11600e-01,1.14326e-02,1.48343e-02,1.65
150,44,6.06077e-01,5.09200e-01,1.14206e-02,1.48493e-02,1.66
150,45,6.07615e-01,5.13000e-01,1.14050e-02,1.48033e-02,1.65
150,46,6.07585e-01,5.14000e-01,1.13848e-02,1.48588e-02,1.65
150,47,6.07762e-01,5.11000e-01,1.13776e-02,1.48254e-02,1.66
150,48,6.07854e-01,5.12000e-01,1.13581e-02,1.48575e-02,1.70
150,49,6.08669e-01,5.17600e-01,1.13463e-02,1.47692e-02,1.76
150,50,6.08723e-01,5.10400e-01,1.13357e-02,1.47939e-02,1.65
150,51,6.09162e-01,5.13800e-01,1.13201e-02,1.48270e-02,1.65
150,52,6.09354e-01,5.15600e-01,1.13074e-02,1.46714e-02,1.66
150,53,6.09685e-01,5.14800e-01,1.12915e-02,1.47249e-02,1.66
150,54,6.10285e-01,5.13400e-01,1.12809e-02,1.47771e-02,1.66
150,55,6.10915e-01,5.11400e-01,1.12698e-02,1.47949e-02,1.66
150,56,6.11315e-01,5.11000e-01,1.12572e-02,1.47686e-02,1.67
150,57,6.12100e-01,5.17000e-01,1.12501e-02,1.47993e-02,1.68
150,58,6.12654e-01,5.13400e-01,1.12273e-02,1.46853e-02,1.66
150,59,6.11931e-01,5.16000e-01,1.12283e-02,1.47994e-02,1.66
150,60,6.12523e-01,5.11600e-01,1.12126e-02,1.47350e-02,1.66
