epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.704584e-01,59.00000,30.00000,9314
1,1,3.845419e-01,49.00000,30.00000,3474
1,2,3.480735e-01,42.00000,35.00000,2364
1,3,3.267813e-01,46.00000,35.00000,1782
1,4,3.093279e-01,51.00000,30.00000,1070
1,5,2.952204e-01,45.00000,35.00000,1024
1,6,2.822131e-01,53.00000,30.00000,677
1,7,2.719955e-01,52.00000,30.00000,619
1,8,2.609168e-01,47.00000,35.00000,634
1,9,2.524429e-01,40.00000,36.00000,686
1,10,2.452703e-01,36.00000,36.00000,586
1,11,2.349580e-01,55.00000,30.00000,816
1,12,2.288129e-01,36.00000,36.00000,682
1,13,2.193613e-01,57.00000,30.00000,717
1,14,2.123294e-01,53.00000,30.00000,624
1,15,2.074717e-01,40.00000,35.00000,746
1,16,2.039349e-01,36.00000,36.00000,715
1,17,1.949704e-01,57.00000,30.00000,704
1,18,1.878436e-01,55.00000,30.00000,691
1,19,1.822367e-01,52.00000,30.00000,660
1,20,1.772877e-01,38.00000,36.00000,718
1,21,1.737636e-01,49.00000,30.00000,789
1,22,1.708807e-01,31.00000,36.00000,678
1,23,1.634670e-01,41.00000,36.00000,581
1,24,1.575831e-01,46.00000,35.00000,1797
1,25,1.531043e-01,48.00000,35.00000,2276
1,26,1.491394e-01,47.00000,35.00000,2038
1,27,1.448129e-01,40.00000,40.00000,596
1,28,1.407486e-01,49.00000,30.00000,2854
1,29,1.391137e-01,44.00000,35.00000,912
1,30,1.341093e-01,47.00000,35.00000,663
1,31,1.326635e-01,43.00000,35.00000,632
1,32,1.280143e-01,50.00000,30.00000,711
1,33,1.285053e-01,44.00000,35.00000,2918
1,34,1.236858e-01,44.00000,35.00000,3771
1,35,1.235227e-01,54.00000,30.00000,2841
1,36,1.199865e-01,48.00000,35.00000,2026
1,37,1.198421e-01,43.00000,36.00000,1556
1,38,1.197462e-01,42.00000,36.00000,2309
1,39,1.139186e-01,53.00000,30.00000,2687
1,40,1.159164e-01,37.00000,36.00000,582
1,41,1.146157e-01,53.00000,30.00000,738
1,42,1.101323e-01,52.00000,30.00000,677
1,43,1.143235e-01,45.00000,35.00000,2271
1,44,1.094109e-01,45.00000,35.00000,3259
1,45,1.094828e-01,49.00000,30.00000,1161
1,46,1.124298e-01,45.00000,35.00000,1989
1,47,1.112057e-01,60.00000,30.00000,1604
1,48,1.081013e-01,48.00000,35.00000,3798
1,49,1.086066e-01,40.00000,36.00000,2026
1,50,1.112742e-01,53.00000,30.00000,728
1,51,1.096215e-01,45.00000,35.00000,609
1,52,1.067233e-01,56.00000,30.00000,679
1,53,1.137078e-01,33.00000,40.00000,1346
1,54,1.114463e-01,48.00000,35.00000,3182
1,55,1.099108e-01,39.00000,36.00000,713
1,56,1.088649e-01,48.00000,35.00000,3527
1,57,1.111842e-01,36.00000,35.00000,689
1,58,1.101765e-01,50.00000,35.00000,2922
1,59,1.110303e-01,54.00000,30.00000,2035
1,60,1.077864e-01,46.00000,35.00000,725
1,61,1.109031e-01,49.00000,30.00000,698
1,62,1.094451e-01,49.00000,30.00000,703
1,63,1.084132e-01,55.00000,30.00000,2157
1,64,1.075946e-01,57.00000,30.00000,2555
1,65,1.109338e-01,43.00000,36.00000,623
1,66,1.136571e-01,43.00000,35.00000,1079
1,67,1.179463e-01,25.00000,36.00000,921
1,68,1.168238e-01,30.00000,36.00000,1840
1,69,1.134279e-01,46.00000,35.00000,597
1,70,1.185413e-01,54.00000,30.00000,597
1,71,1.165746e-01,45.00000,35.00000,587
2,0,1.128942e-01,43.00000,35.00000,3153
2,1,1.166686e-01,49.00000,30.00000,673
2,2,1.167440e-01,49.00000,30.00000,824
2,3,1.147870e-01,39.00000,36.00000,3153
2,4,1.139289e-01,49.00000,30.00000,671
2,5,1.163746e-01,40.00000,36.00000,650
2,6,1.161276e-01,41.00000,40.00000,716
2,7,1.168260e-01,40.00000,35.00000,766
2,8,1.133282e-01,44.00000,35.00000,810
2,9,1.185934e-01,30.00000,36.00000,655
2,10,1.133326e-01,54.00000,30.00000,721
2,11,1.180215e-01,42.00000,35.00000,2302
2,12,1.120081e-01,55.00000,30.00000,737
2,13,1.088020e-01,55.00000,30.00000,680
2,14,1.102136e-01,46.00000,35.00000,816
2,15,1.115148e-01,46.00000,35.00000,672
2,16,1.099953e-01,54.00000,30.00000,742
2,17,1.122140e-01,48.00000,35.00000,708
2,18,1.104771e-01,47.00000,35.00000,674
2,19,1.141041e-01,43.00000,35.00000,708
2,20,1.059013e-01,62.00000,30.00000,792
