pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,4.41838e-01,4.84000e-01,1.79571e-02,1.61039e-02,1.86
150,2,5.53931e-01,5.08400e-01,1.32670e-02,1.50673e-02,2.73
150,3,5.77885e-01,5.24800e-01,1.24207e-02,1.45708e-02,1.91
150,4,5.90462e-01,5.33200e-01,1.19554e-02,1.42959e-02,1.72
150,5,6.00562e-01,5.32200e-01,1.16454e-02,1.41916e-02,1.69
150,6,6.07885e-01,5.36000e-01,1.14154e-02,1.39972e-02,1.69
150,7,6.12900e-01,5.46200e-01,1.12344e-02,1.39493e-02,1.70
150,8,6.16915e-01,5.32600e-01,1.10827e-02,1.39447e-02,3.03
150,9,6.21138e-01,5.40000e-01,1.09611e-02,1.38226e-02,1.77
150,10,6.24354e-01,5.45800e-01,1.08525e-02,1.37645e-02,1.69
150,11,6.27654e-01,5.44000e-01,1.07554e-02,1.37557e-02,1.68
150,12,6.30815e-01,5.46800e-01,1.06715e-02,1.37141e-02,1.68
150,13,6.31638e-01,5.50000e-01,1.05874e-02,1.36654e-02,1.68
150,14,6.34215e-01,5.54800e-01,1.05245e-02,1.35771e-02,1.68
150,15,6.36238e-01,5.49600e-01,1.04641e-02,1.35795e-02,1.68
150,16,6.37700e-01,5.53200e-01,1.04039e-02,1.35918e-02,1.69
150,17,6.38731e-01,5.55800e-01,1.03556e-02,1.35265e-02,1.74
150,18,6.40746e-01,5.53000e-01,1.03010e-02,1.35274e-02,1.78
150,19,6.42446e-01,5.46400e-01,1.02594e-02,1.35101e-02,1.72
150,20,6.45277e-01,5.55000e-01,1.02056e-02,1.34791e-02,1.72
150,21,6.44708e-01,5.55200e-01,1.01691e-02,1.34740e-02,1.70
150,22,6.47500e-01,5.53200e-01,1.01316e-02,1.34770e-02,1.70
150,23,6.47115e-01,5.57600e-01,1.01029e-02,1.34229e-02,1.71
150,24,6.48754e-01,5.54000e-01,1.00659e-02,1.33821e-02,1.73
150,25,6.49046e-01,5.55800e-01,1.00399e-02,1.34188e-02,1.73
150,26,6.50638e-01,5.58600e-01,9.99681e-03,1.33778e-02,1.73
150,27,6.52177e-01,5.61200e-01,9.97403e-03,1.33444e-02,1.73
150,28,6.51508e-01,5.57000e-01,9.95185e-03,1.33526e-02,1.73
150,29,6.53754e-01,5.58400e-01,9.91909e-03,1.33492e-02,1.72
150,30,6.53800e-01,5.59000e-01,9.89983e-03,1.33346e-02,1.73
150,31,6.54146e-01,5.60200e-01,9.87729e-03,1.33997e-02,1.74
150,32,6.55769e-01,5.60000e-01,9.85420e-03,1.33544e-02,1.74
150,33,6.56377e-01,5.63800e-01,9.82428e-03,1.33229e-02,2.87
150,34,6.57085e-01,5.60200e-01,9.80961e-03,1.32808e-02,1.74
150,35,6.57554e-01,5.67000e-01,9.79165e-03,1.32749e-02,1.91
150,36,6.57592e-01,5.60000e-01,9.76803e-03,1.33652e-02,1.76
150,37,6.58277e-01,5.58400e-01,9.75933e-03,1.32414e-02,1.75
150,38,6.59092e-01,5.64400e-01,9.73279e-03,1.33215e-02,1.74
150,39,6.59354e-01,5.61800e-01,9.71205e-03,1.32799e-02,1.76
150,40,6.60092e-01,5.59600e-01,9.70065e-03,1.32709e-02,1.76
150,41,6.61315e-01,5.62800e-01,9.68370e-03,1.32753e-02,1.86
150,42,6.61646e-01,5.60000e-01,9.67206e-03,1.32797e-02,1.85
150,43,6.62062e-01,5.60800e-01,9.65472e-03,1.33553e-02,1.76
150,44,6.62500e-01,5.60000e-01,9.63906e-03,1.32376e-02,1.74
150,45,6.62808e-01,5.65000e-01,9.62387e-03,1.32415e-02,1.75
150,46,6.62738e-01,5.63000e-01,9.61452e-03,1.32438e-02,1.83
150,47,6.63085e-01,5.60000e-01,9.59672e-03,1.32390e-02,1.76
150,48,6.63700e-01,5.64000e-01,9.59202e-03,1.32394e-02,1.73
150,49,6.63723e-01,5.61600e-01,9.57559e-03,1.32500e-02,1.79
150,50,6.65108e-01,5.59600e-01,9.56677e-03,1.32949e-02,1.75
150,51,6.65085e-01,5.57400e-01,9.55106e-03,1.33073e-02,1.73
150,52,6.66038e-01,5.60800e-01,9.53925e-03,1.32716e-02,1.76
150,53,6.65938e-01,5.58000e-01,9.53604e-03,1.33072e-02,1.74
150,54,6.66877e-01,5.58200e-01,9.51795e-03,1.32520e-02,1.76
150,55,6.65654e-01,5.64400e-01,9.51753e-03,1.31943e-02,1.81
150,56,6.66454e-01,5.63200e-01,9.49395e-03,1.32233e-02,1.75
150,57,6.67592e-01,5.59800e-01,9.49010e-03,1.32891e-02,1.74
150,58,6.67208e-01,5.66000e-01,9.48773e-03,1.31946e-02,1.82
150,59,6.68592e-01,5.64800e-01,9.47189e-03,1.32494e-02,1.77
150,60,6.68077e-01,5.66000e-01,9.46437e-03,1.31396e-02,1.75
150,61,6.67385e-01,5.67000e-01,9.45849e-03,1.31499e-02,1.67
150,62,6.69223e-01,5.65600e-01,9.44335e-03,1.31493e-02,1.67
150,63,6.68962e-01,5.65400e-01,9.44149e-03,1.31597e-02,1.73
150,64,6.69092e-01,5.67000e-01,9.43571e-03,1.31765e-02,1.69
150,65,6.69785e-01,5.67000e-01,9.42356e-03,1.31745e-02,1.69
150,66,6.69315e-01,5.62800e-01,9.41754e-03,1.33062e-02,1.68
150,67,6.69885e-01,5.61600e-01,9.40425e-03,1.32551e-02,1.70
150,68,6.70177e-01,5.61600e-01,9.39626e-03,1.33000e-02,1.69
150,69,6.70100e-01,5.64800e-01,9.39497e-03,1.31456e-02,1.70
150,70,6.70423e-01,5.62400e-01,9.38650e-03,1.32128e-02,1.71
150,71,6.70046e-01,5.64800e-01,9.38898e-03,1.33276e-02,1.71
150,72,6.70908e-01,5.68400e-01,9.36944e-03,1.31300e-02,1.73
150,73,6.71100e-01,5.64200e-01,9.36674e-03,1.31587e-02,1.69
150,74,6.71877e-01,5.65200e-01,9.36235e-03,1.31397e-02,1.78
150,75,6.71646e-01,5.66200e-01,9.35374e-03,1.31500e-02,1.76
150,76,6.71315e-01,5.67400e-01,9.35528e-03,1.32305e-02,1.70
150,77,6.71054e-01,5.68600e-01,9.34855e-03,1.32019e-02,1.68
150,78,6.72115e-01,5.66000e-01,9.33941e-03,1.30951e-02,1.68
150,79,6.72562e-01,5.66000e-01,9.33157e-03,1.32066e-02,1.69
