epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.705971e-01,43.00000,35.00000,4992
1,1,3.846786e-01,44.00000,35.00000,781
1,2,3.477858e-01,45.00000,35.00000,537
1,3,3.269360e-01,58.00000,30.00000,723
1,4,3.114344e-01,32.00000,36.00000,382
1,5,2.958400e-01,49.00000,30.00000,598
1,6,2.812834e-01,57.00000,30.00000,386
1,7,2.692351e-01,45.00000,35.00000,417
1,8,2.605622e-01,54.00000,30.00000,442
1,9,2.513114e-01,57.00000,30.00000,440
1,10,2.436085e-01,56.00000,30.00000,3472
1,11,2.360509e-01,52.00000,30.00000,830
1,12,2.286847e-01,49.00000,30.00000,476
1,13,2.232129e-01,42.00000,36.00000,408
1,14,2.123618e-01,55.00000,30.00000,382
1,15,2.089004e-01,40.00000,36.00000,402
1,16,2.012191e-01,49.00000,30.00000,373
1,17,1.958110e-01,43.00000,36.00000,387
1,18,1.905634e-01,58.00000,30.00000,395
1,19,1.880291e-01,50.00000,35.00000,378
1,20,1.762049e-01,37.00000,36.00000,3130
1,21,1.752585e-01,44.00000,35.00000,714
1,22,1.679505e-01,38.00000,40.00000,545
1,23,1.643742e-01,56.00000,30.00000,582
1,24,1.558127e-01,48.00000,35.00000,400
1,25,1.550469e-01,35.00000,36.00000,798
1,26,1.493215e-01,51.00000,35.00000,385
1,27,1.458498e-01,54.00000,30.00000,430
1,28,1.430253e-01,51.00000,35.00000,393
1,29,1.432068e-01,37.00000,36.00000,435
1,30,1.360650e-01,53.00000,30.00000,5045
1,31,1.320598e-01,61.00000,30.00000,423
1,32,1.334788e-01,54.00000,30.00000,502
1,33,1.311584e-01,44.00000,35.00000,480
1,34,1.277431e-01,44.00000,35.00000,432
1,35,1.254433e-01,52.00000,35.00000,500
1,36,1.215006e-01,57.00000,30.00000,509
1,37,1.244006e-01,46.00000,35.00000,511
1,38,1.180942e-01,37.00000,36.00000,393
1,39,1.174401e-01,50.00000,35.00000,507
1,40,1.186089e-01,25.00000,36.00000,5757
1,41,1.186775e-01,42.00000,35.00000,398
1,42,1.169333e-01,42.00000,36.00000,418
1,43,1.169290e-01,53.00000,30.00000,413
1,44,1.175828e-01,54.00000,30.00000,425
1,45,1.151827e-01,39.00000,36.00000,499
1,46,1.127710e-01,45.00000,35.00000,510
1,47,1.109208e-01,55.00000,30.00000,505
1,48,1.135966e-01,43.00000,35.00000,446
1,49,1.094976e-01,58.00000,30.00000,528
1,50,1.095302e-01,54.00000,30.00000,4833
1,51,1.144703e-01,43.00000,35.00000,510
1,52,1.126581e-01,45.00000,35.00000,343
1,53,1.161064e-01,46.00000,35.00000,512
1,54,1.121239e-01,40.00000,40.00000,427
1,55,1.179166e-01,43.00000,35.00000,404
1,56,1.136314e-01,41.00000,36.00000,372
1,57,1.176511e-01,48.00000,35.00000,542
1,58,1.104346e-01,62.00000,30.00000,450
1,59,1.099955e-01,58.00000,30.00000,443
1,60,1.126140e-01,48.00000,35.00000,5053
1,61,1.138084e-01,59.00000,30.00000,484
1,62,1.151449e-01,50.00000,35.00000,406
1,63,1.159572e-01,37.00000,35.00000,368
1,64,1.182943e-01,57.00000,30.00000,375
1,65,1.183720e-01,52.00000,35.00000,386
1,66,1.208414e-01,50.00000,35.00000,420
1,67,1.213628e-01,43.00000,36.00000,412
1,68,1.164303e-01,60.00000,30.00000,505
1,69,1.166724e-01,46.00000,36.00000,408
1,70,1.232934e-01,40.00000,36.00000,4913
1,71,1.201778e-01,53.00000,30.00000,392
1,72,1.251037e-01,43.00000,35.00000,366
1,73,1.199242e-01,41.00000,36.00000,428
1,74,1.203118e-01,46.00000,36.00000,399
1,75,1.183536e-01,49.00000,36.00000,390
1,76,1.225569e-01,48.00000,35.00000,416
1,77,1.140833e-01,49.00000,30.00000,406
1,78,1.210212e-01,53.00000,30.00000,384
1,79,1.167897e-01,57.00000,30.00000,371
1,80,1.240525e-01,39.00000,40.00000,4401
1,81,1.193875e-01,57.00000,30.00000,421
1,82,1.169857e-01,47.00000,35.00000,362
1,83,1.228256e-01,55.00000,30.00000,407
1,84,1.210238e-01,45.00000,35.00000,386
1,85,1.212157e-01,46.00000,35.00000,368
1,86,1.251263e-01,45.00000,35.00000,384
1,87,1.277588e-01,45.00000,35.00000,365
1,88,1.201814e-01,45.00000,35.00000,366
1,89,1.217054e-01,50.00000,35.00000,387
1,90,1.139030e-01,57.00000,30.00000,4798
