pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,5.06580e-01,6.01700e-01,1.13509e-02,9.29383e-03,0.81
150,2,6.27380e-01,6.39500e-01,8.65486e-03,8.35271e-03,0.68
150,3,6.54360e-01,6.58300e-01,7.96373e-03,7.87434e-03,0.68
150,4,6.68900e-01,6.70300e-01,7.59843e-03,7.58247e-03,0.68
150,5,6.81300e-01,6.77500e-01,7.34664e-03,7.38252e-03,0.68
150,6,6.86720e-01,6.82900e-01,7.16518e-03,7.22768e-03,0.68
150,7,6.92360e-01,6.88400e-01,7.02291e-03,7.12335e-03,0.68
150,8,6.98200e-01,6.90500e-01,6.89978e-03,7.01298e-03,0.68
150,9,7.02620e-01,6.91800e-01,6.79707e-03,6.99694e-03,0.70
150,10,7.06040e-01,6.97700e-01,6.71222e-03,6.87518e-03,0.68
150,11,7.09680e-01,6.96500e-01,6.64868e-03,6.83439e-03,0.73
150,12,7.12280e-01,7.03500e-01,6.57961e-03,6.75644e-03,0.69
150,13,7.14160e-01,7.03900e-01,6.52118e-03,6.72729e-03,0.68
150,14,7.16080e-01,7.02600e-01,6.47100e-03,6.66576e-03,0.69
150,15,7.18520e-01,7.08700e-01,6.41697e-03,6.64138e-03,0.68
150,16,7.19860e-01,7.08000e-01,6.37809e-03,6.58829e-03,0.68
150,17,7.22400e-01,7.06100e-01,6.33110e-03,6.56157e-03,0.68
150,18,7.23960e-01,7.07000e-01,6.29409e-03,6.53149e-03,0.68
150,19,7.26080e-01,7.08300e-01,6.25735e-03,6.52809e-03,0.68
150,20,7.26220e-01,7.12400e-01,6.22868e-03,6.47016e-03,0.68
150,21,7.28880e-01,7.14000e-01,6.19529e-03,6.44671e-03,0.69
150,22,7.29380e-01,7.13400e-01,6.17518e-03,6.45660e-03,0.69
150,23,7.30740e-01,7.14200e-01,6.14798e-03,6.40907e-03,0.69
150,24,7.31920e-01,7.14000e-01,6.11555e-03,6.39249e-03,0.68
150,25,7.32620e-01,7.17100e-01,6.09968e-03,6.35674e-03,0.69
150,26,7.33900e-01,7.15500e-01,6.07760e-03,6.40234e-03,0.69
150,27,7.33380e-01,7.17800e-01,6.05958e-03,6.30692e-03,0.68
150,28,7.34100e-01,7.19600e-01,6.03520e-03,6.29989e-03,0.69
150,29,7.37040e-01,7.20600e-01,6.00755e-03,6.30699e-03,0.68
150,30,7.37540e-01,7.19100e-01,6.00020e-03,6.30362e-03,0.68
150,31,7.38060e-01,7.20800e-01,5.98456e-03,6.26472e-03,0.69
150,32,7.38780e-01,7.22100e-01,5.95945e-03,6.25092e-03,0.69
150,33,7.39180e-01,7.24700e-01,5.94011e-03,6.21763e-03,0.69
150,34,7.39300e-01,7.19600e-01,5.92569e-03,6.23428e-03,0.70
150,35,7.40480e-01,7.24500e-01,5.91939e-03,6.21645e-03,0.73
150,36,7.41660e-01,7.22900e-01,5.90429e-03,6.18413e-03,0.69
150,37,7.41660e-01,7.26200e-01,5.88495e-03,6.18099e-03,0.68
150,38,7.43140e-01,7.21500e-01,5.87437e-03,6.20077e-03,0.69
150,39,7.43080e-01,7.27400e-01,5.85812e-03,6.13698e-03,0.69
150,40,7.43080e-01,7.22600e-01,5.85211e-03,6.18438e-03,0.69
150,41,7.44140e-01,7.26300e-01,5.83972e-03,6.13287e-03,0.68
150,42,7.44280e-01,7.26400e-01,5.82352e-03,6.11288e-03,0.68
150,43,7.44940e-01,7.25200e-01,5.81213e-03,6.22592e-03,0.68
150,44,7.47080e-01,7.29000e-01,5.80069e-03,6.10579e-03,0.68
150,45,7.46880e-01,7.28000e-01,5.78950e-03,6.10307e-03,0.68
150,46,7.46440e-01,7.28300e-01,5.78459e-03,6.10571e-03,0.68
150,47,7.47280e-01,7.26300e-01,5.76962e-03,6.08625e-03,0.68
150,48,7.47760e-01,7.27800e-01,5.76391e-03,6.05723e-03,0.68
150,49,7.46600e-01,7.26000e-01,5.75010e-03,6.07410e-03,0.68
150,50,7.47520e-01,7.31800e-01,5.73842e-03,6.04657e-03,0.68
