pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,3.95385e-01,4.42800e-01,2.00466e-02,1.78202e-02,3.85
150,2,5.16569e-01,4.73200e-01,1.48011e-02,1.64815e-02,1.81
150,3,5.43131e-01,4.91200e-01,1.37320e-02,1.58512e-02,1.70
150,4,5.57785e-01,4.98200e-01,1.31704e-02,1.55401e-02,1.68
150,5,5.67715e-01,5.10000e-01,1.27937e-02,1.51799e-02,1.68
150,6,5.74246e-01,5.08400e-01,1.25260e-02,1.50634e-02,1.68
150,7,5.80692e-01,5.12800e-01,1.23077e-02,1.49494e-02,1.68
150,8,5.85338e-01,5.18800e-01,1.21382e-02,1.48176e-02,1.69
150,9,5.90369e-01,5.21000e-01,1.19992e-02,1.46909e-02,1.69
150,10,5.94238e-01,5.24200e-01,1.18722e-02,1.45664e-02,1.69
150,11,5.96838e-01,5.20200e-01,1.17676e-02,1.45195e-02,1.70
150,12,5.99085e-01,5.22400e-01,1.16718e-02,1.44786e-02,1.77
150,13,6.01662e-01,5.27200e-01,1.15836e-02,1.43789e-02,1.69
150,14,6.04108e-01,5.27800e-01,1.15038e-02,1.43927e-02,1.70
150,15,6.05369e-01,5.28400e-01,1.14410e-02,1.43220e-02,1.70
150,16,6.08208e-01,5.27400e-01,1.13779e-02,1.42801e-02,1.70
150,17,6.09008e-01,5.33200e-01,1.13175e-02,1.41848e-02,1.74
150,18,6.10785e-01,5.31400e-01,1.12625e-02,1.42121e-02,1.74
150,19,6.12892e-01,5.28600e-01,1.12118e-02,1.42595e-02,1.70
150,20,6.14215e-01,5.33800e-01,1.11635e-02,1.41938e-02,1.70
150,21,6.15231e-01,5.32000e-01,1.11302e-02,1.42091e-02,1.70
150,22,6.16831e-01,5.34000e-01,1.10843e-02,1.41712e-02,1.70
150,23,6.17077e-01,5.36200e-01,1.10413e-02,1.41128e-02,1.70
150,24,6.18408e-01,5.37400e-01,1.10104e-02,1.41082e-02,1.67
150,25,6.20985e-01,5.29800e-01,1.09679e-02,1.40755e-02,1.67
150,26,6.20631e-01,5.38200e-01,1.09421e-02,1.40416e-02,1.68
150,27,6.22085e-01,5.36800e-01,1.09060e-02,1.40763e-02,1.77
150,28,6.22762e-01,5.37400e-01,1.08815e-02,1.40137e-02,1.73
150,29,6.24531e-01,5.30800e-01,1.08520e-02,1.40146e-02,1.67
150,30,6.23869e-01,5.38000e-01,1.08273e-02,1.39471e-02,1.68
150,31,6.25185e-01,5.36200e-01,1.08002e-02,1.39933e-02,1.69
150,32,6.25415e-01,5.42800e-01,1.07773e-02,1.39141e-02,1.69
150,33,6.26608e-01,5.42200e-01,1.07489e-02,1.39510e-02,1.69
150,34,6.27008e-01,5.45200e-01,1.07341e-02,1.38687e-02,1.69
150,35,6.27854e-01,5.39600e-01,1.07068e-02,1.38650e-02,1.69
150,36,6.28315e-01,5.35600e-01,1.06916e-02,1.39394e-02,1.69
150,37,6.28662e-01,5.46400e-01,1.06664e-02,1.38329e-02,1.69
150,38,6.29462e-01,5.38600e-01,1.06530e-02,1.38731e-02,1.69
150,39,6.29992e-01,5.43600e-01,1.06271e-02,1.38479e-02,1.70
150,40,6.31208e-01,5.41200e-01,1.06146e-02,1.38929e-02,1.70
150,41,6.31262e-01,5.41400e-01,1.05967e-02,1.38023e-02,1.70
150,42,6.31700e-01,5.42200e-01,1.05757e-02,1.38560e-02,1.70
150,43,6.32646e-01,5.43000e-01,1.05634e-02,1.38637e-02,1.74
150,44,6.34231e-01,5.42200e-01,1.05470e-02,1.38504e-02,1.74
150,45,6.33185e-01,5.43400e-01,1.05360e-02,1.38779e-02,1.76
150,46,6.33223e-01,5.41200e-01,1.05208e-02,1.38319e-02,1.70
150,47,6.34938e-01,5.40800e-01,1.05026e-02,1.38440e-02,1.70
150,48,6.34554e-01,5.45800e-01,1.04884e-02,1.38083e-02,1.70
150,49,6.35469e-01,5.42800e-01,1.04816e-02,1.37600e-02,1.70
150,50,6.35508e-01,5.45200e-01,1.04628e-02,1.37766e-02,1.70
150,51,6.36292e-01,5.46000e-01,1.04528e-02,1.38090e-02,1.71
150,52,6.36854e-01,5.40800e-01,1.04401e-02,1.38266e-02,1.78
150,53,6.36008e-01,5.42000e-01,1.04383e-02,1.37978e-02,1.78
150,54,6.36200e-01,5.51600e-01,1.04188e-02,1.36991e-02,1.71
150,55,6.37346e-01,5.40000e-01,1.04044e-02,1.37982e-02,1.70
150,56,6.37762e-01,5.42800e-01,1.03998e-02,1.37961e-02,1.70
150,57,6.38354e-01,5.41000e-01,1.03863e-02,1.37538e-02,1.71
150,58,6.38215e-01,5.48200e-01,1.03775e-02,1.37479e-02,1.71
150,59,6.38754e-01,5.44200e-01,1.03658e-02,1.37380e-02,1.71
