epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,2.651818e-03,53.00000,30.00000,15258
1,1,2.010556e-03,36.00000,35.00000,2125
1,2,1.769833e-03,49.00000,30.00000,1740
1,3,1.659442e-03,40.00000,36.00000,1161
1,4,1.511561e-03,48.00000,35.00000,1017
1,5,1.691720e-03,53.00000,30.00000,1131
1,6,1.447049e-03,51.00000,35.00000,1459
1,7,1.438314e-03,49.00000,30.00000,1350
1,8,1.402776e-03,47.00000,35.00000,1355
1,9,1.397071e-03,49.00000,30.00000,1066
1,10,1.240593e-03,53.00000,30.00000,1349
1,11,1.362359e-03,53.00000,30.00000,1573
1,12,1.223137e-03,30.00000,36.00000,2235
1,13,1.226296e-03,53.00000,30.00000,2108
1,14,1.244994e-03,59.00000,30.00000,1523
1,15,1.120322e-03,31.00000,36.00000,1467
1,16,1.075675e-03,45.00000,35.00000,1151
1,17,1.043771e-03,52.00000,30.00000,1432
1,18,1.068868e-03,53.00000,30.00000,3052
1,19,9.486307e-04,35.00000,36.00000,1612
1,20,9.686197e-04,57.00000,30.00000,1115
1,21,9.321251e-04,37.00000,36.00000,1218
1,22,8.293141e-04,36.00000,36.00000,1386
1,23,8.088020e-04,35.00000,36.00000,1395
1,24,8.091084e-04,46.00000,35.00000,1986
1,25,7.626654e-04,40.00000,35.00000,1542
1,26,7.583158e-04,47.00000,35.00000,1273
1,27,6.914141e-04,42.00000,40.00000,2000
1,28,7.467787e-04,45.00000,35.00000,1638
1,29,7.559022e-04,43.00000,35.00000,1765
1,30,7.757277e-04,54.00000,30.00000,1542
1,31,7.051943e-04,52.00000,30.00000,1712
1,32,7.037595e-04,45.00000,35.00000,1693
1,33,6.537217e-04,45.00000,35.00000,1756
1,34,6.451713e-04,50.00000,35.00000,1904
1,35,6.867640e-04,53.00000,30.00000,1659
1,36,6.737402e-04,48.00000,35.00000,1824
1,37,6.081486e-04,31.00000,36.00000,1701
1,38,6.798740e-04,49.00000,30.00000,1456
1,39,6.848658e-04,49.00000,30.00000,1485
1,40,6.107157e-04,54.00000,30.00000,1513
1,41,6.312274e-04,34.00000,36.00000,1516
1,42,5.915506e-04,45.00000,35.00000,1360
1,43,5.638853e-04,46.00000,35.00000,1521
1,44,5.712379e-04,42.00000,36.00000,1486
1,45,6.308525e-04,43.00000,35.00000,1447
