epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,2.558774e-03,53.00000,30.00000,20743
1,1,2.023564e-03,36.00000,35.00000,1668
1,2,1.906864e-03,42.00000,35.00000,1343
1,3,1.861274e-03,53.00000,30.00000,880
1,4,1.630101e-03,60.00000,30.00000,1049
1,5,1.626092e-03,53.00000,30.00000,836
1,6,1.441442e-03,51.00000,35.00000,823
1,7,1.379680e-03,47.00000,35.00000,896
1,8,1.347221e-03,59.00000,30.00000,1227
1,9,1.226997e-03,46.00000,36.00000,772
1,10,1.294505e-03,53.00000,30.00000,966
1,11,1.260552e-03,47.00000,36.00000,889
1,12,1.179033e-03,53.00000,30.00000,773
1,13,1.175208e-03,39.00000,36.00000,1022
1,14,1.247876e-03,59.00000,30.00000,966
1,15,1.074595e-03,31.00000,36.00000,1027
1,16,1.165872e-03,49.00000,30.00000,834
1,17,1.129891e-03,52.00000,30.00000,870
1,18,9.879601e-04,47.00000,35.00000,1124
1,19,1.033256e-03,61.00000,30.00000,903
1,20,9.746924e-04,57.00000,30.00000,4087
1,21,8.963666e-04,37.00000,36.00000,975
1,22,8.805725e-04,36.00000,36.00000,1036
1,23,8.172340e-04,35.00000,36.00000,838
1,24,8.067213e-04,46.00000,35.00000,851
1,25,7.695534e-04,40.00000,35.00000,1055
1,26,7.808306e-04,47.00000,35.00000,905
1,27,7.098005e-04,40.00000,35.00000,942
1,28,7.197100e-04,33.00000,40.00000,828
1,29,8.174065e-04,43.00000,35.00000,837
1,30,7.321801e-04,54.00000,30.00000,11709
1,31,7.279112e-04,52.00000,30.00000,987
1,32,7.420360e-04,45.00000,35.00000,964
1,33,6.947735e-04,45.00000,35.00000,912
1,34,7.180460e-04,56.00000,30.00000,897
1,35,6.325564e-04,43.00000,35.00000,948
1,36,7.041461e-04,31.00000,36.00000,890
1,37,6.532926e-04,53.00000,30.00000,896
1,38,7.000729e-04,49.00000,35.00000,827
1,39,7.017868e-04,49.00000,30.00000,821
1,40,6.133968e-04,35.00000,36.00000,10692
1,41,6.450113e-04,54.00000,30.00000,3999
1,42,6.373967e-04,45.00000,35.00000,928
1,43,6.239612e-04,40.00000,36.00000,906
1,44,6.415288e-04,49.00000,30.00000,828
1,45,6.161504e-04,43.00000,35.00000,937
1,46,6.293176e-04,48.00000,35.00000,853
1,47,6.299092e-04,49.00000,30.00000,795
1,48,6.320738e-04,36.00000,36.00000,805
1,49,6.537942e-04,53.00000,30.00000,941
1,50,5.886498e-04,45.00000,35.00000,8260
1,51,6.032775e-04,34.00000,40.00000,5055
1,52,5.764243e-04,47.00000,35.00000,868
1,53,5.998563e-04,44.00000,35.00000,836
1,54,5.743313e-04,48.00000,35.00000,826
1,55,6.202690e-04,53.00000,30.00000,777
1,56,6.026186e-04,39.00000,35.00000,842
1,57,6.074694e-04,43.00000,36.00000,848
1,58,6.849801e-04,49.00000,30.00000,822
1,59,6.622309e-04,49.00000,30.00000,784
1,60,6.389125e-04,59.00000,30.00000,9294
1,61,6.374968e-04,59.00000,30.00000,6376
1,62,6.321547e-04,50.00000,35.00000,836
1,63,6.488692e-04,50.00000,35.00000,844
1,64,6.320544e-04,46.00000,36.00000,838
1,65,6.263718e-04,55.00000,30.00000,833
1,66,6.181765e-04,50.00000,35.00000,902
1,67,6.413063e-04,47.00000,35.00000,857
1,68,5.957460e-04,40.00000,36.00000,844
1,69,6.358931e-04,48.00000,35.00000,890
1,70,6.310556e-04,37.00000,36.00000,8336
1,71,6.865298e-04,52.00000,30.00000,5188
1,72,6.365560e-04,36.00000,36.00000,742
1,73,6.639808e-04,49.00000,30.00000,776
1,74,7.091145e-04,59.00000,30.00000,730
1,75,6.678096e-04,45.00000,35.00000,731
1,76,6.524411e-04,46.00000,35.00000,729
1,77,6.956236e-04,37.00000,36.00000,718
1,78,6.918992e-04,44.00000,35.00000,705
1,79,6.819134e-04,37.00000,36.00000,696
1,80,6.605480e-04,55.00000,30.00000,6687
1,81,6.848870e-04,35.00000,40.00000,7939
