pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,2.92400e-01,4.26750e-01,1.68147e-02,1.28994e-02,0.15
150,2,5.10800e-01,5.50250e-01,1.13735e-02,1.03739e-02,0.12
150,3,5.97600e-01,6.01875e-01,9.79701e-03,9.22837e-03,0.12
150,4,6.36000e-01,6.33625e-01,8.64059e-03,8.52168e-03,0.13
150,5,6.66800e-01,6.45875e-01,8.01916e-03,8.08464e-03,0.17
150,6,6.84400e-01,6.63500e-01,7.53729e-03,7.71092e-03,0.24
150,7,7.01400e-01,6.75500e-01,7.15804e-03,7.46414e-03,0.13
150,8,7.12400e-01,6.85500e-01,6.95556e-03,7.25596e-03,0.12
150,9,7.20600e-01,6.86750e-01,6.67609e-03,7.12298e-03,0.17
150,10,7.28400e-01,6.94125e-01,6.60478e-03,6.98549e-03,0.12
150,11,7.37600e-01,6.99375e-01,6.35445e-03,6.85257e-03,0.13
150,12,7.40400e-01,7.00250e-01,6.15034e-03,6.75211e-03,0.14
150,13,7.46000e-01,7.05875e-01,6.17355e-03,6.67622e-03,0.13
150,14,7.55400e-01,7.11000e-01,5.91760e-03,6.60740e-03,0.13
150,15,7.59200e-01,7.07625e-01,5.80384e-03,6.55166e-03,0.12
150,16,7.61800e-01,7.10625e-01,5.71660e-03,6.50366e-03,0.15
150,17,7.66800e-01,7.14875e-01,5.67519e-03,6.43142e-03,0.12
150,18,7.69600e-01,7.17125e-01,5.57810e-03,6.41081e-03,0.12
150,19,7.71600e-01,7.16750e-01,5.53637e-03,6.35934e-03,0.12
150,20,7.75400e-01,7.16000e-01,5.39189e-03,6.33773e-03,0.14
150,21,7.78200e-01,7.19000e-01,5.32472e-03,6.30109e-03,0.12
150,22,7.79800e-01,7.21625e-01,5.40122e-03,6.26189e-03,0.12
150,23,7.80600e-01,7.22500e-01,5.27044e-03,6.22744e-03,0.12
150,24,7.85200e-01,7.26375e-01,5.30387e-03,6.20582e-03,0.12
150,25,7.82400e-01,7.26500e-01,5.16818e-03,6.20488e-03,0.12
150,26,7.84600e-01,7.25750e-01,5.11471e-03,6.16518e-03,0.12
150,27,7.89200e-01,7.23750e-01,5.03338e-03,6.14938e-03,0.12
150,28,7.88000e-01,7.24125e-01,5.03051e-03,6.13882e-03,0.12
150,29,7.89800e-01,7.29250e-01,4.97017e-03,6.09873e-03,0.12
150,30,7.95800e-01,7.25250e-01,5.04569e-03,6.10358e-03,0.12
150,31,7.96200e-01,7.30000e-01,4.89289e-03,6.09062e-03,0.12
150,32,7.96600e-01,7.28875e-01,4.95853e-03,6.06686e-03,0.12
150,33,7.99000e-01,7.29375e-01,4.85006e-03,6.05353e-03,0.12
150,34,8.00800e-01,7.29000e-01,4.73020e-03,6.05417e-03,0.12
150,35,8.00000e-01,7.31250e-01,4.75131e-03,6.02139e-03,0.12
150,36,8.01200e-01,7.29875e-01,4.74843e-03,6.02882e-03,0.12
150,37,8.06000e-01,7.31000e-01,4.66204e-03,6.01189e-03,0.12
150,38,8.08200e-01,7.33625e-01,4.69302e-03,6.00215e-03,0.13
150,39,8.06800e-01,7.32875e-01,4.69332e-03,6.00019e-03,0.12
150,40,8.06600e-01,7.33500e-01,4.60668e-03,5.98305e-03,0.12
150,41,8.08800e-01,7.33125e-01,4.52225e-03,5.98652e-03,0.12
