epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,2.037873e-03,49.00000,30.00000,11372
1,1,1.718685e-03,47.00000,36.00000,4469
1,2,1.639282e-03,49.00000,30.00000,1343
1,3,1.542389e-03,45.00000,35.00000,1022
1,4,1.461591e-03,53.00000,30.00000,1054
1,5,1.295994e-03,45.00000,35.00000,1032
1,6,1.289684e-03,50.00000,35.00000,1123
1,7,1.190010e-03,42.00000,35.00000,1011
1,8,1.189130e-03,49.00000,30.00000,1067
1,9,1.161049e-03,53.00000,30.00000,1158
1,10,1.165291e-03,53.00000,30.00000,2461
1,11,1.121805e-03,49.00000,30.00000,1384
1,12,1.006398e-03,36.00000,36.00000,1481
1,13,1.061662e-03,53.00000,30.00000,1299
1,14,9.833178e-04,61.00000,30.00000,1075
1,15,1.007798e-03,53.00000,30.00000,1295
1,16,9.929574e-04,49.00000,30.00000,1743
1,17,9.218291e-04,40.00000,36.00000,1173
1,18,8.953337e-04,43.00000,36.00000,1501
1,19,8.722579e-04,42.00000,35.00000,1698
1,20,8.444980e-04,49.00000,30.00000,1580
1,21,8.061678e-04,40.00000,36.00000,1514
1,22,7.380357e-04,31.00000,36.00000,1334
1,23,7.215717e-04,41.00000,36.00000,1935
1,24,6.866434e-04,34.00000,40.00000,1290
1,25,6.838430e-04,49.00000,35.00000,1211
1,26,7.027077e-04,44.00000,35.00000,1420
1,27,6.837997e-04,43.00000,35.00000,1198
1,28,6.580699e-04,42.00000,35.00000,1370
1,29,6.752133e-04,46.00000,35.00000,1262
1,30,7.222421e-04,54.00000,30.00000,1466
1,31,6.267150e-04,54.00000,30.00000,1214
1,32,6.740735e-04,53.00000,30.00000,1146
1,33,5.923221e-04,43.00000,36.00000,918
1,34,5.805708e-04,43.00000,35.00000,1149
1,35,5.827748e-04,31.00000,36.00000,1264
1,36,6.311621e-04,49.00000,30.00000,1194
1,37,5.638360e-04,41.00000,35.00000,1468
1,38,5.668232e-04,46.00000,35.00000,1290
1,39,5.944753e-04,47.00000,35.00000,1147
1,40,6.017848e-04,53.00000,30.00000,1074
1,41,6.038992e-04,53.00000,30.00000,1729
1,42,5.179538e-04,38.00000,36.00000,1105
1,43,6.045244e-04,49.00000,30.00000,931
1,44,5.410354e-04,56.00000,30.00000,1228
1,45,5.616308e-04,45.00000,35.00000,1040
1,46,5.456212e-04,43.00000,35.00000,1084
1,47,5.252605e-04,38.00000,36.00000,986
1,48,5.136224e-04,43.00000,35.00000,1258
1,49,5.527528e-04,44.00000,35.00000,1263
1,50,5.725030e-04,57.00000,30.00000,1155
1,51,5.540612e-04,43.00000,35.00000,1389
1,52,5.704990e-04,56.00000,30.00000,893
1,53,5.505688e-04,57.00000,30.00000,1029
1,54,5.606025e-04,49.00000,30.00000,987
1,55,5.527665e-04,53.00000,30.00000,895
1,56,5.379131e-04,34.00000,36.00000,840
1,57,5.416780e-04,40.00000,40.00000,863
1,58,5.680997e-04,47.00000,35.00000,873
1,59,5.647392e-04,41.00000,35.00000,852
1,60,5.916295e-04,42.00000,35.00000,815
1,61,6.024640e-04,49.00000,30.00000,899
1,62,5.430741e-04,42.00000,35.00000,901
1,63,5.455398e-04,41.00000,36.00000,895
1,64,5.343781e-04,43.00000,36.00000,917
1,65,5.884246e-04,55.00000,30.00000,851
1,66,5.461549e-04,43.00000,35.00000,894
1,67,5.588556e-04,49.00000,30.00000,859
1,68,5.663709e-04,31.00000,36.00000,863
1,69,5.532941e-04,43.00000,35.00000,849
1,70,5.752030e-04,40.00000,35.00000,878
1,71,5.853233e-04,45.00000,35.00000,934
2,0,5.566880e-04,43.00000,35.00000,3088
2,1,5.743430e-04,40.00000,40.00000,1986
2,2,5.958591e-04,38.00000,35.00000,1245
2,3,6.125515e-04,53.00000,30.00000,1056
2,4,5.759270e-04,41.00000,36.00000,1408
2,5,6.043061e-04,49.00000,30.00000,1473
2,6,5.462187e-04,49.00000,30.00000,1573
2,7,5.798961e-04,31.00000,36.00000,1349
