pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,3.07000e-01,4.59250e-01,1.60599e-02,1.18915e-02,0.14
150,2,5.56800e-01,5.80125e-01,1.04355e-02,9.57715e-03,0.13
150,3,6.26800e-01,6.30625e-01,8.81763e-03,8.52039e-03,0.12
150,4,6.73800e-01,6.53500e-01,7.89244e-03,7.92638e-03,0.12
150,5,6.90600e-01,6.70125e-01,7.32334e-03,7.50209e-03,0.12
150,6,7.10400e-01,6.84125e-01,6.88749e-03,7.17891e-03,0.12
150,7,7.22000e-01,6.90875e-01,6.67811e-03,6.99206e-03,0.12
150,8,7.39000e-01,6.98250e-01,6.33253e-03,6.78333e-03,0.12
150,9,7.40600e-01,7.00500e-01,6.16178e-03,6.66080e-03,0.12
150,10,7.50000e-01,7.06125e-01,6.02237e-03,6.55047e-03,0.12
150,11,7.57600e-01,7.10250e-01,5.78839e-03,6.43522e-03,0.12
150,12,7.61000e-01,7.09875e-01,5.68197e-03,6.33914e-03,0.12
150,13,7.65600e-01,7.14500e-01,5.47209e-03,6.28487e-03,0.12
150,14,7.70600e-01,7.18500e-01,5.39622e-03,6.20739e-03,0.12
150,15,7.73600e-01,7.20875e-01,5.29052e-03,6.17743e-03,0.12
150,16,7.81200e-01,7.17000e-01,5.23181e-03,6.12874e-03,0.12
150,17,7.83600e-01,7.22250e-01,5.07539e-03,6.05825e-03,0.12
150,18,7.86800e-01,7.23750e-01,5.12606e-03,6.00983e-03,0.12
150,19,7.88600e-01,7.26875e-01,4.99192e-03,5.96430e-03,0.12
150,20,7.95000e-01,7.28000e-01,5.00731e-03,5.91898e-03,0.12
150,21,7.98400e-01,7.29000e-01,4.94090e-03,5.91922e-03,0.12
150,22,8.00800e-01,7.31500e-01,4.73938e-03,5.88187e-03,0.12
150,23,8.03000e-01,7.31625e-01,4.72365e-03,5.85029e-03,0.12
150,24,8.04800e-01,7.34375e-01,4.69288e-03,5.82506e-03,0.12
150,25,8.07000e-01,7.33125e-01,4.67136e-03,5.82700e-03,0.12
150,26,8.06400e-01,7.35250e-01,4.66418e-03,5.81687e-03,0.12
150,27,8.09200e-01,7.36125e-01,4.53916e-03,5.78007e-03,0.12
150,28,8.14400e-01,7.36875e-01,4.62894e-03,5.73629e-03,0.12
150,29,8.13000e-01,7.36125e-01,4.45263e-03,5.74494e-03,0.12
150,30,8.18400e-01,7.40125e-01,4.46858e-03,5.71098e-03,0.12
150,31,8.17800e-01,7.41500e-01,4.41235e-03,5.71147e-03,0.12
150,32,8.18400e-01,7.41875e-01,4.36915e-03,5.69994e-03,0.12
150,33,8.25400e-01,7.41375e-01,4.31390e-03,5.67183e-03,0.12
150,34,8.24400e-01,7.42375e-01,4.28845e-03,5.67390e-03,0.12
150,35,8.23800e-01,7.41125e-01,4.24546e-03,5.66710e-03,0.12
150,36,8.25000e-01,7.43750e-01,4.23834e-03,5.64863e-03,0.13
150,37,8.30400e-01,7.41875e-01,4.16278e-03,5.64053e-03,0.12
150,38,8.30400e-01,7.46375e-01,4.24099e-03,5.62281e-03,0.12
150,39,8.28000e-01,7.39875e-01,4.26184e-03,5.64344e-03,0.12
150,40,8.30600e-01,7.41750e-01,4.08999e-03,5.63694e-03,0.12
150,41,8.34400e-01,7.43750e-01,4.13014e-03,5.63076e-03,0.12
150,42,8.35400e-01,7.44125e-01,4.15087e-03,5.58175e-03,0.12
150,43,8.32600e-01,7.44125e-01,4.00361e-03,5.61383e-03,0.12
150,44,8.35800e-01,7.43500e-01,3.97273e-03,5.60215e-03,0.12
150,45,8.39400e-01,7.44125e-01,3.97714e-03,5.58384e-03,0.12
150,46,8.34800e-01,7.45125e-01,3.88748e-03,5.56653e-03,0.12
150,47,8.40400e-01,7.46125e-01,3.89171e-03,5.56843e-03,0.12
