epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,2.024652e-03,53.00000,30.00000,14889
1,1,1.806753e-03,49.00000,30.00000,5305
1,2,1.521036e-03,49.00000,35.00000,2597
1,3,1.432510e-03,46.00000,35.00000,3091
1,4,1.463462e-03,52.00000,30.00000,953
1,5,1.231418e-03,36.00000,36.00000,997
1,6,1.340854e-03,50.00000,35.00000,1024
1,7,1.290556e-03,53.00000,30.00000,1020
1,8,1.240693e-03,49.00000,30.00000,1049
1,9,1.153410e-03,43.00000,35.00000,1080
1,10,1.212395e-03,53.00000,30.00000,1161
1,11,1.126221e-03,48.00000,35.00000,1129
1,12,1.136624e-03,53.00000,30.00000,1259
1,13,9.308014e-04,34.00000,36.00000,1211
1,14,9.815258e-04,40.00000,36.00000,1148
1,15,1.012124e-03,49.00000,30.00000,1439
1,16,9.204373e-04,36.00000,36.00000,1353
1,17,9.321412e-04,52.00000,30.00000,1368
1,18,8.555349e-04,56.00000,30.00000,1466
1,19,9.384446e-04,53.00000,30.00000,1685
1,20,8.463358e-04,41.00000,36.00000,1274
1,21,7.797212e-04,40.00000,35.00000,1399
1,22,7.611793e-04,53.00000,30.00000,1254
1,23,7.233267e-04,31.00000,36.00000,4814
1,24,7.064710e-04,45.00000,35.00000,2021
1,25,7.052830e-04,44.00000,35.00000,1329
1,26,7.015292e-04,47.00000,35.00000,1109
1,27,6.370600e-04,25.00000,36.00000,1148
1,28,6.736872e-04,41.00000,40.00000,1019
1,29,7.368837e-04,58.00000,30.00000,1078
1,30,6.310958e-04,41.00000,35.00000,4637
1,31,6.953632e-04,54.00000,30.00000,1183
1,32,6.569747e-04,53.00000,30.00000,1655
1,33,6.237481e-04,48.00000,35.00000,998
1,34,6.073061e-04,44.00000,35.00000,5348
1,35,6.489224e-04,57.00000,30.00000,1106
1,36,5.704198e-04,42.00000,35.00000,936
1,37,5.968061e-04,41.00000,35.00000,1048
1,38,5.731502e-04,40.00000,36.00000,2348
1,39,6.085780e-04,55.00000,30.00000,1136
1,40,5.948463e-04,25.00000,36.00000,6759
1,41,6.349231e-04,49.00000,30.00000,1680
1,42,5.572469e-04,49.00000,30.00000,1845
1,43,5.703690e-04,46.00000,35.00000,2006
1,44,5.657057e-04,37.00000,36.00000,5023
1,45,5.721785e-04,53.00000,30.00000,1095
1,46,5.338346e-04,35.00000,36.00000,1932
1,47,5.362845e-04,37.00000,35.00000,1024
1,48,5.729314e-04,48.00000,35.00000,1100
1,49,5.616199e-04,53.00000,30.00000,1410
1,50,5.486518e-04,58.00000,30.00000,4192
1,51,5.272315e-04,25.00000,36.00000,1217
1,52,5.455273e-04,41.00000,35.00000,990
1,53,5.323821e-04,37.00000,40.00000,1180
1,54,5.600237e-04,49.00000,30.00000,7773
1,55,5.317582e-04,44.00000,35.00000,1011
1,56,5.303404e-04,43.00000,35.00000,1049
1,57,5.875291e-04,43.00000,35.00000,1031
1,58,5.755677e-04,45.00000,35.00000,1092
1,59,5.545203e-04,47.00000,35.00000,949
1,60,6.190307e-04,49.00000,30.00000,2558
1,61,5.768788e-04,41.00000,35.00000,5129
1,62,5.708340e-04,49.00000,30.00000,904
