pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,5.23440e-01,6.32400e-01,1.09005e-02,8.64155e-03,0.82
150,2,6.53080e-01,6.69800e-01,7.99810e-03,7.69560e-03,0.66
150,3,6.83340e-01,6.89100e-01,7.31027e-03,7.24363e-03,0.67
150,4,6.97500e-01,6.96800e-01,6.94284e-03,6.94486e-03,0.66
150,5,7.09240e-01,7.03400e-01,6.68530e-03,6.72828e-03,0.67
150,6,7.14720e-01,7.06600e-01,6.51083e-03,6.59631e-03,0.67
150,7,7.21760e-01,7.16200e-01,6.36662e-03,6.45525e-03,0.67
150,8,7.27000e-01,7.19200e-01,6.24796e-03,6.37945e-03,0.67
150,9,7.31480e-01,7.15400e-01,6.14349e-03,6.41005e-03,0.67
150,10,7.34380e-01,7.22600e-01,6.06866e-03,6.27459e-03,0.67
150,11,7.37800e-01,7.22600e-01,5.99540e-03,6.19875e-03,0.67
150,12,7.39380e-01,7.24700e-01,5.93585e-03,6.15977e-03,0.67
150,13,7.41960e-01,7.26500e-01,5.87822e-03,6.09300e-03,0.67
150,14,7.46080e-01,7.31100e-01,5.82852e-03,6.06939e-03,0.67
150,15,7.46520e-01,7.31500e-01,5.78267e-03,6.03947e-03,0.67
150,16,7.48060e-01,7.35300e-01,5.73663e-03,5.95090e-03,0.74
150,17,7.50420e-01,7.37700e-01,5.70456e-03,5.91457e-03,0.68
150,18,7.50240e-01,7.31200e-01,5.66727e-03,5.93643e-03,0.67
150,19,7.52720e-01,7.36500e-01,5.64248e-03,5.87529e-03,0.67
150,20,7.54640e-01,7.38800e-01,5.59964e-03,5.84461e-03,0.67
150,21,7.55620e-01,7.40300e-01,5.58093e-03,5.82404e-03,0.67
150,22,7.56120e-01,7.42200e-01,5.53921e-03,5.78416e-03,0.67
150,23,7.57660e-01,7.40400e-01,5.51530e-03,5.79976e-03,0.67
150,24,7.59600e-01,7.39800e-01,5.49556e-03,5.76521e-03,0.67
150,25,7.58360e-01,7.43000e-01,5.47448e-03,5.73197e-03,0.67
150,26,7.59560e-01,7.44200e-01,5.45417e-03,5.70303e-03,0.67
150,27,7.61000e-01,7.44200e-01,5.43100e-03,5.69212e-03,0.67
150,28,7.61760e-01,7.46900e-01,5.41964e-03,5.69781e-03,0.67
150,29,7.63280e-01,7.47700e-01,5.39605e-03,5.64971e-03,0.67
150,30,7.64860e-01,7.44900e-01,5.37399e-03,5.67112e-03,0.67
150,31,7.64340e-01,7.46600e-01,5.36222e-03,5.66243e-03,0.67
150,32,7.65060e-01,7.48400e-01,5.35175e-03,5.64293e-03,0.68
150,33,7.66060e-01,7.47000e-01,5.32992e-03,5.65821e-03,0.71
150,34,7.66940e-01,7.47800e-01,5.31127e-03,5.61495e-03,0.67
150,35,7.65700e-01,7.47100e-01,5.30019e-03,5.64387e-03,0.67
150,36,7.67980e-01,7.47400e-01,5.27986e-03,5.60146e-03,0.67
150,37,7.70120e-01,7.49900e-01,5.26457e-03,5.58563e-03,0.67
