pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,2.78000e-01,4.46375e-01,1.69832e-02,1.22807e-02,1.22
150,2,5.33200e-01,5.74000e-01,1.08405e-02,9.80214e-03,1.20
150,3,6.16400e-01,6.25625e-01,9.07650e-03,8.68290e-03,1.20
150,4,6.57400e-01,6.53500e-01,8.32106e-03,8.06701e-03,1.19
150,5,6.78000e-01,6.69875e-01,7.60954e-03,7.63168e-03,1.20
150,6,6.92400e-01,6.80875e-01,7.19959e-03,7.33916e-03,1.09
150,7,7.04800e-01,6.90625e-01,6.94618e-03,7.08978e-03,0.13
150,8,7.17600e-01,6.96875e-01,6.61637e-03,6.89794e-03,0.12
150,9,7.27000e-01,7.03875e-01,6.43365e-03,6.73390e-03,0.12
150,10,7.32800e-01,7.06375e-01,6.30253e-03,6.62217e-03,0.12
150,11,7.41000e-01,7.12250e-01,6.01418e-03,6.52944e-03,0.12
150,12,7.50600e-01,7.17625e-01,5.97580e-03,6.43994e-03,0.12
150,13,7.53600e-01,7.17875e-01,5.82776e-03,6.33887e-03,0.12
150,14,7.62600e-01,7.16625e-01,5.70816e-03,6.27825e-03,0.12
150,15,7.60200e-01,7.22250e-01,5.59752e-03,6.19967e-03,0.12
150,16,7.66400e-01,7.22500e-01,5.48432e-03,6.17255e-03,0.12
150,17,7.71400e-01,7.25375e-01,5.42154e-03,6.11352e-03,0.12
150,18,7.75800e-01,7.27000e-01,5.38602e-03,6.07114e-03,0.12
150,19,7.76800e-01,7.27625e-01,5.36369e-03,6.03989e-03,0.12
150,20,7.78400e-01,7.30375e-01,5.34437e-03,6.00564e-03,0.12
150,21,7.80800e-01,7.31750e-01,5.14303e-03,5.96072e-03,0.12
150,22,7.83200e-01,7.32625e-01,5.13028e-03,5.92882e-03,0.12
150,23,7.86800e-01,7.34750e-01,5.09280e-03,5.88988e-03,0.12
150,24,7.87400e-01,7.33750e-01,5.01212e-03,5.86900e-03,0.12
150,25,7.88600e-01,7.33500e-01,5.02362e-03,5.88302e-03,0.12
150,26,7.91600e-01,7.36625e-01,4.90659e-03,5.86309e-03,0.12
150,27,7.94600e-01,7.36750e-01,4.82611e-03,5.80751e-03,0.12
150,28,7.97600e-01,7.38375e-01,4.85083e-03,5.78438e-03,0.12
150,29,7.94000e-01,7.38625e-01,4.78398e-03,5.75106e-03,0.12
150,30,7.94800e-01,7.39500e-01,4.71382e-03,5.72871e-03,0.12
150,31,7.99200e-01,7.40000e-01,4.62366e-03,5.72335e-03,0.12
150,32,8.04000e-01,7.43000e-01,4.59324e-03,5.70082e-03,0.12
150,33,8.03000e-01,7.42750e-01,4.61309e-03,5.69683e-03,0.12
150,34,8.05200e-01,7.42000e-01,4.49203e-03,5.67971e-03,0.12
150,35,8.09600e-01,7.44125e-01,4.50890e-03,5.66658e-03,0.12
150,36,8.09200e-01,7.44625e-01,4.53160e-03,5.67708e-03,0.12
150,37,8.12600e-01,7.43875e-01,4.41862e-03,5.63746e-03,0.12
150,38,8.10200e-01,7.45250e-01,4.44637e-03,5.62526e-03,0.12
150,39,8.12600e-01,7.43750e-01,4.39015e-03,5.63770e-03,0.12
150,40,8.15400e-01,7.43375e-01,4.33947e-03,5.62595e-03,0.12
