pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,3.88700e-01,4.24400e-01,1.95315e-02,1.78919e-02,2.63
150,2,4.95246e-01,4.54800e-01,1.51066e-02,1.67380e-02,1.67
150,3,5.19885e-01,4.69800e-01,1.42120e-02,1.62319e-02,1.66
150,4,5.34831e-01,4.76400e-01,1.37163e-02,1.59487e-02,1.67
150,5,5.44800e-01,4.78800e-01,1.33828e-02,1.57502e-02,1.67
150,6,5.52454e-01,4.88200e-01,1.31268e-02,1.56660e-02,1.67
150,7,5.60015e-01,4.87800e-01,1.29226e-02,1.54274e-02,1.68
150,8,5.65069e-01,4.96800e-01,1.27611e-02,1.53720e-02,1.69
150,9,5.68292e-01,4.95600e-01,1.26196e-02,1.53029e-02,1.69
150,10,5.72246e-01,4.97000e-01,1.24993e-02,1.52677e-02,1.68
150,11,5.76631e-01,4.99400e-01,1.23821e-02,1.51482e-02,1.73
150,12,5.79077e-01,5.00600e-01,1.22867e-02,1.51191e-02,1.78
150,13,5.81062e-01,4.99200e-01,1.21974e-02,1.50982e-02,1.68
150,14,5.83946e-01,5.04400e-01,1.21217e-02,1.49374e-02,1.67
150,15,5.86885e-01,5.05200e-01,1.20440e-02,1.49217e-02,1.67
150,16,5.88577e-01,5.10000e-01,1.19782e-02,1.49028e-02,1.68
150,17,5.90600e-01,5.14200e-01,1.19166e-02,1.48205e-02,1.67
150,18,5.91700e-01,5.06000e-01,1.18640e-02,1.48074e-02,1.67
150,19,5.93838e-01,5.07200e-01,1.18022e-02,1.47776e-02,1.67
150,20,5.94877e-01,5.17000e-01,1.17554e-02,1.48034e-02,1.67
150,21,5.96877e-01,5.13200e-01,1.17049e-02,1.48111e-02,1.67
150,22,5.98492e-01,5.14600e-01,1.16582e-02,1.47042e-02,1.67
150,23,5.99923e-01,5.11000e-01,1.16163e-02,1.47062e-02,1.67
150,24,6.01231e-01,5.12000e-01,1.15788e-02,1.46650e-02,1.68
150,25,6.02085e-01,5.08800e-01,1.15399e-02,1.47027e-02,1.68
150,26,6.02569e-01,5.14200e-01,1.15090e-02,1.46324e-02,1.68
150,27,6.04431e-01,5.10800e-01,1.14714e-02,1.46201e-02,1.68
150,28,6.04469e-01,5.09800e-01,1.14353e-02,1.46800e-02,1.69
150,29,6.06723e-01,5.12800e-01,1.14113e-02,1.46190e-02,1.78
150,30,6.06346e-01,5.20000e-01,1.13768e-02,1.45647e-02,1.72
150,31,6.07615e-01,5.17000e-01,1.13451e-02,1.45790e-02,1.68
150,32,6.08515e-01,5.16400e-01,1.13164e-02,1.45979e-02,1.68
150,33,6.09746e-01,5.15800e-01,1.12973e-02,1.45746e-02,1.68
150,34,6.10392e-01,5.20400e-01,1.12687e-02,1.44994e-02,1.68
150,35,6.11200e-01,5.15400e-01,1.12356e-02,1.45316e-02,1.68
150,36,6.12069e-01,5.11200e-01,1.12187e-02,1.45327e-02,1.68
150,37,6.11977e-01,5.21000e-01,1.11977e-02,1.44938e-02,1.68
150,38,6.13669e-01,5.17600e-01,1.11703e-02,1.46129e-02,1.68
150,39,6.14262e-01,5.16200e-01,1.11549e-02,1.45501e-02,1.68
150,40,6.13769e-01,5.20800e-01,1.11297e-02,1.44405e-02,1.69
150,41,6.15592e-01,5.18400e-01,1.11126e-02,1.44554e-02,1.68
150,42,6.16623e-01,5.17400e-01,1.10913e-02,1.44987e-02,2.18
150,43,6.16146e-01,5.21400e-01,1.10810e-02,1.44099e-02,1.92
150,44,6.16346e-01,5.22600e-01,1.10597e-02,1.44469e-02,1.85
150,45,6.17692e-01,5.29800e-01,1.10377e-02,1.43872e-02,1.98
150,46,6.17846e-01,5.20400e-01,1.10205e-02,1.44739e-02,2.03
150,47,6.18015e-01,5.22000e-01,1.10082e-02,1.44106e-02,1.77
150,48,6.19546e-01,5.21800e-01,1.09904e-02,1.43354e-02,1.81
150,49,6.19077e-01,5.19800e-01,1.09743e-02,1.44687e-02,1.78
150,50,6.19446e-01,5.20000e-01,1.09613e-02,1.43554e-02,1.84
150,51,6.21638e-01,5.17600e-01,1.09439e-02,1.44576e-02,1.64
150,52,6.21131e-01,5.26600e-01,1.09272e-02,1.44102e-02,1.71
150,53,6.21354e-01,5.27600e-01,1.09244e-02,1.43699e-02,2.27
150,54,6.21477e-01,5.25800e-01,1.09146e-02,1.44052e-02,1.64
150,55,6.23054e-01,5.24400e-01,1.08867e-02,1.44201e-02,1.68
150,56,6.23492e-01,5.26800e-01,1.08792e-02,1.43420e-02,1.63
150,57,6.23385e-01,5.20400e-01,1.08657e-02,1.43641e-02,1.63
150,58,6.23169e-01,5.20600e-01,1.08545e-02,1.43302e-02,1.64
150,59,6.23246e-01,5.21600e-01,1.08382e-02,1.43002e-02,1.84
150,60,6.24623e-01,5.25200e-01,1.08291e-02,1.43140e-02,1.64
150,61,6.24846e-01,5.28200e-01,1.08215e-02,1.43121e-02,1.67
150,62,6.24608e-01,5.24000e-01,1.08112e-02,1.42887e-02,1.74
150,63,6.25623e-01,5.25200e-01,1.07979e-02,1.43016e-02,1.67
150,64,6.26192e-01,5.25200e-01,1.07894e-02,1.42903e-02,1.65
150,65,6.25362e-01,5.25800e-01,1.07840e-02,1.43496e-02,1.66
150,66,6.25869e-01,5.23800e-01,1.07714e-02,1.42953e-02,1.67
150,67,6.26892e-01,5.25200e-01,1.07622e-02,1.42677e-02,1.66
150,68,6.27092e-01,5.27800e-01,1.07471e-02,1.43517e-02,1.67
150,69,6.28138e-01,5.22800e-01,1.07420e-02,1.43822e-02,1.68
150,70,6.26692e-01,5.25000e-01,1.07405e-02,1.43697e-02,1.75
150,71,6.28315e-01,5.23000e-01,1.07202e-02,1.43288e-02,1.66
150,72,6.26708e-01,5.25600e-01,1.07189e-02,1.43022e-02,1.65
150,73,6.27446e-01,5.28200e-01,1.07096e-02,1.43063e-02,1.65
150,74,6.28431e-01,5.25600e-01,1.07012e-02,1.43335e-02,1.66
150,75,6.29323e-01,5.24200e-01,1.06908e-02,1.43299e-02,1.66
150,76,6.27800e-01,5.25600e-01,1.06921e-02,1.42348e-02,1.69
150,77,6.29792e-01,5.22200e-01,1.06735e-02,1.43781e-02,1.74
150,78,6.29454e-01,5.33000e-01,1.06758e-02,1.42710e-02,1.66
150,79,6.28808e-01,5.30600e-01,1.06632e-02,1.42084e-02,1.67
150,80,6.29377e-01,5.29800e-01,1.06557e-02,1.42673e-02,1.68
150,81,6.30077e-01,5.25400e-01,1.06454e-02,1.42092e-02,1.68
150,82,6.29931e-01,5.27600e-01,1.06383e-02,1.42397e-02,1.68
150,83,6.30669e-01,5.25000e-01,1.06340e-02,1.43048e-02,1.68
150,84,6.30869e-01,5.21400e-01,1.06319e-02,1.42649e-02,1.69
150,85,6.29715e-01,5.25600e-01,1.06284e-02,1.43022e-02,1.69
150,86,6.30738e-01,5.28600e-01,1.06180e-02,1.42281e-02,1.68
150,87,6.30392e-01,5.30200e-01,1.06117e-02,1.42328e-02,1.69
150,88,6.32069e-01,5.25200e-01,1.06028e-02,1.41993e-02,1.69
150,89,6.31638e-01,5.29200e-01,1.05967e-02,1.42940e-02,1.68
150,90,6.32169e-01,5.31000e-01,1.05903e-02,1.42307e-02,1.69
150,91,6.31638e-01,5.31800e-01,1.05911e-02,1.41996e-02,1.67
150,92,6.31923e-01,5.31600e-01,1.05858e-02,1.42406e-02,1.68
150,93,6.31931e-01,5.25200e-01,1.05765e-02,1.41891e-02,1.73
150,94,6.33015e-01,5.23400e-01,1.05676e-02,1.42337e-02,1.69
150,95,6.31977e-01,5.29200e-01,1.05678e-02,1.42241e-02,2.16
150,96,6.32923e-01,5.23000e-01,1.05621e-02,1.42931e-02,1.81
150,97,6.31777e-01,5.20200e-01,1.05603e-02,1.42833e-02,1.74
150,98,6.33323e-01,5.25400e-01,1.05579e-02,1.42305e-02,1.74
150,99,6.32069e-01,5.26600e-01,1.05492e-02,1.43076e-02,1.78
150,100,6.34131e-01,5.26600e-01,1.05436e-02,1.42807e-02,2.03
150,101,6.34023e-01,5.22800e-01,1.05416e-02,1.42618e-02,1.71
150,102,6.34192e-01,5.28000e-01,1.05318e-02,1.42407e-02,1.70
150,103,6.33477e-01,5.28000e-01,1.05352e-02,1.42484e-02,1.71
150,104,6.33838e-01,5.27800e-01,1.05247e-02,1.41782e-02,1.71
150,105,6.34754e-01,5.28000e-01,1.05190e-02,1.42933e-02,1.70
150,106,6.33208e-01,5.25800e-01,1.05202e-02,1.42749e-02,1.71
150,107,6.32908e-01,5.27600e-01,1.05210e-02,1.42048e-02,2.04
150,108,6.33623e-01,5.32600e-01,1.05098e-02,1.41662e-02,1.68
150,109,6.35015e-01,5.32600e-01,1.05063e-02,1.41835e-02,1.68
150,110,6.34954e-01,5.30800e-01,1.04997e-02,1.43048e-02,1.68
150,111,6.34169e-01,5.32200e-01,1.05021e-02,1.41485e-02,1.69
150,112,6.35523e-01,5.24800e-01,1.04937e-02,1.42433e-02,1.74
150,113,6.34962e-01,5.30200e-01,1.04905e-02,1.41562e-02,1.69
150,114,6.35738e-01,5.27400e-01,1.04894e-02,1.42493e-02,1.69
150,115,6.34077e-01,5.26600e-01,1.04853e-02,1.42419e-02,1.72
150,116,6.34431e-01,5.25400e-01,1.04790e-02,1.41386e-02,1.70
150,117,6.35992e-01,5.33200e-01,1.04785e-02,1.42340e-02,1.68
150,118,6.36238e-01,5.27800e-01,1.04713e-02,1.41975e-02,1.68
150,119,6.34954e-01,5.24600e-01,1.04700e-02,1.41735e-02,1.68
150,120,6.35500e-01,5.23800e-01,1.04705e-02,1.41716e-02,1.68
150,121,6.35169e-01,5.25800e-01,1.04647e-02,1.42433e-02,1.69
150,122,6.35362e-01,5.26000e-01,1.04588e-02,1.42391e-02,1.68
150,123,6.36231e-01,5.30400e-01,1.04562e-02,1.42223e-02,1.68
150,124,6.36123e-01,5.24600e-01,1.04549e-02,1.41955e-02,1.68
150,125,6.36700e-01,5.28600e-01,1.04499e-02,1.41753e-02,1.81
150,126,6.35931e-01,5.30800e-01,1.04483e-02,1.41657e-02,1.68
150,127,6.36846e-01,5.32400e-01,1.04455e-02,1.42029e-02,1.68
150,128,6.35692e-01,5.30000e-01,1.04452e-02,1.41063e-02,1.68
150,129,6.36631e-01,5.31000e-01,1.04407e-02,1.42124e-02,1.68
150,130,6.36446e-01,5.28400e-01,1.04402e-02,1.42275e-02,1.69
150,131,6.36408e-01,5.33800e-01,1.04350e-02,1.41695e-02,1.68
150,132,6.37100e-01,5.36000e-01,1.04318e-02,1.42154e-02,1.68
150,133,6.36969e-01,5.31600e-01,1.04335e-02,1.42007e-02,1.77
150,134,6.37308e-01,5.30800e-01,1.04240e-02,1.41711e-02,1.73
150,135,6.37354e-01,5.32800e-01,1.04278e-02,1.41519e-02,1.68
150,136,6.37077e-01,5.30200e-01,1.04233e-02,1.42899e-02,1.68
150,137,6.36454e-01,5.30200e-01,1.04276e-02,1.41959e-02,1.69
150,138,6.36946e-01,5.35200e-01,1.04168e-02,1.42179e-02,1.69
150,139,6.37992e-01,5.30600e-01,1.04151e-02,1.42007e-02,1.69
150,140,6.36777e-01,5.30600e-01,1.04176e-02,1.41606e-02,1.69
150,141,6.36662e-01,5.27800e-01,1.04163e-02,1.42103e-02,1.69
150,142,6.37700e-01,5.27800e-01,1.04069e-02,1.42215e-02,1.69
150,143,6.37746e-01,5.32200e-01,1.04071e-02,1.41765e-02,1.69
150,144,6.37792e-01,5.28200e-01,1.04047e-02,1.42161e-02,1.69
150,145,6.37985e-01,5.29200e-01,1.04010e-02,1.41021e-02,1.69
150,146,6.36438e-01,5.31400e-01,1.04005e-02,1.41596e-02,1.69
150,147,6.38246e-01,5.29200e-01,1.03947e-02,1.41430e-02,1.69
150,148,6.37538e-01,5.29600e-01,1.03961e-02,1.42532e-02,1.70
150,149,6.37908e-01,5.31000e-01,1.03954e-02,1.42487e-02,1.70
150,150,6.37315e-01,5.29000e-01,1.03962e-02,1.41622e-02,1.71
150,151,6.38015e-01,5.33000e-01,1.03958e-02,1.41513e-02,1.72
150,152,6.37931e-01,5.29200e-01,1.03968e-02,1.41937e-02,1.75
150,153,6.38892e-01,5.28600e-01,1.03885e-02,1.41937e-02,1.69
150,154,6.38385e-01,5.20200e-01,1.03842e-02,1.41512e-02,1.70
150,155,6.39346e-01,5.27600e-01,1.03866e-02,1.41824e-02,1.77
150,156,6.38385e-01,5.27000e-01,1.03879e-02,1.41936e-02,1.72
150,157,6.37623e-01,5.28000e-01,1.03775e-02,1.42172e-02,1.71
150,158,6.39231e-01,5.25400e-01,1.03762e-02,1.42236e-02,1.71
150,159,6.38638e-01,5.26800e-01,1.03766e-02,1.42161e-02,1.72
150,160,6.39108e-01,5.32000e-01,1.03754e-02,1.42406e-02,1.71
150,161,6.38962e-01,5.28600e-01,1.03780e-02,1.42301e-02,1.73
150,162,6.37777e-01,5.30600e-01,1.03774e-02,1.41600e-02,1.69
150,163,6.38454e-01,5.28800e-01,1.03715e-02,1.41836e-02,1.69
150,164,6.39069e-01,5.31000e-01,1.03680e-02,1.41783e-02,1.69
150,165,6.38531e-01,5.31400e-01,1.03707e-02,1.41498e-02,1.69
