pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,4.07569e-01,4.46000e-01,1.88095e-02,1.70620e-02,1.79
150,2,5.13285e-01,4.75000e-01,1.44187e-02,1.60307e-02,1.91
150,3,5.39554e-01,4.92800e-01,1.35446e-02,1.54817e-02,1.69
150,4,5.53131e-01,4.97400e-01,1.30560e-02,1.51751e-02,1.64
150,5,5.62231e-01,5.09600e-01,1.27359e-02,1.48754e-02,1.64
150,6,5.70462e-01,5.04800e-01,1.24811e-02,1.48329e-02,1.64
150,7,5.76377e-01,5.13000e-01,1.22902e-02,1.47323e-02,1.64
150,8,5.80631e-01,5.14600e-01,1.21243e-02,1.45549e-02,1.64
150,9,5.86415e-01,5.16000e-01,1.19852e-02,1.45230e-02,1.64
150,10,5.89831e-01,5.18000e-01,1.18597e-02,1.44440e-02,1.64
150,11,5.92038e-01,5.17800e-01,1.17571e-02,1.43577e-02,1.65
150,12,5.95954e-01,5.22400e-01,1.16536e-02,1.43284e-02,1.65
150,13,5.98446e-01,5.19600e-01,1.15758e-02,1.42933e-02,4.08
150,14,6.01608e-01,5.27000e-01,1.14900e-02,1.42353e-02,1.60
150,15,6.03746e-01,5.26400e-01,1.14227e-02,1.42094e-02,3.63
150,16,6.05277e-01,5.28400e-01,1.13617e-02,1.40963e-02,2.17
150,17,6.07846e-01,5.22800e-01,1.12901e-02,1.41529e-02,1.68
150,18,6.11023e-01,5.25400e-01,1.12320e-02,1.41295e-02,1.63
150,19,6.10854e-01,5.24600e-01,1.11820e-02,1.41441e-02,1.60
150,20,6.13169e-01,5.28600e-01,1.11329e-02,1.40752e-02,1.61
150,21,6.14985e-01,5.24000e-01,1.10817e-02,1.41038e-02,1.61
150,22,6.15738e-01,5.29200e-01,1.10445e-02,1.39706e-02,1.74
150,23,6.17185e-01,5.28800e-01,1.09975e-02,1.39578e-02,1.65
150,24,6.18400e-01,5.26800e-01,1.09600e-02,1.38883e-02,1.66
150,25,6.20185e-01,5.29000e-01,1.09186e-02,1.39840e-02,1.61
150,26,6.21338e-01,5.28000e-01,1.08832e-02,1.40206e-02,1.62
150,27,6.22215e-01,5.30000e-01,1.08493e-02,1.39022e-02,1.67
