pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,2.90800e-01,3.79100e-01,2.34621e-02,1.92573e-02,0.89
150,2,4.04020e-01,4.01800e-01,1.80991e-02,1.82415e-02,0.72
150,3,4.39720e-01,4.22600e-01,1.67200e-02,1.74975e-02,0.74
150,4,4.62160e-01,4.39000e-01,1.59501e-02,1.72277e-02,0.74
150,5,4.76880e-01,4.51300e-01,1.53974e-02,1.66408e-02,0.74
150,6,4.90260e-01,4.55100e-01,1.49866e-02,1.64850e-02,0.74
150,7,5.00860e-01,4.50500e-01,1.46023e-02,1.65474e-02,0.74
150,8,5.10800e-01,4.67600e-01,1.42789e-02,1.62286e-02,0.74
150,9,5.16180e-01,4.60500e-01,1.40145e-02,1.62418e-02,0.74
150,10,5.20060e-01,4.67100e-01,1.38594e-02,1.61360e-02,0.74
150,11,5.26100e-01,4.65900e-01,1.36595e-02,1.63317e-02,0.76
150,12,5.34220e-01,4.78100e-01,1.34951e-02,1.57476e-02,0.74
150,13,5.35300e-01,4.68600e-01,1.33549e-02,1.58527e-02,0.74
150,14,5.40840e-01,4.81200e-01,1.32019e-02,1.54883e-02,0.74
150,15,5.44160e-01,4.86900e-01,1.30874e-02,1.53694e-02,0.74
150,16,5.47320e-01,4.84800e-01,1.30256e-02,1.55015e-02,0.74
150,17,5.49260e-01,4.77700e-01,1.29431e-02,1.56973e-02,0.74
150,18,5.54080e-01,4.83000e-01,1.27859e-02,1.54460e-02,0.74
150,19,5.54940e-01,4.84000e-01,1.27380e-02,1.54265e-02,0.74
150,20,5.60100e-01,4.86900e-01,1.26114e-02,1.53776e-02,0.74
150,21,5.58980e-01,4.86900e-01,1.25921e-02,1.55197e-02,0.74
150,22,5.60700e-01,4.90400e-01,1.24874e-02,1.53401e-02,0.74
150,23,5.61260e-01,4.84900e-01,1.24024e-02,1.54697e-02,0.74
150,24,5.64640e-01,4.92000e-01,1.23848e-02,1.51601e-02,0.74
150,25,5.66340e-01,4.96900e-01,1.23174e-02,1.52844e-02,0.74
150,26,5.69520e-01,4.96900e-01,1.22381e-02,1.52083e-02,0.74
150,27,5.68880e-01,4.92100e-01,1.22402e-02,1.52301e-02,0.74
150,28,5.69320e-01,4.96300e-01,1.21930e-02,1.52705e-02,0.74
150,29,5.70860e-01,4.96800e-01,1.21176e-02,1.52479e-02,0.74
150,30,5.75100e-01,4.98000e-01,1.20693e-02,1.50031e-02,0.74
150,31,5.76340e-01,4.96000e-01,1.20001e-02,1.51308e-02,0.74
150,32,5.74480e-01,5.00200e-01,1.20012e-02,1.50681e-02,0.74
150,33,5.78400e-01,4.92500e-01,1.19443e-02,1.52134e-02,0.74
150,34,5.79720e-01,4.94100e-01,1.19030e-02,1.53771e-02,0.75
150,35,5.81700e-01,4.85600e-01,1.18415e-02,1.57395e-02,0.81
150,36,5.78080e-01,4.92600e-01,1.18550e-02,1.52879e-02,0.75
150,37,5.79980e-01,5.01200e-01,1.17839e-02,1.48912e-02,0.74
150,38,5.83020e-01,4.90800e-01,1.17093e-02,1.55399e-02,0.74
150,39,5.87400e-01,4.92500e-01,1.16610e-02,1.53022e-02,0.74
150,40,5.85820e-01,5.00800e-01,1.16735e-02,1.50853e-02,0.74
150,41,5.86300e-01,4.95000e-01,1.16582e-02,1.53732e-02,0.74
150,42,5.90740e-01,4.91700e-01,1.15669e-02,1.52532e-02,0.73
150,43,5.87300e-01,4.93900e-01,1.15506e-02,1.51805e-02,0.74
150,44,5.89060e-01,4.98800e-01,1.15601e-02,1.52386e-02,0.74
150,45,5.90940e-01,4.98700e-01,1.15256e-02,1.52488e-02,0.74
150,46,5.91420e-01,5.08200e-01,1.14656e-02,1.50621e-02,0.74
150,47,5.92280e-01,4.93800e-01,1.14539e-02,1.53465e-02,0.73
150,48,5.93060e-01,5.01000e-01,1.13885e-02,1.52753e-02,0.74
150,49,5.96160e-01,4.98300e-01,1.13536e-02,1.51556e-02,0.74
150,50,5.96000e-01,4.98700e-01,1.13430e-02,1.53853e-02,0.74
150,51,5.94740e-01,5.01000e-01,1.13668e-02,1.50813e-02,0.74
150,52,5.97660e-01,4.93300e-01,1.13157e-02,1.53376e-02,0.74
150,53,5.98280e-01,4.91100e-01,1.12926e-02,1.55636e-02,0.74
150,54,5.99160e-01,5.03100e-01,1.12516e-02,1.52808e-02,0.74
150,55,5.99280e-01,4.96100e-01,1.12538e-02,1.53142e-02,0.74
150,56,6.00360e-01,5.00400e-01,1.12217e-02,1.52813e-02,0.74
150,57,6.01340e-01,5.04500e-01,1.11827e-02,1.50565e-02,0.74
150,58,6.02820e-01,5.03700e-01,1.11201e-02,1.51598e-02,0.74
150,59,6.03220e-01,5.07700e-01,1.11305e-02,1.51228e-02,0.74
150,60,6.04980e-01,5.05600e-01,1.11149e-02,1.49811e-02,0.74
150,61,6.03400e-01,4.99700e-01,1.11157e-02,1.51250e-02,0.74
150,62,6.04660e-01,5.12000e-01,1.10793e-02,1.49770e-02,0.74
150,63,6.05040e-01,4.94500e-01,1.10426e-02,1.54348e-02,0.74
150,64,6.06840e-01,5.00800e-01,1.10097e-02,1.52440e-02,0.74
150,65,6.06560e-01,5.14400e-01,1.10234e-02,1.49359e-02,0.74
150,66,6.08460e-01,4.99600e-01,1.09577e-02,1.52853e-02,0.74
150,67,6.06400e-01,5.03400e-01,1.09685e-02,1.51348e-02,0.75
150,68,6.11040e-01,5.18000e-01,1.09188e-02,1.48585e-02,0.74
150,69,6.08000e-01,5.00300e-01,1.09344e-02,1.55124e-02,0.74
150,70,6.03880e-01,5.09700e-01,1.09904e-02,1.50978e-02,0.74
150,71,6.10580e-01,5.02800e-01,1.09012e-02,1.52559e-02,0.74
150,72,6.06660e-01,5.08200e-01,1.09478e-02,1.49920e-02,0.75
150,73,6.11820e-01,4.99400e-01,1.08483e-02,1.52884e-02,0.74
150,74,6.11660e-01,4.96000e-01,1.08606e-02,1.54391e-02,0.74
150,75,6.13380e-01,4.97500e-01,1.08208e-02,1.53655e-02,0.75
150,76,6.13100e-01,4.97900e-01,1.08379e-02,1.55377e-02,0.74
150,77,6.13320e-01,5.04400e-01,1.07868e-02,1.53023e-02,0.75
150,78,6.13740e-01,5.04200e-01,1.07673e-02,1.52364e-02,0.74
150,79,6.10840e-01,5.03400e-01,1.07624e-02,1.53319e-02,0.75
150,80,6.15680e-01,5.10200e-01,1.07561e-02,1.52174e-02,0.75
150,81,6.15140e-01,5.05700e-01,1.07228e-02,1.51689e-02,0.74
150,82,6.15900e-01,5.00700e-01,1.07447e-02,1.52328e-02,0.75
150,83,6.16000e-01,4.98700e-01,1.06959e-02,1.55307e-02,0.75
150,84,6.16200e-01,5.07100e-01,1.06960e-02,1.52412e-02,0.75
150,85,6.15520e-01,5.08700e-01,1.06697e-02,1.51806e-02,0.75
150,86,6.15120e-01,5.04700e-01,1.06566e-02,1.53935e-02,0.75
150,87,6.17220e-01,5.10700e-01,1.06744e-02,1.51535e-02,0.74
150,88,6.17820e-01,5.08900e-01,1.06117e-02,1.52036e-02,0.74
150,89,6.18800e-01,5.15700e-01,1.06126e-02,1.49203e-02,0.74
150,90,6.16080e-01,5.16000e-01,1.06296e-02,1.50899e-02,0.75
150,91,6.16120e-01,4.98500e-01,1.06423e-02,1.55040e-02,0.87
150,92,6.18600e-01,5.09400e-01,1.06107e-02,1.50960e-02,0.74
150,93,6.17760e-01,5.06800e-01,1.06150e-02,1.51323e-02,0.74
150,94,6.19600e-01,5.14600e-01,1.05578e-02,1.51253e-02,0.74
150,95,6.19140e-01,5.16200e-01,1.05842e-02,1.51068e-02,0.74
