pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,3.67977e-01,4.04400e-01,2.05844e-02,1.86726e-02,1.92
150,2,4.74931e-01,4.33800e-01,1.59637e-02,1.75606e-02,1.68
150,3,5.01177e-01,4.53400e-01,1.50036e-02,1.70402e-02,1.68
150,4,5.14915e-01,4.66600e-01,1.44897e-02,1.66797e-02,1.68
150,5,5.24746e-01,4.70400e-01,1.41456e-02,1.64981e-02,1.68
150,6,5.31223e-01,4.64000e-01,1.38910e-02,1.64031e-02,1.68
150,7,5.37515e-01,4.72400e-01,1.36928e-02,1.61615e-02,1.69
150,8,5.42246e-01,4.72200e-01,1.35256e-02,1.61574e-02,1.69
150,9,5.46285e-01,4.82000e-01,1.33907e-02,1.60206e-02,1.69
150,10,5.49192e-01,4.84600e-01,1.32657e-02,1.59160e-02,1.69
150,11,5.53031e-01,4.83200e-01,1.31615e-02,1.59224e-02,1.72
150,12,5.54623e-01,4.83000e-01,1.30745e-02,1.58214e-02,1.97
150,13,5.58277e-01,4.88000e-01,1.29881e-02,1.57476e-02,1.77
150,14,5.59069e-01,4.89600e-01,1.29148e-02,1.56988e-02,1.68
150,15,5.62792e-01,4.95000e-01,1.28402e-02,1.56685e-02,1.68
150,16,5.64008e-01,4.90800e-01,1.27830e-02,1.56139e-02,1.69
150,17,5.65431e-01,4.95000e-01,1.27203e-02,1.55881e-02,1.68
150,18,5.65885e-01,4.92200e-01,1.26676e-02,1.56125e-02,1.68
150,19,5.68062e-01,4.91800e-01,1.26155e-02,1.56162e-02,1.68
150,20,5.69023e-01,4.94400e-01,1.25696e-02,1.55082e-02,1.68
150,21,5.70585e-01,4.93400e-01,1.25209e-02,1.54923e-02,1.68
150,22,5.71946e-01,4.97600e-01,1.24815e-02,1.54569e-02,1.68
150,23,5.74585e-01,4.92800e-01,1.24380e-02,1.54847e-02,1.68
150,24,5.74669e-01,5.02200e-01,1.24062e-02,1.54206e-02,1.68
150,25,5.75985e-01,5.01800e-01,1.23679e-02,1.53616e-02,1.69
150,26,5.75223e-01,5.00400e-01,1.23318e-02,1.53449e-02,1.68
150,27,5.77800e-01,4.99200e-01,1.23030e-02,1.53429e-02,1.68
150,28,5.78200e-01,5.02600e-01,1.22686e-02,1.53512e-02,1.68
150,29,5.79546e-01,5.03200e-01,1.22417e-02,1.53168e-02,1.68
150,30,5.81415e-01,5.04400e-01,1.22153e-02,1.52813e-02,1.68
150,31,5.81231e-01,5.06400e-01,1.21879e-02,1.52817e-02,1.68
150,32,5.82608e-01,5.08200e-01,1.21593e-02,1.52389e-02,1.68
150,33,5.82785e-01,5.06800e-01,1.21370e-02,1.52545e-02,1.68
150,34,5.83462e-01,5.04400e-01,1.21139e-02,1.52286e-02,1.68
150,35,5.83708e-01,4.99400e-01,1.20908e-02,1.51740e-02,1.68
150,36,5.83062e-01,5.08600e-01,1.20716e-02,1.51781e-02,1.69
150,37,5.85292e-01,5.12200e-01,1.20486e-02,1.51964e-02,1.68
150,38,5.85454e-01,5.05200e-01,1.20275e-02,1.51931e-02,1.70
150,39,5.86015e-01,5.06600e-01,1.20047e-02,1.52016e-02,1.78
150,40,5.86969e-01,5.05600e-01,1.19922e-02,1.51981e-02,1.70
150,41,5.87800e-01,5.06800e-01,1.19705e-02,1.51383e-02,1.68
150,42,5.88262e-01,5.06600e-01,1.19527e-02,1.51460e-02,1.68
150,43,5.88992e-01,5.04800e-01,1.19419e-02,1.51153e-02,1.68
150,44,5.89754e-01,5.09600e-01,1.19215e-02,1.51207e-02,1.68
150,45,5.90177e-01,5.07600e-01,1.19017e-02,1.50527e-02,1.67
150,46,5.90015e-01,5.13200e-01,1.18874e-02,1.50403e-02,1.68
150,47,5.90646e-01,5.13400e-01,1.18711e-02,1.50885e-02,1.68
150,48,5.91577e-01,5.07000e-01,1.18576e-02,1.51359e-02,1.68
150,49,5.92423e-01,5.16400e-01,1.18482e-02,1.51060e-02,1.67
150,50,5.92654e-01,5.11400e-01,1.18320e-02,1.50852e-02,1.68
150,51,5.92769e-01,5.14200e-01,1.18171e-02,1.50088e-02,1.68
150,52,5.92038e-01,5.11600e-01,1.18018e-02,1.50917e-02,1.69
150,53,5.92946e-01,5.08400e-01,1.17922e-02,1.50335e-02,1.68
150,54,5.93146e-01,5.14200e-01,1.17827e-02,1.50165e-02,1.70
150,55,5.93662e-01,5.10000e-01,1.17693e-02,1.50054e-02,1.68
150,56,5.93954e-01,5.10200e-01,1.17542e-02,1.49916e-02,1.69
150,57,5.95100e-01,5.13800e-01,1.17429e-02,1.50307e-02,1.74
150,58,5.94431e-01,5.16000e-01,1.17335e-02,1.50471e-02,1.71
150,59,5.94931e-01,5.13600e-01,1.17204e-02,1.50558e-02,1.73
150,60,5.94792e-01,5.14200e-01,1.17154e-02,1.49827e-02,1.69
150,61,5.96585e-01,5.15000e-01,1.17025e-02,1.50039e-02,1.69
150,62,5.96754e-01,5.11600e-01,1.16930e-02,1.50033e-02,1.69
150,63,5.96238e-01,5.10600e-01,1.16845e-02,1.50084e-02,1.68
150,64,5.96200e-01,5.09800e-01,1.16733e-02,1.49530e-02,1.69
150,65,5.96985e-01,5.14200e-01,1.16689e-02,1.49174e-02,1.69
150,66,5.97200e-01,5.06800e-01,1.16528e-02,1.49664e-02,1.68
150,67,5.97908e-01,5.16000e-01,1.16488e-02,1.49133e-02,1.68
150,68,5.98600e-01,5.17600e-01,1.16400e-02,1.49112e-02,1.69
150,69,5.98446e-01,5.12200e-01,1.16328e-02,1.50060e-02,1.70
150,70,5.99654e-01,5.13600e-01,1.16199e-02,1.49881e-02,1.68
150,71,5.97623e-01,5.16000e-01,1.16173e-02,1.49420e-02,1.69
