epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,3.819543e-03,58.00000,30.00000,19630
1,1,2.862659e-03,50.00000,36.00000,2616
1,2,2.838511e-03,53.00000,30.00000,825
1,3,2.669638e-03,49.00000,30.00000,530
1,4,2.456290e-03,43.00000,35.00000,586
1,5,2.334939e-03,38.00000,35.00000,568
1,6,2.125936e-03,51.00000,35.00000,770
1,7,2.047214e-03,49.00000,30.00000,605
1,8,1.972537e-03,47.00000,35.00000,847
1,9,2.070677e-03,59.00000,30.00000,678
1,10,1.825675e-03,53.00000,30.00000,1156
1,11,1.950853e-03,55.00000,30.00000,941
1,12,1.730034e-03,34.00000,36.00000,1511
1,13,1.636215e-03,42.00000,35.00000,1807
1,14,1.752078e-03,37.00000,36.00000,1373
1,15,1.667265e-03,36.00000,36.00000,1779
1,16,1.679117e-03,52.00000,30.00000,1607
1,17,1.634390e-03,49.00000,30.00000,1016
1,18,1.643399e-03,49.00000,30.00000,899
1,19,1.572068e-03,57.00000,30.00000,1044
1,20,1.516016e-03,53.00000,30.00000,2078
1,21,1.253796e-03,25.00000,36.00000,2787
1,22,1.216621e-03,46.00000,36.00000,1827
1,23,1.188105e-03,45.00000,36.00000,1354
1,24,1.158201e-03,48.00000,35.00000,1264
1,25,1.161299e-03,40.00000,35.00000,1079
1,26,1.107356e-03,39.00000,40.00000,1559
1,27,1.024932e-03,46.00000,35.00000,1001
1,28,1.092083e-03,47.00000,35.00000,1375
1,29,1.144470e-03,47.00000,35.00000,1261
1,30,1.158977e-03,57.00000,30.00000,1413
1,31,1.102680e-03,56.00000,30.00000,1336
1,32,1.045039e-03,45.00000,35.00000,1447
1,33,1.065762e-03,51.00000,30.00000,1192
1,34,9.631452e-04,46.00000,35.00000,1368
1,35,1.020143e-03,43.00000,36.00000,1018
1,36,9.996239e-04,53.00000,30.00000,1361
1,37,9.575789e-04,46.00000,35.00000,1553
1,38,9.579682e-04,45.00000,35.00000,1333
1,39,9.635261e-04,49.00000,30.00000,1214
1,40,9.443413e-04,31.00000,36.00000,1069
1,41,9.772819e-04,53.00000,30.00000,965
1,42,8.826521e-04,31.00000,36.00000,1448
1,43,9.409535e-04,53.00000,30.00000,1309
1,44,8.907120e-04,45.00000,35.00000,1669
1,45,8.968860e-04,49.00000,36.00000,1934
1,46,9.417444e-04,59.00000,30.00000,2003
1,47,9.568000e-04,48.00000,35.00000,1466
1,48,8.460050e-04,46.00000,35.00000,937
1,49,8.466140e-04,58.00000,30.00000,1239
1,50,8.814272e-04,49.00000,35.00000,1758
1,51,8.860922e-04,44.00000,40.00000,1282
1,52,8.566116e-04,45.00000,35.00000,1366
1,53,9.550565e-04,56.00000,30.00000,1519
1,54,8.563652e-04,51.00000,35.00000,1666
1,55,8.805683e-04,43.00000,36.00000,1806
1,56,9.155057e-04,49.00000,30.00000,1806
1,57,8.877720e-04,42.00000,35.00000,1716
1,58,9.627711e-04,49.00000,35.00000,1618
1,59,9.801494e-04,49.00000,30.00000,1012
1,60,9.676437e-04,59.00000,30.00000,1119
1,61,9.702172e-04,59.00000,30.00000,1323
1,62,8.806647e-04,46.00000,35.00000,1340
1,63,9.246247e-04,48.00000,35.00000,1637
1,64,9.633771e-04,42.00000,36.00000,1656
1,65,8.936042e-04,25.00000,36.00000,1854
1,66,9.208421e-04,50.00000,35.00000,1260
1,67,8.919921e-04,45.00000,35.00000,1653
1,68,9.683541e-04,61.00000,30.00000,1712
1,69,9.260335e-04,43.00000,36.00000,1266
1,70,9.245896e-04,40.00000,36.00000,1220
1,71,9.973448e-04,45.00000,35.00000,1135
1,72,9.805455e-04,57.00000,30.00000,1254
1,73,9.423843e-04,46.00000,35.00000,1592
1,74,9.468730e-04,48.00000,35.00000,1737
1,75,1.000876e-03,37.00000,36.00000,1537
1,76,1.005443e-03,45.00000,36.00000,1218
1,77,1.017797e-03,53.00000,30.00000,1829
1,78,9.823384e-04,55.00000,30.00000,1231
1,79,1.049401e-03,52.00000,30.00000,996
