epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.704776e-01,43.00000,35.00000,38659
1,1,3.845297e-01,41.00000,36.00000,1339
1,2,3.480084e-01,49.00000,30.00000,691
1,3,3.266312e-01,46.00000,35.00000,606
1,4,3.091799e-01,51.00000,30.00000,597
1,5,2.949632e-01,45.00000,35.00000,607
1,6,2.819355e-01,53.00000,30.00000,617
1,7,2.716378e-01,42.00000,35.00000,620
1,8,2.608550e-01,59.00000,30.00000,647
1,9,2.517821e-01,57.00000,30.00000,626
1,10,2.452487e-01,36.00000,36.00000,636
1,11,2.343051e-01,49.00000,30.00000,619
1,12,2.280910e-01,51.00000,30.00000,623
1,13,2.188853e-01,57.00000,30.00000,629
1,14,2.119170e-01,40.00000,36.00000,610
1,15,2.067698e-01,40.00000,35.00000,612
1,16,2.022402e-01,36.00000,36.00000,627
1,17,1.944626e-01,57.00000,30.00000,628
1,18,1.877850e-01,53.00000,30.00000,613
1,19,1.830630e-01,52.00000,30.00000,595
1,20,1.784500e-01,52.00000,30.00000,3043
1,21,1.696947e-01,46.00000,36.00000,679
1,22,1.670580e-01,31.00000,36.00000,1541
1,23,1.628843e-01,41.00000,36.00000,569
1,24,1.554672e-01,46.00000,35.00000,600
1,25,1.531436e-01,48.00000,35.00000,1513
1,26,1.468995e-01,47.00000,35.00000,603
1,27,1.434228e-01,40.00000,40.00000,593
1,28,1.391781e-01,49.00000,30.00000,593
1,29,1.365421e-01,44.00000,35.00000,637
1,30,1.343253e-01,47.00000,35.00000,4705
1,31,1.303557e-01,43.00000,35.00000,1258
1,32,1.283897e-01,50.00000,30.00000,2006
1,33,1.251631e-01,44.00000,35.00000,1492
1,34,1.226283e-01,44.00000,35.00000,665
1,35,1.221905e-01,48.00000,35.00000,885
1,36,1.214091e-01,49.00000,30.00000,592
1,37,1.182232e-01,49.00000,30.00000,592
1,38,1.160789e-01,42.00000,36.00000,635
1,39,1.111352e-01,55.00000,30.00000,626
1,40,1.234819e-01,37.00000,36.00000,11370
1,41,1.140396e-01,53.00000,30.00000,2956
1,42,1.114355e-01,43.00000,35.00000,4541
1,43,1.174145e-01,49.00000,30.00000,591
1,44,1.116659e-01,46.00000,36.00000,641
1,45,1.115489e-01,42.00000,36.00000,1790
1,46,1.095153e-01,57.00000,30.00000,632
1,47,1.110788e-01,45.00000,35.00000,596
1,48,1.098623e-01,49.00000,30.00000,1344
1,49,1.110993e-01,46.00000,35.00000,619
1,50,1.131131e-01,37.00000,35.00000,5781
1,51,1.142757e-01,30.00000,40.00000,3608
1,52,1.103534e-01,43.00000,35.00000,3411
1,53,1.096931e-01,58.00000,30.00000,1030
1,54,1.070378e-01,48.00000,35.00000,1175
1,55,1.091945e-01,57.00000,30.00000,1367
1,56,1.050379e-01,54.00000,30.00000,621
1,57,1.181833e-01,36.00000,35.00000,705
1,58,1.117021e-01,49.00000,36.00000,1077
1,59,1.127411e-01,45.00000,35.00000,613
1,60,1.079641e-01,49.00000,30.00000,7239
1,61,1.140655e-01,41.00000,35.00000,2761
1,62,1.113099e-01,45.00000,35.00000,4001
1,63,1.085509e-01,43.00000,35.00000,632
1,64,1.095744e-01,57.00000,30.00000,629
1,65,1.148743e-01,37.00000,35.00000,1036
1,66,1.162271e-01,43.00000,35.00000,881
1,67,1.150500e-01,25.00000,36.00000,615
1,68,1.117414e-01,30.00000,36.00000,599
1,69,1.163005e-01,52.00000,30.00000,598
1,70,1.196635e-01,39.00000,36.00000,5772
1,71,1.115664e-01,54.00000,30.00000,2112
2,0,1.169887e-01,34.00000,36.00000,1708
2,1,1.103209e-01,43.00000,35.00000,622
2,2,1.197686e-01,30.00000,40.00000,654
2,3,1.179508e-01,43.00000,35.00000,591
2,4,1.186202e-01,31.00000,36.00000,636
2,5,1.194359e-01,49.00000,30.00000,594
2,6,1.160927e-01,49.00000,30.00000,591
2,7,1.150849e-01,31.00000,36.00000,623
2,8,1.171686e-01,49.00000,30.00000,666
2,9,1.153286e-01,41.00000,35.00000,682
2,10,1.145520e-01,54.00000,30.00000,4044
2,11,1.146491e-01,42.00000,35.00000,599
2,12,1.138283e-01,55.00000,30.00000,672
2,13,1.217198e-01,47.00000,35.00000,587
2,14,1.202172e-01,55.00000,30.00000,776
2,15,1.144854e-01,46.00000,35.00000,591
2,16,1.188201e-01,44.00000,35.00000,616
2,17,1.211332e-01,48.00000,35.00000,665
2,18,1.132046e-01,53.00000,30.00000,697
2,19,1.140630e-01,43.00000,35.00000,685
2,20,1.125005e-01,62.00000,30.00000,5869
2,21,1.125590e-01,53.00000,30.00000,616
2,22,1.171994e-01,54.00000,30.00000,643
2,23,1.108506e-01,56.00000,30.00000,616
2,24,1.117887e-01,52.00000,30.00000,633
2,25,1.126062e-01,54.00000,30.00000,666
2,26,1.131141e-01,43.00000,35.00000,598
2,27,1.137239e-01,55.00000,30.00000,707
2,28,1.101720e-01,40.00000,35.00000,612
2,29,1.092754e-01,49.00000,30.00000,620
2,30,1.268401e-01,36.00000,35.00000,5303
2,31,1.078027e-01,55.00000,30.00000,635
2,32,1.145904e-01,43.00000,35.00000,607
2,33,1.130792e-01,45.00000,35.00000,593
2,34,1.173485e-01,37.00000,35.00000,638
2,35,1.113432e-01,55.00000,30.00000,631
2,36,1.102892e-01,52.00000,30.00000,676
2,37,1.195040e-01,41.00000,36.00000,663
2,38,1.139058e-01,40.00000,35.00000,589
2,39,1.062990e-01,51.00000,35.00000,646
2,40,1.171223e-01,31.00000,36.00000,4042
2,41,1.046386e-01,54.00000,30.00000,629
2,42,1.093308e-01,54.00000,30.00000,606
2,43,1.020230e-01,54.00000,30.00000,683
2,44,1.028475e-01,53.00000,30.00000,696
2,45,1.085530e-01,54.00000,30.00000,614
2,46,1.074594e-01,49.00000,30.00000,635
