epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.752464e-01,40.00000,36.00000,33147
1,1,3.557674e-01,53.00000,30.00000,2050
1,2,3.168973e-01,50.00000,30.00000,824
1,3,2.962929e-01,49.00000,30.00000,411
1,4,2.823672e-01,40.00000,35.00000,380
1,5,2.713796e-01,46.00000,35.00000,377
1,6,2.622153e-01,47.00000,35.00000,427
1,7,2.556600e-01,46.00000,35.00000,370
1,8,2.477332e-01,53.00000,30.00000,387
1,9,2.430088e-01,49.00000,30.00000,382
1,10,2.383360e-01,53.00000,30.00000,391
1,11,2.318856e-01,49.00000,30.00000,378
1,12,2.293112e-01,30.00000,36.00000,388
1,13,2.255710e-01,54.00000,30.00000,399
1,14,2.201166e-01,37.00000,36.00000,378
1,15,2.182887e-01,61.00000,30.00000,411
1,16,2.157868e-01,55.00000,30.00000,428
1,17,2.111544e-01,43.00000,35.00000,411
1,18,2.070311e-01,55.00000,30.00000,376
1,19,2.046285e-01,37.00000,36.00000,390
1,20,2.002595e-01,49.00000,30.00000,3430
1,21,2.000826e-01,34.00000,36.00000,3559
1,22,1.965553e-01,43.00000,36.00000,416
1,23,1.947291e-01,43.00000,35.00000,914
1,24,1.918852e-01,35.00000,36.00000,1096
1,25,1.917856e-01,44.00000,35.00000,379
1,26,1.908206e-01,42.00000,35.00000,353
1,27,1.870281e-01,37.00000,40.00000,371
1,28,1.826528e-01,37.00000,35.00000,388
1,29,1.873221e-01,56.00000,30.00000,392
1,30,1.781596e-01,46.00000,35.00000,2602
1,31,1.827248e-01,51.00000,30.00000,3465
1,32,1.795667e-01,42.00000,35.00000,416
1,33,1.769226e-01,53.00000,30.00000,395
1,34,1.755434e-01,42.00000,35.00000,700
1,35,1.772274e-01,59.00000,30.00000,393
1,36,1.703269e-01,51.00000,35.00000,396
1,37,1.739772e-01,43.00000,36.00000,392
1,38,1.728070e-01,42.00000,35.00000,373
1,39,1.696890e-01,52.00000,30.00000,388
1,40,1.757519e-01,35.00000,36.00000,7588
1,41,1.704356e-01,49.00000,30.00000,4309
1,42,1.694558e-01,48.00000,35.00000,915
1,43,1.715594e-01,54.00000,30.00000,463
1,44,1.648620e-01,50.00000,35.00000,1793
1,45,1.724592e-01,52.00000,30.00000,368
1,46,1.683020e-01,40.00000,36.00000,3014
1,47,1.739687e-01,41.00000,35.00000,375
1,48,1.705235e-01,45.00000,36.00000,392
1,49,1.733931e-01,52.00000,30.00000,368
1,50,1.725347e-01,42.00000,35.00000,8553
1,51,1.726446e-01,39.00000,40.00000,3708
1,52,1.709472e-01,46.00000,35.00000,3415
1,53,1.721127e-01,52.00000,30.00000,390
1,54,1.717104e-01,43.00000,35.00000,394
1,55,1.687477e-01,44.00000,35.00000,401
1,56,1.702443e-01,38.00000,35.00000,395
1,57,1.731300e-01,37.00000,36.00000,372
1,58,1.702656e-01,49.00000,30.00000,381
1,59,1.730901e-01,57.00000,30.00000,383
1,60,1.710118e-01,58.00000,30.00000,9574
1,61,1.704329e-01,49.00000,30.00000,4200
1,62,1.695258e-01,47.00000,35.00000,2255
1,63,1.739867e-01,53.00000,30.00000,377
1,64,1.741517e-01,47.00000,35.00000,386
1,65,1.782596e-01,41.00000,36.00000,372
1,66,1.744542e-01,45.00000,35.00000,1629
1,67,1.738490e-01,45.00000,35.00000,684
1,68,1.793273e-01,31.00000,36.00000,364
1,69,1.775678e-01,46.00000,35.00000,371
1,70,1.815391e-01,35.00000,36.00000,6499
1,71,1.724530e-01,54.00000,30.00000,3032
2,0,1.771818e-01,38.00000,36.00000,8433
2,1,1.754307e-01,49.00000,30.00000,907
2,2,1.751010e-01,40.00000,40.00000,478
2,3,1.792960e-01,47.00000,35.00000,2126
