pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
150,1,3.19731e-01,3.68200e-01,2.22905e-02,2.03088e-02,5.76
150,2,4.23992e-01,4.01000e-01,1.76733e-02,1.89776e-02,2.40
150,3,4.50008e-01,4.14200e-01,1.67028e-02,1.85832e-02,1.63
150,4,4.64508e-01,4.20200e-01,1.61888e-02,1.82604e-02,1.66
150,5,4.73346e-01,4.29400e-01,1.58569e-02,1.79994e-02,1.62
150,6,4.80292e-01,4.28000e-01,1.56124e-02,1.78899e-02,1.56
150,7,4.86215e-01,4.30600e-01,1.54195e-02,1.77625e-02,1.55
150,8,4.89592e-01,4.32800e-01,1.52702e-02,1.76839e-02,1.60
150,9,4.93100e-01,4.38600e-01,1.51396e-02,1.76627e-02,2.76
150,10,4.96408e-01,4.33800e-01,1.50295e-02,1.75863e-02,1.57
150,11,4.99638e-01,4.38000e-01,1.49290e-02,1.75567e-02,1.59
150,12,5.02492e-01,4.39800e-01,1.48460e-02,1.75248e-02,1.56
150,13,5.05323e-01,4.44800e-01,1.47691e-02,1.73871e-02,1.57
150,14,5.06954e-01,4.43000e-01,1.47036e-02,1.73764e-02,1.55
150,15,5.08423e-01,4.47000e-01,1.46398e-02,1.72874e-02,8.05
150,16,5.11823e-01,4.40600e-01,1.45744e-02,1.73490e-02,12.83
150,17,5.12131e-01,4.47600e-01,1.45323e-02,1.72637e-02,12.83
150,18,5.13769e-01,4.49600e-01,1.44791e-02,1.71687e-02,7.58
150,19,5.14715e-01,4.45800e-01,1.44319e-02,1.73075e-02,12.78
150,20,5.15823e-01,4.48400e-01,1.43954e-02,1.70907e-02,13.08
150,21,5.17977e-01,4.49800e-01,1.43568e-02,1.71350e-02,12.85
150,22,5.17977e-01,4.49400e-01,1.43190e-02,1.71339e-02,13.17
150,23,5.18608e-01,4.52400e-01,1.42838e-02,1.70640e-02,13.07
150,24,5.19823e-01,4.54200e-01,1.42499e-02,1.70901e-02,12.92
150,25,5.20408e-01,4.55800e-01,1.42201e-02,1.70120e-02,9.86
150,26,5.22162e-01,4.51600e-01,1.41857e-02,1.71215e-02,12.88
150,27,5.22346e-01,4.54200e-01,1.41650e-02,1.70280e-02,13.03
