epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,2.138280e-03,49.00000,30.00000,14294
1,1,1.688643e-03,53.00000,30.00000,3537
1,2,1.445923e-03,44.00000,35.00000,1214
1,3,1.418367e-03,49.00000,30.00000,875
1,4,1.258539e-03,40.00000,35.00000,952
1,5,1.256474e-03,55.00000,30.00000,1169
1,6,1.210282e-03,31.00000,36.00000,1258
1,7,1.144436e-03,58.00000,30.00000,975
1,8,1.106744e-03,39.00000,35.00000,1081
1,9,1.177046e-03,45.00000,35.00000,1155
1,10,1.151321e-03,53.00000,30.00000,1413
1,11,1.035003e-03,30.00000,36.00000,2149
1,12,1.061552e-03,30.00000,36.00000,1501
1,13,1.091071e-03,53.00000,30.00000,1939
1,14,1.067312e-03,54.00000,30.00000,1315
1,15,1.076239e-03,55.00000,30.00000,1885
1,16,1.017534e-03,55.00000,30.00000,1788
1,17,1.011571e-03,43.00000,35.00000,1258
1,18,9.759854e-04,39.00000,36.00000,1673
1,19,1.000719e-03,53.00000,30.00000,1586
1,20,1.023747e-03,49.00000,30.00000,1625
1,21,8.651994e-04,34.00000,36.00000,1727
1,22,8.559891e-04,43.00000,36.00000,1642
1,23,8.609811e-04,43.00000,35.00000,2020
1,24,8.581970e-04,49.00000,35.00000,2194
1,25,8.490224e-04,44.00000,35.00000,2664
1,26,8.134392e-04,30.00000,36.00000,1825
1,27,8.357496e-04,37.00000,40.00000,1656
1,28,8.625144e-04,37.00000,35.00000,1873
1,29,8.449671e-04,56.00000,30.00000,1105
1,30,8.298050e-04,53.00000,30.00000,1826
1,31,8.478577e-04,46.00000,35.00000,2250
1,32,8.661676e-04,42.00000,35.00000,1346
1,33,8.201073e-04,53.00000,30.00000,2138
1,34,8.476442e-04,42.00000,35.00000,1854
1,35,8.248087e-04,55.00000,30.00000,2690
1,36,7.968638e-04,51.00000,35.00000,1981
1,37,8.201365e-04,46.00000,35.00000,1425
1,38,8.308552e-04,42.00000,36.00000,1913
1,39,8.182504e-04,52.00000,30.00000,1676
1,40,8.344450e-04,35.00000,36.00000,1996
1,41,8.094324e-04,49.00000,35.00000,795
1,42,8.134145e-04,53.00000,30.00000,820
1,43,8.203756e-04,31.00000,36.00000,1760
1,44,7.823318e-04,36.00000,36.00000,1435
1,45,7.545383e-04,45.00000,35.00000,2099
1,46,8.289228e-04,49.00000,30.00000,1348
1,47,8.897530e-04,49.00000,30.00000,1371
1,48,7.879122e-04,44.00000,35.00000,1001
1,49,8.313988e-04,52.00000,30.00000,1406
1,50,8.105993e-04,42.00000,35.00000,1633
1,51,7.959367e-04,43.00000,35.00000,1133
1,52,7.710247e-04,38.00000,40.00000,1647
1,53,7.951489e-04,52.00000,30.00000,1523
1,54,8.055277e-04,43.00000,35.00000,1282
1,55,8.482350e-04,49.00000,30.00000,1208
1,56,7.922434e-04,38.00000,35.00000,937
1,57,8.189395e-04,37.00000,36.00000,1485
1,58,8.341261e-04,39.00000,35.00000,1226
1,59,8.358372e-04,57.00000,30.00000,855
1,60,8.952890e-04,58.00000,30.00000,1227
1,61,8.420533e-04,41.00000,35.00000,797
1,62,8.287157e-04,57.00000,30.00000,784
1,63,8.289923e-04,49.00000,30.00000,648
1,64,7.929982e-04,47.00000,35.00000,708
1,65,8.603209e-04,48.00000,35.00000,730
1,66,8.332611e-04,49.00000,30.00000,661
1,67,7.776897e-04,45.00000,35.00000,680
1,68,8.112509e-04,31.00000,36.00000,718
1,69,8.284963e-04,39.00000,36.00000,698
1,70,7.980622e-04,42.00000,35.00000,712
1,71,8.250240e-04,36.00000,36.00000,1599
2,0,8.266867e-04,38.00000,36.00000,22348
2,1,8.193298e-04,42.00000,35.00000,1114
2,2,8.280049e-04,41.00000,36.00000,1114
2,3,8.588011e-04,41.00000,36.00000,869
2,4,8.064132e-04,42.00000,40.00000,1230
2,5,8.214580e-04,43.00000,35.00000,1512
