pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
10,1,1.72195e-01,2.08700e-01,4.42246e-03,4.04775e-03,10.65
10,2,2.45616e-01,2.32940e-01,3.77471e-03,3.86566e-03,1.32
10,3,2.67791e-01,2.46940e-01,3.62317e-03,3.77175e-03,1.31
10,4,2.81079e-01,2.54700e-01,3.53495e-03,3.71412e-03,1.31
10,5,2.90829e-01,2.60620e-01,3.47293e-03,3.67645e-03,1.31
10,6,2.98336e-01,2.65040e-01,3.42466e-03,3.64244e-03,1.32
10,7,3.04700e-01,2.72200e-01,3.38516e-03,3.61292e-03,1.32
10,8,3.09660e-01,2.74300e-01,3.35219e-03,3.59333e-03,1.32
10,9,3.14844e-01,2.76680e-01,3.32297e-03,3.57454e-03,1.30
10,10,3.18463e-01,2.80680e-01,3.29813e-03,3.55884e-03,1.31
10,11,3.23029e-01,2.84380e-01,3.27582e-03,3.53964e-03,1.35
10,12,3.26021e-01,2.84980e-01,3.25618e-03,3.52702e-03,1.34
10,13,3.29162e-01,2.86340e-01,3.23783e-03,3.51524e-03,1.35
10,14,3.31902e-01,2.86960e-01,3.22184e-03,3.50881e-03,1.35
10,15,3.34514e-01,2.88800e-01,3.20619e-03,3.49470e-03,1.33
10,16,3.36861e-01,2.91600e-01,3.19233e-03,3.48199e-03,1.32
10,17,3.38575e-01,2.92820e-01,3.17909e-03,3.47443e-03,1.34
10,18,3.40804e-01,2.93980e-01,3.16742e-03,3.46840e-03,1.35
10,19,3.42787e-01,2.94760e-01,3.15548e-03,3.46240e-03,1.32
10,20,3.44674e-01,2.95880e-01,3.14537e-03,3.45481e-03,1.34
10,21,3.46221e-01,2.96780e-01,3.13548e-03,3.44444e-03,1.32
10,22,3.47770e-01,2.98300e-01,3.12575e-03,3.44419e-03,1.32
10,23,3.49652e-01,2.99320e-01,3.11719e-03,3.43768e-03,1.32
10,24,3.51009e-01,3.00240e-01,3.10908e-03,3.43053e-03,1.32
10,25,3.52140e-01,3.00760e-01,3.10103e-03,3.42451e-03,1.33
10,26,3.53866e-01,2.99600e-01,3.09296e-03,3.42148e-03,1.33
10,27,3.54836e-01,3.02800e-01,3.08631e-03,3.41752e-03,1.34
10,28,3.56023e-01,3.02940e-01,3.07985e-03,3.41090e-03,1.32
10,29,3.56694e-01,3.03320e-01,3.07348e-03,3.41029e-03,1.32
10,30,3.58144e-01,3.05620e-01,3.06677e-03,3.40242e-03,1.32
10,31,3.58858e-01,3.04640e-01,3.06120e-03,3.40251e-03,1.32
10,32,3.59925e-01,3.05460e-01,3.05562e-03,3.39890e-03,1.34
10,33,3.60820e-01,3.05280e-01,3.04985e-03,3.39792e-03,1.33
10,34,3.61449e-01,3.08000e-01,3.04495e-03,3.39556e-03,1.33
10,35,3.63020e-01,3.06400e-01,3.04004e-03,3.39006e-03,1.33
10,36,3.63330e-01,3.06980e-01,3.03494e-03,3.38878e-03,1.33
10,37,3.63992e-01,3.07420e-01,3.03081e-03,3.38717e-03,1.35
10,38,3.64752e-01,3.07500e-01,3.02688e-03,3.38355e-03,1.34
