pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
10,1,1.90121e-01,2.29840e-01,4.27244e-03,3.87243e-03,10.81
10,2,2.69355e-01,2.53400e-01,3.58424e-03,3.69107e-03,1.35
10,3,2.91786e-01,2.65820e-01,3.43412e-03,3.60225e-03,1.35
10,4,3.05535e-01,2.74520e-01,3.34899e-03,3.54907e-03,1.35
10,5,3.14676e-01,2.80300e-01,3.29047e-03,3.51432e-03,1.36
10,6,3.21935e-01,2.86760e-01,3.24608e-03,3.47924e-03,1.34
10,7,3.27846e-01,2.89540e-01,3.21039e-03,3.45716e-03,1.32
10,8,3.33081e-01,2.91500e-01,3.18072e-03,3.44118e-03,1.32
10,9,3.36997e-01,2.97200e-01,3.15542e-03,3.42044e-03,1.32
10,10,3.41034e-01,2.96520e-01,3.13355e-03,3.40752e-03,1.33
10,11,3.44312e-01,3.00860e-01,3.11372e-03,3.39658e-03,1.35
10,12,3.47258e-01,3.00740e-01,3.09648e-03,3.38560e-03,1.35
10,13,3.49873e-01,3.00580e-01,3.08084e-03,3.37671e-03,1.35
10,14,3.52244e-01,3.04200e-01,3.06678e-03,3.36359e-03,1.34
10,15,3.54377e-01,3.04560e-01,3.05331e-03,3.35905e-03,1.33
10,16,3.56701e-01,3.09540e-01,3.04131e-03,3.34657e-03,1.34
10,17,3.58502e-01,3.09100e-01,3.03045e-03,3.34046e-03,1.35
10,18,3.60458e-01,3.10580e-01,3.01969e-03,3.32982e-03,1.33
10,19,3.61702e-01,3.09900e-01,3.01022e-03,3.32871e-03,1.34
10,20,3.63891e-01,3.10960e-01,3.00106e-03,3.32517e-03,1.34
10,21,3.64644e-01,3.13020e-01,2.99260e-03,3.31731e-03,1.34
10,22,3.66353e-01,3.12160e-01,2.98497e-03,3.31417e-03,1.34
10,23,3.68046e-01,3.13900e-01,2.97731e-03,3.30759e-03,1.35
10,24,3.69042e-01,3.14100e-01,2.96983e-03,3.30449e-03,1.35
10,25,3.69852e-01,3.14480e-01,2.96327e-03,3.29890e-03,1.35
10,26,3.71309e-01,3.15760e-01,2.95688e-03,3.29655e-03,1.35
10,27,3.72180e-01,3.15680e-01,2.95104e-03,3.29302e-03,1.35
10,28,3.73476e-01,3.16660e-01,2.94546e-03,3.28848e-03,1.35
10,29,3.74225e-01,3.17980e-01,2.93945e-03,3.28346e-03,1.34
10,30,3.74978e-01,3.16960e-01,2.93400e-03,3.28087e-03,1.33
10,31,3.76184e-01,3.19780e-01,2.92923e-03,3.27989e-03,1.33
