pretrain_checkpoint_epoch,epoch,train_accuracy,val_accuracy,loss,val_loss,time
10,1,1.71393e-01,2.07000e-01,4.42228e-03,4.05244e-03,10.60
10,2,2.45367e-01,2.30700e-01,3.77446e-03,3.86883e-03,1.32
10,3,2.67062e-01,2.44540e-01,3.62404e-03,3.77832e-03,1.31
10,4,2.80608e-01,2.51240e-01,3.53653e-03,3.72566e-03,1.30
10,5,2.89883e-01,2.60620e-01,3.47576e-03,3.68002e-03,1.31
10,6,2.97704e-01,2.64920e-01,3.42784e-03,3.64523e-03,1.31
10,7,3.04032e-01,2.68060e-01,3.38875e-03,3.62251e-03,1.31
10,8,3.08843e-01,2.72980e-01,3.35664e-03,3.59462e-03,1.31
10,9,3.13992e-01,2.77820e-01,3.32802e-03,3.57768e-03,1.31
10,10,3.17628e-01,2.77560e-01,3.30339e-03,3.56527e-03,1.31
10,11,3.21742e-01,2.80700e-01,3.28113e-03,3.54961e-03,1.31
10,12,3.25021e-01,2.81680e-01,3.26117e-03,3.54035e-03,1.31
10,13,3.28113e-01,2.86140e-01,3.24271e-03,3.52188e-03,1.30
10,14,3.30721e-01,2.86540e-01,3.22685e-03,3.50895e-03,1.30
10,15,3.33389e-01,2.88380e-01,3.21172e-03,3.49732e-03,1.29
10,16,3.35543e-01,2.89660e-01,3.19759e-03,3.48943e-03,1.30
10,17,3.38038e-01,2.93180e-01,3.18467e-03,3.48161e-03,1.29
10,18,3.39667e-01,2.92640e-01,3.17253e-03,3.47625e-03,1.31
10,19,3.42076e-01,2.94120e-01,3.16117e-03,3.46641e-03,1.31
10,20,3.43588e-01,2.92560e-01,3.15102e-03,3.46421e-03,1.28
10,21,3.45118e-01,2.95140e-01,3.14117e-03,3.45435e-03,1.30
10,22,3.46967e-01,2.95660e-01,3.13184e-03,3.44483e-03,1.28
10,23,3.48300e-01,2.98560e-01,3.12307e-03,3.44284e-03,1.28
10,24,3.49638e-01,2.99200e-01,3.11471e-03,3.43838e-03,1.29
10,25,3.51033e-01,2.99260e-01,3.10673e-03,3.43268e-03,1.28
10,26,3.52099e-01,3.00380e-01,3.09948e-03,3.42573e-03,1.28
10,27,3.53462e-01,2.99480e-01,3.09269e-03,3.42201e-03,1.29
10,28,3.54886e-01,3.00820e-01,3.08522e-03,3.42346e-03,1.28
10,29,3.55744e-01,3.00920e-01,3.07921e-03,3.41486e-03,1.29
10,30,3.56729e-01,3.00580e-01,3.07311e-03,3.41419e-03,1.31
10,31,3.57773e-01,3.04080e-01,3.06738e-03,3.40818e-03,1.31
10,32,3.58727e-01,3.02680e-01,3.06170e-03,3.40587e-03,1.29
10,33,3.59759e-01,3.04680e-01,3.05629e-03,3.40279e-03,1.29
10,34,3.61069e-01,3.04140e-01,3.05043e-03,3.39757e-03,1.29
10,35,3.61516e-01,3.04360e-01,3.04614e-03,3.39720e-03,1.30
10,36,3.62535e-01,3.06900e-01,3.04163e-03,3.38834e-03,1.30
10,37,3.62876e-01,3.05960e-01,3.03700e-03,3.39176e-03,1.30
10,38,3.63894e-01,3.06400e-01,3.03237e-03,3.38561e-03,1.30
10,39,3.64860e-01,3.06200e-01,3.02829e-03,3.38865e-03,1.29
10,40,3.65164e-01,3.06220e-01,3.02406e-03,3.38664e-03,1.30
10,41,3.65615e-01,3.06480e-01,3.02060e-03,3.38181e-03,1.29
10,42,3.66499e-01,3.09720e-01,3.01670e-03,3.37676e-03,1.30
10,43,3.67342e-01,3.08940e-01,3.01349e-03,3.37557e-03,1.30
10,44,3.67765e-01,3.08640e-01,3.00984e-03,3.37461e-03,1.31
10,45,3.68574e-01,3.09140e-01,3.00703e-03,3.36985e-03,1.30
10,46,3.68756e-01,3.09080e-01,3.00293e-03,3.37373e-03,1.29
10,47,3.69130e-01,3.11200e-01,3.00028e-03,3.36553e-03,1.30
10,48,3.69884e-01,3.09160e-01,2.99731e-03,3.36646e-03,1.29
10,49,3.70335e-01,3.07460e-01,2.99418e-03,3.36829e-03,1.29
10,50,3.70892e-01,3.09700e-01,2.99164e-03,3.36096e-03,1.29
10,51,3.71205e-01,3.11860e-01,2.98899e-03,3.35916e-03,1.29
10,52,3.71835e-01,3.11840e-01,2.98577e-03,3.36193e-03,1.30
10,53,3.72167e-01,3.11500e-01,2.98385e-03,3.35595e-03,1.31
10,54,3.72846e-01,3.11200e-01,2.98154e-03,3.35962e-03,1.30
10,55,3.73166e-01,3.12500e-01,2.97861e-03,3.35235e-03,1.31
10,56,3.73113e-01,3.13320e-01,2.97649e-03,3.35444e-03,1.31
10,57,3.73979e-01,3.11880e-01,2.97410e-03,3.35655e-03,1.31
10,58,3.74427e-01,3.11820e-01,2.97189e-03,3.35296e-03,1.31
10,59,3.74483e-01,3.12340e-01,2.96986e-03,3.35347e-03,1.31
10,60,3.75217e-01,3.15300e-01,2.96755e-03,3.34693e-03,1.30
10,61,3.75253e-01,3.12100e-01,2.96580e-03,3.34956e-03,1.29
10,62,3.75701e-01,3.11760e-01,2.96368e-03,3.34540e-03,1.31
10,63,3.75885e-01,3.14840e-01,2.96223e-03,3.33965e-03,1.30
10,64,3.76450e-01,3.12480e-01,2.96013e-03,3.34767e-03,1.31
10,65,3.76706e-01,3.13440e-01,2.95789e-03,3.34569e-03,1.31
10,66,3.76977e-01,3.14460e-01,2.95634e-03,3.34120e-03,1.31
10,67,3.76973e-01,3.14780e-01,2.95461e-03,3.34312e-03,1.30
10,68,3.77445e-01,3.12700e-01,2.95310e-03,3.34416e-03,1.31
10,69,3.77450e-01,3.15120e-01,2.95129e-03,3.34199e-03,1.31
10,70,3.78032e-01,3.13520e-01,2.94961e-03,3.34180e-03,1.31
10,71,3.78303e-01,3.15520e-01,2.94876e-03,3.34086e-03,1.31
10,72,3.78520e-01,3.13220e-01,2.94736e-03,3.34343e-03,1.31
10,73,3.79197e-01,3.12340e-01,2.94555e-03,3.34307e-03,1.31
10,74,3.79049e-01,3.14700e-01,2.94435e-03,3.33949e-03,1.31
10,75,3.79182e-01,3.14220e-01,2.94340e-03,3.34113e-03,1.30
10,76,3.79356e-01,3.13520e-01,2.94201e-03,3.33442e-03,1.31
10,77,3.79454e-01,3.13780e-01,2.93990e-03,3.33892e-03,1.30
10,78,3.79902e-01,3.15840e-01,2.93937e-03,3.33139e-03,1.30
10,79,3.80233e-01,3.14520e-01,2.93815e-03,3.33505e-03,1.30
