epoch,train_accuracy,val_accuracy,loss,time
1,4.76058e-01,6.18667e-01,1.30377e-02,2.1924565950175747
2,6.63033e-01,6.72667e-01,1.17273e-02,2.1010559540009126
3,6.97877e-01,6.87667e-01,1.12535e-02,2.1573216530377977
4,7.12983e-01,7.00667e-01,1.10048e-02,2.2719696820131503
5,7.21035e-01,7.09667e-01,1.08477e-02,2.2027725049993023
6,7.27376e-01,7.13333e-01,1.07344e-02,2.143191482988186
7,7.35143e-01,7.23667e-01,1.06490e-02,2.212797627027612
8,7.36925e-01,7.29333e-01,1.05849e-02,2.375920196005609
9,7.39632e-01,7.27667e-01,1.05291e-02,2.1641842629760504
10,7.41912e-01,7.35000e-01,1.04837e-02,2.273667737026699
11,7.45547e-01,7.31667e-01,1.04460e-02,2.286025276000146
12,7.46117e-01,7.32000e-01,1.04140e-02,2.1180549179553054
13,7.48397e-01,7.36667e-01,1.03822e-02,2.3224410060211085
14,7.52458e-01,7.34000e-01,1.03571e-02,2.35559968999587
15,7.52173e-01,7.35667e-01,1.03348e-02,2.140744889038615
16,7.55380e-01,7.42667e-01,1.03113e-02,2.4434183659614064
17,7.53741e-01,7.47667e-01,1.02939e-02,2.0844053190085106
18,7.55950e-01,7.51333e-01,1.02754e-02,2.216225680022035
19,7.58943e-01,7.49333e-01,1.02587e-02,2.2968897449900396
20,7.60581e-01,7.51000e-01,1.02452e-02,2.299069026019424
21,7.62007e-01,7.51333e-01,1.02298e-02,2.173191975976806
22,7.62078e-01,7.54000e-01,1.02193e-02,2.2622581030009314
23,7.63075e-01,7.58667e-01,1.02055e-02,2.140284902008716
24,7.66139e-01,7.56667e-01,1.01946e-02,2.107297932030633
25,7.65498e-01,7.61667e-01,1.01797e-02,2.282280733983498
26,7.66139e-01,7.58000e-01,1.01731e-02,1.7415780479786918
27,7.66638e-01,7.59333e-01,1.01643e-02,1.5137402599793859
28,7.68063e-01,7.60667e-01,1.01525e-02,1.5029802990029566
29,7.68206e-01,7.59000e-01,1.01459e-02,1.5266780639649369
30,7.69417e-01,7.63333e-01,1.01387e-02,1.5019384439801797
31,7.71840e-01,7.62333e-01,1.01295e-02,1.5086250009480864
32,7.70557e-01,7.62000e-01,1.01213e-02,1.5067612019483931
33,7.72624e-01,7.61667e-01,1.01116e-02,1.5197070709546097
34,7.71840e-01,7.58667e-01,1.01057e-02,1.504016964987386
35,7.71911e-01,7.64667e-01,1.01006e-02,1.512431840004865
36,7.73265e-01,7.65000e-01,1.00945e-02,1.5131732869776897
37,7.73265e-01,7.64667e-01,1.00876e-02,1.497169707028661
38,7.74833e-01,7.61333e-01,1.00814e-02,1.5037974760052748
39,7.75901e-01,7.63000e-01,1.00761e-02,1.5106661960016936
40,7.75830e-01,7.62333e-01,1.00709e-02,1.5019913330324925
41,7.77255e-01,7.61000e-01,1.00656e-02,1.5133196199894883
42,7.76899e-01,7.65333e-01,1.00641e-02,1.4965340199996717
43,7.78609e-01,7.67667e-01,1.00540e-02,1.5081362230121158
44,7.77398e-01,7.68667e-01,1.00471e-02,1.502610815980006
45,7.77041e-01,7.65667e-01,1.00462e-02,1.511450967984274
46,7.77398e-01,7.67333e-01,1.00429e-02,1.4960664389654994
47,7.78538e-01,7.68667e-01,1.00381e-02,1.5070411689812317
48,7.80319e-01,7.68667e-01,1.00342e-02,1.5054288420360535
49,7.80390e-01,7.68333e-01,1.00274e-02,1.5460625829873607
50,7.81246e-01,7.68667e-01,1.00239e-02,1.4871283609536476
51,7.81602e-01,7.69000e-01,1.00188e-02,1.5110278939828277
52,7.79892e-01,7.66000e-01,1.00158e-02,1.5025287740281783
53,7.80390e-01,7.70000e-01,1.00112e-02,1.503896328038536
54,7.81459e-01,7.68667e-01,1.00097e-02,1.492948952014558
55,7.82386e-01,7.71000e-01,1.00075e-02,1.5027974260156043
56,7.81531e-01,7.65667e-01,1.00063e-02,1.5094118529814295
57,7.82101e-01,7.68333e-01,1.00003e-02,1.5156586260418408
58,7.82884e-01,7.65333e-01,9.99525e-03,1.5091176789719611
59,7.83597e-01,7.72000e-01,9.99344e-03,1.5173920230008662
60,7.82813e-01,7.68667e-01,9.99023e-03,1.498199499968905
61,7.84595e-01,7.72333e-01,9.98634e-03,1.497360542009119
62,7.83169e-01,7.67667e-01,9.98060e-03,1.5013493340229616
63,7.83098e-01,7.73000e-01,9.98371e-03,1.5092869169893675
64,7.84880e-01,7.72000e-01,9.98016e-03,1.4931999249965884
65,7.86233e-01,7.72667e-01,9.97658e-03,1.506809508020524
66,7.84808e-01,7.73000e-01,9.97237e-03,1.5143016059882939
67,7.84951e-01,7.70333e-01,9.97015e-03,1.5079938209964894
68,7.86091e-01,7.72000e-01,9.96639e-03,1.508584127004724
69,7.87231e-01,7.72333e-01,9.96258e-03,1.52751702896785
70,7.86162e-01,7.77000e-01,9.96312e-03,1.4978341839741915
71,7.86590e-01,7.77333e-01,9.95953e-03,1.5115317000309005
72,7.86447e-01,7.70000e-01,9.95882e-03,1.506804999022279
73,7.87302e-01,7.76667e-01,9.95615e-03,1.5146263290080242
