epoch,train_accuracy,val_accuracy,loss,time
1,3.90409e-01,5.87667e-01,1.29194e-02,1.56
2,5.78452e-01,6.37000e-01,1.16767e-02,1.55
3,6.32820e-01,6.54667e-01,1.12457e-02,1.54
4,6.52701e-01,6.62667e-01,1.10623e-02,1.56
5,6.68448e-01,6.73667e-01,1.09353e-02,1.55
6,6.76642e-01,6.81000e-01,1.08567e-02,1.57
7,6.81702e-01,6.85333e-01,1.08019e-02,1.55
8,6.87402e-01,6.86667e-01,1.07403e-02,1.55
9,6.91749e-01,6.95333e-01,1.06837e-02,1.56
10,6.97805e-01,6.96667e-01,1.06619e-02,1.55
11,7.01297e-01,6.98000e-01,1.06243e-02,1.54
12,7.03648e-01,7.04667e-01,1.06056e-02,1.55
13,6.99017e-01,6.99333e-01,1.06097e-02,1.56
14,7.05857e-01,7.04333e-01,1.05666e-02,1.55
15,7.11558e-01,7.07667e-01,1.05546e-02,1.54
16,7.08422e-01,7.13333e-01,1.05431e-02,1.54
17,7.11700e-01,7.15000e-01,1.05246e-02,1.54
18,7.10133e-01,7.05667e-01,1.05105e-02,1.54
19,7.16332e-01,7.09667e-01,1.04885e-02,1.55
20,7.13410e-01,7.16333e-01,1.04895e-02,1.55
21,7.17899e-01,7.15667e-01,1.04748e-02,1.55
22,7.17828e-01,7.18000e-01,1.04585e-02,1.55
23,7.20251e-01,7.17667e-01,1.04606e-02,1.56
24,7.19538e-01,7.17667e-01,1.04575e-02,1.55
25,7.17686e-01,7.16333e-01,1.04505e-02,1.54
26,7.18184e-01,7.19667e-01,1.04466e-02,1.55
27,7.21533e-01,7.24000e-01,1.04324e-02,1.55
28,7.22674e-01,7.17667e-01,1.04290e-02,1.54
29,7.21177e-01,7.21333e-01,1.04259e-02,1.54
30,7.22032e-01,7.22333e-01,1.04287e-02,1.57
31,7.22246e-01,7.22667e-01,1.04166e-02,1.54
32,7.24455e-01,7.27667e-01,1.04089e-02,1.55
33,7.24882e-01,7.26333e-01,1.03959e-02,1.55
34,7.24669e-01,7.26333e-01,1.03934e-02,1.55
