epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.704081e-01,25.00000,16.00000,1062
1,1,3.770840e-01,18.00000,20.00000,462
1,2,3.405839e-01,36.00000,12.00000,498
1,3,3.208210e-01,16.00000,20.00000,418
1,4,2.999608e-01,11.00000,20.00000,407
1,5,2.901632e-01,17.00000,20.00000,424
1,6,2.745143e-01,25.00000,16.00000,447
1,7,2.577519e-01,20.00000,16.00000,425
1,8,2.498949e-01,17.00000,16.00000,485
1,9,2.381148e-01,27.00000,16.00000,457
1,10,2.357314e-01,25.00000,16.00000,452
1,11,2.236489e-01,27.00000,16.00000,463
1,12,2.178986e-01,20.00000,16.00000,428
1,13,2.101274e-01,26.00000,16.00000,458
1,14,2.065708e-01,21.00000,16.00000,433
1,15,1.992034e-01,27.00000,16.00000,462
1,16,1.977336e-01,15.00000,20.00000,413
1,17,1.886671e-01,26.00000,16.00000,460
1,18,1.802041e-01,25.00000,16.00000,456
1,19,1.808759e-01,21.00000,16.00000,443
1,20,1.724976e-01,23.00000,20.00000,454
1,21,1.707942e-01,29.00000,16.00000,476
1,22,1.659225e-01,26.00000,16.00000,462
1,23,1.551919e-01,25.00000,16.00000,455
1,24,1.626619e-01,14.00000,20.00000,406
1,25,1.558382e-01,13.00000,20.00000,403
1,26,1.593133e-01,11.00000,20.00000,393
1,27,1.511935e-01,20.00000,20.00000,444
1,28,1.393336e-01,17.00000,20.00000,427
1,29,1.397298e-01,24.00000,16.00000,450
1,30,1.460649e-01,19.00000,20.00000,439
1,31,1.360315e-01,23.00000,16.00000,444
1,32,1.378812e-01,14.00000,20.00000,409
1,33,1.243478e-01,19.00000,20.00000,438
1,34,1.389185e-01,17.00000,20.00000,429
1,35,1.259776e-01,23.00000,16.00000,445
1,36,1.326423e-01,24.00000,16.00000,450
1,37,1.355188e-01,17.00000,20.00000,429
1,38,1.313741e-01,21.00000,16.00000,434
1,39,1.104332e-01,33.00000,12.00000,480
1,40,1.120742e-01,25.00000,16.00000,460
1,41,1.228880e-01,25.00000,16.00000,457
1,42,1.243404e-01,19.00000,20.00000,440
1,43,1.388652e-01,26.00000,16.00000,461
1,44,1.351457e-01,20.00000,20.00000,447
1,45,1.195900e-01,26.00000,16.00000,462
1,46,1.335258e-01,17.00000,20.00000,428
1,47,1.231844e-01,35.00000,12.00000,503
1,48,1.219822e-01,23.00000,16.00000,449
1,49,1.135083e-01,35.00000,12.00000,506
1,50,1.258936e-01,16.00000,20.00000,426
1,51,1.324790e-01,22.00000,20.00000,455
1,52,1.398240e-01,17.00000,20.00000,431
1,53,1.491674e-01,20.00000,20.00000,446
1,54,1.337105e-01,17.00000,16.00000,413
1,55,1.433286e-01,19.00000,20.00000,442
1,56,1.381830e-01,19.00000,20.00000,443
1,57,1.339047e-01,21.00000,16.00000,463
1,58,1.245191e-01,25.00000,16.00000,460
1,59,1.338813e-01,26.00000,16.00000,463
1,60,1.210927e-01,33.00000,12.00000,488
1,61,1.201853e-01,35.00000,12.00000,507
1,62,1.467585e-01,19.00000,20.00000,443
1,63,1.513063e-01,18.00000,20.00000,437
1,64,1.388760e-01,35.00000,12.00000,506
1,65,1.534433e-01,18.00000,20.00000,436
1,66,1.340572e-01,28.00000,16.00000,475
1,67,1.386211e-01,19.00000,20.00000,436
1,68,1.591360e-01,21.00000,16.00000,438
1,69,1.798218e-01,14.00000,20.00000,413
1,70,1.449602e-01,23.00000,16.00000,450
1,71,1.552598e-01,25.00000,16.00000,461
1,72,1.902947e-01,26.00000,16.00000,464
1,73,1.454552e-01,23.00000,16.00000,451
1,74,1.668094e-01,19.00000,20.00000,442
1,75,1.659050e-01,20.00000,20.00000,448
1,76,1.679520e-01,23.00000,16.00000,451
1,77,1.452310e-01,17.00000,16.00000,451
1,78,1.568943e-01,25.00000,16.00000,460
1,79,1.385233e-01,26.00000,16.00000,466
1,80,1.588404e-01,18.00000,20.00000,446
1,81,1.730004e-01,15.00000,20.00000,423
1,82,1.638772e-01,21.00000,16.00000,466
1,83,1.938601e-01,8.00000,20.00000,384
1,84,1.812937e-01,20.00000,20.00000,449
1,85,1.689909e-01,18.00000,20.00000,439
1,86,1.694262e-01,18.00000,20.00000,439
1,87,1.463078e-01,33.00000,12.00000,513
1,88,1.828291e-01,20.00000,20.00000,452
1,89,1.966595e-01,14.00000,20.00000,414
1,90,1.785984e-01,25.00000,16.00000,463
1,91,1.746839e-01,25.00000,16.00000,464
1,92,1.788477e-01,23.00000,20.00000,462
1,93,1.679217e-01,24.00000,16.00000,457
1,94,1.681623e-01,21.00000,16.00000,440
1,95,1.784473e-01,23.00000,16.00000,451
1,96,2.203529e-01,8.00000,20.00000,383
1,97,2.004833e-01,27.00000,16.00000,468
1,98,1.706535e-01,23.00000,16.00000,450
1,99,1.758030e-01,17.00000,16.00000,416
1,100,1.605527e-01,23.00000,16.00000,452
1,101,1.722134e-01,24.00000,16.00000,459
1,102,1.568847e-01,33.00000,12.00000,490
1,103,1.693720e-01,20.00000,20.00000,451
1,104,2.069060e-01,8.00000,20.00000,383
1,105,1.846662e-01,25.00000,16.00000,465
1,106,1.771424e-01,24.00000,16.00000,458
1,107,1.944495e-01,14.00000,20.00000,450
1,108,1.695944e-01,16.00000,20.00000,429
2,0,1.871221e-01,25.00000,16.00000,1911
2,1,1.890970e-01,14.00000,20.00000,410
2,2,1.736560e-01,34.00000,12.00000,497
2,3,1.989459e-01,17.00000,16.00000,415
2,4,1.716932e-01,17.00000,16.00000,415
2,5,1.757692e-01,18.00000,20.00000,438
2,6,1.645558e-01,19.00000,20.00000,508
2,7,1.654367e-01,21.00000,16.00000,440
2,8,1.447927e-01,33.00000,12.00000,482
2,9,1.574901e-01,23.00000,16.00000,450
2,10,1.533804e-01,36.00000,12.00000,507
2,11,1.535562e-01,26.00000,16.00000,459
2,12,1.266012e-01,27.00000,16.00000,473
2,13,1.391646e-01,16.00000,20.00000,457
2,14,1.352715e-01,33.00000,12.00000,488
2,15,1.493746e-01,25.00000,16.00000,462
2,16,1.479293e-01,21.00000,16.00000,439
2,17,1.532073e-01,19.00000,20.00000,442
2,18,1.459076e-01,20.00000,16.00000,455
2,19,1.343320e-01,26.00000,16.00000,514
2,20,2.094638e-01,11.00000,20.00000,400
2,21,1.499451e-01,27.00000,16.00000,472
2,22,1.807073e-01,17.00000,16.00000,419
2,23,1.736512e-01,17.00000,20.00000,434
2,24,1.708108e-01,20.00000,16.00000,434
2,25,1.818506e-01,15.00000,20.00000,425
2,26,1.588332e-01,23.00000,16.00000,452
2,27,1.580406e-01,25.00000,16.00000,463
2,28,1.497537e-01,20.00000,20.00000,450
2,29,1.618168e-01,18.00000,20.00000,441
2,30,1.848224e-01,12.00000,20.00000,406
2,31,1.305394e-01,25.00000,16.00000,462
2,32,1.725024e-01,16.00000,20.00000,429
2,33,1.628557e-01,18.00000,20.00000,439
2,34,1.792557e-01,11.00000,20.00000,399
2,35,1.560654e-01,20.00000,20.00000,450
2,36,1.403471e-01,23.00000,16.00000,452
2,37,1.434245e-01,27.00000,16.00000,473
2,38,1.819725e-01,13.00000,20.00000,412
2,39,1.592060e-01,17.00000,16.00000,418
2,40,1.633330e-01,20.00000,20.00000,448
2,41,1.483444e-01,23.00000,20.00000,472
2,42,1.334082e-01,33.00000,12.00000,493
2,43,1.670352e-01,14.00000,20.00000,418
2,44,1.435690e-01,17.00000,20.00000,437
2,45,1.704158e-01,18.00000,20.00000,441
2,46,1.669815e-01,18.00000,20.00000,442
2,47,1.478830e-01,25.00000,16.00000,464
2,48,1.423338e-01,23.00000,16.00000,454
2,49,1.546696e-01,18.00000,20.00000,443
