epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,4.865471e-01,33.00000,12.00000,1247
1,1,3.935896e-01,26.00000,16.00000,595
1,2,3.517847e-01,20.00000,20.00000,522
1,3,3.269454e-01,19.00000,20.00000,512
1,4,3.082278e-01,26.00000,16.00000,558
1,5,2.967902e-01,19.00000,20.00000,518
1,6,2.801881e-01,18.00000,20.00000,507
1,7,2.634036e-01,26.00000,16.00000,536
1,8,2.576895e-01,13.00000,20.00000,486
1,9,2.439679e-01,26.00000,16.00000,534
1,10,2.403926e-01,26.00000,16.00000,530
1,11,2.289079e-01,25.00000,16.00000,531
1,12,2.221687e-01,26.00000,16.00000,533
1,13,2.165759e-01,24.00000,16.00000,513
1,14,2.103893e-01,27.00000,16.00000,522
1,15,2.059869e-01,17.00000,16.00000,488
1,16,1.978591e-01,24.00000,16.00000,526
1,17,1.918711e-01,24.00000,16.00000,521
1,18,1.874795e-01,23.00000,16.00000,506
1,19,1.802204e-01,17.00000,20.00000,521
1,20,1.768295e-01,25.00000,16.00000,532
1,21,1.734035e-01,24.00000,16.00000,518
1,22,1.704600e-01,22.00000,16.00000,508
1,23,1.681805e-01,22.00000,16.00000,515
1,24,1.594330e-01,17.00000,20.00000,507
1,25,1.634046e-01,14.00000,20.00000,489
1,26,1.521424e-01,23.00000,20.00000,540
1,27,1.639152e-01,8.00000,20.00000,459
1,28,1.500540e-01,16.00000,20.00000,501
1,29,1.414495e-01,25.00000,16.00000,523
1,30,1.436528e-01,17.00000,20.00000,512
1,31,1.357065e-01,21.00000,16.00000,492
1,32,1.331664e-01,23.00000,20.00000,541
1,33,1.312052e-01,20.00000,20.00000,526
1,34,1.333976e-01,19.00000,20.00000,522
1,35,1.244063e-01,26.00000,16.00000,535
1,36,1.273123e-01,25.00000,16.00000,523
1,37,1.373018e-01,16.00000,20.00000,500
1,38,1.400515e-01,21.00000,16.00000,512
1,39,1.256877e-01,34.00000,12.00000,565
1,40,1.287353e-01,23.00000,16.00000,525
1,41,1.221920e-01,21.00000,16.00000,511
1,42,1.218239e-01,20.00000,20.00000,522
1,43,1.288857e-01,26.00000,16.00000,532
1,44,1.356801e-01,16.00000,20.00000,505
1,45,1.249446e-01,26.00000,16.00000,532
1,46,1.371056e-01,21.00000,20.00000,522
1,47,1.217773e-01,35.00000,12.00000,627
1,48,1.320251e-01,24.00000,16.00000,529
1,49,1.132603e-01,35.00000,12.00000,561
1,50,1.343869e-01,20.00000,20.00000,525
1,51,1.391648e-01,15.00000,20.00000,496
1,52,1.545264e-01,19.00000,20.00000,511
1,53,1.155045e-01,14.00000,20.00000,512
1,54,1.565953e-01,20.00000,16.00000,506
1,55,1.616997e-01,17.00000,20.00000,506
1,56,1.391871e-01,19.00000,20.00000,518
1,57,1.364220e-01,22.00000,16.00000,509
1,58,1.363719e-01,27.00000,16.00000,531
1,59,1.447646e-01,21.00000,16.00000,511
1,60,1.221189e-01,33.00000,12.00000,562
1,61,1.144699e-01,34.00000,12.00000,572
1,62,1.502187e-01,19.00000,20.00000,526
1,63,1.445405e-01,19.00000,20.00000,517
1,64,1.512634e-01,33.00000,12.00000,561
1,65,1.705329e-01,19.00000,20.00000,516
1,66,1.402045e-01,24.00000,16.00000,531
1,67,1.513971e-01,19.00000,20.00000,516
1,68,1.314124e-01,24.00000,16.00000,531
1,69,1.661937e-01,15.00000,20.00000,524
1,70,1.481554e-01,27.00000,16.00000,533
1,71,1.406917e-01,22.00000,16.00000,520
1,72,1.707956e-01,21.00000,16.00000,512
1,73,1.505348e-01,21.00000,16.00000,525
1,74,1.672937e-01,22.00000,20.00000,588
1,75,1.727254e-01,12.00000,20.00000,508
1,76,1.698765e-01,27.00000,16.00000,549
1,77,1.569596e-01,20.00000,16.00000,503
1,78,1.616427e-01,21.00000,16.00000,504
1,79,1.478459e-01,24.00000,16.00000,528
1,80,1.777423e-01,16.00000,20.00000,510
1,81,1.459924e-01,21.00000,20.00000,531
1,82,1.480101e-01,21.00000,16.00000,499
1,83,1.568472e-01,25.00000,20.00000,551
1,84,1.843412e-01,15.00000,20.00000,503
1,85,1.721939e-01,14.00000,20.00000,526
1,86,1.774534e-01,15.00000,20.00000,494
1,87,1.431537e-01,33.00000,12.00000,567
1,88,1.822857e-01,18.00000,20.00000,515
1,89,1.770183e-01,18.00000,20.00000,509
1,90,1.542441e-01,23.00000,16.00000,512
1,91,1.427048e-01,29.00000,16.00000,550
1,92,1.557586e-01,19.00000,20.00000,510
1,93,1.731314e-01,22.00000,16.00000,504
1,94,1.661447e-01,25.00000,16.00000,524
1,95,1.598435e-01,23.00000,16.00000,534
1,96,1.956090e-01,16.00000,20.00000,494
1,97,1.655741e-01,25.00000,16.00000,522
1,98,1.684643e-01,24.00000,16.00000,520
1,99,1.884708e-01,25.00000,16.00000,526
1,100,1.733218e-01,21.00000,16.00000,503
1,101,1.779324e-01,20.00000,16.00000,494
1,102,1.389215e-01,36.00000,12.00000,581
1,103,1.741301e-01,18.00000,20.00000,524
1,104,1.839468e-01,16.00000,20.00000,512
1,105,1.562439e-01,21.00000,16.00000,528
1,106,1.757084e-01,25.00000,16.00000,536
1,107,1.658071e-01,20.00000,20.00000,537
1,108,1.661465e-01,19.00000,20.00000,523
2,0,1.721724e-01,21.00000,16.00000,1918
2,1,1.581285e-01,33.00000,12.00000,558
2,2,1.861850e-01,19.00000,20.00000,531
2,3,2.210404e-01,23.00000,16.00000,519
2,4,1.581929e-01,21.00000,16.00000,516
2,5,1.704236e-01,20.00000,20.00000,537
2,6,1.372761e-01,33.00000,12.00000,576
2,7,1.444235e-01,25.00000,16.00000,538
2,8,1.520411e-01,18.00000,20.00000,512
2,9,1.617665e-01,21.00000,16.00000,537
2,10,1.536496e-01,21.00000,20.00000,520
2,11,1.575582e-01,14.00000,20.00000,521
2,12,1.619495e-01,19.00000,20.00000,502
2,13,1.259162e-01,36.00000,12.00000,587
2,14,1.451062e-01,24.00000,16.00000,535
2,15,1.632994e-01,21.00000,16.00000,514
2,16,1.489236e-01,23.00000,16.00000,525
2,17,1.365906e-01,25.00000,16.00000,523
2,18,1.408167e-01,23.00000,16.00000,526
2,19,1.359960e-01,26.00000,16.00000,531
2,20,1.471652e-01,35.00000,12.00000,585
2,21,1.254466e-01,24.00000,16.00000,534
2,22,1.550173e-01,29.00000,16.00000,551
2,23,1.782815e-01,19.00000,20.00000,525
2,24,1.549750e-01,27.00000,16.00000,554
2,25,1.743764e-01,14.00000,20.00000,498
2,26,1.789979e-01,21.00000,16.00000,498
2,27,1.581488e-01,25.00000,16.00000,541
2,28,1.568437e-01,16.00000,20.00000,562
2,29,1.615143e-01,16.00000,20.00000,511
2,30,1.749438e-01,14.00000,20.00000,497
2,31,1.458384e-01,25.00000,16.00000,536
2,32,1.694972e-01,20.00000,20.00000,574
2,33,1.744011e-01,14.00000,20.00000,491
2,34,1.632851e-01,18.00000,20.00000,514
2,35,1.625895e-01,18.00000,20.00000,522
2,36,1.397682e-01,23.00000,16.00000,541
2,37,1.492316e-01,25.00000,16.00000,533
2,38,1.941159e-01,12.00000,20.00000,488
2,39,1.501087e-01,26.00000,16.00000,529
2,40,1.869472e-01,13.00000,20.00000,521
2,41,1.788751e-01,13.00000,20.00000,489
2,42,1.365765e-01,33.00000,12.00000,553
2,43,1.533006e-01,19.00000,20.00000,527
2,44,1.659437e-01,17.00000,20.00000,520
2,45,1.633542e-01,21.00000,20.00000,541
2,46,1.982846e-01,11.00000,20.00000,484
2,47,1.546115e-01,26.00000,16.00000,544
2,48,1.677516e-01,20.00000,16.00000,515
2,49,1.465336e-01,22.00000,20.00000,547
2,50,1.621117e-01,14.00000,20.00000,500
2,51,1.524072e-01,20.00000,16.00000,507
2,52,1.814063e-01,17.00000,20.00000,516
2,53,1.429527e-01,23.00000,16.00000,531
2,54,1.341293e-01,17.00000,16.00000,497
2,55,1.461087e-01,23.00000,16.00000,524
2,56,1.415949e-01,23.00000,16.00000,538
2,57,1.616126e-01,21.00000,16.00000,519
2,58,1.531237e-01,17.00000,20.00000,512
