epoch,train_accuracy,val_accuracy,loss,time
1,4.28174e-01,5.40667e-01,1.30001e-02,1.560530780989211
2,6.02537e-01,6.27667e-01,1.19546e-02,1.5370545740006492
3,6.54767e-01,6.50000e-01,1.15008e-02,1.5294964999775402
4,6.69802e-01,6.57667e-01,1.12618e-02,1.5364051559881773
5,6.80490e-01,6.68333e-01,1.11091e-02,1.536692279012641
6,6.85977e-01,6.75667e-01,1.10068e-02,1.5293440750101581
7,6.90822e-01,6.79000e-01,1.09289e-02,1.5321576930000447
8,6.97734e-01,6.82000e-01,1.08621e-02,1.538138017989695
9,7.00727e-01,6.90667e-01,1.08114e-02,1.5352528029761743
10,7.04147e-01,6.87333e-01,1.07690e-02,1.5286508519784547
11,7.05501e-01,6.97000e-01,1.07313e-02,1.5389095570135396
12,7.09705e-01,6.94667e-01,1.06972e-02,1.54180255997926
13,7.10560e-01,6.98667e-01,1.06680e-02,1.5336523620062508
14,7.12199e-01,6.99333e-01,1.06461e-02,1.5334855090186466
15,7.14194e-01,7.01333e-01,1.06196e-02,1.5415833790029865
16,7.16118e-01,7.05000e-01,1.05976e-02,1.5372238489799201
17,7.18541e-01,7.07667e-01,1.05840e-02,1.5319590380240697
18,7.19823e-01,7.06333e-01,1.05631e-02,1.537747009017039
19,7.19396e-01,7.09000e-01,1.05476e-02,1.5379263079958037
20,7.20821e-01,7.12333e-01,1.05326e-02,1.5280101890093647
21,7.22674e-01,7.10667e-01,1.05214e-02,1.5359918059839401
22,7.22887e-01,7.17000e-01,1.05043e-02,1.5384536790079437
23,7.23956e-01,7.13333e-01,1.04980e-02,1.5339472419873346
24,7.25381e-01,7.15000e-01,1.04857e-02,1.5328844180039596
25,7.25809e-01,7.11333e-01,1.04722e-02,1.542306502989959
26,7.26521e-01,7.17333e-01,1.04643e-02,1.5390568419825286
27,7.27946e-01,7.13333e-01,1.04552e-02,1.536339215002954
28,7.26094e-01,7.20000e-01,1.04446e-02,1.5358345470158383
29,7.28730e-01,7.17000e-01,1.04392e-02,1.5385007459844928
30,7.29514e-01,7.18000e-01,1.04287e-02,1.5348702910123393
31,7.29870e-01,7.21667e-01,1.04216e-02,1.5332947009883355
32,7.30797e-01,7.20333e-01,1.04134e-02,1.5340332469786517
33,7.31652e-01,7.19000e-01,1.04075e-02,1.5347303590097
34,7.32578e-01,7.22333e-01,1.04016e-02,1.533711657015374
35,7.33789e-01,7.25000e-01,1.03941e-02,1.5356216749933083
36,7.34359e-01,7.21667e-01,1.03856e-02,1.5353349650104064
37,7.33576e-01,7.22667e-01,1.03828e-02,1.5322851930104662
38,7.33576e-01,7.21667e-01,1.03763e-02,1.5321633970015682
39,7.34644e-01,7.24333e-01,1.03702e-02,1.5341234350053128
40,7.35571e-01,7.24333e-01,1.03663e-02,1.5505851980124135
41,7.36283e-01,7.28667e-01,1.03609e-02,1.532418938993942
42,7.37566e-01,7.24667e-01,1.03557e-02,1.5362473379937
43,7.37281e-01,7.25000e-01,1.03529e-02,1.5344745890179183
44,7.37210e-01,7.25333e-01,1.03464e-02,1.5295424630166963
45,7.38207e-01,7.29667e-01,1.03437e-02,1.530937002011342
46,7.37210e-01,7.26333e-01,1.03376e-02,1.5339480619877577
47,7.39419e-01,7.24333e-01,1.03344e-02,1.537857357005123
48,7.38492e-01,7.25333e-01,1.03312e-02,1.5329989110177848
49,7.38350e-01,7.26333e-01,1.03263e-02,1.5348895750066731
50,7.40202e-01,7.30667e-01,1.03226e-02,1.534755185013637
51,7.40701e-01,7.30667e-01,1.03209e-02,1.5345402029925026
52,7.40131e-01,7.29000e-01,1.03146e-02,1.532937152980594
53,7.41342e-01,7.28667e-01,1.03113e-02,1.5369975490029901
54,7.40487e-01,7.30333e-01,1.03117e-02,1.536043864005478
55,7.42839e-01,7.34000e-01,1.03066e-02,1.5341311029915232
56,7.42269e-01,7.28333e-01,1.03014e-02,1.5358612799900584
57,7.41984e-01,7.28667e-01,1.03009e-02,1.5374397920095362
58,7.42411e-01,7.30333e-01,1.02959e-02,1.5318183430063073
59,7.43053e-01,7.31000e-01,1.02950e-02,1.5316870829847176
60,7.42910e-01,7.31667e-01,1.02889e-02,1.5344271550129633
61,7.43480e-01,7.30667e-01,1.02901e-02,1.5421179789991584
62,7.42340e-01,7.26333e-01,1.02849e-02,1.5360748219827656
63,7.43266e-01,7.31333e-01,1.02832e-02,1.5341023290238809
64,7.43480e-01,7.31667e-01,1.02795e-02,1.5355884529999457
65,7.43694e-01,7.33333e-01,1.02767e-02,1.532468985999003
66,7.44121e-01,7.31333e-01,1.02746e-02,1.5319687119917944
67,7.43694e-01,7.34000e-01,1.02719e-02,1.5344544090039562
68,7.46188e-01,7.30667e-01,1.02689e-02,1.536518277018331
69,7.43053e-01,7.33667e-01,1.02684e-02,1.5315126290079206
70,7.43908e-01,7.32667e-01,1.02665e-02,1.535359661997063
71,7.46402e-01,7.32667e-01,1.02618e-02,1.5333219050080515
72,7.46045e-01,7.27667e-01,1.02581e-02,1.5328220689843874
73,7.45119e-01,7.33333e-01,1.02586e-02,1.5336215290008113
74,7.45832e-01,7.32333e-01,1.02558e-02,1.5349362870038021
75,7.46687e-01,7.33333e-01,1.02573e-02,1.5305229889927432
76,7.45262e-01,7.32333e-01,1.02534e-02,1.5286192949861288
77,7.44976e-01,7.33000e-01,1.02512e-02,1.5359049790131394
78,7.46473e-01,7.35333e-01,1.02478e-02,1.534550353011582
79,7.46615e-01,7.33667e-01,1.02490e-02,1.5322730780171696
80,7.45903e-01,7.34333e-01,1.02455e-02,1.5366073769982904
81,7.47257e-01,7.32000e-01,1.02424e-02,1.5358497000124771
82,7.46758e-01,7.35000e-01,1.02387e-02,1.535066373005975
83,7.46972e-01,7.36333e-01,1.02413e-02,1.5323769570095465
84,7.47898e-01,7.33000e-01,1.02398e-02,1.5351871729944833
85,7.47043e-01,7.38333e-01,1.02370e-02,1.5352295889751986
86,7.48753e-01,7.36667e-01,1.02314e-02,1.5306288649735507
87,7.49822e-01,7.37667e-01,1.02348e-02,1.5334800900018308
88,7.48539e-01,7.37333e-01,1.02302e-02,1.5329634590016212
89,7.49252e-01,7.39000e-01,1.02290e-02,1.5317824730009306
90,7.48682e-01,7.34667e-01,1.02294e-02,1.5301472049904987
91,7.49394e-01,7.37000e-01,1.02269e-02,1.5347164499980863
92,7.49964e-01,7.32667e-01,1.02218e-02,1.5395920640148688
93,7.47613e-01,7.36000e-01,1.02252e-02,1.5337071050016675
94,7.48468e-01,7.33000e-01,1.02192e-02,1.5353000719915144
95,7.49964e-01,7.36000e-01,1.02188e-02,1.5316104340017773
96,7.49608e-01,7.36667e-01,1.02202e-02,1.5322296530066524
97,7.50321e-01,7.35667e-01,1.02189e-02,1.5265343899955042
98,7.49822e-01,7.37667e-01,1.02157e-02,1.5396747079794295
99,7.49608e-01,7.38667e-01,1.02154e-02,1.5413771960011218
100,7.51389e-01,7.39333e-01,1.02148e-02,1.531341067980975
101,7.50107e-01,7.41000e-01,1.02133e-02,1.5403797220205888
102,7.50036e-01,7.38333e-01,1.02096e-02,1.5395688470161986
103,7.51532e-01,7.38000e-01,1.02084e-02,1.5386424300086219
104,7.51318e-01,7.37000e-01,1.02089e-02,1.5314071509928908
105,7.50891e-01,7.37000e-01,1.02046e-02,1.5384364159835968
106,7.52458e-01,7.39000e-01,1.02036e-02,1.5378623699944
107,7.52173e-01,7.34667e-01,1.02041e-02,1.5366119169921149
108,7.51532e-01,7.37333e-01,1.02023e-02,1.533597486995859
109,7.51817e-01,7.37667e-01,1.01994e-02,1.5365103969816118
110,7.51461e-01,7.35667e-01,1.01993e-02,1.5333574170072097
111,7.52743e-01,7.34000e-01,1.01957e-02,1.5368933980062138
112,7.50677e-01,7.40000e-01,1.01978e-02,1.5331216479826253
113,7.51532e-01,7.35333e-01,1.01941e-02,1.536306252994109
114,7.52387e-01,7.42000e-01,1.01939e-02,1.5256956639932469
115,7.52031e-01,7.40333e-01,1.01931e-02,1.526525485998718
116,7.52102e-01,7.39333e-01,1.01913e-02,1.5283743769978173
